Daily data for a single station.
StationID:  , CA006042716
StationName:, "GERALDTON A"
Lat&Long    , 49.783, -86.933
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-05-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-40.70,-27.90,0.00,NA,NA,NA,NA
2014-01-02,-39.10,-24.80,0.00,NA,NA,NA,NA
2014-01-03,-36.50,-8.20,4.60,NA,NA,NA,NA
2014-01-04,-24.70,-9.10,2.20,NA,NA,NA,NA
2014-01-05,-36.00,-23.20,0.00,NA,NA,NA,NA
2014-01-06,-37.80,-27.60,0.00,NA,NA,NA,NA
2014-01-07,-29.30,-22.80,0.40,NA,NA,NA,NA
2014-01-08,-26.50,-22.90,0.00,NA,NA,NA,NA
2014-01-09,-27.30,-6.00,2.40,NA,NA,NA,NA
2014-01-10,-6.10,-2.60,0.00,NA,NA,NA,NA
2014-01-11,-7.40,-2.10,1.40,NA,NA,NA,NA
2014-01-12,-7.50,-0.40,5.40,NA,NA,NA,NA
2014-01-13,-18.10,-0.70,0.60,NA,NA,NA,NA
2014-01-14,-26.90,-15.70,0.00,NA,NA,NA,NA
2014-01-15,-33.40,-12.80,0.00,NA,NA,NA,NA
2014-01-16,-19.50,-7.60,5.40,NA,NA,NA,NA
2014-01-17,-32.00,-16.50,0.00,NA,NA,NA,NA
2014-01-18,-33.90,-9.90,2.60,NA,NA,NA,NA
2014-01-19,-29.20,-9.90,0.40,NA,NA,NA,NA
2014-01-20,-33.50,-24.50,0.00,NA,NA,NA,NA
2014-01-21,-33.40,-23.20,0.00,NA,NA,NA,NA
2014-01-22,-28.90,-21.50,0.80,NA,NA,NA,NA
2014-01-23,-34.90,-18.10,0.00,NA,NA,NA,NA
2014-01-24,-21.00,-11.70,3.20,NA,NA,NA,NA
2014-01-25,-29.30,-21.00,0.00,NA,NA,NA,NA
2014-01-26,-32.80,-22.90,0.20,NA,NA,NA,NA
2014-01-27,-30.20,-24.00,0.80,NA,NA,NA,NA
2014-01-28,-29.30,-22.00,2.40,NA,NA,NA,NA
2014-01-29,-23.60,-8.60,0.80,NA,NA,NA,NA
2014-01-30,-22.10,-7.60,0.20,NA,NA,NA,NA
2014-01-31,-25.40,-17.90,0.00,NA,NA,NA,NA
2014-02-01,-27.10,-13.90,0.20,NA,NA,NA,NA
2014-02-02,-29.10,-17.30,0.00,NA,NA,NA,NA
2014-02-03,-20.30,-11.70,0.00,NA,NA,NA,NA
2014-02-04,-29.00,-16.30,0.00,NA,NA,NA,NA
2014-02-05,-23.70,-15.90,0.00,NA,NA,NA,NA
2014-02-06,-21.40,-14.80,1.00,NA,NA,NA,NA
2014-02-07,-24.80,-14.80,0.00,NA,NA,NA,NA
2014-02-08,-31.80,-14.80,0.00,NA,NA,NA,NA
2014-02-09,-33.80,-17.10,0.00,NA,NA,NA,NA
2014-02-10,-27.90,-17.40,0.00,NA,NA,NA,NA
2014-02-11,-33.00,-11.60,0.60,NA,NA,NA,NA
2014-02-12,-25.60,-10.80,0.40,NA,NA,NA,NA
2014-02-13,-25.20,-18.10,9.80,NA,NA,NA,NA
2014-02-14,-27.00,-17.70,3.60,NA,NA,NA,NA
2014-02-15,-33.60,-15.00,0.40,NA,NA,NA,NA
2014-02-16,-32.30,-11.90,0.00,NA,NA,NA,NA
2014-02-17,-28.00,-8.00,2.80,NA,NA,NA,NA
2014-02-18,-9.50,-3.70,1.20,NA,NA,NA,NA
2014-02-19,-21.10,-3.20,0.60,NA,NA,NA,NA
2014-02-20,-25.20,-3.20,0.00,NA,NA,NA,NA
2014-02-21,-10.90,-1.70,20.40,NA,NA,NA,NA
2014-02-22,-16.30,-10.90,3.70,NA,NA,NA,NA
2014-02-23,-19.00,-15.60,0.00,NA,NA,NA,NA
2014-02-24,-21.50,-13.00,0.40,NA,NA,NA,NA
2014-02-25,-28.60,-17.20,0.40,NA,NA,NA,NA
2014-02-26,-27.60,-18.90,0.20,NA,NA,NA,NA
2014-02-27,-38.40,-23.20,0.00,NA,NA,NA,NA
2014-02-28,-39.90,-16.70,1.20,NA,NA,NA,NA
2014-03-01,-31.70,-21.40,0.00,NA,NA,NA,NA
2014-03-02,-30.20,-20.80,0.00,NA,NA,NA,NA
2014-03-03,-31.80,-13.60,0.00,NA,NA,NA,NA
2014-03-04,-35.00,-13.30,0.00,NA,NA,NA,NA
2014-03-05,-39.70,-11.10,0.00,NA,NA,NA,NA
2014-03-06,-17.50,-6.90,7.60,NA,NA,NA,NA
2014-03-07,-18.20,-7.30,6.60,NA,NA,NA,NA
2014-03-08,-26.80,-7.20,0.00,NA,NA,NA,NA
2014-03-09,-22.80,-2.60,2.60,NA,NA,NA,NA
2014-03-10,-9.30,-0.90,3.40,NA,NA,NA,NA
2014-03-11,-23.60,-2.10,0.40,NA,NA,NA,NA
2014-03-12,-34.60,-11.90,0.00,NA,NA,NA,NA
2014-03-13,-18.90,-5.90,7.40,NA,NA,NA,NA
2014-03-14,-17.50,-6.60,3.00,NA,NA,NA,NA
2014-03-15,-31.90,-16.00,0.00,NA,NA,NA,NA
2014-03-16,-33.60,-10.20,0.00,NA,NA,NA,NA
2014-03-17,-28.70,-6.00,0.00,NA,NA,NA,NA
2014-03-18,-14.70,-2.40,0.40,NA,NA,NA,NA
2014-03-19,-12.60,-2.50,1.20,NA,NA,NA,NA
2014-03-20,-18.30,-0.80,0.00,NA,NA,NA,NA
2014-03-21,-20.00,2.30,0.60,NA,NA,NA,NA
2014-03-22,-22.90,-11.30,0.00,NA,NA,NA,NA
2014-03-23,-31.00,-9.70,0.00,NA,NA,NA,NA
2014-03-24,-23.80,-7.70,0.80,NA,NA,NA,NA
2014-03-25,-26.20,-12.70,0.00,NA,NA,NA,NA
2014-03-26,-29.50,-4.60,0.00,NA,NA,NA,NA
2014-03-27,-10.50,-2.00,1.40,NA,NA,NA,NA
2014-03-28,-20.90,-4.10,0.00,NA,NA,NA,NA
2014-03-29,-26.90,0.70,0.00,NA,NA,NA,NA
2014-03-30,-7.60,3.40,0.60,NA,NA,NA,NA
2014-03-31,-12.90,1.20,10.60,NA,NA,NA,NA
2014-04-01,-12.70,-8.90,5.40,NA,NA,NA,NA
2014-04-02,-20.20,-1.30,1.60,NA,NA,NA,NA
2014-04-03,-25.90,-0.10,0.00,NA,NA,NA,NA
2014-04-04,-11.60,-4.60,5.80,NA,NA,NA,NA
2014-04-05,-19.10,3.10,0.00,NA,NA,NA,NA
2014-04-06,-9.00,7.70,0.00,NA,NA,NA,NA
2014-04-07,-12.10,11.20,0.00,NA,NA,NA,NA
2014-04-08,-10.50,3.60,0.00,NA,NA,NA,NA
2014-04-09,-13.80,7.70,0.20,NA,NA,NA,NA
2014-04-10,-7.60,5.50,0.40,NA,NA,NA,NA
2014-04-11,-8.00,5.60,0.40,NA,NA,NA,NA
2014-04-12,-12.70,3.40,0.00,NA,NA,NA,NA
2014-04-13,-4.70,3.80,0.00,NA,NA,NA,NA
2014-04-14,-14.80,-4.70,0.00,NA,NA,NA,NA
2014-04-15,-21.10,-6.00,0.00,NA,NA,NA,NA
2014-04-16,-13.00,-0.60,0.00,NA,NA,NA,NA
2014-04-17,-13.70,-1.00,3.40,NA,NA,NA,NA
2014-04-18,-6.10,5.30,1.00,NA,NA,NA,NA
2014-04-19,-8.60,3.00,5.20,NA,NA,NA,NA
2014-04-20,-2.90,10.30,0.00,NA,NA,NA,NA
2014-04-21,-5.50,8.60,3.80,NA,NA,NA,NA
2014-04-22,-5.20,4.00,0.00,NA,NA,NA,NA
2014-04-23,-8.20,9.90,0.00,NA,NA,NA,NA
2014-04-24,-5.60,11.50,0.00,NA,NA,NA,NA
2014-04-25,-4.70,3.80,4.80,NA,NA,NA,NA
2014-04-26,-8.50,4.40,0.00,NA,NA,NA,NA
2014-04-27,-10.20,7.00,0.00,NA,NA,NA,NA
2014-04-28,-4.90,9.10,0.00,NA,NA,NA,NA
2014-04-29,-4.20,7.20,8.20,NA,NA,NA,NA
2014-04-30,2.30,6.20,3.20,NA,NA,NA,NA
2014-05-01,2.00,4.80,2.40,NA,NA,NA,NA
2014-05-02,0.40,9.10,1.00,NA,NA,NA,NA
2014-05-03,-1.30,9.40,6.20,NA,NA,NA,NA
2014-05-04,0.00,3.90,5.00,NA,NA,NA,NA
2014-05-05,-2.50,8.10,0.00,NA,NA,NA,NA
2014-05-06,-4.90,12.30,0.00,NA,NA,NA,NA
2014-05-07,-2.80,15.00,0.00,NA,NA,NA,NA
2014-05-08,3.20,11.60,2.20,NA,NA,NA,NA
2014-05-09,5.70,11.50,6.20,NA,NA,NA,NA
2014-05-10,1.70,14.10,1.60,NA,NA,NA,NA
2014-05-11,-0.20,14.30,0.00,NA,NA,NA,NA
2014-05-12,-1.10,7.80,0.00,NA,NA,NA,NA
2014-05-13,3.20,9.80,3.20,NA,NA,NA,NA
2014-05-14,0.90,7.30,0.00,NA,NA,NA,NA
2014-05-15,-1.00,4.60,0.00,NA,NA,NA,NA
2014-05-16,-1.70,2.30,4.20,NA,NA,NA,NA
2014-05-17,-1.50,12.10,0.00,NA,NA,NA,NA
2014-05-18,0.50,15.90,0.00,NA,NA,NA,NA
2014-05-19,4.20,19.60,0.00,NA,NA,NA,NA
2014-05-20,8.50,13.10,9.40,NA,NA,NA,NA
