Daily data for a single station.
StationID:  , CA006042MJ7
StationName:, "FLINT"
Lat&Long    , 48.350, -89.683
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-02-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-41.50,-21.00,0.00,NA,NA,NA,NA
2014-01-02,-43.00,-19.00,0.00,NA,NA,NA,NA
2014-01-03,-39.00,-2.00,10.00,NA,NA,NA,NA
2014-01-04,-14.00,-11.50,0.00,NA,NA,NA,NA
2014-01-05,-34.00,-22.50,0.00,NA,NA,NA,NA
2014-01-06,-34.00,-25.50,0.00,NA,NA,NA,NA
2014-01-07,-30.00,-20.00,0.00,NA,NA,NA,NA
2014-01-08,-28.50,-16.50,0.00,NA,NA,NA,NA
2014-01-09,-36.00,-5.00,0.00,NA,NA,NA,NA
2014-01-10,-11.00,-3.00,1.00,NA,NA,NA,NA
2014-01-11,-5.00,-1.00,0.00,NA,NA,NA,NA
2014-01-12,-8.00,1.50,2.00,NA,NA,NA,NA
2014-01-13,-5.00,-3.00,0.00,NA,NA,NA,NA
2014-01-14,-20.00,-9.00,0.00,NA,NA,NA,NA
2014-01-15,-26.00,-10.00,6.00,NA,NA,NA,NA
2014-01-16,-12.00,-3.50,4.00,NA,NA,NA,NA
2014-01-17,-18.50,-11.50,0.00,NA,NA,NA,NA
2014-01-18,-31.00,-6.50,0.00,NA,NA,NA,NA
2014-01-19,-14.00,-9.00,0.00,NA,NA,NA,NA
2014-01-20,-27.50,-19.50,0.00,NA,NA,NA,NA
2014-01-21,-36.00,-15.50,3.00,NA,NA,NA,NA
2014-01-22,-20.00,-17.00,0.00,NA,NA,NA,NA
2014-01-23,-35.00,-11.50,1.00,NA,NA,NA,NA
2014-01-24,-26.50,-5.50,2.00,NA,NA,NA,NA
2014-01-25,-24.00,-17.00,1.00,NA,NA,NA,NA
2014-01-26,-32.00,-17.00,0.00,NA,NA,NA,NA
2014-01-27,-29.00,-21.00,0.00,NA,NA,NA,NA
2014-01-28,-29.00,-18.50,0.00,NA,NA,NA,NA
2014-01-29,-23.50,-5.00,0.00,NA,NA,NA,NA
2014-01-30,-16.00,-14.00,0.00,NA,NA,NA,NA
2014-01-31,-32.00,-13.50,0.00,NA,NA,NA,NA
2014-02-01,-32.00,-11.00,1.00,NA,NA,NA,NA
2014-02-02,-34.00,-12.00,0.00,NA,NA,NA,NA
2014-02-03,-24.50,-9.00,0.00,NA,NA,NA,NA
2014-02-04,-30.00,-10.50,0.00,NA,NA,NA,NA
2014-02-05,-30.00,-12.50,0.00,NA,NA,NA,NA
2014-02-06,-25.00,-14.50,0.00,NA,NA,NA,NA
2014-02-07,-17.00,-11.00,0.00,NA,NA,NA,NA
2014-02-08,-34.00,-10.00,0.00,NA,NA,NA,NA
2014-02-09,-27.00,-13.00,0.00,NA,NA,NA,NA
2014-02-10,-28.00,-14.00,0.00,NA,NA,NA,NA
2014-02-11,-35.00,-9.00,1.00,NA,NA,NA,NA
2014-02-12,-13.50,-9.00,0.00,NA,NA,NA,NA
2014-02-13,-19.00,-8.00,29.00,NA,NA,NA,NA
2014-02-14,-25.00,-12.00,1.00,NA,NA,NA,NA
2014-02-15,-33.00,-14.00,6.00,NA,NA,NA,NA
2014-02-16,-36.00,-11.00,1.00,NA,NA,NA,NA
2014-02-17,-25.00,-6.50,7.00,NA,NA,NA,NA
2014-02-18,-19.00,0.00,0.00,NA,NA,NA,NA
2014-02-19,-19.50,1.50,0.00,NA,NA,NA,NA
2014-02-20,-10.50,-1.00,20.00,NA,NA,NA,NA
2014-02-21,-6.00,-5.00,2.00,NA,NA,NA,NA
2014-02-22,-16.00,-9.00,0.00,NA,NA,NA,NA
2014-02-23,-16.50,-12.00,0.00,NA,NA,NA,NA
2014-02-24,-19.50,-10.00,0.00,NA,NA,NA,NA
2014-02-25,-23.00,-15.00,0.00,NA,NA,NA,NA
2014-02-26,-26.00,-14.50,0.00,NA,NA,NA,NA
2014-02-27,-32.00,-19.00,0.00,NA,NA,NA,NA
2014-02-28,-38.00,-14.50,1.00,NA,NA,NA,NA
