Daily data for a single station.
StationID:  , CA006059D09
StationName:, "WAWA A"
Lat&Long    , 47.967, -84.783
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-10-01
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,NA,-25.30,0.00,NA,NA,NA,NA
2014-01-02,NA,-20.70,0.00,NA,NA,NA,NA
2014-01-03,NA,-8.20,NA,NA,NA,NA,NA
2014-01-04,NA,-2.70,NA,NA,NA,NA,NA
2014-01-05,NA,-13.90,NA,NA,NA,NA,NA
2014-01-06,NA,-22.30,0.00,NA,NA,NA,NA
2014-01-07,NA,-17.00,0.00,NA,NA,NA,NA
2014-01-08,NA,-11.10,0.00,NA,NA,NA,NA
2014-01-09,NA,-6.40,NA,NA,NA,NA,NA
2014-01-10,NA,-2.00,NA,NA,NA,NA,NA
2014-01-11,NA,-1.10,NA,NA,NA,NA,NA
2014-01-12,NA,0.80,NA,NA,NA,NA,NA
2014-01-13,NA,1.00,0.00,NA,NA,NA,NA
2014-01-14,NA,-5.00,0.00,NA,NA,NA,NA
2014-01-15,NA,-10.00,NA,NA,NA,NA,NA
2014-01-16,NA,-5.50,NA,NA,NA,NA,NA
2014-01-17,NA,-6.80,NA,NA,NA,NA,NA
2014-01-18,NA,-5.90,NA,NA,NA,NA,NA
2014-01-19,NA,-4.40,0.00,NA,NA,NA,NA
2014-01-20,NA,-21.00,0.00,NA,NA,NA,NA
2014-01-21,NA,-19.10,NA,NA,NA,NA,NA
2014-01-22,NA,-13.10,NA,NA,NA,NA,NA
2014-01-23,NA,-13.40,NA,NA,NA,NA,NA
2014-01-24,NA,-6.40,NA,NA,NA,NA,NA
2014-01-25,NA,-11.10,0.00,NA,NA,NA,NA
2014-01-26,NA,-17.70,NA,NA,NA,NA,NA
2014-01-27,NA,-23.30,0.00,NA,NA,NA,NA
2014-01-28,NA,-13.00,NA,NA,NA,NA,NA
2014-01-29,NA,-9.00,NA,NA,NA,NA,NA
2014-01-30,NA,-4.10,NA,NA,NA,NA,NA
2014-01-31,NA,-11.40,NA,NA,NA,NA,NA
2014-02-01,NA,-9.50,NA,NA,NA,NA,NA
2014-02-02,NA,-11.30,NA,NA,NA,NA,NA
2014-02-03,NA,-9.20,NA,NA,NA,NA,NA
2014-02-04,NA,-8.50,0.00,NA,NA,NA,NA
2014-02-05,NA,-12.80,0.00,NA,NA,NA,NA
2014-02-06,NA,-12.90,NA,NA,NA,NA,NA
2014-02-07,NA,-11.90,NA,NA,NA,NA,NA
2014-02-08,NA,-11.50,0.00,NA,NA,NA,NA
2014-02-09,NA,-10.90,0.00,NA,NA,NA,NA
2014-02-10,NA,-15.00,0.00,NA,NA,NA,NA
2014-02-11,NA,-13.00,NA,NA,NA,NA,NA
2014-02-12,NA,-8.90,NA,NA,NA,NA,NA
2014-02-13,NA,-5.40,NA,NA,NA,NA,NA
2014-02-14,NA,-9.20,NA,NA,NA,NA,NA
2014-02-15,NA,-11.00,0.00,NA,NA,NA,NA
2014-02-16,NA,-12.00,0.00,NA,NA,NA,NA
2014-02-17,NA,-7.00,NA,NA,NA,NA,NA
2014-02-18,NA,-3.10,NA,NA,NA,NA,NA
2014-02-19,NA,-2.00,0.00,NA,NA,NA,NA
2014-02-20,NA,3.80,NA,NA,NA,NA,NA
2014-02-21,NA,2.20,NA,NA,NA,NA,NA
2014-02-22,NA,-9.20,NA,NA,NA,NA,NA
2014-02-23,NA,-11.80,NA,NA,NA,NA,NA
2014-02-24,NA,-14.30,NA,NA,NA,NA,NA
2014-02-25,NA,-12.30,NA,NA,NA,NA,NA
