Daily data for a single station.
StationID:  , CA006061361
StationName:, "CHAPLEAU A"
Lat&Long    , 47.817, -83.350
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-03-11
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-39.00,-25.40,0.00,NA,NA,NA,NA
2014-01-02,-41.20,-22.30,0.00,NA,NA,NA,NA
2014-01-03,-40.40,-11.50,0.20,NA,NA,NA,NA
2014-01-04,-15.00,-5.30,1.00,NA,NA,NA,NA
2014-01-05,-22.00,-13.00,0.20,NA,NA,NA,NA
2014-01-06,-29.00,-22.00,0.00,NA,NA,NA,NA
2014-01-07,-32.20,-18.70,0.00,NA,NA,NA,NA
2014-01-08,-23.30,-10.10,0.20,NA,NA,NA,NA
2014-01-09,-25.80,-9.70,0.00,NA,NA,NA,NA
2014-01-10,-10.00,-3.00,3.00,NA,NA,NA,NA
2014-01-11,-3.00,-0.40,5.40,NA,NA,NA,NA
2014-01-12,-5.50,-1.00,0.00,NA,NA,NA,NA
2014-01-13,-5.00,0.70,0.00,NA,NA,NA,NA
2014-01-14,-17.00,-5.00,0.60,NA,NA,NA,NA
2014-01-15,-21.00,-14.00,0.80,NA,NA,NA,NA
2014-01-16,-14.00,-6.00,1.20,NA,NA,NA,NA
2014-01-17,-21.00,-6.00,2.80,NA,NA,NA,NA
2014-01-18,-29.30,-10.50,0.00,NA,NA,NA,NA
2014-01-19,-24.00,-9.20,2.20,NA,NA,NA,NA
2014-01-20,-32.00,-22.40,0.00,NA,NA,NA,NA
2014-01-21,-35.70,-21.80,0.00,NA,NA,NA,NA
2014-01-22,-32.00,-16.30,0.60,NA,NA,NA,NA
2014-01-23,-30.90,-17.80,0.00,NA,NA,NA,NA
2014-01-24,-28.00,-12.10,2.40,NA,NA,NA,NA
2014-01-25,-31.00,-14.00,2.00,NA,NA,NA,NA
2014-01-26,-34.10,-19.40,1.00,NA,NA,NA,NA
2014-01-27,-30.60,-23.50,0.00,NA,NA,NA,NA
2014-01-28,-30.40,-15.50,1.20,NA,NA,NA,NA
2014-01-29,-22.10,-7.80,1.00,NA,NA,NA,NA
2014-01-30,-14.00,-4.20,5.20,NA,NA,NA,NA
2014-01-31,-22.50,-11.50,0.60,NA,NA,NA,NA
2014-02-01,-19.90,-9.40,0.20,NA,NA,NA,NA
2014-02-02,-24.20,-11.00,0.60,NA,NA,NA,NA
2014-02-03,-17.00,-10.30,0.40,NA,NA,NA,NA
2014-02-04,-21.10,-9.50,0.00,NA,NA,NA,NA
2014-02-05,-25.20,-14.20,0.00,NA,NA,NA,NA
2014-02-06,-21.20,-11.60,0.20,NA,NA,NA,NA
2014-02-07,-17.00,-13.20,0.20,NA,NA,NA,NA
2014-02-08,-24.50,-11.80,0.20,NA,NA,NA,NA
