Daily data for a single station.
StationID:  , CA006085700
StationName:, "NORTH BAY A"
Lat&Long    , 46.367, -79.417
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-05-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-29.50,-13.70,0.30,NA,NA,NA,NA
2014-01-02,NA,NA,0.00,NA,NA,NA,NA
2014-01-03,NA,NA,0.00,NA,NA,NA,NA
2014-01-04,NA,NA,0.50,NA,NA,NA,NA
2014-01-05,NA,NA,1.50,NA,NA,NA,NA
2014-01-06,NA,NA,13.50,NA,NA,NA,NA
2014-01-07,-23.60,-10.10,1.80,NA,NA,NA,NA
2014-01-08,NA,NA,0.00,NA,NA,NA,NA
2014-01-09,NA,NA,0.50,NA,NA,NA,NA
2014-01-10,NA,NA,0.00,NA,NA,NA,NA
2014-01-11,NA,NA,18.80,NA,NA,NA,NA
2014-01-12,-2.00,3.10,13.20,NA,NA,NA,NA
2014-01-13,NA,NA,0.00,NA,NA,NA,NA
2014-01-14,NA,NA,5.80,NA,NA,NA,NA
2014-01-15,NA,NA,10.70,NA,NA,NA,NA
2014-01-16,-14.80,-3.00,1.00,NA,NA,NA,NA
2014-01-17,NA,NA,4.30,NA,NA,NA,NA
2014-01-18,NA,NA,5.60,NA,NA,NA,NA
2014-01-19,-14.50,-3.80,7.10,NA,NA,NA,NA
2014-01-20,NA,NA,1.50,NA,NA,NA,NA
2014-01-21,-35.00,-19.10,0.00,NA,NA,NA,NA
2014-01-22,NA,NA,0.00,NA,NA,NA,NA
2014-01-23,NA,NA,0.00,NA,NA,NA,NA
2014-01-24,NA,NA,0.30,NA,NA,NA,NA
2014-01-25,NA,NA,5.10,NA,NA,NA,NA
2014-01-26,NA,NA,0.00,NA,NA,NA,NA
2014-01-27,NA,NA,4.30,NA,NA,NA,NA
2014-01-28,-28.30,-15.00,0.00,NA,NA,NA,NA
2014-01-29,NA,NA,4.30,NA,NA,NA,NA
2014-01-30,NA,NA,0.00,NA,NA,NA,NA
2014-01-31,-12.90,-5.00,2.00,NA,NA,NA,NA
2014-02-01,-13.10,-5.00,0.00,NA,NA,NA,NA
2014-02-02,-13.10,-5.70,5.60,NA,NA,NA,NA
2014-02-03,-20.30,-6.20,0.50,NA,NA,NA,NA
2014-02-04,NA,NA,0.50,NA,NA,NA,NA
2014-02-05,-17.10,-7.40,0.30,NA,NA,NA,NA
2014-02-06,NA,NA,0.00,NA,NA,NA,NA
2014-02-07,NA,NA,0.30,NA,NA,NA,NA
2014-02-08,NA,NA,0.00,NA,NA,NA,NA
2014-02-09,-17.50,-9.20,0.00,NA,NA,NA,NA
2014-02-10,-22.90,-10.40,0.50,NA,NA,NA,NA
2014-02-11,-29.10,-11.80,0.50,NA,NA,NA,NA
2014-02-12,NA,NA,0.00,NA,NA,NA,NA
2014-02-13,NA,NA,0.50,NA,NA,NA,NA
2014-02-14,NA,NA,0.00,NA,NA,NA,NA
2014-02-15,-17.50,-6.30,0.50,NA,NA,NA,NA
2014-02-16,-22.70,-11.70,0.00,NA,NA,NA,NA
2014-02-17,NA,NA,0.00,NA,NA,NA,NA
2014-02-18,NA,NA,1.80,NA,NA,NA,NA
2014-02-19,NA,NA,0.00,NA,NA,NA,NA
2014-02-20,NA,NA,0.00,NA,NA,NA,NA
2014-02-21,NA,NA,13.00,NA,NA,NA,NA
2014-02-22,-7.00,0.90,8.40,NA,NA,NA,NA
2014-02-23,-10.60,-3.80,0.80,NA,NA,NA,NA
2014-02-24,-17.50,-7.40,0.00,NA,NA,NA,NA
2014-02-25,NA,NA,0.00,NA,NA,NA,NA
2014-02-26,-21.30,-11.30,2.30,NA,NA,NA,NA
2014-02-27,-20.70,-14.90,0.50,NA,NA,NA,NA
2014-02-28,-33.70,-14.90,0.30,NA,NA,NA,NA
2014-03-01,NA,NA,5.10,NA,NA,NA,NA
2014-03-02,-28.00,-8.80,0.50,NA,NA,NA,NA
2014-03-03,-28.00,-14.20,0.00,NA,NA,NA,NA
2014-03-04,NA,NA,0.30,NA,NA,NA,NA
2014-03-05,NA,NA,2.80,NA,NA,NA,NA
2014-03-06,NA,NA,0.00,NA,NA,NA,NA
2014-03-07,NA,NA,0.00,NA,NA,NA,NA
2014-03-08,-14.50,0.30,3.60,NA,NA,NA,NA
2014-03-09,NA,NA,0.00,NA,NA,NA,NA
2014-03-10,NA,NA,9.40,NA,NA,NA,NA
2014-03-11,-5.80,0.50,3.80,NA,NA,NA,NA
2014-03-12,-19.00,0.50,0.00,NA,NA,NA,NA
2014-03-13,-25.30,-6.10,0.00,NA,NA,NA,NA
2014-03-14,NA,NA,0.50,NA,NA,NA,NA
2014-03-15,NA,NA,13.00,NA,NA,NA,NA
2014-03-16,-24.50,-5.00,0.50,NA,NA,NA,NA
2014-03-17,NA,NA,0.00,NA,NA,NA,NA
2014-03-18,NA,NA,0.00,NA,NA,NA,NA
2014-03-19,-13.70,0.90,0.50,NA,NA,NA,NA
2014-03-20,NA,NA,16.00,NA,NA,NA,NA
2014-03-21,-11.10,0.80,4.30,NA,NA,NA,NA
2014-03-22,NA,NA,0.80,NA,NA,NA,NA
2014-03-23,NA,NA,4.30,NA,NA,NA,NA
2014-03-24,NA,NA,0.00,NA,NA,NA,NA
2014-03-25,NA,NA,2.30,NA,NA,NA,NA
2014-03-26,-24.00,-6.10,1.30,NA,NA,NA,NA
2014-03-27,NA,NA,6.60,NA,NA,NA,NA
2014-03-28,NA,NA,15.50,NA,NA,NA,NA
2014-03-29,-7.20,2.20,0.00,NA,NA,NA,NA
2014-03-30,-9.20,4.30,0.00,NA,NA,NA,NA
2014-03-31,NA,NA,0.00,NA,NA,NA,NA
2014-04-01,NA,NA,0.00,NA,NA,NA,NA
2014-04-02,-7.00,6.60,2.30,NA,NA,NA,NA
2014-04-03,NA,NA,0.00,NA,NA,NA,NA
2014-04-04,-5.00,4.50,0.00,NA,NA,NA,NA
2014-04-05,-6.40,1.40,21.10,NA,NA,NA,NA
2014-04-06,NA,NA,0.00,NA,NA,NA,NA
2014-04-07,NA,NA,0.00,NA,NA,NA,NA
2014-04-08,-2.90,11.90,3.30,NA,NA,NA,NA
2014-04-09,NA,NA,0.00,NA,NA,NA,NA
2014-04-10,-6.80,7.80,0.00,NA,NA,NA,NA
2014-04-11,NA,NA,3.60,NA,NA,NA,NA
2014-04-12,-1.30,7.90,0.00,NA,NA,NA,NA
2014-04-13,-1.00,6.10,2.80,NA,NA,NA,NA
2014-04-14,NA,NA,33.80,NA,NA,NA,NA
2014-04-15,NA,NA,6.60,NA,NA,NA,NA
2014-04-16,NA,NA,0.30,NA,NA,NA,NA
2014-04-17,NA,NA,0.00,NA,NA,NA,NA
2014-04-18,NA,NA,0.00,NA,NA,NA,NA
2014-04-19,NA,NA,0.00,NA,NA,NA,NA
2014-04-20,NA,NA,0.00,NA,NA,NA,NA
2014-04-21,1.30,12.40,0.00,NA,NA,NA,NA
2014-04-22,4.20,11.60,1.30,NA,NA,NA,NA
2014-04-23,NA,NA,2.30,NA,NA,NA,NA
2014-04-24,NA,NA,0.00,NA,NA,NA,NA
2014-04-25,-3.80,8.40,0.00,NA,NA,NA,NA
2014-04-26,NA,NA,2.00,NA,NA,NA,NA
2014-04-27,NA,NA,0.00,NA,NA,NA,NA
2014-04-28,NA,NA,0.00,NA,NA,NA,NA
2014-04-29,-1.10,12.60,2.50,NA,NA,NA,NA
2014-04-30,4.90,8.40,11.70,NA,NA,NA,NA
2014-05-01,4.90,8.20,12.70,NA,NA,NA,NA
2014-05-02,3.00,8.40,1.00,NA,NA,NA,NA
2014-05-03,NA,NA,6.10,NA,NA,NA,NA
2014-05-04,3.10,10.80,0.80,NA,NA,NA,NA
2014-05-05,NA,NA,0.00,NA,NA,NA,NA
2014-05-06,-0.90,11.20,0.00,NA,NA,NA,NA
2014-05-07,NA,NA,0.00,NA,NA,NA,NA
2014-05-08,-1.60,18.10,0.00,NA,NA,NA,NA
2014-05-09,NA,NA,21.10,NA,NA,NA,NA
2014-05-10,7.00,20.10,6.40,NA,NA,NA,NA
2014-05-11,NA,NA,0.00,NA,NA,NA,NA
2014-05-12,2.20,19.20,0.00,NA,NA,NA,NA
2014-05-13,NA,NA,9.40,NA,NA,NA,NA
2014-05-14,NA,NA,6.10,NA,NA,NA,NA
2014-05-15,NA,NA,11.70,NA,NA,NA,NA
2014-05-16,NA,NA,8.40,NA,NA,NA,NA
2014-05-17,NA,NA,0.80,NA,NA,NA,NA
2014-05-18,NA,NA,0.00,NA,NA,NA,NA
2014-05-19,NA,NA,0.00,NA,NA,NA,NA
2014-05-20,4.90,21.00,0.00,NA,NA,NA,NA
2014-05-21,4.90,21.60,0.00,NA,NA,NA,NA
2014-05-22,NA,NA,2.30,NA,NA,NA,NA
2014-05-23,9.50,21.00,6.60,NA,NA,NA,NA
2014-05-24,NA,NA,0.30,NA,NA,NA,NA
2014-05-25,10.30,24.00,0.00,NA,NA,NA,NA
2014-05-26,NA,NA,3.00,NA,NA,NA,NA
2014-05-27,12.60,25.80,0.00,NA,NA,NA,NA
2014-05-28,NA,NA,0.00,NA,NA,NA,NA
2014-05-29,NA,NA,0.00,NA,NA,NA,NA
2014-05-30,NA,NA,0.00,NA,NA,NA,NA
2014-05-31,NA,NA,0.00,NA,NA,NA,NA
2014-06-01,NA,NA,0.00,NA,NA,NA,NA
2014-06-02,NA,NA,0.80,NA,NA,NA,NA
2014-06-03,NA,NA,13.20,NA,NA,NA,NA
2014-06-04,10.00,22.30,0.00,NA,NA,NA,NA
2014-06-05,NA,NA,0.00,NA,NA,NA,NA
2014-06-06,NA,NA,0.00,NA,NA,NA,NA
2014-06-07,NA,NA,0.00,NA,NA,NA,NA
2014-06-08,9.60,25.30,0.00,NA,NA,NA,NA
2014-06-09,NA,NA,0.00,NA,NA,NA,NA
2014-06-10,NA,NA,0.00,NA,NA,NA,NA
2014-06-11,14.10,26.20,2.50,NA,NA,NA,NA
2014-06-12,NA,NA,62.50,NA,NA,NA,NA
2014-06-13,NA,NA,2.30,NA,NA,NA,NA
2014-06-14,NA,NA,0.00,NA,NA,NA,NA
2014-06-15,NA,NA,0.00,NA,NA,NA,NA
2014-06-16,NA,NA,7.90,NA,NA,NA,NA
2014-06-17,12.30,24.40,0.80,NA,NA,NA,NA
2014-06-18,12.60,24.10,43.90,NA,NA,NA,NA
2014-06-19,NA,NA,0.00,NA,NA,NA,NA
2014-06-20,4.60,20.60,0.00,NA,NA,NA,NA
2014-06-21,NA,NA,0.00,NA,NA,NA,NA
2014-06-22,NA,NA,0.00,NA,NA,NA,NA
2014-06-23,7.70,24.70,0.00,NA,NA,NA,NA
2014-06-24,12.30,24.60,2.00,NA,NA,NA,NA
2014-06-25,NA,NA,20.30,NA,NA,NA,NA
2014-06-26,NA,NA,0.00,NA,NA,NA,NA
2014-06-27,NA,NA,0.00,NA,NA,NA,NA
2014-06-28,NA,NA,0.00,NA,NA,NA,NA
2014-06-29,NA,NA,0.00,NA,NA,NA,NA
2014-06-30,19.10,30.60,40.10,NA,NA,NA,NA
2014-07-01,19.30,25.50,5.80,NA,NA,NA,NA
2014-07-02,16.70,24.20,0.30,NA,NA,NA,NA
2014-07-03,NA,NA,2.50,NA,NA,NA,NA
2014-07-04,NA,NA,2.50,NA,NA,NA,NA
2014-07-05,NA,NA,4.80,NA,NA,NA,NA
2014-07-06,9.10,24.10,0.00,NA,NA,NA,NA
2014-07-07,15.70,23.50,21.30,NA,NA,NA,NA
2014-07-08,15.40,22.90,15.00,NA,NA,NA,NA
2014-07-09,NA,NA,22.40,NA,NA,NA,NA
2014-07-10,NA,NA,2.50,NA,NA,NA,NA
2014-07-11,NA,NA,0.00,NA,NA,NA,NA
2014-07-12,9.30,22.60,0.00,NA,NA,NA,NA
2014-07-13,13.40,24.60,49.30,NA,NA,NA,NA
2014-07-14,10.50,24.00,0.00,NA,NA,NA,NA
2014-07-15,10.50,22.80,8.40,NA,NA,NA,NA
2014-07-16,10.80,19.80,45.70,NA,NA,NA,NA
2014-07-17,NA,NA,0.00,NA,NA,NA,NA
2014-07-18,NA,NA,0.00,NA,NA,NA,NA
