Daily data for a single station.
StationID:  , CA006097426
StationName:, "SANDFIELD"
Lat&Long    , 45.683, -81.983
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2018-05-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-24.00,-22.00,0.00,NA,NA,NA,NA
2014-01-02,-25.00,-22.00,0.00,NA,NA,NA,NA
2014-01-03,-32.00,-3.00,5.00,NA,NA,NA,NA
2014-01-04,-13.00,-1.00,1.00,NA,NA,NA,NA
2014-01-05,-7.00,-6.00,10.00,NA,NA,NA,NA
2014-01-06,-15.00,-12.00,10.00,NA,NA,NA,NA
2014-01-07,-17.00,-10.00,7.00,NA,NA,NA,NA
2014-01-08,-17.00,-8.00,3.00,NA,NA,NA,NA
2014-01-09,-15.00,-1.00,0.00,NA,NA,NA,NA
2014-01-10,-7.00,3.00,21.80,NA,NA,NA,NA
2014-01-11,1.00,3.00,7.40,NA,NA,NA,NA
2014-01-12,0.00,2.00,0.00,NA,NA,NA,NA
2014-01-13,1.00,3.00,3.60,NA,NA,NA,NA
2014-01-14,-3.00,1.00,10.00,NA,NA,NA,NA
2014-01-15,-6.00,-4.00,1.00,NA,NA,NA,NA
2014-01-16,-11.00,-2.00,19.00,NA,NA,NA,NA
2014-01-17,-4.00,1.00,2.00,NA,NA,NA,NA
2014-01-18,-10.00,-6.00,4.00,NA,NA,NA,NA
2014-01-19,-16.00,-6.00,2.00,NA,NA,NA,NA
2014-01-20,-24.00,-18.00,0.00,NA,NA,NA,NA
2014-01-21,-29.00,-21.00,0.00,NA,NA,NA,NA
2014-01-22,-30.00,-17.00,0.00,NA,NA,NA,NA
2014-01-23,-26.00,-12.00,2.00,NA,NA,NA,NA
2014-01-24,-28.00,-9.00,11.00,NA,NA,NA,NA
2014-01-25,-22.00,-9.00,0.00,NA,NA,NA,NA
2014-01-26,-30.00,-13.00,9.00,NA,NA,NA,NA
2014-01-27,-24.00,-14.00,3.00,NA,NA,NA,NA
2014-01-28,-20.00,-12.00,8.00,NA,NA,NA,NA
2014-01-29,-14.00,-5.00,5.00,NA,NA,NA,NA
2014-01-30,-10.00,-3.00,5.00,NA,NA,NA,NA
2014-01-31,-10.00,-8.00,0.00,NA,NA,NA,NA
2014-02-01,-24.00,-7.00,5.00,NA,NA,NA,NA
2014-02-02,-14.00,-6.00,0.00,NA,NA,NA,NA
2014-02-03,-26.00,-7.00,0.00,NA,NA,NA,NA
2014-02-04,-20.00,-3.00,0.00,NA,NA,NA,NA
2014-02-05,-12.00,-10.00,0.00,NA,NA,NA,NA
2014-02-06,-23.00,-10.00,4.00,NA,NA,NA,NA
2014-02-07,-12.00,-10.00,2.00,NA,NA,NA,NA
2014-02-08,-18.00,-8.00,0.00,NA,NA,NA,NA
2014-02-09,-18.00,-8.00,2.00,NA,NA,NA,NA
2014-02-10,-19.00,-13.00,0.00,NA,NA,NA,NA
2014-02-11,-28.00,-12.00,0.00,NA,NA,NA,NA
2014-02-12,-20.00,-8.00,4.00,NA,NA,NA,NA
2014-02-13,-10.00,-5.00,1.00,NA,NA,NA,NA
2014-02-14,-8.00,-4.00,2.00,NA,NA,NA,NA
2014-02-15,-19.00,-10.00,1.00,NA,NA,NA,NA
2014-02-16,-20.00,-11.00,0.00,NA,NA,NA,NA
2014-02-17,-29.00,-8.00,10.00,NA,NA,NA,NA
2014-02-18,-10.00,-3.00,1.00,NA,NA,NA,NA
2014-02-19,-10.00,0.00,0.00,NA,NA,NA,NA
2014-02-20,-15.00,3.00,3.00,NA,NA,NA,NA
2014-02-21,0.00,3.00,6.00,NA,NA,NA,NA
2014-02-22,-8.00,-6.00,5.00,NA,NA,NA,NA
2014-02-23,-9.00,-8.00,1.00,NA,NA,NA,NA
2014-02-24,-19.00,-10.00,0.00,NA,NA,NA,NA
2014-02-25,-25.00,-8.00,5.00,NA,NA,NA,NA
2014-02-26,-20.00,-13.00,4.00,NA,NA,NA,NA
2014-02-27,-20.00,-16.00,0.00,NA,NA,NA,NA
2014-02-28,-34.00,-9.00,13.00,NA,NA,NA,NA
2014-03-01,-34.00,-8.00,1.00,NA,NA,NA,NA
2014-03-02,-29.00,-13.50,0.00,NA,NA,NA,NA
2014-03-03,-30.00,-12.00,1.00,NA,NA,NA,NA
2014-03-04,-19.00,-8.00,3.00,NA,NA,NA,NA
2014-03-05,-20.00,-10.00,0.00,NA,NA,NA,NA
2014-03-06,-30.00,-5.00,0.00,NA,NA,NA,NA
2014-03-07,-14.00,0.00,0.00,NA,NA,NA,NA
2014-03-08,-6.50,-4.00,0.00,NA,NA,NA,NA
2014-03-09,-18.00,-2.00,3.00,NA,NA,NA,NA
2014-03-10,-6.00,4.00,0.00,NA,NA,NA,NA
2014-03-11,-4.00,6.00,0.00,NA,NA,NA,NA
2014-03-12,-17.00,-11.50,0.00,NA,NA,NA,NA
2014-03-13,-25.00,-4.00,0.00,NA,NA,NA,NA
2014-03-14,-9.00,3.00,5.60,NA,NA,NA,NA
2014-03-15,-6.00,-5.00,0.00,NA,NA,NA,NA
2014-03-16,-23.00,-11.00,0.00,NA,NA,NA,NA
2014-03-17,-25.00,-6.50,0.00,NA,NA,NA,NA
2014-03-18,-9.00,0.00,0.00,NA,NA,NA,NA
2014-03-19,-2.00,0.50,17.00,NA,NA,NA,NA
2014-03-20,-1.50,0.00,0.00,NA,NA,NA,NA
2014-03-21,-15.00,2.50,4.00,NA,NA,NA,NA
2014-03-22,-5.00,0.00,0.00,NA,NA,NA,NA
2014-03-23,-23.00,-7.00,0.00,NA,NA,NA,NA
2014-03-24,-23.00,-6.00,1.00,NA,NA,NA,NA
2014-03-25,-24.00,-4.00,0.00,NA,NA,NA,NA
2014-03-26,-23.00,-5.00,2.00,NA,NA,NA,NA
2014-03-27,-6.00,2.00,20.40,NA,NA,NA,NA
2014-03-28,-0.50,3.50,8.20,NA,NA,NA,NA
2014-03-29,-4.00,1.00,0.00,NA,NA,NA,NA
2014-03-30,-10.00,4.00,0.00,NA,NA,NA,NA
2014-03-31,-10.00,8.00,0.00,NA,NA,NA,NA
2014-04-01,4.00,5.00,1.40,NA,NA,NA,NA
2014-04-02,-7.00,0.50,0.00,NA,NA,NA,NA
2014-04-03,-10.00,3.00,0.00,NA,NA,NA,NA
2014-04-04,1.00,1.50,20.60,NA,NA,NA,NA
2014-04-05,-6.00,0.00,0.00,NA,NA,NA,NA
2014-04-06,-6.00,7.00,0.00,NA,NA,NA,NA
2014-04-07,-2.00,11.00,0.00,NA,NA,NA,NA
2014-04-08,-1.00,11.50,0.00,NA,NA,NA,NA
2014-04-09,-4.00,7.00,0.00,NA,NA,NA,NA
2014-04-10,4.00,8.00,2.00,NA,NA,NA,NA
2014-04-11,-3.00,10.00,0.00,NA,NA,NA,NA
2014-04-12,-1.00,7.00,4.40,NA,NA,NA,NA
