Daily data for a single station.
StationID:  , CA006102J13
StationName:, "DRUMMOND CENTRE"
Lat&Long    , 45.033, -76.250
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-23.00,-18.00,0.00,NA,NA,NA,NA
2014-01-02,-27.00,-22.50,0.60,NA,NA,NA,NA
2014-01-03,-28.00,-12.50,0.00,NA,NA,NA,NA
2014-01-04,-27.00,-0.50,2.40,NA,NA,NA,NA
2014-01-05,-3.00,5.50,3.40,NA,NA,NA,NA
2014-01-06,-7.00,4.00,1.60,NA,NA,NA,NA
2014-01-07,-16.50,-14.50,0.00,NA,NA,NA,NA
2014-01-08,-16.50,-9.00,0.00,NA,NA,NA,NA
2014-01-09,-16.50,-6.50,3.20,NA,NA,NA,NA
2014-01-10,-13.50,1.00,1.20,NA,NA,NA,NA
2014-01-11,-1.00,7.50,8.20,NA,NA,NA,NA
2014-01-12,1.50,3.00,0.00,NA,NA,NA,NA
2014-01-13,-2.00,7.00,2.80,NA,NA,NA,NA
2014-01-14,0.00,5.00,0.00,NA,NA,NA,NA
2014-01-15,-7.50,2.00,0.00,NA,NA,NA,NA
2014-01-16,-9.50,-1.00,0.00,NA,NA,NA,NA
2014-01-17,-5.00,0.50,1.20,NA,NA,NA,NA
2014-01-18,-12.50,-1.00,3.00,NA,NA,NA,NA
2014-01-19,-7.00,-3.00,7.80,NA,NA,NA,NA
2014-01-20,-19.50,-14.50,0.00,NA,NA,NA,NA
2014-01-21,-31.00,-20.50,0.00,NA,NA,NA,NA
2014-01-22,-32.50,-17.50,0.00,NA,NA,NA,NA
2014-01-23,-26.50,-17.50,0.00,NA,NA,NA,NA
2014-01-24,-29.00,-7.00,1.80,NA,NA,NA,NA
2014-01-25,-9.50,-4.00,4.60,NA,NA,NA,NA
2014-01-26,-29.00,-8.50,14.40,NA,NA,NA,NA
2014-01-27,-15.50,-7.50,0.00,NA,NA,NA,NA
2014-01-28,-26.50,-10.50,0.00,NA,NA,NA,NA
2014-01-29,-17.50,-10.50,0.00,NA,NA,NA,NA
2014-01-30,-19.50,-2.00,0.00,NA,NA,NA,NA
2014-01-31,-5.50,1.50,0.00,NA,NA,NA,NA
2014-02-01,-17.00,0.00,15.60,NA,NA,NA,NA
2014-02-02,-6.00,-1.00,0.00,NA,NA,NA,NA
2014-02-03,-16.00,-4.50,0.00,NA,NA,NA,NA
2014-02-04,-17.50,-5.00,0.20,NA,NA,NA,NA
2014-02-05,-11.00,-8.50,5.80,NA,NA,NA,NA
2014-02-06,-24.00,-7.00,0.00,NA,NA,NA,NA
2014-02-07,-12.00,-7.00,0.00,NA,NA,NA,NA
2014-02-08,-15.00,-5.00,0.00,NA,NA,NA,NA
2014-02-09,-15.50,-7.00,0.80,NA,NA,NA,NA
2014-02-10,-20.50,-6.50,0.00,NA,NA,NA,NA
2014-02-11,-21.00,-9.00,0.00,NA,NA,NA,NA
2014-02-12,-31.00,-6.50,0.00,NA,NA,NA,NA
2014-02-13,-21.00,-5.00,6.20,NA,NA,NA,NA
2014-02-14,-8.00,-4.00,1.80,NA,NA,NA,NA
2014-02-15,-11.50,-3.00,0.00,NA,NA,NA,NA
2014-02-16,-17.50,-7.50,0.00,NA,NA,NA,NA
2014-02-17,-21.50,-7.00,5.20,NA,NA,NA,NA
2014-02-18,-19.50,-2.50,1.60,NA,NA,NA,NA
2014-02-19,-7.00,5.50,0.00,NA,NA,NA,NA
2014-02-20,-9.50,2.50,7.20,NA,NA,NA,NA
2014-02-21,-1.50,4.50,12.40,NA,NA,NA,NA
2014-02-22,-1.00,6.00,0.00,NA,NA,NA,NA
2014-02-23,-9.50,2.00,0.00,NA,NA,NA,NA
2014-02-24,-9.50,-5.00,0.00,NA,NA,NA,NA
2014-02-25,-17.00,-7.00,0.00,NA,NA,NA,NA
2014-02-26,-15.00,-9.00,1.60,NA,NA,NA,NA
2014-02-27,-19.00,-7.50,1.00,NA,NA,NA,NA
2014-02-28,-21.50,-10.00,2.40,NA,NA,NA,NA
2014-03-01,-20.00,-1.50,4.00,NA,NA,NA,NA
2014-03-02,-12.50,-8.50,0.00,NA,NA,NA,NA
2014-03-03,-23.50,-10.50,0.00,NA,NA,NA,NA
2014-03-04,-23.00,-8.00,1.40,NA,NA,NA,NA
2014-03-05,-17.50,-7.00,0.00,NA,NA,NA,NA
2014-03-06,-28.00,-5.00,0.00,NA,NA,NA,NA
2014-03-07,-25.50,2.00,0.00,NA,NA,NA,NA
2014-03-08,-2.50,1.00,0.00,NA,NA,NA,NA
2014-03-09,-17.00,0.00,6.60,NA,NA,NA,NA
2014-03-10,-5.50,4.50,1.80,NA,NA,NA,NA
2014-03-11,0.50,8.50,0.00,NA,NA,NA,NA
2014-03-12,-11.50,-3.00,16.80,NA,NA,NA,NA
2014-03-13,-18.50,-7.00,0.00,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,NA,NA
2014-03-15,-1.00,3.50,0.00,NA,NA,NA,NA
2014-03-16,-15.50,-7.50,0.00,NA,NA,NA,NA
2014-03-17,-24.00,-4.50,0.00,NA,NA,NA,NA
2014-03-18,-18.50,0.50,0.00,NA,NA,NA,NA
2014-03-19,-8.50,3.00,12.00,NA,NA,NA,NA
2014-03-20,-0.50,3.50,1.00,NA,NA,NA,NA
2014-03-21,-2.00,5.50,2.00,NA,NA,NA,NA
2014-03-22,-6.50,2.50,8.40,NA,NA,NA,NA
