Daily data for a single station.
StationID:  , CA006104027
StationName:, "KEMPTVILLE CS"
Lat&Long    , 45.000, -75.633
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-25.90,-16.70,0.00,NA,NA,NA,NA
2014-01-02,-26.40,-23.10,1.30,NA,NA,NA,NA
2014-01-03,-27.10,-20.60,0.20,NA,NA,NA,NA
2014-01-04,-23.70,-1.40,0.00,NA,NA,NA,NA
2014-01-05,-4.50,-0.10,6.40,NA,NA,NA,NA
2014-01-06,-12.30,6.60,19.40,NA,NA,NA,NA
2014-01-07,-16.50,-12.10,0.00,NA,NA,NA,NA
2014-01-08,-15.80,-8.40,0.00,NA,NA,NA,NA
2014-01-09,-13.70,-6.50,0.00,NA,NA,NA,NA
2014-01-10,-12.70,0.10,2.00,NA,NA,NA,NA
2014-01-11,-2.50,8.50,11.00,NA,NA,NA,NA
2014-01-12,0.20,3.60,0.00,NA,NA,NA,NA
2014-01-13,-1.50,7.20,1.40,NA,NA,NA,NA
2014-01-14,-5.40,5.30,1.80,NA,NA,NA,NA
2014-01-15,-7.50,1.50,0.40,NA,NA,NA,NA
2014-01-16,-5.80,-0.40,0.00,NA,NA,NA,NA
2014-01-17,-5.30,0.40,0.20,NA,NA,NA,NA
2014-01-18,-10.30,-2.10,1.50,NA,NA,NA,NA
2014-01-19,-9.10,-1.90,1.30,NA,NA,NA,NA
2014-01-20,-23.50,-9.10,1.20,NA,NA,NA,NA
2014-01-21,-29.20,-20.40,0.20,NA,NA,NA,NA
2014-01-22,-29.60,-17.90,0.00,NA,NA,NA,NA
2014-01-23,-25.10,-18.20,0.00,NA,NA,NA,NA
2014-01-24,-26.90,-7.70,0.00,NA,NA,NA,NA
2014-01-25,-20.10,-4.60,3.00,NA,NA,NA,NA
2014-01-26,-27.70,-13.70,0.90,NA,NA,NA,NA
2014-01-27,-19.60,-6.60,3.90,NA,NA,NA,NA
2014-01-28,-22.70,-10.00,0.20,NA,NA,NA,NA
2014-01-29,-15.20,-10.30,0.20,NA,NA,NA,NA
2014-01-30,-16.00,-2.80,0.00,NA,NA,NA,NA
2014-01-31,-9.10,1.00,0.00,NA,NA,NA,NA
2014-02-01,-15.00,0.60,12.50,NA,NA,NA,NA
2014-02-02,-6.70,0.50,2.30,NA,NA,NA,NA
2014-02-03,-13.60,-5.10,1.50,NA,NA,NA,NA
2014-02-04,-14.60,-5.30,0.00,NA,NA,NA,NA
2014-02-05,-18.40,-8.60,6.00,NA,NA,NA,NA
2014-02-06,-23.60,-8.10,NA,NA,NA,NA,NA
2014-02-07,-13.80,-8.00,0.00,NA,NA,NA,NA
2014-02-08,-13.40,-5.50,0.00,NA,NA,NA,NA
2014-02-09,-13.90,-6.70,1.10,NA,NA,NA,NA
2014-02-10,-17.10,-6.40,0.00,NA,NA,NA,NA
2014-02-11,-26.10,-10.90,0.20,NA,NA,NA,NA
2014-02-12,NA,NA,NA,NA,NA,NA,NA
2014-02-13,NA,NA,NA,NA,NA,NA,NA
2014-02-14,-10.90,-4.70,NA,NA,NA,NA,NA
2014-02-15,-13.60,-4.00,0.00,NA,NA,NA,NA
2014-02-16,-18.50,-8.60,0.00,NA,NA,NA,NA
2014-02-17,-21.10,-6.90,0.00,NA,NA,NA,NA
2014-02-18,-15.90,-2.50,4.60,NA,NA,NA,NA
2014-02-19,-5.80,2.50,NA,NA,NA,NA,NA
2014-02-20,-6.40,2.00,0.30,NA,NA,NA,NA
2014-02-21,0.60,4.60,24.80,NA,NA,NA,NA
2014-02-22,-6.00,5.30,0.00,NA,NA,NA,NA
2014-02-23,-6.80,1.50,0.00,NA,NA,NA,NA
2014-02-24,-11.50,-5.60,0.00,NA,NA,NA,NA
2014-02-25,-15.80,-7.50,0.40,NA,NA,NA,NA
2014-02-26,-18.30,-9.50,0.20,NA,NA,NA,NA
2014-02-27,-16.30,-7.40,1.00,NA,NA,NA,NA
2014-02-28,-21.00,-11.40,0.00,NA,NA,NA,NA
2014-03-01,-16.30,-1.80,2.80,NA,NA,NA,NA
2014-03-02,-21.20,-7.70,0.80,NA,NA,NA,NA
2014-03-03,-21.80,-12.00,0.00,NA,NA,NA,NA
2014-03-04,-20.40,-8.50,0.60,NA,NA,NA,NA
2014-03-05,-22.80,-8.40,0.40,NA,NA,NA,NA
2014-03-06,-27.50,-7.40,0.00,NA,NA,NA,NA
2014-03-07,-21.40,1.70,0.00,NA,NA,NA,NA
2014-03-08,-8.40,0.00,0.00,NA,NA,NA,NA
2014-03-09,-14.40,-1.50,2.00,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,NA,NA
2014-03-15,NA,NA,NA,NA,NA,NA,NA
2014-03-16,NA,NA,NA,NA,NA,NA,NA
2014-03-17,NA,NA,NA,NA,NA,NA,NA
2014-03-18,-17.60,-1.40,NA,NA,NA,NA,NA
2014-03-19,NA,NA,NA,NA,NA,NA,NA
2014-03-20,NA,NA,NA,NA,NA,NA,NA
2014-03-21,NA,NA,NA,NA,NA,NA,NA
2014-03-22,NA,NA,NA,NA,NA,NA,NA
2014-03-23,NA,NA,NA,NA,NA,NA,NA
2014-03-24,NA,NA,NA,NA,NA,NA,NA
2014-03-25,NA,NA,NA,NA,NA,NA,NA
2014-03-26,NA,NA,NA,NA,NA,NA,NA
2014-03-27,-17.40,0.60,0.00,NA,NA,NA,NA
2014-03-28,0.50,6.20,4.90,NA,NA,NA,NA
2014-03-29,0.40,2.50,0.00,NA,NA,NA,NA
2014-03-30,-1.20,2.70,6.20,NA,NA,NA,NA
2014-03-31,-3.10,7.90,0.20,NA,NA,NA,NA
2014-04-01,-4.60,4.50,0.00,NA,NA,NA,NA
2014-04-02,-1.60,6.10,0.00,NA,NA,NA,NA
2014-04-03,-5.00,3.30,0.00,NA,NA,NA,NA
2014-04-04,-3.80,4.90,11.90,NA,NA,NA,NA
2014-04-05,0.30,5.00,0.20,NA,NA,NA,NA
2014-04-06,-2.10,6.90,0.00,NA,NA,NA,NA
2014-04-07,-3.00,10.80,14.60,NA,NA,NA,NA
2014-04-08,2.30,4.80,19.80,NA,NA,NA,NA
2014-04-09,-1.00,5.90,0.20,NA,NA,NA,NA
2014-04-10,NA,NA,NA,NA,NA,NA,NA
2014-04-11,NA,NA,NA,NA,NA,NA,NA
2014-04-12,1.00,16.10,0.00,NA,NA,NA,NA
2014-04-13,3.90,14.80,8.90,NA,NA,NA,NA
2014-04-14,3.60,26.70,6.40,NA,NA,NA,NA
2014-04-15,-5.80,10.00,12.50,NA,NA,NA,NA
2014-04-16,-8.40,2.10,0.00,NA,NA,NA,NA
2014-04-17,-5.90,10.20,0.00,NA,NA,NA,NA
2014-04-18,1.40,12.10,1.70,NA,NA,NA,NA
2014-04-19,-3.00,10.40,0.00,NA,NA,NA,NA
2014-04-20,-2.90,16.40,0.00,NA,NA,NA,NA
2014-04-21,NA,NA,NA,NA,NA,NA,NA
2014-04-22,NA,NA,NA,NA,NA,NA,NA
2014-04-23,NA,NA,NA,NA,NA,NA,NA
2014-04-24,NA,NA,NA,NA,NA,NA,NA
2014-04-25,-2.60,13.40,NA,NA,NA,NA,NA
2014-04-26,4.30,6.20,3.70,NA,NA,NA,NA
2014-04-27,NA,NA,NA,NA,NA,NA,NA
2014-04-28,NA,NA,NA,NA,NA,NA,NA
2014-04-29,NA,NA,NA,NA,NA,NA,NA
2014-04-30,5.60,8.40,12.20,NA,NA,NA,NA
2014-05-01,7.10,16.30,NA,NA,NA,NA,NA
2014-05-02,NA,NA,NA,NA,NA,NA,NA
2014-05-03,NA,NA,NA,NA,NA,NA,NA
2014-05-04,NA,NA,NA,NA,NA,NA,NA
2014-05-05,NA,NA,NA,NA,NA,NA,NA
2014-05-06,1.30,12.10,0.00,NA,NA,NA,NA
2014-05-07,NA,NA,NA,NA,NA,NA,NA
2014-05-08,NA,NA,NA,NA,NA,NA,NA
2014-05-09,NA,NA,NA,NA,NA,NA,NA
2014-05-10,NA,NA,NA,NA,NA,NA,NA
2014-05-11,NA,NA,NA,NA,NA,NA,NA
2014-05-12,NA,NA,NA,NA,NA,NA,NA
2014-05-13,NA,NA,NA,NA,NA,NA,NA
2014-05-14,13.60,24.30,NA,NA,NA,NA,NA
2014-05-15,16.00,30.10,2.10,NA,NA,NA,NA
2014-05-16,9.70,18.60,19.40,NA,NA,NA,NA
2014-05-17,4.70,14.40,1.30,NA,NA,NA,NA
2014-05-18,1.60,15.10,0.00,NA,NA,NA,NA
2014-05-19,6.00,20.60,0.00,NA,NA,NA,NA
2014-05-20,5.20,22.90,NA,NA,NA,NA,NA
2014-05-21,7.10,24.20,0.00,NA,NA,NA,NA
2014-05-22,11.90,23.10,NA,NA,NA,NA,NA
2014-05-23,9.10,20.50,0.40,NA,NA,NA,NA
2014-05-24,9.80,21.70,0.20,NA,NA,NA,NA
2014-05-25,7.40,25.30,NA,NA,NA,NA,NA
2014-05-26,14.70,29.30,NA,NA,NA,NA,NA
2014-05-27,10.90,25.60,NA,NA,NA,NA,NA
2014-05-28,NA,NA,0.00,NA,NA,NA,NA
2014-05-29,8.20,18.20,NA,NA,NA,NA,NA
2014-05-30,8.10,22.70,0.00,NA,NA,NA,NA
2014-05-31,5.00,22.50,0.00,NA,NA,NA,NA
2014-06-01,6.20,25.20,0.00,NA,NA,NA,NA
2014-06-02,15.50,29.20,NA,NA,NA,NA,NA
2014-06-03,13.60,23.80,3.50,NA,NA,NA,NA
2014-06-04,10.20,20.80,0.00,NA,NA,NA,NA
2014-06-05,11.30,16.30,NA,NA,NA,NA,NA
2014-06-06,10.10,22.10,0.00,NA,NA,NA,NA
2014-06-07,10.80,28.50,0.00,NA,NA,NA,NA
2014-06-08,13.10,27.50,0.00,NA,NA,NA,NA
2014-06-09,17.50,27.20,0.00,NA,NA,NA,NA
2014-06-10,13.70,26.40,1.40,NA,NA,NA,NA
2014-06-11,13.60,20.50,NA,NA,NA,NA,NA
2014-06-12,14.40,20.40,NA,NA,NA,NA,NA
2014-06-13,16.20,25.20,6.10,NA,NA,NA,NA
2014-06-14,10.90,17.10,0.00,NA,NA,NA,NA
2014-06-15,10.30,22.80,0.00,NA,NA,NA,NA
2014-06-16,8.70,23.80,NA,NA,NA,NA,NA
2014-06-17,12.60,27.70,NA,NA,NA,NA,NA
2014-06-18,14.80,25.90,NA,NA,NA,NA,NA
2014-06-19,11.00,22.80,NA,NA,NA,NA,NA
2014-06-20,7.70,21.20,0.00,NA,NA,NA,NA
2014-06-21,NA,NA,NA,NA,NA,NA,NA
2014-06-22,NA,NA,NA,NA,NA,NA,NA
2014-06-23,NA,NA,NA,NA,NA,NA,NA
2014-06-24,NA,NA,NA,NA,NA,NA,NA
2014-06-25,NA,NA,NA,NA,NA,NA,NA
2014-06-26,NA,NA,NA,NA,NA,NA,NA
2014-06-27,NA,NA,NA,NA,NA,NA,NA
2014-06-28,NA,NA,NA,NA,NA,NA,NA
2014-06-29,NA,NA,NA,NA,NA,NA,NA
2014-06-30,NA,NA,NA,NA,NA,NA,NA
2014-07-01,NA,NA,NA,NA,NA,NA,NA
2014-07-02,NA,NA,NA,NA,NA,NA,NA
2014-07-03,NA,NA,NA,NA,NA,NA,NA
2014-07-04,NA,NA,NA,NA,NA,NA,NA
2014-07-05,NA,NA,NA,NA,NA,NA,NA
2014-07-06,NA,NA,NA,NA,NA,NA,NA
2014-07-07,NA,NA,NA,NA,NA,NA,NA
2014-07-08,NA,NA,NA,NA,NA,NA,NA
2014-07-09,NA,NA,NA,NA,NA,NA,NA
2014-07-10,NA,NA,NA,NA,NA,NA,NA
2014-07-11,NA,NA,NA,NA,NA,NA,NA
2014-07-12,NA,NA,NA,NA,NA,NA,NA
2014-07-13,NA,NA,NA,NA,NA,NA,NA
2014-07-14,NA,NA,NA,NA,NA,NA,NA
2014-07-15,NA,NA,NA,NA,NA,NA,NA
2014-07-16,NA,NA,NA,NA,NA,NA,NA
2014-07-17,10.40,21.40,NA,NA,NA,NA,NA
2014-07-18,12.00,25.40,0.00,NA,NA,NA,NA
2014-07-19,11.80,25.90,0.00,NA,NA,NA,NA
2014-07-20,17.20,27.10,0.00,NA,NA,NA,NA
2014-07-21,15.80,28.30,0.00,NA,NA,NA,NA
2014-07-22,17.70,29.20,0.00,NA,NA,NA,NA
2014-07-23,14.50,24.80,0.00,NA,NA,NA,NA
2014-07-24,10.70,22.80,0.00,NA,NA,NA,NA
2014-07-25,12.00,25.10,0.00,NA,NA,NA,NA
2014-07-26,14.60,24.20,0.00,NA,NA,NA,NA
2014-07-27,15.60,24.70,10.70,NA,NA,NA,NA
2014-07-28,12.00,17.40,2.70,NA,NA,NA,NA
2014-07-29,10.70,22.00,0.00,NA,NA,NA,NA
2014-07-30,12.10,21.70,1.80,NA,NA,NA,NA
2014-07-31,13.10,21.00,8.50,NA,NA,NA,NA
2014-08-01,13.90,26.50,0.00,NA,NA,NA,NA
2014-08-02,13.70,28.10,0.00,NA,NA,NA,NA
2014-08-03,13.30,26.60,0.00,NA,NA,NA,NA
2014-08-04,16.30,27.80,12.00,NA,NA,NA,NA
2014-08-05,12.70,24.30,0.00,NA,NA,NA,NA
2014-08-06,10.70,24.80,0.00,NA,NA,NA,NA
2014-08-07,12.60,23.80,0.00,NA,NA,NA,NA
2014-08-08,13.40,25.80,0.00,NA,NA,NA,NA
2014-08-09,12.50,27.70,0.00,NA,NA,NA,NA
2014-08-10,12.20,28.30,0.00,NA,NA,NA,NA
2014-08-11,12.80,29.50,0.00,NA,NA,NA,NA
2014-08-12,16.50,20.80,11.70,NA,NA,NA,NA
2014-08-13,11.90,23.20,53.30,NA,NA,NA,NA
2014-08-14,10.40,16.60,1.00,NA,NA,NA,NA
2014-08-15,10.60,16.50,0.50,NA,NA,NA,NA
2014-08-16,13.40,17.60,14.30,NA,NA,NA,NA
2014-08-17,12.30,21.70,0.00,NA,NA,NA,NA
2014-08-18,8.80,20.90,0.00,NA,NA,NA,NA
2014-08-19,7.50,22.80,0.00,NA,NA,NA,NA
2014-08-20,10.80,26.10,13.00,NA,NA,NA,NA
2014-08-21,17.00,23.90,49.10,NA,NA,NA,NA
2014-08-22,16.00,22.20,0.00,NA,NA,NA,NA
2014-08-23,13.10,25.40,0.00,NA,NA,NA,NA
2014-08-24,12.20,27.30,0.00,NA,NA,NA,NA
2014-08-25,13.20,27.60,0.00,NA,NA,NA,NA
2014-08-26,14.70,27.60,0.00,NA,NA,NA,NA
2014-08-27,15.20,24.60,0.00,NA,NA,NA,NA
2014-08-28,10.70,20.60,0.00,NA,NA,NA,NA
2014-08-29,9.00,22.80,0.00,NA,NA,NA,NA
2014-08-30,14.30,26.20,5.30,NA,NA,NA,NA
2014-08-31,17.90,25.00,6.60,NA,NA,NA,NA
2014-09-01,16.80,27.40,0.00,NA,NA,NA,NA
2014-09-02,17.20,27.50,16.10,NA,NA,NA,NA
2014-09-03,14.90,25.50,0.00,NA,NA,NA,NA
2014-09-04,13.90,27.50,0.00,NA,NA,NA,NA
2014-09-05,19.30,29.30,0.00,NA,NA,NA,NA
2014-09-06,9.70,22.20,4.00,NA,NA,NA,NA
2014-09-07,9.40,21.50,0.00,NA,NA,NA,NA
2014-09-08,10.30,24.30,0.00,NA,NA,NA,NA
2014-09-09,12.80,23.20,0.00,NA,NA,NA,NA
2014-09-10,13.00,23.80,0.00,NA,NA,NA,NA
2014-09-11,8.20,22.80,7.00,NA,NA,NA,NA
2014-09-12,4.00,12.60,0.00,NA,NA,NA,NA
2014-09-13,4.20,10.90,14.00,NA,NA,NA,NA
2014-09-14,5.30,12.40,0.00,NA,NA,NA,NA
2014-09-15,6.60,18.30,1.70,NA,NA,NA,NA
2014-09-16,7.10,18.20,0.20,NA,NA,NA,NA
2014-09-17,5.10,18.40,0.00,NA,NA,NA,NA
2014-09-18,-0.30,11.90,0.20,NA,NA,NA,NA
2014-09-19,-2.20,13.50,0.20,NA,NA,NA,NA
2014-09-20,4.90,22.30,0.00,NA,NA,NA,NA
2014-09-21,9.60,23.40,6.30,NA,NA,NA,NA
2014-09-22,4.30,11.50,0.00,NA,NA,NA,NA
2014-09-23,5.40,17.80,0.00,NA,NA,NA,NA
2014-09-24,5.60,22.60,0.00,NA,NA,NA,NA
2014-09-25,9.40,23.80,0.00,NA,NA,NA,NA
2014-09-26,8.60,25.70,0.00,NA,NA,NA,NA
2014-09-27,10.40,27.10,0.00,NA,NA,NA,NA
2014-09-28,12.50,25.80,0.00,NA,NA,NA,NA
2014-09-29,8.80,24.20,0.00,NA,NA,NA,NA
2014-09-30,8.90,15.60,0.00,NA,NA,NA,NA
2014-10-01,10.10,19.40,0.00,NA,NA,NA,NA
2014-10-02,6.80,21.40,0.00,NA,NA,NA,NA
2014-10-03,10.00,23.30,0.00,NA,NA,NA,NA
2014-10-04,6.90,15.90,7.30,NA,NA,NA,NA
2014-10-05,3.50,13.00,0.00,NA,NA,NA,NA
2014-10-06,4.90,15.40,1.30,NA,NA,NA,NA
2014-10-07,10.70,17.60,17.20,NA,NA,NA,NA
2014-10-08,6.40,16.40,5.70,NA,NA,NA,NA
2014-10-09,3.70,10.40,0.90,NA,NA,NA,NA
2014-10-10,2.70,10.80,0.00,NA,NA,NA,NA
2014-10-11,3.30,12.90,0.00,NA,NA,NA,NA
2014-10-12,-0.70,14.60,0.00,NA,NA,NA,NA
2014-10-13,0.30,17.60,0.00,NA,NA,NA,NA
2014-10-14,12.10,26.00,2.10,NA,NA,NA,NA
2014-10-15,17.10,24.30,0.80,NA,NA,NA,NA
2014-10-16,12.80,21.80,9.70,NA,NA,NA,NA
2014-10-17,12.30,16.50,0.70,NA,NA,NA,NA
2014-10-18,3.70,14.10,0.80,NA,NA,NA,NA
2014-10-19,-1.60,5.60,0.00,NA,NA,NA,NA
2014-10-20,-1.90,7.10,6.90,NA,NA,NA,NA
2014-10-21,5.00,7.10,3.30,NA,NA,NA,NA
2014-10-22,5.40,10.80,0.00,NA,NA,NA,NA
2014-10-23,5.80,12.10,0.20,NA,NA,NA,NA
2014-10-24,4.80,16.50,0.00,NA,NA,NA,NA
2014-10-25,2.70,14.00,2.60,NA,NA,NA,NA
2014-10-26,6.30,9.20,0.70,NA,NA,NA,NA
2014-10-27,4.00,11.40,0.60,NA,NA,NA,NA
2014-10-28,6.70,17.00,0.90,NA,NA,NA,NA
2014-10-29,NA,NA,NA,NA,NA,NA,NA
2014-10-30,-0.60,7.30,NA,NA,NA,NA,NA
2014-10-31,-0.70,7.60,0.00,NA,NA,NA,NA
2014-11-01,1.40,5.50,0.00,NA,NA,NA,NA
2014-11-02,-1.20,6.00,0.00,NA,NA,NA,NA
2014-11-03,-1.20,8.80,0.00,NA,NA,NA,NA
2014-11-04,5.90,14.90,2.30,NA,NA,NA,NA
2014-11-05,5.40,11.90,0.00,NA,NA,NA,NA
2014-11-06,2.90,8.50,2.60,NA,NA,NA,NA
2014-11-07,-0.40,3.50,1.70,NA,NA,NA,NA
2014-11-08,-1.40,5.70,0.00,NA,NA,NA,NA
2014-11-09,1.00,6.30,0.00,NA,NA,NA,NA
2014-11-10,2.40,6.70,0.00,NA,NA,NA,NA
2014-11-11,-0.60,16.70,0.00,NA,NA,NA,NA
2014-11-12,-0.50,11.40,6.30,NA,NA,NA,NA
2014-11-13,-2.90,3.70,0.00,NA,NA,NA,NA
2014-11-14,NA,NA,NA,NA,NA,NA,NA
2014-11-15,NA,NA,NA,NA,NA,NA,NA
2014-11-16,NA,NA,NA,NA,NA,NA,NA
2014-11-17,NA,NA,NA,NA,NA,NA,NA
2014-11-18,NA,NA,NA,NA,NA,NA,NA
2014-11-19,NA,NA,NA,NA,NA,NA,NA
2014-11-20,NA,NA,NA,NA,NA,NA,NA
2014-11-21,NA,NA,NA,NA,NA,NA,NA
2014-11-22,-7.20,4.70,0.90,NA,NA,NA,NA
2014-11-23,NA,NA,NA,NA,NA,NA,NA
2014-11-24,NA,NA,NA,NA,NA,NA,NA
2014-11-25,1.10,7.20,NA,NA,NA,NA,NA
2014-11-26,-3.00,1.50,0.00,NA,NA,NA,NA
2014-11-27,-4.60,-2.10,0.00,NA,NA,NA,NA
2014-11-28,-9.00,-3.80,0.00,NA,NA,NA,NA
2014-11-29,-11.60,0.70,0.00,NA,NA,NA,NA
2014-11-30,0.70,9.90,0.00,NA,NA,NA,NA
2014-12-01,-11.90,6.00,0.20,NA,NA,NA,NA
2014-12-02,-15.10,-6.60,2.30,NA,NA,NA,NA
2014-12-03,-6.70,2.90,3.40,NA,NA,NA,NA
2014-12-04,-13.50,-0.30,0.00,NA,NA,NA,NA
2014-12-05,-13.30,-3.00,0.00,NA,NA,NA,NA
2014-12-06,-5.30,0.00,0.00,NA,NA,NA,NA
2014-12-07,-13.10,-5.20,0.20,NA,NA,NA,NA
2014-12-08,-12.60,-2.30,0.00,NA,NA,NA,NA
2014-12-09,-4.90,0.40,0.00,NA,NA,NA,NA
2014-12-10,-3.40,0.40,11.70,NA,NA,NA,NA
2014-12-11,-5.60,-2.50,0.70,NA,NA,NA,NA
2014-12-12,-6.50,-2.70,1.00,NA,NA,NA,NA
2014-12-13,-5.70,-1.30,0.00,NA,NA,NA,NA
2014-12-14,-1.30,1.60,0.60,NA,NA,NA,NA
2014-12-15,-0.90,0.90,0.00,NA,NA,NA,NA
2014-12-16,-1.00,0.20,1.20,NA,NA,NA,NA
2014-12-17,0.10,3.00,4.60,NA,NA,NA,NA
2014-12-18,-5.40,0.50,1.00,NA,NA,NA,NA
2014-12-19,-14.70,-5.40,0.00,NA,NA,NA,NA
2014-12-20,-16.50,-4.70,0.20,NA,NA,NA,NA
2014-12-21,-10.50,-7.00,0.00,NA,NA,NA,NA
2014-12-22,-8.30,-5.30,0.00,NA,NA,NA,NA
2014-12-23,-5.50,1.40,3.20,NA,NA,NA,NA
2014-12-24,1.20,4.50,3.60,NA,NA,NA,NA
2014-12-25,2.80,9.60,2.40,NA,NA,NA,NA
2014-12-26,2.40,6.50,0.00,NA,NA,NA,NA
2014-12-27,2.00,9.90,0.00,NA,NA,NA,NA
2014-12-28,-2.70,9.00,0.00,NA,NA,NA,NA
2014-12-29,-11.50,0.00,0.00,NA,NA,NA,NA
2014-12-30,-15.30,-9.00,0.00,NA,NA,NA,NA
2014-12-31,-13.40,-5.40,0.00,NA,NA,NA,NA
2015-01-01,-7.60,-2.50,0.20,NA,NA,NA,NA
2015-01-02,-15.30,-2.70,0.00,NA,NA,NA,NA
2015-01-03,-15.70,-7.70,13.50,NA,NA,NA,NA
2015-01-04,-7.80,3.30,13.90,NA,NA,NA,NA
2015-01-05,-21.20,-5.80,0.00,NA,NA,NA,NA
2015-01-06,NA,NA,NA,NA,NA,NA,NA
2015-01-07,NA,NA,NA,NA,NA,NA,NA
2015-01-08,-28.30,-7.30,1.40,NA,NA,NA,NA
2015-01-09,-15.00,-5.90,2.60,NA,NA,NA,NA
2015-01-10,-16.30,-8.30,0.00,NA,NA,NA,NA
2015-01-11,-13.50,-3.10,0.00,NA,NA,NA,NA
2015-01-12,-19.70,-1.50,3.90,NA,NA,NA,NA
2015-01-13,-28.00,-14.90,0.00,NA,NA,NA,NA
2015-01-14,-29.40,-12.00,0.20,NA,NA,NA,NA
2015-01-15,-23.30,-3.00,0.50,NA,NA,NA,NA
2015-01-16,-21.20,-2.20,0.20,NA,NA,NA,NA
2015-01-17,-28.40,-13.50,0.20,NA,NA,NA,NA
2015-01-18,-13.50,4.90,0.00,NA,NA,NA,NA
2015-01-19,-15.50,1.00,1.90,NA,NA,NA,NA
2015-01-20,-21.40,-10.80,0.00,NA,NA,NA,NA
2015-01-21,-24.90,-9.40,0.20,NA,NA,NA,NA
2015-01-22,-20.30,-5.60,0.00,NA,NA,NA,NA
2015-01-23,-9.60,0.10,0.00,NA,NA,NA,NA
2015-01-24,-4.60,-0.80,0.40,NA,NA,NA,NA
2015-01-25,-21.60,-2.70,0.20,NA,NA,NA,NA
2015-01-26,-26.00,-13.80,0.00,NA,NA,NA,NA
2015-01-27,-16.70,-9.00,0.00,NA,NA,NA,NA
2015-01-28,-18.40,-5.90,0.00,NA,NA,NA,NA
2015-01-29,-16.00,-4.40,6.30,NA,NA,NA,NA
2015-01-30,-20.10,-5.00,2.20,NA,NA,NA,NA
2015-01-31,-24.40,-13.20,0.40,NA,NA,NA,NA
2015-02-01,-20.20,-13.70,0.20,NA,NA,NA,NA
2015-02-02,-24.60,-14.80,6.30,NA,NA,NA,NA
2015-02-03,-26.80,-6.90,0.20,NA,NA,NA,NA
2015-02-04,-10.30,-3.70,6.80,NA,NA,NA,NA
2015-02-05,-29.40,-10.30,0.20,NA,NA,NA,NA
2015-02-06,-28.70,-4.90,0.90,NA,NA,NA,NA
2015-02-07,-14.40,-9.20,3.30,NA,NA,NA,NA
2015-02-08,-17.50,-13.80,3.00,NA,NA,NA,NA
2015-02-09,-15.50,-12.20,0.20,NA,NA,NA,NA
2015-02-10,-20.40,-5.10,0.00,NA,NA,NA,NA
2015-02-11,-20.40,-10.40,2.90,NA,NA,NA,NA
2015-02-12,-21.70,-9.70,1.80,NA,NA,NA,NA
2015-02-13,-26.30,-17.70,0.20,NA,NA,NA,NA
2015-02-14,-19.10,-11.50,3.60,NA,NA,NA,NA
2015-02-15,-24.20,-13.10,0.40,NA,NA,NA,NA
2015-02-16,-27.40,-13.50,0.00,NA,NA,NA,NA
2015-02-17,-27.20,-11.90,0.00,NA,NA,NA,NA
2015-02-18,-21.90,-4.80,0.20,NA,NA,NA,NA
2015-02-19,-20.80,-11.50,0.40,NA,NA,NA,NA
2015-02-20,-22.30,-11.30,0.40,NA,NA,NA,NA
2015-02-21,-19.40,-9.40,6.20,NA,NA,NA,NA
2015-02-22,-14.40,-2.80,0.80,NA,NA,NA,NA
2015-02-23,-27.30,-14.40,0.20,NA,NA,NA,NA
2015-02-24,-23.10,-8.10,0.20,NA,NA,NA,NA
