Daily data for a single station.
StationID:  , CA006104725
StationName:, "LYNDHURST SHAWMERE"
Lat&Long    , 44.517, -76.083
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2021-11-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-19.50,-13.00,0.00,NA,NA,NA,NA
2014-01-02,-24.00,-22.00,1.60,NA,NA,NA,NA
2014-01-03,-25.50,-12.50,0.00,NA,NA,NA,NA
2014-01-04,-25.50,-0.50,0.00,NA,NA,NA,NA
2014-01-05,-3.00,8.00,26.60,NA,NA,NA,NA
2014-01-06,-5.50,4.50,1.40,NA,NA,NA,NA
2014-01-07,-17.00,-13.00,0.00,NA,NA,NA,NA
2014-01-08,-14.00,-7.00,0.00,NA,NA,NA,NA
2014-01-09,-14.00,-3.50,1.00,NA,NA,NA,NA
2014-01-10,-11.50,1.00,1.00,NA,NA,NA,NA
2014-01-11,-2.50,9.00,15.80,NA,NA,NA,NA
2014-01-12,2.00,3.00,0.00,NA,NA,NA,NA
2014-01-13,-2.00,9.50,4.60,NA,NA,NA,NA
2014-01-14,1.00,5.00,1.00,NA,NA,NA,NA
2014-01-15,-5.50,1.00,0.00,NA,NA,NA,NA
2014-01-16,-5.00,-0.50,0.00,NA,NA,NA,NA
2014-01-17,-6.00,1.50,7.00,NA,NA,NA,NA
2014-01-18,NA,NA,NA,NA,NA,NA,NA
2014-01-19,-5.50,-1.50,10.00,NA,NA,NA,NA
2014-01-20,-19.50,-12.50,0.00,NA,NA,NA,NA
2014-01-21,-32.50,-18.00,0.00,NA,NA,NA,NA
2014-01-22,-33.50,-16.50,0.00,NA,NA,NA,NA
2014-01-23,-29.50,-15.50,0.00,NA,NA,NA,NA
2014-01-24,-32.00,-7.50,8.00,NA,NA,NA,NA
2014-01-25,-8.50,-4.00,14.00,NA,NA,NA,NA
