Daily data for a single station.
StationID:  , CA006111792
StationName:, "COLLINGWOOD"
Lat&Long    , 44.500, -80.217
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2023-06-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-16.90,-9.20,1.80,NA,NA,NA,NA
2014-01-02,-22.40,-16.20,0.00,NA,NA,NA,NA
2014-01-03,-24.10,-9.50,0.20,NA,NA,NA,NA
2014-01-04,-9.60,-0.30,0.20,NA,NA,NA,NA
2014-01-05,-2.90,-1.30,13.90,NA,NA,NA,NA
2014-01-06,-14.20,-2.00,6.00,NA,NA,NA,NA
2014-01-07,-20.00,-12.60,0.60,NA,NA,NA,NA
2014-01-08,-13.60,-8.40,0.00,NA,NA,NA,NA
2014-01-09,-10.20,-4.50,0.00,NA,NA,NA,NA
2014-01-10,-8.30,2.10,0.00,NA,NA,NA,NA
2014-01-11,1.00,7.00,5.00,NA,NA,NA,NA
2014-01-12,0.80,2.90,0.00,NA,NA,NA,NA
2014-01-13,1.80,7.40,0.00,NA,NA,NA,NA
2014-01-14,-1.30,4.70,0.00,NA,NA,NA,NA
2014-01-15,-5.50,0.40,0.00,NA,NA,NA,NA
2014-01-16,-9.00,-2.30,0.70,NA,NA,NA,NA
2014-01-17,-3.90,2.40,0.70,NA,NA,NA,NA
2014-01-18,-7.30,-1.10,0.00,NA,NA,NA,NA
2014-01-19,-7.50,-1.00,2.60,NA,NA,NA,NA
2014-01-20,-19.10,-5.70,3.50,NA,NA,NA,NA
2014-01-21,-21.50,-16.40,0.80,NA,NA,NA,NA
2014-01-22,-25.00,-16.20,0.00,NA,NA,NA,NA
2014-01-23,-20.20,-16.10,0.60,NA,NA,NA,NA
2014-01-24,-22.20,-9.10,0.70,NA,NA,NA,NA
2014-01-25,-17.80,-4.70,0.70,NA,NA,NA,NA
2014-01-26,-19.80,-6.00,1.30,NA,NA,NA,NA
2014-01-27,-15.80,-6.40,5.00,NA,NA,NA,NA
2014-01-28,-15.80,-11.90,0.20,NA,NA,NA,NA
2014-01-29,-16.70,-8.10,0.00,NA,NA,NA,NA
2014-01-30,-12.00,-2.90,0.00,NA,NA,NA,NA
2014-01-31,-9.40,-1.50,0.20,NA,NA,NA,NA
2014-02-01,-11.10,-1.20,9.00,NA,NA,NA,NA
2014-02-02,-7.30,-2.20,0.00,NA,NA,NA,NA
2014-02-03,-11.80,-6.70,0.40,NA,NA,NA,NA
2014-02-04,-10.30,-3.10,0.00,NA,NA,NA,NA
2014-02-05,-11.30,-7.10,0.50,NA,NA,NA,NA
2014-02-06,-12.90,-7.30,0.20,NA,NA,NA,NA
2014-02-07,-11.80,-8.70,0.00,NA,NA,NA,NA
2014-02-08,-12.40,-5.70,0.00,NA,NA,NA,NA
2014-02-09,-12.90,-8.30,0.60,NA,NA,NA,NA
2014-02-10,-13.00,-8.20,0.20,NA,NA,NA,NA
2014-02-11,-20.00,-10.10,0.00,NA,NA,NA,NA
2014-02-12,-20.70,-4.90,0.00,NA,NA,NA,NA
2014-02-13,-13.90,-2.90,0.00,NA,NA,NA,NA
2014-02-14,-6.90,-3.10,0.00,NA,NA,NA,NA
