Daily data for a single station.
StationID:  , CA006112133
StationName:, "DUNCHURCH"
Lat&Long    , 45.617, -79.883
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-02-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-29.00,-20.00,0.00,NA,NA,NA,NA
2014-01-02,-28.50,-20.00,0.00,NA,NA,NA,NA
2014-01-03,-36.00,-11.00,0.00,NA,NA,NA,NA
2014-01-04,-19.50,-1.50,1.20,NA,NA,NA,NA
2014-01-05,-11.00,-3.00,12.20,NA,NA,NA,NA
2014-01-06,-17.00,-12.50,3.60,NA,NA,NA,NA
2014-01-07,-23.00,-13.00,2.60,NA,NA,NA,NA
2014-01-08,-16.50,-10.00,9.80,NA,NA,NA,NA
2014-01-09,-21.50,-7.00,0.00,NA,NA,NA,NA
2014-01-10,-18.00,3.50,15.40,NA,NA,NA,NA
2014-01-11,-2.00,4.00,6.80,NA,NA,NA,NA
2014-01-12,-1.00,1.00,0.00,NA,NA,NA,NA
2014-01-13,-1.50,5.00,4.60,NA,NA,NA,NA
2014-01-14,-4.00,1.00,2.40,NA,NA,NA,NA
2014-01-15,-7.00,-2.00,8.60,NA,NA,NA,NA
2014-01-16,-10.50,-3.00,4.40,NA,NA,NA,NA
2014-01-17,-5.50,-1.00,8.60,NA,NA,NA,NA
2014-01-18,-6.00,-3.50,9.40,NA,NA,NA,NA
2014-01-19,-7.50,-3.00,8.40,NA,NA,NA,NA
2014-01-20,-22.00,-18.00,0.00,NA,NA,NA,NA
2014-01-21,-37.00,-19.50,0.00,NA,NA,NA,NA
2014-01-22,-39.50,-17.50,0.00,NA,NA,NA,NA
2014-01-23,-25.00,-18.50,0.00,NA,NA,NA,NA
2014-01-24,-36.50,-8.00,18.00,NA,NA,NA,NA
2014-01-25,NA,-7.00,3.20,NA,NA,NA,NA
2014-01-26,-36.00,-10.00,7.20,NA,NA,NA,NA
2014-01-27,-20.50,-17.00,0.00,NA,NA,NA,NA
2014-01-28,-30.00,-12.00,23.80,NA,NA,NA,NA
2014-01-29,-13.00,-10.50,1.60,NA,NA,NA,NA
2014-01-30,-16.50,-3.00,5.40,NA,NA,NA,NA
2014-01-31,-8.50,-2.00,0.00,NA,NA,NA,NA
2014-02-01,-12.00,-2.50,8.80,NA,NA,NA,NA
2014-02-02,-11.00,-3.50,0.00,NA,NA,NA,NA
2014-02-03,-21.50,-7.00,0.00,NA,NA,NA,NA
2014-02-04,-18.00,-5.00,1.20,NA,NA,NA,NA
2014-02-05,-12.00,-9.50,0.00,NA,NA,NA,NA
2014-02-06,-26.50,-9.50,9.20,NA,NA,NA,NA
2014-02-07,-12.00,-9.50,16.80,NA,NA,NA,NA
2014-02-08,-13.00,-7.50,0.40,NA,NA,NA,NA
2014-02-09,-17.00,-8.50,1.00,NA,NA,NA,NA
2014-02-10,-20.00,-9.50,0.20,NA,NA,NA,NA
2014-02-11,-32.00,-10.00,0.00,NA,NA,NA,NA
2014-02-12,-27.00,-8.00,0.20,NA,NA,NA,NA
2014-02-13,-11.00,-1.50,0.00,NA,NA,NA,NA
2014-02-14,-12.00,-3.00,0.00,NA,NA,NA,NA
2014-02-15,-14.00,-9.00,0.00,NA,NA,NA,NA
2014-02-16,-26.00,-10.00,0.00,NA,NA,NA,NA
2014-02-17,-30.50,-4.50,2.60,NA,NA,NA,NA
2014-02-18,-9.00,-3.00,0.00,NA,NA,NA,NA
2014-02-19,-7.00,5.00,0.00,NA,NA,NA,NA
2014-02-20,-12.50,2.50,7.20,NA,NA,NA,NA
2014-02-21,0.00,3.00,10.40,NA,NA,NA,NA
2014-02-22,-4.50,-3.50,5.60,NA,NA,NA,NA
2014-02-23,-8.00,-5.50,2.20,NA,NA,NA,NA
2014-02-24,-15.50,-9.50,0.00,NA,NA,NA,NA
2014-02-25,-21.00,-9.00,2.60,NA,NA,NA,NA
2014-02-26,-20.00,-12.50,6.40,NA,NA,NA,NA
2014-02-27,-17.00,-15.00,0.00,NA,NA,NA,NA
2014-02-28,-34.50,-12.00,3.80,NA,NA,NA,NA
