Daily data for a single station.
StationID:  , CA006115127
StationName:, "MIDLAND WATER POLLUTION C"
Lat&Long    , 44.750, -79.883
Elevation:  , -9999.000
Starts(YMD):,2015-01-02
Ends(YMD):  ,2017-07-05
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2015-01-02,-13.00,-8.00,0.00,NA,NA,NA,NA
2015-01-03,NA,NA,NA,NA,NA,NA,NA
2015-01-04,NA,NA,NA,NA,NA,NA,NA
2015-01-05,-16.00,-10.00,15.00,NA,NA,NA,NA
2015-01-06,NA,NA,NA,NA,NA,NA,NA
2015-01-07,NA,NA,NA,NA,NA,NA,NA
2015-01-08,-23.00,-8.00,5.00,NA,NA,NA,NA
2015-01-09,-13.00,-9.00,20.00,NA,NA,NA,NA
2015-01-10,NA,NA,NA,NA,NA,NA,NA
2015-01-11,NA,NA,NA,NA,NA,NA,NA
2015-01-12,-9.00,-3.00,0.00,NA,NA,NA,NA
2015-01-13,-25.00,-15.00,0.00,NA,NA,NA,NA
2015-01-14,-22.00,-6.00,0.00,NA,NA,NA,NA
2015-01-15,-11.00,-1.50,0.00,NA,NA,NA,NA
2015-01-16,NA,NA,NA,NA,NA,NA,NA
2015-01-17,NA,NA,NA,NA,NA,NA,NA
2015-01-18,NA,NA,NA,NA,NA,NA,NA
2015-01-19,NA,NA,NA,NA,NA,NA,NA
2015-01-20,-22.00,-10.00,0.00,NA,NA,NA,NA
2015-01-21,-22.00,-7.00,0.00,NA,NA,NA,NA
2015-01-22,-17.00,-2.00,1.00,NA,NA,NA,NA
2015-01-23,-3.00,1.00,3.00,NA,NA,NA,NA
2015-01-24,NA,NA,NA,NA,NA,NA,NA
2015-01-25,NA,NA,NA,NA,NA,NA,NA
2015-01-26,-22.00,-9.00,0.00,NA,NA,NA,NA
2015-01-27,-17.00,-8.00,0.00,NA,NA,NA,NA
2015-01-28,-21.00,-3.00,0.00,NA,NA,NA,NA
2015-01-29,-14.00,-1.00,5.00,NA,NA,NA,NA
2015-01-30,-16.00,-14.00,0.00,NA,NA,NA,NA
2015-01-31,NA,NA,NA,NA,NA,NA,NA
2015-02-01,-19.00,-13.00,0.00,NA,NA,NA,NA
2015-02-02,NA,NA,NA,NA,NA,NA,NA
2015-02-03,NA,NA,NA,NA,NA,NA,NA
2015-02-04,-9.00,-4.00,0.00,NA,NA,NA,NA
2015-02-05,-20.00,-7.00,0.00,NA,NA,NA,NA
2015-02-06,-19.00,-4.00,0.00,NA,NA,NA,NA
2015-02-07,NA,NA,NA,NA,NA,NA,NA
2015-02-08,NA,NA,NA,NA,NA,NA,NA
2015-02-09,NA,NA,NA,NA,NA,NA,NA
2015-02-10,-23.00,-3.00,0.00,NA,NA,NA,NA
2015-02-11,NA,NA,NA,NA,NA,NA,NA
2015-02-12,-19.00,-18.00,0.00,NA,NA,NA,NA
2015-02-13,NA,NA,NA,NA,NA,NA,NA
2015-02-14,NA,NA,NA,NA,NA,NA,NA
2015-02-15,NA,NA,NA,NA,NA,NA,NA
2015-02-16,NA,NA,NA,NA,NA,NA,NA
2015-02-17,-31.00,-8.00,0.00,NA,NA,NA,NA
2015-02-18,-21.00,-8.00,0.00,NA,NA,NA,NA
2015-02-19,-24.00,-20.00,0.00,NA,NA,NA,NA
2015-02-20,-29.00,-10.00,0.00,NA,NA,NA,NA
2015-02-21,NA,NA,NA,NA,NA,NA,NA
2015-02-22,NA,NA,NA,NA,NA,NA,NA
2015-02-23,NA,NA,NA,NA,NA,NA,NA
2015-02-24,NA,NA,NA,NA,NA,NA,NA
2015-02-25,NA,NA,NA,NA,NA,NA,NA
2015-02-26,-24.00,-14.00,0.00,NA,NA,NA,NA
2015-02-27,-29.00,-9.00,0.00,NA,NA,NA,NA
2015-02-28,NA,NA,NA,NA,NA,NA,NA
2015-03-01,NA,NA,NA,NA,NA,NA,NA
2015-03-02,-16.00,-5.00,0.00,NA,NA,NA,NA
2015-03-03,-19.00,-2.00,0.00,NA,NA,NA,NA
2015-03-04,-7.00,-4.00,0.00,NA,NA,NA,NA
2015-03-05,-19.00,-12.00,0.00,NA,NA,NA,NA
2015-03-06,-20.00,-5.00,0.00,NA,NA,NA,NA
2015-03-07,NA,NA,NA,NA,NA,NA,NA
2015-03-08,NA,NA,NA,NA,NA,NA,NA
2015-03-09,-5.00,7.00,0.00,NA,NA,NA,NA
2015-03-10,1.00,10.00,0.00,NA,NA,NA,NA
2015-03-11,1.00,6.00,0.00,NA,NA,NA,NA
2015-03-12,NA,NA,NA,NA,NA,NA,NA
2015-03-13,NA,NA,NA,NA,NA,NA,NA
2015-03-14,NA,NA,NA,NA,NA,NA,NA
2015-03-15,NA,NA,NA,NA,NA,NA,NA
2015-03-16,-3.50,10.00,2.00,NA,NA,NA,NA
2015-03-17,NA,NA,NA,NA,NA,NA,NA
2015-03-18,NA,NA,NA,NA,NA,NA,NA
2015-03-19,-11.00,1.50,0.00,NA,NA,NA,NA
2015-03-20,NA,NA,NA,NA,NA,NA,NA
2015-03-21,NA,NA,NA,NA,NA,NA,NA
2015-03-22,NA,NA,NA,NA,NA,NA,NA
2015-03-23,NA,NA,NA,NA,NA,NA,NA
2015-03-24,NA,NA,NA,NA,NA,NA,NA
2015-03-25,-9.00,4.00,0.00,NA,NA,NA,NA
2015-03-26,2.00,4.00,0.00,NA,NA,NA,NA
2015-03-27,NA,NA,NA,NA,NA,NA,NA
2015-03-28,NA,NA,NA,NA,NA,NA,NA
2015-03-29,NA,NA,NA,NA,NA,NA,NA
2015-03-30,NA,NA,NA,NA,NA,NA,NA
2015-03-31,NA,NA,NA,NA,NA,NA,NA
2015-04-01,-6.00,NA,NA,NA,NA,NA,NA
2015-04-02,5.50,18.00,7.00,NA,NA,NA,NA
2015-04-03,2.00,10.00,0.00,NA,NA,NA,NA
2015-04-04,-1.00,2.00,0.00,NA,NA,NA,NA
2015-04-05,-5.00,3.00,0.00,NA,NA,NA,NA
2015-04-06,-3.00,2.00,0.00,NA,NA,NA,NA
2015-04-07,-1.00,7.00,0.00,NA,NA,NA,NA
2015-04-08,-1.00,4.00,3.80,NA,NA,NA,NA
2015-04-09,0.00,14.00,12.00,NA,NA,NA,NA
2015-04-10,3.00,6.00,0.00,NA,NA,NA,NA
2015-04-11,1.00,8.00,0.00,NA,NA,NA,NA
2015-04-12,-2.00,15.00,0.00,NA,NA,NA,NA
2015-04-13,2.00,22.00,5.00,NA,NA,NA,NA
2015-04-14,3.00,14.00,0.00,NA,NA,NA,NA
2015-04-15,0.00,12.00,0.00,NA,NA,NA,NA
2015-04-16,NA,18.00,2.00,NA,NA,NA,NA
2015-04-17,5.00,15.00,0.00,NA,NA,NA,NA
2015-04-18,2.00,13.00,0.00,NA,NA,NA,NA
2015-04-19,1.00,14.00,15.00,NA,NA,NA,NA
2015-04-20,3.00,17.00,4.00,NA,NA,NA,NA
2015-04-21,4.00,8.00,5.50,NA,NA,NA,NA
2015-04-22,2.00,5.00,1.00,NA,NA,NA,NA
2015-04-23,-2.00,1.00,0.00,NA,NA,NA,NA
2015-04-24,-1.00,4.00,0.00,NA,NA,NA,NA
2015-04-25,-3.00,8.00,0.00,NA,NA,NA,NA
2015-04-26,4.00,8.00,1.00,NA,NA,NA,NA
2015-04-27,3.00,11.50,0.00,NA,NA,NA,NA
2015-04-28,4.00,15.00,0.00,NA,NA,NA,NA
2015-04-29,4.50,18.00,0.00,NA,NA,NA,NA
2015-04-30,NA,18.00,0.00,NA,NA,NA,NA
2015-05-01,5.00,18.00,0.00,NA,NA,NA,NA
2015-05-02,5.00,21.00,0.00,NA,NA,NA,NA
2015-05-03,9.00,26.00,0.00,NA,NA,NA,NA
2015-05-04,10.00,22.00,6.00,NA,NA,NA,NA
2015-05-05,5.00,18.00,4.00,NA,NA,NA,NA
2015-05-06,5.00,22.00,0.00,NA,NA,NA,NA
2015-05-07,7.00,21.00,0.00,NA,NA,NA,NA
2015-05-08,11.00,30.00,0.00,NA,NA,NA,NA
2015-05-09,16.00,26.00,0.00,NA,NA,NA,NA
2015-05-10,11.00,NA,NA,NA,NA,NA,NA
2015-05-11,NA,21.00,7.00,NA,NA,NA,NA
2015-05-12,7.00,13.00,4.00,NA,NA,NA,NA
2015-05-13,2.00,12.00,0.00,NA,NA,NA,NA
2015-05-14,2.00,16.00,0.00,NA,NA,NA,NA
2015-05-15,8.00,19.00,6.00,NA,NA,NA,NA
2015-05-16,5.00,15.00,1.00,NA,NA,NA,NA
2015-05-17,7.00,27.00,0.00,NA,NA,NA,NA
2015-05-18,13.00,28.00,0.00,NA,NA,NA,NA
2015-05-19,9.00,13.00,0.00,NA,NA,NA,NA
2015-05-20,2.50,NA,NA,NA,NA,NA,NA
2015-05-21,NA,19.00,0.00,NA,NA,NA,NA
2015-05-22,5.50,NA,NA,NA,NA,NA,NA
2015-05-23,NA,NA,NA,NA,NA,NA,NA
2015-05-24,NA,25.00,5.50,NA,NA,NA,NA
2015-05-25,14.00,22.00,3.00,NA,NA,NA,NA
2015-05-26,18.00,30.00,0.00,NA,NA,NA,NA
2015-05-27,20.00,27.00,0.00,NA,NA,NA,NA
2015-05-28,10.00,22.00,0.00,NA,NA,NA,NA
2015-05-29,10.00,28.00,1.00,NA,NA,NA,NA
2015-05-30,18.00,22.00,9.00,NA,NA,NA,NA
2015-05-31,10.00,13.00,0.00,NA,NA,NA,NA
2015-06-01,NA,NA,NA,NA,NA,NA,NA
2015-06-02,NA,NA,NA,NA,NA,NA,NA
2015-06-03,8.00,23.00,0.00,NA,NA,NA,NA
2015-06-04,9.00,26.00,0.00,NA,NA,NA,NA
2015-06-05,16.00,NA,NA,NA,NA,NA,NA
2015-06-06,NA,NA,NA,NA,NA,NA,NA
2015-06-07,NA,NA,NA,NA,NA,NA,NA
2015-06-08,NA,NA,NA,NA,NA,NA,NA
2015-06-09,NA,NA,NA,NA,NA,NA,NA
2015-06-10,NA,NA,NA,NA,NA,NA,NA
2015-06-11,NA,NA,NA,NA,NA,NA,NA
2015-06-12,NA,NA,NA,NA,NA,NA,NA
2015-06-13,NA,NA,NA,NA,NA,NA,NA
2015-06-14,NA,21.00,20.00,NA,NA,NA,NA
2015-06-15,16.50,24.00,1.00,NA,NA,NA,NA
2015-06-16,17.00,22.00,0.00,NA,NA,NA,NA
2015-06-17,14.00,24.00,0.00,NA,NA,NA,NA
2015-06-18,14.00,26.00,0.00,NA,NA,NA,NA
2015-06-19,13.00,20.00,0.00,NA,NA,NA,NA
2015-06-20,9.00,24.00,3.00,NA,NA,NA,NA
2015-06-21,13.00,22.00,5.00,NA,NA,NA,NA
2015-06-22,15.00,25.00,12.00,NA,NA,NA,NA
2015-06-23,15.00,19.00,0.00,NA,NA,NA,NA
2015-06-24,11.00,24.00,0.00,NA,NA,NA,NA
2015-06-25,13.00,18.00,4.00,NA,NA,NA,NA
2015-06-26,12.00,24.00,0.00,NA,NA,NA,NA
2015-06-27,13.00,20.00,6.00,NA,NA,NA,NA
2015-06-28,14.00,17.00,25.00,NA,NA,NA,NA
2015-06-29,13.00,25.00,0.00,NA,NA,NA,NA
2015-06-30,14.00,23.00,3.00,NA,NA,NA,NA
2015-07-01,15.50,19.00,0.00,NA,NA,NA,NA
2015-07-02,10.50,20.00,0.00,NA,NA,NA,NA
2015-07-03,10.00,22.00,0.00,NA,NA,NA,NA
2015-07-04,12.00,25.00,0.00,NA,NA,NA,NA
2015-07-05,13.50,25.00,0.00,NA,NA,NA,NA
2015-07-06,16.00,29.00,0.00,NA,NA,NA,NA
2015-07-07,19.00,25.00,14.00,NA,NA,NA,NA
2015-07-08,12.00,22.00,0.00,NA,NA,NA,NA
2015-07-09,14.00,23.00,0.00,NA,NA,NA,NA
2015-07-10,16.00,25.00,0.00,NA,NA,NA,NA
2015-07-11,15.00,28.00,0.00,NA,NA,NA,NA
2015-07-12,17.00,27.00,0.00,NA,NA,NA,NA
2015-07-13,16.00,30.00,0.00,NA,NA,NA,NA
2015-07-14,19.00,26.00,0.00,NA,NA,NA,NA
2015-07-15,12.00,20.00,0.00,NA,NA,NA,NA
2015-07-16,12.00,25.00,0.00,NA,NA,NA,NA
2015-07-17,15.00,20.00,17.00,NA,NA,NA,NA
2015-07-18,18.00,30.00,1.00,NA,NA,NA,NA
2015-07-19,19.00,28.50,16.00,NA,NA,NA,NA
2015-07-20,17.00,27.00,0.00,NA,NA,NA,NA
2015-07-21,16.00,22.50,0.00,NA,NA,NA,NA
2015-07-22,15.00,22.00,0.00,NA,NA,NA,NA
2015-07-23,15.00,24.00,0.00,NA,NA,NA,NA
2015-07-24,14.00,28.00,0.00,NA,NA,NA,NA
2015-07-25,19.00,NA,NA,NA,NA,NA,NA
2015-07-26,NA,29.00,1.00,NA,NA,NA,NA
2015-07-27,17.00,30.00,0.00,NA,NA,NA,NA
2015-07-28,18.00,NA,NA,NA,NA,NA,NA
2015-07-29,22.00,32.00,0.00,NA,NA,NA,NA
2015-07-30,20.00,27.00,0.00,NA,NA,NA,NA
2015-07-31,22.00,29.00,0.00,NA,NA,NA,NA
2015-08-01,17.00,25.00,0.00,NA,NA,NA,NA
2015-08-02,15.00,29.00,37.00,NA,NA,NA,NA
2015-08-03,16.00,24.00,1.00,NA,NA,NA,NA
2015-08-04,15.00,22.00,0.00,NA,NA,NA,NA
2015-08-05,15.00,20.00,0.00,NA,NA,NA,NA
2015-08-06,15.00,22.00,0.00,NA,NA,NA,NA
2015-08-07,14.00,25.00,0.00,NA,NA,NA,NA
2015-08-08,17.00,23.00,1.00,NA,NA,NA,NA
2015-08-09,14.00,26.00,0.00,NA,NA,NA,NA
2015-08-10,14.00,25.00,2.00,NA,NA,NA,NA
2015-08-11,17.00,22.50,0.00,NA,NA,NA,NA
2015-08-12,15.50,20.00,0.00,NA,NA,NA,NA
2015-08-13,13.00,27.00,0.00,NA,NA,NA,NA
2015-08-14,20.00,25.50,2.20,NA,NA,NA,NA
2015-08-15,17.50,27.50,0.00,NA,NA,NA,NA
2015-08-16,18.00,31.00,0.00,NA,NA,NA,NA
2015-08-17,21.00,31.00,2.00,NA,NA,NA,NA
2015-08-18,21.00,28.00,25.00,NA,NA,NA,NA
2015-08-19,20.00,30.00,2.00,NA,NA,NA,NA
2015-08-20,20.00,25.00,5.00,NA,NA,NA,NA
2015-08-21,16.00,20.00,5.00,NA,NA,NA,NA
2015-08-22,12.00,24.00,0.00,NA,NA,NA,NA
2015-08-23,14.00,25.00,6.00,NA,NA,NA,NA
2015-08-24,14.00,23.00,2.00,NA,NA,NA,NA
2015-08-25,14.00,19.00,10.00,NA,NA,NA,NA
2015-08-26,14.00,17.00,4.00,NA,NA,NA,NA
2015-08-27,14.00,18.00,0.00,NA,NA,NA,NA
2015-08-28,12.00,23.00,0.00,NA,NA,NA,NA
2015-08-29,15.00,21.00,0.00,NA,NA,NA,NA
2015-08-30,15.00,25.00,0.00,NA,NA,NA,NA
2015-08-31,16.50,25.00,0.00,NA,NA,NA,NA
2015-09-01,18.00,27.50,0.00,NA,NA,NA,NA
2015-09-02,17.50,30.00,0.00,NA,NA,NA,NA
2015-09-03,21.00,28.00,0.00,NA,NA,NA,NA
2015-09-04,19.50,28.50,0.00,NA,NA,NA,NA
2015-09-05,17.00,31.00,0.00,NA,NA,NA,NA
2015-09-06,19.00,29.50,0.00,NA,NA,NA,NA
2015-09-07,21.50,31.00,2.00,NA,NA,NA,NA
2015-09-08,21.00,26.00,40.00,NA,NA,NA,NA
2015-09-09,20.00,23.00,0.00,NA,NA,NA,NA
2015-09-10,14.00,25.00,0.00,NA,NA,NA,NA
2015-09-11,17.00,20.00,0.00,NA,NA,NA,NA
2015-09-12,13.00,18.00,6.00,NA,NA,NA,NA
