Daily data for a single station.
StationID:  , CA006117700
StationName:, "BARRIE-ORO"
Lat&Long    , 44.483, -79.550
Elevation:  , -9999.000
Starts(YMD):,2014-01-02
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-02,-25.70,-19.50,NA,NA,NA,NA,NA
2014-01-03,-31.00,-12.80,0.00,NA,NA,NA,NA
2014-01-04,-12.80,-2.30,2.90,NA,NA,NA,NA
2014-01-05,-4.10,-2.10,16.20,NA,NA,NA,NA
2014-01-06,-15.20,-3.40,10.30,NA,NA,NA,NA
2014-01-07,-23.70,-15.20,1.60,NA,NA,NA,NA
2014-01-08,-19.40,-10.90,0.40,NA,NA,NA,NA
2014-01-09,-18.30,-6.60,0.20,NA,NA,NA,NA
2014-01-10,-12.20,1.20,1.40,NA,NA,NA,NA
2014-01-11,0.00,5.00,11.70,NA,NA,NA,NA
2014-01-12,-2.30,0.90,1.00,NA,NA,NA,NA
2014-01-13,-1.60,5.80,0.00,NA,NA,NA,NA
2014-01-14,-4.30,3.20,0.00,NA,NA,NA,NA
2014-01-15,-6.90,-0.40,0.00,NA,NA,NA,NA
2014-01-16,-10.40,-3.30,2.70,NA,NA,NA,NA
2014-01-17,-12.70,-1.20,4.30,NA,NA,NA,NA
2014-01-18,-9.50,-2.80,0.00,NA,NA,NA,NA
2014-01-19,-10.00,-2.60,3.90,NA,NA,NA,NA
2014-01-20,-21.70,-6.40,0.40,NA,NA,NA,NA
2014-01-21,-31.70,-18.90,0.00,NA,NA,NA,NA
2014-01-22,-35.30,-18.20,0.20,NA,NA,NA,NA
2014-01-23,-31.00,-17.00,0.00,NA,NA,NA,NA
2014-01-24,-30.90,-10.30,0.20,NA,NA,NA,NA
2014-01-25,-20.60,-6.50,3.20,NA,NA,NA,NA
2014-01-26,-29.00,-8.40,2.30,NA,NA,NA,NA
2014-01-27,-18.40,-7.50,NA,NA,NA,NA,NA
2014-01-28,-20.10,-15.00,0.40,NA,NA,NA,NA
2014-01-29,-20.00,-11.00,0.00,NA,NA,NA,NA
2014-01-30,-18.00,-4.40,0.00,NA,NA,NA,NA
2014-01-31,-14.50,-3.20,0.20,NA,NA,NA,NA
2014-02-01,-16.70,-1.50,12.50,NA,NA,NA,NA
2014-02-02,-14.30,-2.20,0.40,NA,NA,NA,NA
2014-02-03,-21.20,-6.70,0.00,NA,NA,NA,NA
2014-02-04,-21.70,-6.90,0.20,NA,NA,NA,NA
2014-02-05,-20.40,-8.50,2.10,NA,NA,NA,NA
2014-02-06,-23.20,-9.00,0.00,NA,NA,NA,NA
2014-02-07,-14.00,-11.40,0.00,NA,NA,NA,NA
2014-02-08,-19.30,-8.00,0.20,NA,NA,NA,NA
2014-02-09,-22.40,-9.40,1.30,NA,NA,NA,NA
2014-02-10,-20.50,-9.90,0.70,NA,NA,NA,NA
2014-02-11,-27.00,-12.40,0.20,NA,NA,NA,NA
2014-02-12,-28.10,-7.90,0.20,NA,NA,NA,NA
2014-02-13,-19.50,-4.80,0.00,NA,NA,NA,NA
2014-02-14,-11.80,-3.50,0.00,NA,NA,NA,NA
2014-02-15,-17.60,-6.90,0.00,NA,NA,NA,NA
2014-02-16,-17.80,-10.30,0.20,NA,NA,NA,NA
2014-02-17,-26.60,-8.50,0.20,NA,NA,NA,NA
2014-02-18,-10.70,-2.80,1.80,NA,NA,NA,NA
2014-02-19,-12.60,2.60,0.00,NA,NA,NA,NA
2014-02-20,-12.50,1.00,13.30,NA,NA,NA,NA
2014-02-21,-2.20,3.20,5.20,NA,NA,NA,NA
2014-02-22,-4.80,-0.70,0.00,NA,NA,NA,NA
2014-02-23,-8.90,-3.40,1.10,NA,NA,NA,NA
2014-02-24,-14.90,-8.90,3.30,NA,NA,NA,NA
2014-02-25,-18.90,-9.40,1.80,NA,NA,NA,NA
2014-02-26,-17.40,-13.20,0.90,NA,NA,NA,NA
2014-02-27,-18.70,-12.80,1.10,NA,NA,NA,NA
2014-02-28,-30.30,-13.90,0.20,NA,NA,NA,NA
2014-03-01,-14.40,-5.40,4.70,NA,NA,NA,NA
2014-03-02,-18.90,-12.50,0.50,NA,NA,NA,NA
2014-03-03,-25.80,-14.50,0.20,NA,NA,NA,NA
2014-03-04,-26.40,-10.00,1.00,NA,NA,NA,NA
2014-03-05,-22.40,-7.00,0.40,NA,NA,NA,NA
2014-03-06,-26.50,-6.90,0.00,NA,NA,NA,NA
2014-03-07,-20.60,3.40,0.00,NA,NA,NA,NA
2014-03-08,-12.70,1.70,0.00,NA,NA,NA,NA
2014-03-09,-15.40,-1.80,0.40,NA,NA,NA,NA
2014-03-10,-7.10,5.00,0.00,NA,NA,NA,NA
2014-03-11,-1.70,6.20,0.00,NA,NA,NA,NA
2014-03-12,-17.30,0.90,3.90,NA,NA,NA,NA
2014-03-13,-20.20,-9.30,0.00,NA,NA,NA,NA
2014-03-14,-9.30,7.60,0.00,NA,NA,NA,NA
2014-03-15,-12.00,1.10,0.90,NA,NA,NA,NA
2014-03-16,-23.20,-11.80,0.00,NA,NA,NA,NA
2014-03-17,-24.90,-7.20,0.20,NA,NA,NA,NA
2014-03-18,-11.80,0.90,0.00,NA,NA,NA,NA
