Daily data for a single station.
StationID:  , CA006119500
StationName:, "WIARTON A"
Lat&Long    , 44.750, -81.100
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-11-05
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-16.90,-9.50,1.40,NA,NA,NA,NA
2014-01-02,-17.90,-14.40,1.80,NA,NA,NA,NA
2014-01-03,-25.10,-11.50,0.00,NA,NA,NA,NA
2014-01-04,-11.60,-0.40,3.70,NA,NA,NA,NA
2014-01-05,-4.30,-0.40,12.90,NA,NA,NA,NA
2014-01-06,-14.50,-4.30,16.80,NA,NA,NA,NA
2014-01-07,-15.90,-10.80,8.20,NA,NA,NA,NA
2014-01-08,-11.70,-8.20,4.40,NA,NA,NA,NA
2014-01-09,-15.40,-5.00,0.20,NA,NA,NA,NA
2014-01-10,-8.00,4.20,0.80,NA,NA,NA,NA
2014-01-11,0.10,5.10,13.20,NA,NA,NA,NA
2014-01-12,-0.40,2.30,0.00,NA,NA,NA,NA
2014-01-13,1.20,5.50,0.80,NA,NA,NA,NA
2014-01-14,-2.70,2.50,0.60,NA,NA,NA,NA
2014-01-15,-6.00,0.00,3.00,NA,NA,NA,NA
2014-01-16,-7.40,-3.60,1.20,NA,NA,NA,NA
2014-01-17,-3.80,-0.70,2.20,NA,NA,NA,NA
2014-01-18,-7.60,-1.90,6.80,NA,NA,NA,NA
2014-01-19,-8.20,-1.40,8.20,NA,NA,NA,NA
2014-01-20,-19.30,-7.90,1.80,NA,NA,NA,NA
2014-01-21,-27.00,-16.00,0.20,NA,NA,NA,NA
2014-01-22,-31.10,-14.70,0.60,NA,NA,NA,NA
2014-01-23,-28.70,-14.40,1.60,NA,NA,NA,NA
2014-01-24,-21.30,-9.00,11.60,NA,NA,NA,NA
2014-01-25,-16.90,-5.40,8.50,NA,NA,NA,NA
