Daily data for a single station.
StationID:  , CA006122847
StationName:, "GODERICH"
Lat&Long    , 43.767, -81.717
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-05-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-14.60,-8.40,0.00,NA,NA,NA,NA
2014-01-02,-16.70,-14.50,0.00,NA,NA,NA,NA
2014-01-03,-19.30,-9.50,0.00,NA,NA,NA,NA
2014-01-04,-9.50,-1.40,2.60,NA,NA,NA,NA
2014-01-05,-3.60,-1.20,15.80,NA,NA,NA,NA
2014-01-06,-17.70,-3.10,1.70,NA,NA,NA,NA
2014-01-07,-18.80,-13.20,0.40,NA,NA,NA,NA
2014-01-08,-13.30,-8.00,0.00,NA,NA,NA,NA
2014-01-09,-10.40,-6.10,0.00,NA,NA,NA,NA
2014-01-10,-6.10,4.90,4.90,NA,NA,NA,NA
2014-01-11,0.80,6.50,11.40,NA,NA,NA,NA
2014-01-12,0.10,2.50,0.00,NA,NA,NA,NA
2014-01-13,1.80,5.80,0.00,NA,NA,NA,NA
2014-01-14,-0.30,2.00,0.00,NA,NA,NA,NA
2014-01-15,-5.60,0.90,0.20,NA,NA,NA,NA
2014-01-16,-6.60,-2.50,0.90,NA,NA,NA,NA
2014-01-17,-4.80,-0.80,1.20,NA,NA,NA,NA
2014-01-18,-7.80,-4.80,0.40,NA,NA,NA,NA
2014-01-19,-6.50,-1.80,0.00,NA,NA,NA,NA
2014-01-20,-16.00,-2.10,2.00,NA,NA,NA,NA
2014-01-21,-20.70,-15.90,0.00,NA,NA,NA,NA
2014-01-22,-24.60,-13.10,0.00,NA,NA,NA,NA
2014-01-23,-19.70,-12.10,1.30,NA,NA,NA,NA
2014-01-24,-14.70,-8.20,0.70,NA,NA,NA,NA
2014-01-25,-12.90,-4.40,1.30,NA,NA,NA,NA
2014-01-26,-14.00,-5.80,0.50,NA,NA,NA,NA
2014-01-27,-16.00,-7.80,0.20,NA,NA,NA,NA
2014-01-28,-17.00,-12.70,0.00,NA,NA,NA,NA
2014-01-29,-16.30,-8.40,0.00,NA,NA,NA,NA
2014-01-30,-12.20,-3.50,0.00,NA,NA,NA,NA
2014-01-31,-9.20,-1.80,0.40,NA,NA,NA,NA
2014-02-01,-10.30,-0.70,8.40,NA,NA,NA,NA
