Daily data for a single station.
StationID:  , CA00612HKLR
StationName:, "THEDFORD"
Lat&Long    , 43.183, -81.850
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-01-25
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-12.50,-3.50,1.50,NA,NA,NA,NA
2014-01-02,-14.50,-14.00,0.00,NA,NA,NA,NA
2014-01-03,-20.50,-6.50,0.00,NA,NA,NA,NA
2014-01-04,-14.00,-2.50,9.00,NA,NA,NA,NA
2014-01-05,-3.00,0.00,18.00,NA,NA,NA,NA
2014-01-06,-15.00,-10.00,1.00,NA,NA,NA,NA
2014-01-07,-26.00,-18.00,0.00,NA,NA,NA,NA
2014-01-08,NA,NA,NA,NA,NA,NA,NA
2014-01-09,NA,NA,NA,NA,NA,NA,NA
2014-01-10,-8.50,4.00,9.20,NA,NA,NA,NA
2014-01-11,2.00,5.00,6.20,NA,NA,NA,NA
2014-01-12,0.00,3.00,0.00,NA,NA,NA,NA
2014-01-13,0.00,5.50,0.00,NA,NA,NA,NA
2014-01-14,-1.50,3.50,1.00,NA,NA,NA,NA
2014-01-15,-4.00,-2.50,0.00,NA,NA,NA,NA
2014-01-16,-10.50,-2.00,6.50,NA,NA,NA,NA
2014-01-17,-4.00,0.50,2.00,NA,NA,NA,NA
2014-01-18,NA,NA,NA,NA,NA,NA,NA
2014-01-19,NA,NA,NA,NA,NA,NA,NA
2014-01-20,NA,NA,NA,NA,NA,NA,NA
2014-01-21,-21.50,-15.00,0.00,NA,NA,NA,NA
2014-01-22,-26.00,-13.00,1.00,NA,NA,NA,NA
2014-01-23,-18.00,-13.00,4.00,NA,NA,NA,NA
2014-01-24,-21.50,-6.00,8.00,NA,NA,NA,NA
2014-01-25,-13.00,-4.50,9.00,NA,NA,NA,NA
