Daily data for a single station.
StationID:  , CA006131983
StationName:, "DELHI CS"
Lat&Long    , 42.867, -80.550
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-05-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-14.20,-8.00,2.50,NA,NA,NA,NA
2014-01-02,-17.70,-14.20,4.50,NA,NA,NA,NA
2014-01-03,-23.00,-8.90,1.50,NA,NA,NA,NA
2014-01-04,-8.90,0.30,0.00,NA,NA,NA,NA
2014-01-05,-2.30,0.70,13.00,NA,NA,NA,NA
2014-01-06,-23.60,0.40,3.40,NA,NA,NA,NA
2014-01-07,-24.20,-16.30,0.30,NA,NA,NA,NA
2014-01-08,-16.30,-8.50,0.20,NA,NA,NA,NA
2014-01-09,-22.80,-6.30,2.20,NA,NA,NA,NA
2014-01-10,-6.70,4.00,6.50,NA,NA,NA,NA
2014-01-11,0.90,7.70,13.30,NA,NA,NA,NA
2014-01-12,-0.10,1.80,0.00,NA,NA,NA,NA
2014-01-13,0.90,7.30,1.60,NA,NA,NA,NA
2014-01-14,-2.30,3.80,NA,NA,NA,NA,NA
2014-01-15,-4.90,1.10,0.00,NA,NA,NA,NA
2014-01-16,-5.70,-2.70,2.60,NA,NA,NA,NA
2014-01-17,-4.30,-0.30,2.70,NA,NA,NA,NA
2014-01-18,-11.30,-4.30,0.70,NA,NA,NA,NA
2014-01-19,-9.80,-2.30,0.40,NA,NA,NA,NA
2014-01-20,-12.80,-1.70,0.00,NA,NA,NA,NA
2014-01-21,-21.40,-12.70,NA,NA,NA,NA,NA
2014-01-22,-23.30,-12.90,0.30,NA,NA,NA,NA
2014-01-23,-19.60,-11.00,0.80,NA,NA,NA,NA
2014-01-24,-18.60,-8.60,2.70,NA,NA,NA,NA
2014-01-25,-16.00,-4.80,14.20,NA,NA,NA,NA
2014-01-26,-20.90,-3.80,1.50,NA,NA,NA,NA
2014-01-27,-20.00,-3.50,2.70,NA,NA,NA,NA
2014-01-28,-21.80,-13.70,0.30,NA,NA,NA,NA
2014-01-29,-18.40,-10.70,0.00,NA,NA,NA,NA
2014-01-30,-13.50,-3.50,0.20,NA,NA,NA,NA
2014-01-31,-3.90,1.10,0.00,NA,NA,NA,NA
2014-02-01,-3.50,2.30,NA,NA,NA,NA,NA
2014-02-02,-10.70,-0.40,0.50,NA,NA,NA,NA
2014-02-03,-17.90,-5.40,NA,NA,NA,NA,NA
2014-02-04,-18.90,-5.90,NA,NA,NA,NA,NA
2014-02-05,-16.90,-5.10,8.60,NA,NA,NA,NA
2014-02-06,-20.00,-7.90,0.50,NA,NA,NA,NA
2014-02-07,-15.30,-12.00,0.20,NA,NA,NA,NA
2014-02-08,-19.40,-10.00,0.40,NA,NA,NA,NA
2014-02-09,-19.40,-6.70,2.10,NA,NA,NA,NA
2014-02-10,-20.90,-9.20,0.50,NA,NA,NA,NA
2014-02-11,-25.50,-10.80,0.00,NA,NA,NA,NA
2014-02-12,-28.00,-6.30,0.00,NA,NA,NA,NA
2014-02-13,-21.10,-2.70,0.00,NA,NA,NA,NA
2014-02-14,-7.50,-2.40,0.00,NA,NA,NA,NA
2014-02-15,-19.80,-5.50,0.00,NA,NA,NA,NA
2014-02-16,-22.10,-7.40,2.20,NA,NA,NA,NA
2014-02-17,-28.20,-4.20,5.10,NA,NA,NA,NA
2014-02-18,-7.30,-1.30,2.40,NA,NA,NA,NA
2014-02-19,-4.20,3.40,0.00,NA,NA,NA,NA
2014-02-20,-4.60,2.10,23.30,NA,NA,NA,NA
2014-02-21,0.20,4.80,7.50,NA,NA,NA,NA
2014-02-22,-0.50,2.00,0.00,NA,NA,NA,NA
2014-02-23,-6.40,-0.40,0.00,NA,NA,NA,NA
2014-02-24,-9.10,-6.30,0.30,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,NA,NA
2014-02-26,-16.00,-9.40,0.00,NA,NA,NA,NA
2014-02-27,-20.00,-9.90,0.30,NA,NA,NA,NA
2014-02-28,-23.50,-11.20,0.40,NA,NA,NA,NA
