Daily data for a single station.
StationID:  , CA006133055
StationName:, "GRIMSBY MOUNTAIN"
Lat&Long    , 43.183, -79.567
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-12.50,-5.70,5.80,NA,NA,NA,NA
2014-01-02,-13.80,-10.60,8.60,NA,NA,NA,NA
2014-01-03,-18.90,-6.80,0.00,NA,NA,NA,NA
2014-01-04,-17.10,0.20,0.20,NA,NA,NA,NA
2014-01-05,-1.40,1.00,17.20,NA,NA,NA,NA
2014-01-06,-16.40,-4.40,0.20,NA,NA,NA,NA
2014-01-07,-22.50,-13.60,0.00,NA,NA,NA,NA
2014-01-08,-16.70,-6.40,0.00,NA,NA,NA,NA
2014-01-09,-14.20,-3.30,1.60,NA,NA,NA,NA
2014-01-10,-8.10,5.90,6.00,NA,NA,NA,NA
2014-01-11,2.10,8.20,5.00,NA,NA,NA,NA
2014-01-12,0.60,4.80,0.00,NA,NA,NA,NA
2014-01-13,0.30,8.30,2.10,NA,NA,NA,NA
2014-01-14,-0.50,5.40,0.00,NA,NA,NA,NA
2014-01-15,-2.80,0.20,0.20,NA,NA,NA,NA
2014-01-16,-5.30,-0.80,1.80,NA,NA,NA,NA
2014-01-17,-2.20,3.20,0.40,NA,NA,NA,NA
2014-01-18,-8.70,-5.20,1.10,NA,NA,NA,NA
2014-01-19,-10.10,-1.40,0.40,NA,NA,NA,NA
2014-01-20,-9.80,-3.20,0.20,NA,NA,NA,NA
2014-01-21,-15.70,-12.80,0.80,NA,NA,NA,NA
2014-01-22,-21.10,-12.20,0.80,NA,NA,NA,NA
2014-01-23,-14.90,-10.20,0.20,NA,NA,NA,NA
2014-01-24,-18.70,-6.70,2.80,NA,NA,NA,NA
2014-01-25,-10.30,-2.60,1.60,NA,NA,NA,NA
2014-01-26,-17.30,-2.70,5.20,NA,NA,NA,NA
2014-01-27,-16.10,-7.00,0.00,NA,NA,NA,NA
2014-01-28,-21.00,-12.30,0.00,NA,NA,NA,NA
2014-01-29,-16.70,-8.40,0.00,NA,NA,NA,NA
2014-01-30,-12.30,-1.00,0.00,NA,NA,NA,NA
2014-01-31,-3.10,3.70,0.00,NA,NA,NA,NA
2014-02-01,-2.70,3.00,16.30,NA,NA,NA,NA
2014-02-02,-4.00,-0.90,0.00,NA,NA,NA,NA
2014-02-03,-7.80,-2.20,0.00,NA,NA,NA,NA
2014-02-04,-11.90,-3.00,5.30,NA,NA,NA,NA
2014-02-05,-7.80,-3.80,15.20,NA,NA,NA,NA
2014-02-06,-18.60,-5.50,0.00,NA,NA,NA,NA
2014-02-07,-13.50,-10.00,0.00,NA,NA,NA,NA
2014-02-08,-16.10,-6.70,0.20,NA,NA,NA,NA
2014-02-09,-13.40,-6.40,2.60,NA,NA,NA,NA
2014-02-10,-14.60,-4.50,0.00,NA,NA,NA,NA
2014-02-11,-13.80,-6.80,0.00,NA,NA,NA,NA
2014-02-12,-19.90,-4.50,0.00,NA,NA,NA,NA
2014-02-13,-16.30,-1.70,0.00,NA,NA,NA,NA
2014-02-14,-5.80,0.00,0.00,NA,NA,NA,NA
2014-02-15,-9.30,-1.60,0.00,NA,NA,NA,NA
2014-02-16,-16.30,-6.10,1.20,NA,NA,NA,NA
2014-02-17,-20.30,-1.40,5.80,NA,NA,NA,NA
2014-02-18,-6.60,2.70,0.20,NA,NA,NA,NA
2014-02-19,-4.90,10.00,0.80,NA,NA,NA,NA
2014-02-20,-2.60,6.00,28.40,NA,NA,NA,NA
2014-02-21,0.30,5.70,1.20,NA,NA,NA,NA
2014-02-22,0.50,5.90,0.00,NA,NA,NA,NA
2014-02-23,-4.60,3.30,0.00,NA,NA,NA,NA
2014-02-24,-7.30,-2.90,0.00,NA,NA,NA,NA
2014-02-25,-10.60,-3.80,0.00,NA,NA,NA,NA
2014-02-26,-15.60,-8.90,0.20,NA,NA,NA,NA
2014-02-27,-14.30,-7.80,0.00,NA,NA,NA,NA
2014-02-28,-19.20,-8.40,0.00,NA,NA,NA,NA
2014-03-01,-13.40,0.90,10.80,NA,NA,NA,NA
2014-03-02,-13.60,-7.90,0.00,NA,NA,NA,NA
2014-03-03,-19.00,-10.10,0.00,NA,NA,NA,NA
2014-03-04,-20.30,-8.40,2.80,NA,NA,NA,NA
2014-03-05,-10.10,-4.80,0.20,NA,NA,NA,NA
2014-03-06,-12.10,-2.50,0.00,NA,NA,NA,NA
2014-03-07,-12.40,6.00,0.00,NA,NA,NA,NA
2014-03-08,-2.20,1.40,0.00,NA,NA,NA,NA
2014-03-09,-11.70,1.40,0.00,NA,NA,NA,NA
2014-03-10,-2.90,8.50,0.00,NA,NA,NA,NA
2014-03-11,2.80,12.40,1.20,NA,NA,NA,NA
2014-03-12,-10.20,-0.10,25.80,NA,NA,NA,NA
