Daily data for a single station.
StationID:  , CA006137161
StationName:, "RIDGEVILLE"
Lat&Long    , 43.050, -79.333
Elevation:  , -9999.000
Starts(YMD):,2020-01-01
Ends(YMD):  ,2022-02-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2020-01-01,-3.00,3.00,0.00,NA,NA,NA,NA
2020-01-02,-2.00,7.00,0.00,NA,NA,NA,NA
2020-01-03,5.00,7.00,4.00,NA,NA,NA,NA
2020-01-04,0.00,1.00,0.00,NA,NA,NA,NA
2020-01-05,-1.00,1.00,6.00,NA,NA,NA,NA
2020-01-06,-1.00,3.00,0.00,NA,NA,NA,NA
2020-01-07,-3.00,3.00,0.00,NA,NA,NA,NA
2020-01-08,-5.00,-3.00,0.00,NA,NA,NA,NA
2020-01-09,-10.00,8.00,0.00,NA,NA,NA,NA
2020-01-10,-3.00,12.00,12.20,NA,NA,NA,NA
2020-01-11,5.00,14.00,25.00,NA,NA,NA,NA
2020-01-12,-4.00,1.00,0.00,NA,NA,NA,NA
2020-01-13,-3.00,2.00,1.00,NA,NA,NA,NA
2020-01-14,-2.00,7.00,0.00,NA,NA,NA,NA
2020-01-15,1.00,4.00,0.00,NA,NA,NA,NA
2020-01-16,-2.00,1.00,2.00,NA,NA,NA,NA
2020-01-17,-11.00,-5.00,0.00,NA,NA,NA,NA
2020-01-18,-11.00,4.00,8.00,NA,NA,NA,NA
2020-01-19,-7.00,-2.00,0.00,NA,NA,NA,NA
2020-01-20,-13.00,-5.00,0.00,NA,NA,NA,NA
2020-01-21,-9.00,-2.00,0.00,NA,NA,NA,NA
2020-01-22,-7.00,-1.00,0.00,NA,NA,NA,NA
2020-01-23,-3.00,4.00,0.00,NA,NA,NA,NA
2020-01-24,0.00,7.00,27.00,NA,NA,NA,NA
2020-01-25,2.00,4.00,0.00,NA,NA,NA,NA
2020-01-26,-1.00,2.00,2.00,NA,NA,NA,NA
2020-01-27,0.00,1.00,0.00,NA,NA,NA,NA
2020-01-28,-1.00,1.00,0.00,NA,NA,NA,NA
2020-01-29,-5.00,-3.00,0.00,NA,NA,NA,NA
2020-01-30,-9.00,-1.00,0.00,NA,NA,NA,NA
2020-01-31,-4.00,0.00,0.00,NA,NA,NA,NA
2020-02-01,-4.00,0.00,6.00,NA,NA,NA,NA
2020-02-02,-3.00,2.00,2.00,NA,NA,NA,NA
2020-02-03,0.00,6.00,0.00,NA,NA,NA,NA
2020-02-04,0.00,1.00,0.00,NA,NA,NA,NA
2020-02-05,-6.00,-3.00,3.00,NA,NA,NA,NA
2020-02-06,-6.00,-2.00,0.00,NA,NA,NA,NA
2020-02-07,-5.00,-3.00,5.00,NA,NA,NA,NA
2020-02-08,-10.00,-5.00,0.00,NA,NA,NA,NA
2020-02-09,-10.00,3.00,3.00,NA,NA,NA,NA
2020-02-10,0.00,5.00,0.00,NA,NA,NA,NA
2020-02-11,-1.00,2.00,0.00,NA,NA,NA,NA
2020-02-12,-5.00,1.00,0.20,NA,NA,NA,NA
2020-02-13,-5.00,1.00,2.00,NA,NA,NA,NA
2020-02-14,-16.00,-7.00,0.00,NA,NA,NA,NA
2020-02-15,-14.00,1.00,0.00,NA,NA,NA,NA
2020-02-16,-2.00,2.00,0.00,NA,NA,NA,NA
2020-02-17,-4.00,2.00,3.10,NA,NA,NA,NA
2020-02-18,-3.00,5.00,0.00,NA,NA,NA,NA
2020-02-19,-3.00,-1.00,0.00,NA,NA,NA,NA
2020-02-20,-9.00,0.00,0.00,NA,NA,NA,NA
2020-02-21,-11.00,-1.00,0.00,NA,NA,NA,NA
2020-02-22,-3.00,2.00,0.00,NA,NA,NA,NA
2020-02-23,0.00,8.00,0.00,NA,NA,NA,NA
2020-02-24,2.00,8.00,0.00,NA,NA,NA,NA
2020-02-25,1.00,2.00,3.00,NA,NA,NA,NA
2020-02-26,-1.00,0.00,13.00,NA,NA,NA,NA
2020-02-27,-6.00,-5.00,0.00,NA,NA,NA,NA
2020-02-28,-8.00,-4.00,3.00,NA,NA,NA,NA
2020-02-29,-12.00,-5.00,0.00,NA,NA,NA,NA
2020-03-01,-8.00,2.00,0.00,NA,NA,NA,NA
2020-03-02,NA,5.00,6.00,NA,NA,NA,NA
2020-03-03,0.00,7.00,7.40,NA,NA,NA,NA
2020-03-04,0.00,5.00,0.00,NA,NA,NA,NA
2020-03-05,-3.00,6.00,0.00,NA,NA,NA,NA
2020-03-06,-2.00,0.00,5.00,NA,NA,NA,NA
2020-03-07,-6.00,2.00,0.00,NA,NA,NA,NA
2020-03-08,-2.00,11.00,0.00,NA,NA,NA,NA
2020-03-09,7.00,15.00,0.00,NA,NA,NA,NA
2020-03-10,6.00,10.00,0.00,NA,NA,NA,NA
2020-03-11,-3.00,6.00,0.00,NA,NA,NA,NA
2020-03-12,0.00,10.00,14.00,NA,NA,NA,NA
2020-03-13,3.00,8.00,0.00,NA,NA,NA,NA
2020-03-14,-2.00,3.00,0.00,NA,NA,NA,NA
2020-03-15,-2.00,2.00,0.00,NA,NA,NA,NA
2020-03-16,-5.00,9.00,0.00,NA,NA,NA,NA
2020-03-17,1.00,7.00,0.00,NA,NA,NA,NA
2020-03-18,-2.00,7.00,6.00,NA,NA,NA,NA
2020-03-19,1.00,15.00,6.10,NA,NA,NA,NA
2020-03-20,5.00,17.00,1.20,NA,NA,NA,NA
2020-03-21,-6.00,-2.00,0.00,NA,NA,NA,NA
2020-03-22,-6.00,3.00,1.10,NA,NA,NA,NA
2020-03-23,-2.00,4.00,4.00,NA,NA,NA,NA
2020-03-24,1.00,5.00,0.00,NA,NA,NA,NA
2020-03-25,1.00,12.00,0.30,NA,NA,NA,NA
2020-03-26,1.00,14.00,0.00,NA,NA,NA,NA
2020-03-27,1.00,9.00,0.00,NA,NA,NA,NA
2020-03-28,4.00,10.00,14.40,NA,NA,NA,NA
2020-03-29,5.00,20.00,9.10,NA,NA,NA,NA
2020-03-30,5.00,7.00,3.60,NA,NA,NA,NA
2020-03-31,3.00,7.00,0.20,NA,NA,NA,NA
2020-04-01,0.00,9.00,0.00,NA,NA,NA,NA
2020-04-02,2.00,15.00,0.00,NA,NA,NA,NA
2020-04-03,2.00,10.00,0.40,NA,NA,NA,NA
2020-04-04,5.00,12.00,0.40,NA,NA,NA,NA
2020-04-05,5.00,11.00,0.00,NA,NA,NA,NA
2020-04-06,1.00,12.00,0.00,NA,NA,NA,NA
2020-04-07,5.00,16.00,2.40,NA,NA,NA,NA
2020-04-08,4.00,16.00,12.00,NA,NA,NA,NA
2020-04-09,0.00,10.00,4.30,NA,NA,NA,NA
2020-04-10,0.00,6.00,0.00,NA,NA,NA,NA
2020-04-11,-2.00,7.00,0.00,NA,NA,NA,NA
2020-04-12,2.00,17.00,14.00,NA,NA,NA,NA
2020-04-13,7.00,16.00,4.30,NA,NA,NA,NA
2020-04-14,-1.00,6.00,0.00,NA,NA,NA,NA
2020-04-15,-2.00,5.00,0.00,NA,NA,NA,NA
2020-04-16,-4.50,4.00,0.00,NA,NA,NA,NA
2020-04-17,-1.00,4.00,0.00,NA,NA,NA,NA
2020-04-18,-2.00,7.00,0.00,NA,NA,NA,NA
2020-04-19,4.00,11.00,7.40,NA,NA,NA,NA
2020-04-20,-3.00,10.00,2.10,NA,NA,NA,NA
