Daily data for a single station.
StationID:  , CA006138269
StationName:, "TILLSONBURG NORTH"
Lat&Long    , 42.867, -80.733
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2016-06-14
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-11.00,-7.00,2.40,NA,NA,NA,NA
2014-01-02,-15.00,-13.00,0.90,NA,NA,NA,NA
2014-01-03,-20.50,-4.00,0.20,NA,NA,NA,NA
2014-01-04,-13.50,0.00,0.50,NA,NA,NA,NA
2014-01-05,-2.00,1.00,9.40,NA,NA,NA,NA
2014-01-06,-18.00,-8.50,0.20,NA,NA,NA,NA
2014-01-07,-24.50,-13.00,0.10,NA,NA,NA,NA
2014-01-08,-18.50,-8.50,2.20,NA,NA,NA,NA
2014-01-09,-22.00,-1.00,3.40,NA,NA,NA,NA
2014-01-10,-7.00,7.50,15.80,NA,NA,NA,NA
2014-01-11,2.00,7.00,5.40,NA,NA,NA,NA
2014-01-12,0.00,4.00,0.00,NA,NA,NA,NA
2014-01-13,0.00,7.00,1.70,NA,NA,NA,NA
2014-01-14,-3.50,5.00,0.10,NA,NA,NA,NA
2014-01-15,-4.00,-2.50,0.50,NA,NA,NA,NA
2014-01-16,-5.50,-1.00,4.40,NA,NA,NA,NA
2014-01-17,-3.00,2.00,5.00,NA,NA,NA,NA
2014-01-18,-10.00,-6.00,0.20,NA,NA,NA,NA
2014-01-19,-12.00,-1.00,0.10,NA,NA,NA,NA
2014-01-20,-5.50,-5.00,0.00,NA,NA,NA,NA
2014-01-21,-19.00,-12.50,0.00,NA,NA,NA,NA
2014-01-22,-23.00,-11.00,1.00,NA,NA,NA,NA
2014-01-23,-16.50,-9.50,0.20,NA,NA,NA,NA
2014-01-24,-20.00,-5.50,33.60,NA,NA,NA,NA
2014-01-25,-13.50,-4.00,0.10,NA,NA,NA,NA
2014-01-26,-22.00,-3.00,10.80,NA,NA,NA,NA
2014-01-27,-16.50,-11.00,0.00,NA,NA,NA,NA
2014-01-28,-22.00,-12.50,0.00,NA,NA,NA,NA
2014-01-29,-19.00,-10.00,0.00,NA,NA,NA,NA
2014-01-30,-16.50,-1.50,0.60,NA,NA,NA,NA
2014-01-31,-4.00,2.50,0.50,NA,NA,NA,NA
2014-02-01,-2.00,2.50,19.60,NA,NA,NA,NA
2014-02-02,-7.00,-2.50,0.00,NA,NA,NA,NA
2014-02-03,-11.50,-3.00,0.00,NA,NA,NA,NA
2014-02-04,-17.50,-2.00,5.50,NA,NA,NA,NA
2014-02-05,-9.50,-5.50,8.70,NA,NA,NA,NA
2014-02-06,-18.00,-7.00,5.50,NA,NA,NA,NA
2014-02-07,-17.50,-11.00,0.40,NA,NA,NA,NA
2014-02-08,-20.00,-9.00,3.40,NA,NA,NA,NA
2014-02-09,-15.50,-6.00,2.20,NA,NA,NA,NA
2014-02-10,-19.00,-6.00,0.00,NA,NA,NA,NA
2014-02-11,-15.50,-8.50,0.00,NA,NA,NA,NA
2014-02-12,-25.00,-4.00,0.00,NA,NA,NA,NA
2014-02-13,-18.00,-1.00,0.00,NA,NA,NA,NA
2014-02-14,-6.00,-1.50,2.50,NA,NA,NA,NA
2014-02-15,-11.50,-6.50,0.90,NA,NA,NA,NA
2014-02-16,-18.00,-5.00,1.00,NA,NA,NA,NA
2014-02-17,-24.50,-1.50,9.50,NA,NA,NA,NA
2014-02-18,-7.00,4.00,0.00,NA,NA,NA,NA
2014-02-19,-4.50,5.00,0.00,NA,NA,NA,NA
2014-02-20,-6.00,6.50,24.20,NA,NA,NA,NA
2014-02-21,1.00,4.50,0.00,NA,NA,NA,NA
2014-02-22,0.00,3.50,0.00,NA,NA,NA,NA
2014-02-23,-7.00,1.00,0.80,NA,NA,NA,NA
2014-02-24,-8.00,-4.50,0.70,NA,NA,NA,NA
2014-02-25,-10.50,-5.50,0.80,NA,NA,NA,NA
