Daily data for a single station.
StationID:  , CA006139141
StationName:, "VINELAND"
Lat&Long    , 43.150, -79.417
Elevation:  , -9999.000
Starts(YMD):,2022-11-20
Ends(YMD):  ,2022-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2022-11-20,NA,-0.50,0.00,NA,NA,NA,NA
2022-11-21,-7.50,6.50,0.00,NA,NA,NA,NA
2022-11-22,-1.50,7.50,0.00,NA,NA,NA,NA
2022-11-23,-1.50,NA,0.00,NA,NA,NA,NA
2022-11-24,NA,NA,0.00,NA,NA,NA,NA
2022-11-25,NA,NA,0.40,NA,NA,NA,NA
2022-11-26,NA,NA,0.00,NA,NA,NA,NA
2022-11-27,NA,NA,3.60,NA,NA,NA,NA
2022-11-28,NA,NA,0.00,NA,NA,NA,NA
2022-11-29,NA,NA,0.00,NA,NA,NA,NA
2022-11-30,NA,NA,25.40,NA,NA,NA,NA
2022-12-01,NA,NA,0.00,NA,NA,NA,NA
2022-12-02,NA,NA,1.00,NA,NA,NA,NA
2022-12-03,NA,NA,4.20,NA,NA,NA,NA
2022-12-04,NA,NA,0.00,NA,NA,NA,NA
2022-12-05,NA,NA,0.00,NA,NA,NA,NA
2022-12-06,NA,NA,0.40,NA,NA,NA,NA
2022-12-07,NA,NA,0.60,NA,NA,NA,NA
2022-12-08,NA,NA,0.00,NA,NA,NA,NA
2022-12-09,NA,NA,0.40,NA,NA,NA,NA
2022-12-10,NA,NA,0.00,NA,NA,NA,NA
2022-12-11,NA,NA,0.00,NA,NA,NA,NA
2022-12-12,NA,NA,0.00,NA,NA,NA,NA
2022-12-13,NA,NA,0.00,NA,NA,NA,NA
2022-12-14,NA,NA,0.00,NA,NA,NA,NA
2022-12-15,NA,NA,18.00,NA,NA,NA,NA
2022-12-16,NA,NA,0.20,NA,NA,NA,NA
2022-12-17,NA,NA,0.00,NA,NA,NA,NA
2022-12-18,NA,NA,0.00,NA,NA,NA,NA
2022-12-19,NA,NA,0.00,NA,NA,NA,NA
2022-12-20,NA,NA,0.00,NA,NA,NA,NA
2022-12-21,NA,NA,0.00,NA,NA,NA,NA
2022-12-22,NA,NA,0.00,NA,NA,NA,NA
2022-12-23,NA,NA,0.00,NA,NA,NA,NA
2022-12-24,NA,NA,0.00,NA,NA,NA,NA
2022-12-25,NA,NA,0.00,NA,NA,NA,NA
2022-12-26,NA,NA,0.00,NA,NA,NA,NA
2022-12-27,NA,NA,0.00,NA,NA,NA,NA
2022-12-28,NA,NA,0.00,NA,NA,NA,NA
2022-12-29,NA,NA,0.00,NA,NA,NA,NA
2022-12-30,NA,NA,0.00,NA,NA,NA,NA
2022-12-31,NA,NA,0.00,NA,NA,NA,NA
