Daily data for a single station.
StationID:  , CA006139148
StationName:, "VINELAND STATION RCS"
Lat&Long    , 43.183, -79.400
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-10.80,-5.80,1.20,NA,NA,NA,NA
2014-01-02,-15.10,-7.80,7.30,NA,NA,NA,NA
2014-01-03,-17.20,-7.60,0.20,NA,NA,NA,NA
2014-01-04,-7.60,1.70,0.00,NA,NA,NA,NA
2014-01-05,-1.00,1.00,11.20,NA,NA,NA,NA
2014-01-06,-19.30,3.90,4.10,NA,NA,NA,NA
2014-01-07,-21.00,-14.20,0.00,NA,NA,NA,NA
2014-01-08,-14.20,-6.80,0.00,NA,NA,NA,NA
2014-01-09,-12.10,-4.30,0.50,NA,NA,NA,NA
2014-01-10,-6.70,3.90,1.40,NA,NA,NA,NA
2014-01-11,1.30,9.30,6.70,NA,NA,NA,NA
2014-01-12,0.80,3.10,0.00,NA,NA,NA,NA
2014-01-13,2.20,9.10,0.60,NA,NA,NA,NA
2014-01-14,-1.30,5.90,0.00,NA,NA,NA,NA
2014-01-15,-3.10,2.50,NA,NA,NA,NA,NA
2014-01-16,-3.70,-0.30,0.00,NA,NA,NA,NA
2014-01-17,-1.80,3.40,1.10,NA,NA,NA,NA
2014-01-18,-8.80,-0.80,0.60,NA,NA,NA,NA
2014-01-19,-6.80,-1.30,0.00,NA,NA,NA,NA
2014-01-20,-11.10,-0.50,0.20,NA,NA,NA,NA
2014-01-21,-14.70,-10.90,0.40,NA,NA,NA,NA
2014-01-22,-17.70,-12.50,0.40,NA,NA,NA,NA
2014-01-23,-17.30,-10.70,1.60,NA,NA,NA,NA
2014-01-24,-17.00,-7.90,0.20,NA,NA,NA,NA
2014-01-25,-13.50,-3.00,1.80,NA,NA,NA,NA
2014-01-26,-16.20,-1.70,0.40,NA,NA,NA,NA
2014-01-27,-16.70,-1.70,2.30,NA,NA,NA,NA
2014-01-28,-19.60,-12.90,0.00,NA,NA,NA,NA
2014-01-29,-16.20,-9.20,0.00,NA,NA,NA,NA
2014-01-30,-11.40,-0.30,0.00,NA,NA,NA,NA
2014-01-31,-1.50,2.40,0.00,NA,NA,NA,NA
2014-02-01,-1.80,3.90,12.30,NA,NA,NA,NA
2014-02-02,-5.10,1.50,1.10,NA,NA,NA,NA
2014-02-03,-9.10,-3.20,0.00,NA,NA,NA,NA
2014-02-04,-10.40,-3.40,0.60,NA,NA,NA,NA
2014-02-05,-9.00,-2.80,11.20,NA,NA,NA,NA
2014-02-06,-13.90,-6.50,0.30,NA,NA,NA,NA
2014-02-07,-13.30,-9.90,0.20,NA,NA,NA,NA
2014-02-08,-16.80,-8.10,0.20,NA,NA,NA,NA
2014-02-09,-13.20,-6.20,3.00,NA,NA,NA,NA
2014-02-10,-12.60,-5.90,0.20,NA,NA,NA,NA
2014-02-11,-18.50,-8.90,0.00,NA,NA,NA,NA
2014-02-12,-18.80,-4.90,0.20,NA,NA,NA,NA
2014-02-13,-14.70,-2.40,0.00,NA,NA,NA,NA
2014-02-14,-4.90,-1.30,0.00,NA,NA,NA,NA
2014-02-15,-12.00,-2.80,0.00,NA,NA,NA,NA
2014-02-16,-15.00,-6.70,1.10,NA,NA,NA,NA
2014-02-17,-17.80,-2.20,1.10,NA,NA,NA,NA
2014-02-18,-4.40,-0.60,1.70,NA,NA,NA,NA
2014-02-19,-2.10,6.30,0.70,NA,NA,NA,NA
2014-02-20,-0.70,2.50,22.50,NA,NA,NA,NA
2014-02-21,1.10,5.00,NA,NA,NA,NA,NA
2014-02-22,1.40,4.10,0.00,NA,NA,NA,NA
2014-02-23,-4.50,1.60,0.00,NA,NA,NA,NA
2014-02-24,-6.90,-4.10,0.00,NA,NA,NA,NA
2014-02-25,-9.30,-5.60,0.00,NA,NA,NA,NA
2014-02-26,-14.00,-8.00,0.00,NA,NA,NA,NA
2014-02-27,-14.20,-7.70,0.00,NA,NA,NA,NA
2014-02-28,-16.90,-9.70,0.00,NA,NA,NA,NA
2014-03-01,-10.30,0.80,2.90,NA,NA,NA,NA
2014-03-02,-15.30,-8.80,3.10,NA,NA,NA,NA
2014-03-03,-17.80,-11.90,0.00,NA,NA,NA,NA
2014-03-04,-18.30,-8.90,1.90,NA,NA,NA,NA
2014-03-05,-10.40,-5.40,0.40,NA,NA,NA,NA
