Daily data for a single station.
StationID:  , CA006139525
StationName:, "WINDSOR A"
Lat&Long    , 42.283, -82.950
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-10-01
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-11.20,-8.20,9.80,NA,NA,NA,NA
2014-01-02,-15.20,-9.70,9.00,NA,NA,NA,NA
2014-01-03,-18.00,-10.30,0.00,NA,NA,NA,NA
2014-01-04,-10.80,-0.70,0.00,NA,NA,NA,NA
2014-01-05,-6.30,0.60,19.40,NA,NA,NA,NA
2014-01-06,-25.20,-6.20,0.60,NA,NA,NA,NA
2014-01-07,-25.10,-17.40,0.00,NA,NA,NA,NA
2014-01-08,-18.70,-8.30,0.00,NA,NA,NA,NA
2014-01-09,-20.20,-2.90,1.00,NA,NA,NA,NA
2014-01-10,-2.90,4.00,6.80,NA,NA,NA,NA
2014-01-11,1.50,7.90,5.80,NA,NA,NA,NA
2014-01-12,0.40,2.80,0.00,NA,NA,NA,NA
2014-01-13,2.20,6.70,0.00,NA,NA,NA,NA
2014-01-14,-2.30,3.60,0.00,NA,NA,NA,NA
2014-01-15,-6.40,-0.90,1.40,NA,NA,NA,NA
2014-01-16,-6.70,-2.20,6.00,NA,NA,NA,NA
2014-01-17,-7.80,0.10,2.80,NA,NA,NA,NA
2014-01-18,-13.70,-7.00,0.00,NA,NA,NA,NA
2014-01-19,-9.90,-1.80,0.20,NA,NA,NA,NA
2014-01-20,-11.00,0.00,1.40,NA,NA,NA,NA
2014-01-21,-16.70,-11.00,0.00,NA,NA,NA,NA
2014-01-22,-18.40,-11.60,1.40,NA,NA,NA,NA
2014-01-23,-15.50,-9.20,0.40,NA,NA,NA,NA
2014-01-24,-18.00,-7.90,1.80,NA,NA,NA,NA
2014-01-25,-14.10,-2.10,2.80,NA,NA,NA,NA
2014-01-26,-15.30,-2.20,5.00,NA,NA,NA,NA
2014-01-27,-19.40,-5.20,2.20,NA,NA,NA,NA
2014-01-28,-22.50,-14.00,0.00,NA,NA,NA,NA
2014-01-29,-18.90,-8.50,0.00,NA,NA,NA,NA
2014-01-30,-12.10,-1.80,1.60,NA,NA,NA,NA
2014-01-31,-2.10,1.70,0.20,NA,NA,NA,NA
2014-02-01,-2.70,2.10,19.80,NA,NA,NA,NA
2014-02-02,-6.80,-1.90,0.00,NA,NA,NA,NA
2014-02-03,-11.70,-4.70,0.00,NA,NA,NA,NA
2014-02-04,-12.00,-5.50,1.80,NA,NA,NA,NA
2014-02-05,-12.60,-4.30,12.00,NA,NA,NA,NA
2014-02-06,-16.20,-6.70,0.00,NA,NA,NA,NA
2014-02-07,-19.10,-11.80,0.00,NA,NA,NA,NA
2014-02-08,-16.60,-7.90,1.40,NA,NA,NA,NA
2014-02-09,-10.90,-4.50,2.60,NA,NA,NA,NA
2014-02-10,-11.80,-6.30,0.00,NA,NA,NA,NA
2014-02-11,-19.90,-9.90,0.40,NA,NA,NA,NA
2014-02-12,-23.30,-7.70,0.00,NA,NA,NA,NA
2014-02-13,-12.50,-4.70,0.00,NA,NA,NA,NA
2014-02-14,-6.80,-1.20,0.20,NA,NA,NA,NA
2014-02-15,-12.90,-5.00,0.00,NA,NA,NA,NA
