Daily data for a single station.
StationID:  , CA006142285
StationName:, "ELORA RESEARCH STN"
Lat&Long    , 43.650, -80.417
Elevation:  , -9999.000
Starts(YMD):,2014-01-10
Ends(YMD):  ,2024-05-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-10,NA,NA,1.50,NA,NA,NA,NA
2014-01-11,NA,NA,14.20,NA,NA,NA,NA
2014-01-12,NA,NA,6.60,NA,NA,NA,NA
2014-01-13,-2.60,4.90,0.80,NA,NA,NA,NA
2014-01-14,-2.60,5.00,0.50,NA,NA,NA,NA
2014-01-15,NA,NA,0.80,NA,NA,NA,NA
2014-01-16,-9.60,-0.70,1.00,NA,NA,NA,NA
2014-01-17,NA,NA,3.80,NA,NA,NA,NA
2014-01-18,-9.20,-1.60,2.50,NA,NA,NA,NA
2014-01-19,NA,NA,0.80,NA,NA,NA,NA
2014-01-20,NA,NA,1.50,NA,NA,NA,NA
2014-01-21,NA,NA,0.00,NA,NA,NA,NA
2014-01-22,NA,NA,0.00,NA,NA,NA,NA
2014-01-23,-26.50,-14.50,1.30,NA,NA,NA,NA
2014-01-24,NA,NA,1.50,NA,NA,NA,NA
2014-01-25,NA,NA,2.30,NA,NA,NA,NA
2014-01-26,-19.30,-6.10,1.00,NA,NA,NA,NA
2014-01-27,-19.30,-6.60,2.50,NA,NA,NA,NA
2014-01-28,NA,NA,0.80,NA,NA,NA,NA
2014-01-29,NA,NA,3.60,NA,NA,NA,NA
2014-01-30,NA,NA,0.80,NA,NA,NA,NA
2014-01-31,NA,NA,3.80,NA,NA,NA,NA
2014-02-01,NA,NA,2.30,NA,NA,NA,NA
2014-02-02,NA,NA,9.90,NA,NA,NA,NA
2014-02-03,-18.50,-2.40,0.00,NA,NA,NA,NA
2014-02-04,-22.20,-7.90,1.50,NA,NA,NA,NA
