Daily data for a single station.
StationID:  , CA006142420
StationName:, "FOLDENS"
Lat&Long    , 43.017, -80.783
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2016-06-13
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-14.00,-8.00,1.50,NA,NA,NA,NA
2014-01-02,-16.00,-14.00,1.20,NA,NA,NA,NA
2014-01-03,-23.00,-7.50,0.00,NA,NA,NA,NA
2014-01-04,-17.00,-1.50,0.40,NA,NA,NA,NA
2014-01-05,-2.50,0.00,11.80,NA,NA,NA,NA
2014-01-06,-18.50,-9.00,0.20,NA,NA,NA,NA
2014-01-07,-27.00,-16.00,0.00,NA,NA,NA,NA
2014-01-08,-26.00,-9.50,0.00,NA,NA,NA,NA
2014-01-09,-17.00,-3.50,2.00,NA,NA,NA,NA
2014-01-10,-10.00,6.00,18.20,NA,NA,NA,NA
2014-01-11,0.50,6.00,7.60,NA,NA,NA,NA
2014-01-12,-1.00,3.00,0.00,NA,NA,NA,NA
2014-01-13,-1.50,5.50,0.10,NA,NA,NA,NA
2014-01-14,-2.00,3.50,0.10,NA,NA,NA,NA
2014-01-15,-5.00,-3.00,0.20,NA,NA,NA,NA
2014-01-16,-7.00,-2.00,2.10,NA,NA,NA,NA
2014-01-17,-5.00,-0.50,1.80,NA,NA,NA,NA
2014-01-18,-11.00,-2.50,0.10,NA,NA,NA,NA
2014-01-19,-11.50,-3.00,0.10,NA,NA,NA,NA
2014-01-20,-11.00,-6.00,0.00,NA,NA,NA,NA
2014-01-21,-21.00,-14.00,0.00,NA,NA,NA,NA
2014-01-22,-23.00,-14.00,1.00,NA,NA,NA,NA
2014-01-23,-16.00,-10.00,0.10,NA,NA,NA,NA
2014-01-24,-21.00,-7.00,8.40,NA,NA,NA,NA
2014-01-25,-12.00,-5.00,2.00,NA,NA,NA,NA
2014-01-26,-21.00,-4.50,4.60,NA,NA,NA,NA
2014-01-27,-16.00,-12.00,0.00,NA,NA,NA,NA
2014-01-28,-23.50,-14.00,0.00,NA,NA,NA,NA
2014-01-29,-22.00,-12.00,0.00,NA,NA,NA,NA
2014-01-30,-15.00,-2.00,0.00,NA,NA,NA,NA
2014-01-31,-6.50,1.50,0.40,NA,NA,NA,NA
2014-02-01,-4.50,1.50,16.40,NA,NA,NA,NA
2014-02-02,-6.00,-3.50,0.00,NA,NA,NA,NA
2014-02-03,-13.00,-4.50,0.00,NA,NA,NA,NA
2014-02-04,-14.00,-5.00,6.00,NA,NA,NA,NA
2014-02-05,-8.00,-7.00,4.00,NA,NA,NA,NA
2014-02-06,-17.00,-9.00,0.10,NA,NA,NA,NA
2014-02-07,-20.00,-13.00,0.00,NA,NA,NA,NA
2014-02-08,-20.50,-11.00,0.70,NA,NA,NA,NA
2014-02-09,-14.00,-7.00,2.00,NA,NA,NA,NA
2014-02-10,-17.00,-8.00,0.00,NA,NA,NA,NA
2014-02-11,-17.00,NA,0.00,NA,NA,NA,NA
2014-02-12,-20.00,-8.50,0.00,NA,NA,NA,NA
2014-02-13,-17.00,-3.00,0.10,NA,NA,NA,NA
2014-02-14,-8.00,-2.00,0.30,NA,NA,NA,NA
2014-02-15,-10.50,-8.00,0.10,NA,NA,NA,NA
2014-02-16,-17.00,-7.00,2.80,NA,NA,NA,NA
2014-02-17,-21.00,-2.00,9.00,NA,NA,NA,NA
2014-02-18,-10.00,2.00,0.60,NA,NA,NA,NA
2014-02-19,-6.00,4.50,0.10,NA,NA,NA,NA
2014-02-20,-6.50,5.50,17.20,NA,NA,NA,NA
2014-02-21,-0.50,2.00,0.10,NA,NA,NA,NA
2014-02-22,-2.00,1.00,0.00,NA,NA,NA,NA
2014-02-23,-7.50,-1.00,0.40,NA,NA,NA,NA
2014-02-24,-10.00,-5.50,1.80,NA,NA,NA,NA
2014-02-25,-12.50,-7.00,0.20,NA,NA,NA,NA
2014-02-26,-19.00,-12.00,0.10,NA,NA,NA,NA
2014-02-27,-15.50,-11.00,1.00,NA,NA,NA,NA
2014-02-28,-22.00,-9.00,0.00,NA,NA,NA,NA
2014-03-01,-14.50,-3.00,7.00,NA,NA,NA,NA
2014-03-02,-15.50,-11.00,0.00,NA,NA,NA,NA
2014-03-03,-23.00,-13.00,0.00,NA,NA,NA,NA
2014-03-04,-21.00,-9.50,0.10,NA,NA,NA,NA
2014-03-05,-15.00,-6.00,0.00,NA,NA,NA,NA
