Daily data for a single station.
StationID:  , CA006142803
StationName:, "GLEN ALLAN"
Lat&Long    , 43.683, -80.717
Elevation:  , -9999.000
Starts(YMD):,2020-01-06
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2020-01-06,NA,0.00,0.00,NA,NA,NA,NA
2020-01-07,-9.00,1.50,6.80,NA,NA,NA,NA
2020-01-08,-8.00,-6.50,2.40,NA,NA,NA,NA
2020-01-09,-14.00,5.00,0.00,NA,NA,NA,NA
2020-01-10,-12.00,9.50,31.00,NA,NA,NA,NA
2020-01-11,2.50,9.00,59.00,NA,NA,NA,NA
2020-01-12,-9.00,-3.50,0.80,NA,NA,NA,NA
2020-01-13,-9.00,0.00,0.00,NA,NA,NA,NA
2020-01-14,-4.00,1.00,0.00,NA,NA,NA,NA
2020-01-15,-1.00,1.00,3.80,NA,NA,NA,NA
2020-01-16,-3.00,-2.00,0.80,NA,NA,NA,NA
2020-01-17,-16.50,-7.50,0.40,NA,NA,NA,NA
2020-01-18,-14.00,0.50,34.00,NA,NA,NA,NA
2020-01-19,-7.50,-6.00,0.20,NA,NA,NA,NA
2020-01-20,-17.00,-5.50,0.00,NA,NA,NA,NA
2020-01-21,-15.00,-5.00,0.00,NA,NA,NA,NA
2020-01-22,-10.00,-2.00,0.00,NA,NA,NA,NA
2020-01-23,-7.50,1.50,0.00,NA,NA,NA,NA
2020-01-24,-4.50,2.50,7.40,NA,NA,NA,NA
2020-01-25,-0.50,1.50,0.80,NA,NA,NA,NA
2020-01-26,-0.50,0.50,0.40,NA,NA,NA,NA
2020-01-27,-2.00,-1.50,0.00,NA,NA,NA,NA
2020-01-28,-3.00,-1.00,0.00,NA,NA,NA,NA
2020-01-29,-6.50,-4.00,0.00,NA,NA,NA,NA
2020-01-30,-11.50,-2.50,0.00,NA,NA,NA,NA
2020-01-31,-11.00,-2.50,0.40,NA,NA,NA,NA
2020-02-01,-4.50,-1.00,6.00,NA,NA,NA,NA
2020-02-02,-5.00,1.00,1.40,NA,NA,NA,NA
2020-02-03,-2.00,2.50,0.00,NA,NA,NA,NA
2020-02-04,-2.00,0.50,0.00,NA,NA,NA,NA
2020-02-05,-11.50,-6.00,0.60,NA,NA,NA,NA
2020-02-06,-11.00,-5.00,1.60,NA,NA,NA,NA
2020-02-07,-7.00,-5.00,1.60,NA,NA,NA,NA
2020-02-08,-15.00,-6.50,1.00,NA,NA,NA,NA
2020-02-09,-13.50,0.00,10.00,NA,NA,NA,NA
2020-02-10,-7.50,-2.00,0.00,NA,NA,NA,NA
2020-02-11,-4.00,-1.00,0.00,NA,NA,NA,NA
2020-02-12,-7.50,-0.50,3.80,NA,NA,NA,NA
2020-02-13,-6.50,-2.00,0.40,NA,NA,NA,NA
2020-02-14,-24.00,-10.50,0.00,NA,NA,NA,NA
2020-02-15,-23.00,-2.00,0.00,NA,NA,NA,NA
2020-02-16,-12.00,1.00,0.00,NA,NA,NA,NA
2020-02-17,-8.50,1.00,5.00,NA,NA,NA,NA
2020-02-18,-8.50,2.00,3.00,NA,NA,NA,NA
2020-02-19,-7.00,-4.00,0.40,NA,NA,NA,NA
2020-02-20,-13.00,-7.00,0.20,NA,NA,NA,NA
2020-02-21,-15.50,-2.00,0.00,NA,NA,NA,NA
2020-02-22,-11.00,2.50,0.00,NA,NA,NA,NA
2020-02-23,-6.00,5.00,0.00,NA,NA,NA,NA
2020-02-24,-2.50,6.00,6.00,NA,NA,NA,NA
2020-02-25,1.00,2.50,0.80,NA,NA,NA,NA
2020-02-26,-2.00,-2.00,13.00,NA,NA,NA,NA
2020-02-27,-8.00,-6.50,7.00,NA,NA,NA,NA
2020-02-28,-9.00,-6.50,7.60,NA,NA,NA,NA
2020-02-29,-14.00,-5.00,0.00,NA,NA,NA,NA
2020-03-01,-13.50,4.50,0.00,NA,NA,NA,NA
2020-03-02,-8.00,5.00,4.80,NA,NA,NA,NA
2020-03-03,-1.50,2.50,0.00,NA,NA,NA,NA
2020-03-04,-2.00,2.50,0.00,NA,NA,NA,NA
2020-03-05,-7.00,-1.50,10.20,NA,NA,NA,NA
2020-03-06,-3.00,1.50,0.00,NA,NA,NA,NA
2020-03-07,-12.00,1.00,0.00,NA,NA,NA,NA
2020-03-08,-8.50,8.00,0.00,NA,NA,NA,NA
2020-03-09,0.00,12.00,17.60,NA,NA,NA,NA
2020-03-10,5.00,7.50,2.80,NA,NA,NA,NA
2020-03-11,-5.00,3.00,0.00,NA,NA,NA,NA
2020-03-12,-3.00,7.00,2.20,NA,NA,NA,NA
2020-03-13,-1.00,2.50,0.00,NA,NA,NA,NA
2020-03-14,-3.00,0.50,0.00,NA,NA,NA,NA
2020-03-15,-5.00,-1.50,0.00,NA,NA,NA,NA
2020-03-16,-6.50,5.00,1.40,NA,NA,NA,NA
2020-03-17,-5.50,4.50,0.00,NA,NA,NA,NA
2020-03-18,-5.00,3.50,0.00,NA,NA,NA,NA
2020-03-19,-2.00,15.00,6.40,NA,NA,NA,NA
2020-03-20,1.50,15.50,3.00,NA,NA,NA,NA
2020-03-21,-10.00,-1.00,0.00,NA,NA,NA,NA
2020-03-22,-10.00,1.00,5.00,NA,NA,NA,NA
2020-03-23,-5.50,3.00,0.00,NA,NA,NA,NA
2020-03-24,-1.00,6.00,0.00,NA,NA,NA,NA
2020-03-25,-1.00,9.50,0.00,NA,NA,NA,NA
2020-03-26,1.00,9.50,0.20,NA,NA,NA,NA
2020-03-27,-1.00,10.00,0.00,NA,NA,NA,NA
2020-03-28,-1.00,11.00,17.80,NA,NA,NA,NA
2020-03-29,3.00,15.00,16.00,NA,NA,NA,NA
2020-03-30,3.00,5.00,0.40,NA,NA,NA,NA
2020-03-31,2.00,6.50,1.40,NA,NA,NA,NA
2020-04-01,1.50,10.00,0.00,NA,NA,NA,NA
2020-04-02,-0.50,11.50,0.00,NA,NA,NA,NA
2020-04-03,-0.50,11.00,0.00,NA,NA,NA,NA
2020-04-04,0.00,14.00,0.00,NA,NA,NA,NA
2020-04-05,0.50,8.00,0.00,NA,NA,NA,NA
2020-04-06,-3.00,13.50,0.00,NA,NA,NA,NA
2020-04-07,1.00,12.50,4.40,NA,NA,NA,NA
2020-04-08,4.00,11.50,10.40,NA,NA,NA,NA
2020-04-09,0.00,6.00,0.00,NA,NA,NA,NA
2020-04-10,-2.00,3.00,0.00,NA,NA,NA,NA
2020-04-11,-3.00,9.00,0.00,NA,NA,NA,NA
2020-04-12,-1.00,16.00,5.00,NA,NA,NA,NA
2020-04-13,4.00,11.00,0.40,NA,NA,NA,NA
2020-04-14,-3.00,4.00,0.00,NA,NA,NA,NA
2020-04-15,-5.00,1.00,0.00,NA,NA,NA,NA
2020-04-16,-6.00,2.00,0.00,NA,NA,NA,NA
2020-04-17,-4.50,4.00,0.00,NA,NA,NA,NA
2020-04-18,-4.00,9.00,0.00,NA,NA,NA,NA
2020-04-19,-2.00,11.50,0.00,NA,NA,NA,NA
2020-04-20,-5.50,9.00,0.00,NA,NA,NA,NA
2020-04-21,-1.00,0.50,1.00,NA,NA,NA,NA
2020-04-22,-5.50,2.50,0.00,NA,NA,NA,NA
2020-04-23,-4.00,6.50,0.00,NA,NA,NA,NA
2020-04-24,-1.00,9.50,0.00,NA,NA,NA,NA
2020-04-25,-1.50,14.50,0.00,NA,NA,NA,NA
2020-04-26,3.00,12.00,0.00,NA,NA,NA,NA
2020-04-27,0.00,14.50,5.60,NA,NA,NA,NA
2020-04-28,4.50,15.00,0.80,NA,NA,NA,NA
2020-04-29,6.00,13.00,12.40,NA,NA,NA,NA
2020-04-30,7.00,15.50,8.60,NA,NA,NA,NA
2020-05-01,5.00,15.00,0.00,NA,NA,NA,NA
2020-05-02,3.00,16.00,0.40,NA,NA,NA,NA
2020-05-03,6.50,17.00,0.00,NA,NA,NA,NA
2020-05-04,2.50,7.50,0.00,NA,NA,NA,NA
2020-05-05,-1.50,10.50,0.00,NA,NA,NA,NA
2020-05-06,0.00,12.50,0.00,NA,NA,NA,NA
2020-05-07,-1.00,11.00,0.00,NA,NA,NA,NA
2020-05-08,-2.50,4.00,6.40,NA,NA,NA,NA
2020-05-09,-5.00,4.00,1.00,NA,NA,NA,NA
2020-05-10,-3.50,9.00,3.00,NA,NA,NA,NA
2020-05-11,0.00,4.00,0.00,NA,NA,NA,NA
2020-05-12,-4.00,6.50,0.00,NA,NA,NA,NA
2020-05-13,-3.00,12.50,0.00,NA,NA,NA,NA
2020-05-14,1.50,14.50,5.80,NA,NA,NA,NA
2020-05-15,6.50,17.50,0.00,NA,NA,NA,NA
2020-05-16,7.00,19.50,0.00,NA,NA,NA,NA
2020-05-17,8.00,15.00,17.60,NA,NA,NA,NA
2020-05-18,10.00,12.00,12.60,NA,NA,NA,NA
