Daily data for a single station.
StationID:  , CA006147188
StationName:, "ROSEVILLE"
Lat&Long    , 43.350, -80.467
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-12.00,-9.00,1.00,NA,NA,NA,NA
2014-01-02,-17.00,-16.00,2.00,NA,NA,NA,NA
2014-01-03,-24.00,-8.00,0.00,NA,NA,NA,NA
2014-01-04,-18.50,-2.00,5.00,NA,NA,NA,NA
2014-01-05,-3.00,-1.00,25.00,NA,NA,NA,NA
2014-01-06,-15.00,-10.00,0.00,NA,NA,NA,NA
2014-01-07,-26.00,-14.00,0.00,NA,NA,NA,NA
2014-01-08,-21.00,-10.00,0.00,NA,NA,NA,NA
2014-01-09,-21.00,-3.50,2.00,NA,NA,NA,NA
2014-01-10,-12.50,5.00,13.90,NA,NA,NA,NA
2014-01-11,1.00,5.00,5.40,NA,NA,NA,NA
2014-01-12,0.00,4.00,0.00,NA,NA,NA,NA
2014-01-13,-1.50,5.00,1.00,NA,NA,NA,NA
2014-01-14,-1.00,2.00,0.00,NA,NA,NA,NA
2014-01-15,-5.00,-3.00,1.00,NA,NA,NA,NA
2014-01-16,-9.00,-2.00,6.00,NA,NA,NA,NA
2014-01-17,-5.00,-0.50,2.00,NA,NA,NA,NA
2014-01-18,-9.00,-5.50,1.00,NA,NA,NA,NA
2014-01-19,-12.00,-3.50,3.00,NA,NA,NA,NA
2014-01-20,-11.50,-9.50,0.00,NA,NA,NA,NA
2014-01-21,-21.00,-16.00,0.00,NA,NA,NA,NA
2014-01-22,-27.00,-14.50,1.00,NA,NA,NA,NA
2014-01-23,-21.00,-14.00,0.00,NA,NA,NA,NA
2014-01-24,-22.00,-5.50,12.00,NA,NA,NA,NA
2014-01-25,-12.50,-5.50,0.00,NA,NA,NA,NA
2014-01-26,-20.00,-5.50,7.00,NA,NA,NA,NA
2014-01-27,-16.00,-12.00,0.00,NA,NA,NA,NA
2014-01-28,-24.00,-14.00,0.00,NA,NA,NA,NA
2014-01-29,-21.50,-12.50,0.00,NA,NA,NA,NA
2014-01-30,-15.00,-3.00,1.00,NA,NA,NA,NA
2014-01-31,-6.50,-1.00,0.00,NA,NA,NA,NA
2014-02-01,-9.00,0.00,18.00,NA,NA,NA,NA
2014-02-02,-6.00,-4.00,0.00,NA,NA,NA,NA
2014-02-03,-17.50,-6.00,0.00,NA,NA,NA,NA
2014-02-04,-23.00,-6.50,7.00,NA,NA,NA,NA
2014-02-05,-10.00,-8.00,10.00,NA,NA,NA,NA
2014-02-06,-18.00,-8.00,0.00,NA,NA,NA,NA
2014-02-07,-18.00,-13.00,0.00,NA,NA,NA,NA
2014-02-08,-21.00,-11.50,2.00,NA,NA,NA,NA
2014-02-09,-22.50,-9.00,1.00,NA,NA,NA,NA
2014-02-10,-14.50,-10.00,0.00,NA,NA,NA,NA
2014-02-11,-15.00,-13.00,0.00,NA,NA,NA,NA
2014-02-12,-29.00,-9.00,0.00,NA,NA,NA,NA
2014-02-13,-22.00,-4.00,0.00,NA,NA,NA,NA
2014-02-14,-11.00,-4.50,0.00,NA,NA,NA,NA
2014-02-15,-11.50,-8.00,2.00,NA,NA,NA,NA
2014-02-16,-20.00,-8.00,0.00,NA,NA,NA,NA
2014-02-17,-27.00,-3.00,7.00,NA,NA,NA,NA
2014-02-18,-9.00,-1.00,0.00,NA,NA,NA,NA
2014-02-19,-5.50,3.00,0.00,NA,NA,NA,NA
2014-02-20,-7.50,1.00,11.30,NA,NA,NA,NA
2014-02-21,-1.00,3.00,0.00,NA,NA,NA,NA
2014-02-22,-3.00,1.00,0.00,NA,NA,NA,NA
2014-02-23,-8.50,-4.00,0.00,NA,NA,NA,NA
2014-02-24,-11.00,-9.00,0.00,NA,NA,NA,NA
2014-02-25,-14.00,-9.00,0.00,NA,NA,NA,NA
2014-02-26,-20.00,-11.00,0.00,NA,NA,NA,NA
2014-02-27,-16.00,-15.00,2.00,NA,NA,NA,NA
2014-02-28,-28.00,-6.50,0.00,NA,NA,NA,NA
2014-03-01,-16.50,-5.00,7.00,NA,NA,NA,NA
2014-03-02,-15.00,-12.00,0.00,NA,NA,NA,NA
2014-03-03,-21.00,-15.00,0.00,NA,NA,NA,NA
2014-03-04,-26.00,-10.00,2.00,NA,NA,NA,NA
2014-03-05,-12.00,-7.00,0.00,NA,NA,NA,NA
2014-03-06,-20.00,-5.50,0.00,NA,NA,NA,NA
2014-03-07,-15.00,2.00,0.00,NA,NA,NA,NA
2014-03-08,-4.50,-2.00,0.00,NA,NA,NA,NA
2014-03-09,-12.00,0.00,0.00,NA,NA,NA,NA
2014-03-10,-4.00,5.00,0.00,NA,NA,NA,NA
2014-03-11,2.00,10.00,2.00,NA,NA,NA,NA
2014-03-12,-10.00,-1.50,15.00,NA,NA,NA,NA
2014-03-13,-19.00,-2.00,0.00,NA,NA,NA,NA
2014-03-14,-11.50,6.50,0.00,NA,NA,NA,NA
2014-03-15,-4.00,2.00,0.00,NA,NA,NA,NA
2014-03-16,-14.00,-10.00,0.00,NA,NA,NA,NA
2014-03-17,-19.00,-4.50,0.00,NA,NA,NA,NA
2014-03-18,-9.00,2.00,0.00,NA,NA,NA,NA
2014-03-19,-2.00,4.00,3.10,NA,NA,NA,NA
2014-03-20,-1.00,0.00,0.00,NA,NA,NA,NA
2014-03-21,-7.50,1.00,2.00,NA,NA,NA,NA
2014-03-22,-2.00,0.00,0.00,NA,NA,NA,NA
2014-03-23,-10.00,-7.50,0.00,NA,NA,NA,NA
2014-03-24,-16.50,-5.00,2.00,NA,NA,NA,NA
2014-03-25,NA,NA,NA,NA,NA,NA,NA
2014-03-26,-15.00,-5.00,0.00,NA,NA,NA,NA
2014-03-27,-15.00,5.50,7.20,NA,NA,NA,NA
2014-03-28,0.00,6.00,0.00,NA,NA,NA,NA
2014-03-29,-1.00,1.00,0.00,NA,NA,NA,NA
2014-03-30,-4.00,4.00,0.00,NA,NA,NA,NA
2014-03-31,-2.00,9.00,0.00,NA,NA,NA,NA
2014-04-01,1.50,9.00,0.00,NA,NA,NA,NA
2014-04-02,NA,NA,NA,NA,NA,NA,NA
2014-04-03,-4.50,2.00,0.00,NA,NA,NA,NA
2014-04-04,-0.50,6.00,9.20,NA,NA,NA,NA
2014-04-05,-3.00,5.00,0.00,NA,NA,NA,NA
2014-04-06,-4.00,10.00,0.00,NA,NA,NA,NA
2014-04-07,-1.00,9.00,12.20,NA,NA,NA,NA
2014-04-08,0.00,10.00,0.00,NA,NA,NA,NA
2014-04-09,-2.00,8.00,0.00,NA,NA,NA,NA
2014-04-10,2.00,17.00,0.00,NA,NA,NA,NA
2014-04-11,0.00,15.00,1.60,NA,NA,NA,NA
2014-04-12,-1.00,17.00,1.60,NA,NA,NA,NA
2014-04-13,4.00,21.00,0.00,NA,NA,NA,NA
2014-04-14,8.00,19.00,21.20,NA,NA,NA,NA
2014-04-15,-5.00,-2.00,0.00,NA,NA,NA,NA
2014-04-16,-10.00,2.50,0.00,NA,NA,NA,NA
2014-04-17,-1.00,10.00,0.00,NA,NA,NA,NA
2014-04-18,-1.00,10.50,0.00,NA,NA,NA,NA
2014-04-19,-3.50,12.50,0.00,NA,NA,NA,NA
2014-04-20,0.00,20.00,0.00,NA,NA,NA,NA
2014-04-21,2.00,24.00,3.00,NA,NA,NA,NA
2014-04-22,5.00,13.00,0.00,NA,NA,NA,NA
2014-04-23,1.50,10.00,0.00,NA,NA,NA,NA
2014-04-24,-3.00,12.50,0.00,NA,NA,NA,NA
2014-04-25,3.00,11.00,7.60,NA,NA,NA,NA
2014-04-26,1.50,8.00,0.00,NA,NA,NA,NA
2014-04-27,0.00,13.00,0.00,NA,NA,NA,NA
2014-04-28,2.00,12.50,4.00,NA,NA,NA,NA
2014-04-29,5.00,8.00,28.90,NA,NA,NA,NA
2014-04-30,2.50,9.00,3.10,NA,NA,NA,NA
2014-05-01,6.50,13.00,0.40,NA,NA,NA,NA
2014-05-02,5.00,11.00,4.60,NA,NA,NA,NA
2014-05-03,6.00,10.50,4.40,NA,NA,NA,NA
2014-05-04,2.00,12.00,0.00,NA,NA,NA,NA
2014-05-05,2.00,13.00,0.00,NA,NA,NA,NA
2014-05-06,3.50,16.00,0.00,NA,NA,NA,NA
2014-05-07,5.00,15.00,2.10,NA,NA,NA,NA
2014-05-08,6.50,20.00,0.00,NA,NA,NA,NA
2014-05-09,9.50,26.00,0.50,NA,NA,NA,NA
2014-05-10,12.00,19.00,0.00,NA,NA,NA,NA
2014-05-11,3.00,23.50,0.00,NA,NA,NA,NA
2014-05-12,10.00,23.50,4.80,NA,NA,NA,NA
2014-05-13,14.50,28.00,6.40,NA,NA,NA,NA
2014-05-14,12.00,18.00,17.60,NA,NA,NA,NA
2014-05-15,11.00,18.00,7.30,NA,NA,NA,NA
2014-05-16,4.00,10.00,0.00,NA,NA,NA,NA
2014-05-17,1.00,12.00,0.00,NA,NA,NA,NA
2014-05-18,3.00,15.00,0.00,NA,NA,NA,NA
2014-05-19,7.50,21.00,0.00,NA,NA,NA,NA
2014-05-20,9.50,16.00,15.20,NA,NA,NA,NA
