Daily data for a single station.
StationID:  , CA006150790
StationName:, "BLACKSTOCK"
Lat&Long    , 44.100, -78.833
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2016-08-10
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-16.00,-13.00,0.00,NA,NA,NA,NA
2014-01-02,-23.00,-20.00,0.00,NA,NA,NA,NA
2014-01-03,-31.50,-7.00,2.10,NA,NA,NA,NA
2014-01-04,-23.00,-2.00,4.80,NA,NA,NA,NA
2014-01-05,-3.00,3.00,4.10,NA,NA,NA,NA
2014-01-06,-10.00,-6.00,0.00,NA,NA,NA,NA
2014-01-07,-24.00,-18.00,0.00,NA,NA,NA,NA
2014-01-08,-19.00,-10.50,0.00,NA,NA,NA,NA
2014-01-09,-16.00,-4.00,2.80,NA,NA,NA,NA
2014-01-10,-9.00,4.00,6.00,NA,NA,NA,NA
2014-01-11,0.00,6.50,6.10,NA,NA,NA,NA
2014-01-12,-1.00,1.50,0.00,NA,NA,NA,NA
2014-01-13,-1.00,5.00,0.40,NA,NA,NA,NA
2014-01-14,-0.50,2.00,0.00,NA,NA,NA,NA
2014-01-15,-2.50,-1.00,0.00,NA,NA,NA,NA
2014-01-16,-9.00,-2.00,5.00,NA,NA,NA,NA
2014-01-17,-5.00,0.00,4.40,NA,NA,NA,NA
2014-01-18,-7.00,-3.50,0.00,NA,NA,NA,NA
2014-01-19,-10.00,-4.00,4.80,NA,NA,NA,NA
2014-01-20,-16.00,-11.00,0.00,NA,NA,NA,NA
2014-01-21,-26.00,-18.50,0.00,NA,NA,NA,NA
2014-01-22,-30.00,-18.00,0.00,NA,NA,NA,NA
2014-01-23,-23.00,-17.00,0.00,NA,NA,NA,NA
2014-01-24,-25.50,-6.50,0.00,NA,NA,NA,NA
2014-01-25,-13.50,-5.00,0.00,NA,NA,NA,NA
2014-01-26,-25.00,-10.50,6.80,NA,NA,NA,NA
2014-01-27,-15.00,-11.00,0.00,NA,NA,NA,NA
2014-01-28,-20.00,-14.00,0.00,NA,NA,NA,NA
2014-01-29,-20.00,-10.00,0.00,NA,NA,NA,NA
2014-01-30,-14.50,-2.00,0.00,NA,NA,NA,NA
2014-01-31,-6.00,-2.00,0.00,NA,NA,NA,NA
2014-02-01,-9.50,0.00,14.00,NA,NA,NA,NA
2014-02-02,-6.00,-5.00,0.00,NA,NA,NA,NA
2014-02-03,-16.00,-6.00,0.00,NA,NA,NA,NA
