Daily data for a single station.
StationID:  , CA006150815
StationName:, "BLOOMFIELD"
Lat&Long    , 43.983, -77.217
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-02-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,NA,NA,0.00,NA,NA,NA,NA
2014-01-02,NA,NA,7.00,NA,NA,NA,NA
2014-01-03,NA,NA,0.00,NA,NA,NA,NA
2014-01-04,NA,NA,0.00,NA,NA,NA,NA
2014-01-05,NA,NA,12.60,NA,NA,NA,NA
2014-01-06,NA,NA,9.00,NA,NA,NA,NA
2014-01-07,NA,NA,7.00,NA,NA,NA,NA
2014-01-08,NA,NA,5.00,NA,NA,NA,NA
2014-01-09,NA,NA,6.60,NA,NA,NA,NA
2014-01-10,NA,NA,2.60,NA,NA,NA,NA
2014-01-11,NA,NA,12.80,NA,NA,NA,NA
2014-01-12,NA,NA,0.00,NA,NA,NA,NA
2014-01-13,NA,NA,6.20,NA,NA,NA,NA
2014-01-14,NA,NA,0.80,NA,NA,NA,NA
2014-01-15,NA,NA,0.00,NA,NA,NA,NA
2014-01-16,NA,NA,4.40,NA,NA,NA,NA
2014-01-17,NA,NA,0.00,NA,NA,NA,NA
2014-01-18,NA,NA,7.00,NA,NA,NA,NA
2014-01-19,NA,NA,15.00,NA,NA,NA,NA
2014-01-20,NA,NA,7.00,NA,NA,NA,NA
2014-01-21,NA,NA,0.00,NA,NA,NA,NA
2014-01-22,NA,NA,0.00,NA,NA,NA,NA
2014-01-23,NA,NA,0.00,NA,NA,NA,NA
2014-01-24,NA,NA,13.00,NA,NA,NA,NA
2014-01-25,NA,NA,6.00,NA,NA,NA,NA
2014-01-26,NA,NA,20.00,NA,NA,NA,NA
2014-01-27,NA,NA,8.00,NA,NA,NA,NA
2014-01-28,NA,NA,15.00,NA,NA,NA,NA
2014-01-29,NA,NA,13.00,NA,NA,NA,NA
2014-01-30,NA,NA,0.00,NA,NA,NA,NA
2014-01-31,NA,NA,0.00,NA,NA,NA,NA
2014-02-01,NA,NA,15.00,NA,NA,NA,NA
2014-02-02,NA,NA,0.00,NA,NA,NA,NA
2014-02-03,NA,NA,0.00,NA,NA,NA,NA
2014-02-04,NA,NA,6.00,NA,NA,NA,NA
2014-02-05,NA,NA,19.00,NA,NA,NA,NA
2014-02-06,NA,NA,18.00,NA,NA,NA,NA
2014-02-07,NA,NA,23.00,NA,NA,NA,NA
2014-02-08,NA,NA,6.00,NA,NA,NA,NA
2014-02-09,NA,NA,0.00,NA,NA,NA,NA
2014-02-10,NA,NA,0.00,NA,NA,NA,NA
2014-02-11,NA,NA,0.00,NA,NA,NA,NA
2014-02-12,NA,NA,0.00,NA,NA,NA,NA
2014-02-13,NA,NA,2.00,NA,NA,NA,NA
2014-02-14,NA,NA,0.00,NA,NA,NA,NA
2014-02-15,NA,NA,0.00,NA,NA,NA,NA
2014-02-16,NA,NA,0.00,NA,NA,NA,NA
2014-02-17,NA,NA,6.00,NA,NA,NA,NA
2014-02-18,NA,NA,3.00,NA,NA,NA,NA
2014-02-19,NA,NA,0.40,NA,NA,NA,NA
2014-02-20,NA,NA,26.80,NA,NA,NA,NA
2014-02-21,NA,NA,9.00,NA,NA,NA,NA
2014-02-22,NA,NA,0.00,NA,NA,NA,NA
2014-02-23,NA,NA,0.00,NA,NA,NA,NA
2014-02-24,NA,NA,0.00,NA,NA,NA,NA
2014-02-25,NA,NA,6.00,NA,NA,NA,NA
2014-02-26,NA,NA,14.00,NA,NA,NA,NA
2014-02-27,NA,NA,5.00,NA,NA,NA,NA
2014-02-28,NA,NA,2.00,NA,NA,NA,NA
