Daily data for a single station.
StationID:  , CA006152695
StationName:, "GEORGETOWN WWTP"
Lat&Long    , 43.633, -79.883
Elevation:  , -9999.000
Starts(YMD):,2016-01-01
Ends(YMD):  ,2024-03-11
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2016-01-01,-4.00,4.00,0.00,NA,NA,NA,NA
2016-01-02,-3.00,1.00,0.00,NA,NA,NA,NA
2016-01-03,-2.00,2.00,0.00,NA,NA,NA,NA
2016-01-04,-16.00,-11.00,0.00,NA,NA,NA,NA
2016-01-05,NA,NA,NA,NA,NA,NA,NA
2016-01-06,-6.50,3.00,0.00,NA,NA,NA,NA
2016-01-07,-10.50,6.00,0.00,NA,NA,NA,NA
2016-01-08,-9.00,5.00,5.30,NA,NA,NA,NA
2016-01-09,0.50,7.00,9.00,NA,NA,NA,NA
2016-01-10,0.00,6.00,6.30,NA,NA,NA,NA
2016-01-11,-9.00,-6.00,4.00,NA,NA,NA,NA
2016-01-12,-11.50,-2.00,2.00,NA,NA,NA,NA
2016-01-13,-11.00,-6.50,0.00,NA,NA,NA,NA
2016-01-14,-9.50,-1.50,0.00,NA,NA,NA,NA
2016-01-15,NA,3.00,0.00,NA,NA,NA,NA
2016-01-16,-3.00,1.00,0.00,NA,NA,NA,NA
2016-01-17,-5.00,NA,0.00,NA,NA,NA,NA
2016-01-18,-12.00,-1.00,0.00,NA,NA,NA,NA
2016-01-19,-18.50,-4.00,0.00,NA,NA,NA,NA
2016-01-20,-6.00,-4.00,1.00,NA,NA,NA,NA
2016-01-21,-12.50,-3.50,0.00,NA,NA,NA,NA
2016-01-22,-17.00,-2.00,0.00,NA,NA,NA,NA
2016-01-23,-14.00,-4.00,0.00,NA,NA,NA,NA
2016-01-24,-15.50,-0.50,0.00,NA,NA,NA,NA
2016-01-25,-7.50,5.00,0.00,NA,NA,NA,NA
2016-01-26,-3.00,6.50,1.00,NA,NA,NA,NA
