Daily data for a single station.
StationID:  , CA006153301
StationName:, "HAMILTON RBG CS"
Lat&Long    , 43.300, -79.917
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-14.50,-6.30,0.20,NA,NA,NA,NA
2014-01-02,-18.60,-14.40,2.20,NA,NA,NA,NA
2014-01-03,-22.20,-8.30,0.00,NA,NA,NA,NA
2014-01-04,-8.30,0.60,0.00,NA,NA,NA,NA
2014-01-05,-2.00,1.10,16.20,NA,NA,NA,NA
2014-01-06,-20.80,0.80,5.40,NA,NA,NA,NA
2014-01-07,-23.50,-16.00,0.20,NA,NA,NA,NA
2014-01-08,-16.80,-7.60,0.00,NA,NA,NA,NA
2014-01-09,-16.10,-5.20,0.60,NA,NA,NA,NA
2014-01-10,-7.60,0.30,3.20,NA,NA,NA,NA
2014-01-11,0.10,8.30,11.30,NA,NA,NA,NA
2014-01-12,0.70,3.60,0.20,NA,NA,NA,NA
2014-01-13,1.60,8.10,0.00,NA,NA,NA,NA
2014-01-14,-2.40,4.90,0.20,NA,NA,NA,NA
2014-01-15,-3.50,1.20,NA,NA,NA,NA,NA
2014-01-16,-4.70,-1.10,0.40,NA,NA,NA,NA
2014-01-17,-2.40,3.10,2.20,NA,NA,NA,NA
2014-01-18,-9.40,-1.70,0.20,NA,NA,NA,NA
2014-01-19,-8.70,-1.90,0.00,NA,NA,NA,NA
2014-01-20,-15.00,-1.20,0.00,NA,NA,NA,NA
2014-01-21,-21.30,-14.20,NA,NA,NA,NA,NA
2014-01-22,-23.30,-11.80,0.30,NA,NA,NA,NA
2014-01-23,-18.80,-10.10,0.60,NA,NA,NA,NA
2014-01-24,-17.80,-7.90,0.40,NA,NA,NA,NA
2014-01-25,-15.90,-3.10,2.00,NA,NA,NA,NA
2014-01-26,-17.90,-4.00,0.40,NA,NA,NA,NA
2014-01-27,-17.80,-4.00,2.70,NA,NA,NA,NA
2014-01-28,-21.50,-12.00,0.20,NA,NA,NA,NA
2014-01-29,-18.00,-10.40,0.00,NA,NA,NA,NA
2014-01-30,-13.60,-1.40,0.00,NA,NA,NA,NA
2014-01-31,-4.40,2.10,0.00,NA,NA,NA,NA
2014-02-01,-2.70,2.00,15.00,NA,NA,NA,NA
2014-02-02,-8.10,0.80,0.30,NA,NA,NA,NA
2014-02-03,-13.80,-3.10,0.00,NA,NA,NA,NA
2014-02-04,-16.20,-3.50,2.00,NA,NA,NA,NA
2014-02-05,-14.60,-5.00,9.50,NA,NA,NA,NA
2014-02-06,-18.90,-6.40,0.20,NA,NA,NA,NA
2014-02-07,-15.30,-9.40,0.00,NA,NA,NA,NA
2014-02-08,-18.00,-8.70,0.20,NA,NA,NA,NA
2014-02-09,-17.60,-6.00,NA,NA,NA,NA,NA
2014-02-10,-14.90,-5.70,0.00,NA,NA,NA,NA
2014-02-11,-21.80,-9.10,0.00,NA,NA,NA,NA
2014-02-12,-24.20,-6.40,0.00,NA,NA,NA,NA
2014-02-13,-18.30,-1.30,0.00,NA,NA,NA,NA
2014-02-14,-7.10,-0.80,0.20,NA,NA,NA,NA
2014-02-15,-15.00,-3.30,0.00,NA,NA,NA,NA
2014-02-16,-18.20,-6.20,1.10,NA,NA,NA,NA
2014-02-17,-22.60,-3.50,2.70,NA,NA,NA,NA
2014-02-18,-5.10,-1.00,2.10,NA,NA,NA,NA
2014-02-19,-6.90,7.20,0.20,NA,NA,NA,NA
2014-02-20,-3.70,1.60,16.10,NA,NA,NA,NA
2014-02-21,0.50,5.10,6.30,NA,NA,NA,NA
2014-02-22,0.10,3.90,0.00,NA,NA,NA,NA
2014-02-23,-5.30,0.50,0.00,NA,NA,NA,NA
2014-02-24,-8.60,-4.50,0.00,NA,NA,NA,NA
2014-02-25,-11.00,-5.90,0.20,NA,NA,NA,NA
2014-02-26,-15.50,-9.00,0.00,NA,NA,NA,NA
2014-02-27,-18.90,-8.80,0.00,NA,NA,NA,NA
2014-02-28,-21.80,-10.10,0.20,NA,NA,NA,NA
2014-03-01,-11.10,-1.10,2.00,NA,NA,NA,NA
2014-03-02,-18.00,-9.00,1.50,NA,NA,NA,NA
2014-03-03,-20.90,-11.00,0.20,NA,NA,NA,NA
2014-03-04,-19.90,-8.80,0.40,NA,NA,NA,NA
2014-03-05,-12.80,-4.50,0.20,NA,NA,NA,NA
2014-03-06,-12.10,-4.00,0.00,NA,NA,NA,NA
2014-03-07,-13.70,6.30,0.20,NA,NA,NA,NA
2014-03-08,-7.90,2.10,0.00,NA,NA,NA,NA
2014-03-09,-12.00,1.50,0.00,NA,NA,NA,NA
2014-03-10,0.80,8.10,0.00,NA,NA,NA,NA
2014-03-11,3.10,11.80,0.20,NA,NA,NA,NA
2014-03-12,-16.60,3.30,8.00,NA,NA,NA,NA
2014-03-13,-19.70,-5.00,0.40,NA,NA,NA,NA
2014-03-14,-5.00,11.20,0.00,NA,NA,NA,NA
2014-03-15,-8.10,5.40,0.00,NA,NA,NA,NA
2014-03-16,-13.80,-6.20,NA,NA,NA,NA,NA
2014-03-17,-16.40,-3.50,0.00,NA,NA,NA,NA
2014-03-18,-4.90,1.60,0.00,NA,NA,NA,NA
2014-03-19,-2.70,6.70,3.50,NA,NA,NA,NA
2014-03-20,-1.50,2.80,0.00,NA,NA,NA,NA
2014-03-21,-4.70,4.20,0.00,NA,NA,NA,NA
2014-03-22,-6.60,2.40,0.70,NA,NA,NA,NA
2014-03-23,-10.70,-3.90,0.00,NA,NA,NA,NA
2014-03-24,-13.10,-2.50,0.20,NA,NA,NA,NA
2014-03-25,-9.50,1.40,0.00,NA,NA,NA,NA
2014-03-26,-12.10,-3.80,0.00,NA,NA,NA,NA
2014-03-27,-10.80,4.90,2.60,NA,NA,NA,NA
2014-03-28,2.10,11.80,0.70,NA,NA,NA,NA
2014-03-29,0.60,2.70,0.20,NA,NA,NA,NA
