Daily data for a single station.
StationID:  , CA006153935
StationName:, "KALADAR"
Lat&Long    , 44.650, -77.117
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-12-06
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-22.50,-13.50,0.00,NA,NA,NA,NA
2014-01-02,-26.00,-22.00,0.60,NA,NA,NA,NA
2014-01-03,-28.00,-11.00,0.00,NA,NA,NA,NA
2014-01-04,-26.00,-0.50,1.00,NA,NA,NA,NA
2014-01-05,-4.00,5.50,16.60,NA,NA,NA,NA
2014-01-06,-8.00,0.50,0.00,NA,NA,NA,NA
2014-01-07,-20.00,-14.00,0.00,NA,NA,NA,NA
2014-01-08,-18.00,-8.50,0.00,NA,NA,NA,NA
2014-01-09,-18.00,-4.50,0.80,NA,NA,NA,NA
2014-01-10,-13.00,3.00,3.00,NA,NA,NA,NA
2014-01-11,-1.00,12.00,13.60,NA,NA,NA,NA
2014-01-12,0.50,2.00,0.60,NA,NA,NA,NA
2014-01-13,-3.00,6.00,11.60,NA,NA,NA,NA
2014-01-14,-1.00,4.00,0.20,NA,NA,NA,NA
2014-01-15,-6.50,1.00,0.20,NA,NA,NA,NA
2014-01-16,-11.00,-2.00,0.40,NA,NA,NA,NA
2014-01-17,-5.00,0.50,0.60,NA,NA,NA,NA
2014-01-18,-10.00,-1.50,1.00,NA,NA,NA,NA
2014-01-19,-8.00,-4.00,12.40,NA,NA,NA,NA
2014-01-20,-18.50,-13.50,0.00,NA,NA,NA,NA
2014-01-21,-31.00,-18.50,0.00,NA,NA,NA,NA
2014-01-22,-30.50,-14.50,0.00,NA,NA,NA,NA
2014-01-23,-26.50,-14.00,0.00,NA,NA,NA,NA
2014-01-24,-29.00,-7.50,10.20,NA,NA,NA,NA
2014-01-25,-10.50,-4.00,7.40,NA,NA,NA,NA
2014-01-26,-30.00,-6.00,16.60,NA,NA,NA,NA
2014-01-27,-15.50,-6.00,0.00,NA,NA,NA,NA
2014-01-28,-26.50,-11.00,0.00,NA,NA,NA,NA
2014-01-29,-24.50,-11.50,0.00,NA,NA,NA,NA
2014-01-30,-18.50,-3.00,0.00,NA,NA,NA,NA
2014-01-31,-6.50,0.00,0.00,NA,NA,NA,NA
2014-02-01,-15.50,0.00,19.80,NA,NA,NA,NA
2014-02-02,-5.00,-2.00,0.20,NA,NA,NA,NA
2014-02-03,-15.50,-3.00,0.00,NA,NA,NA,NA
2014-02-04,-21.00,-5.00,0.80,NA,NA,NA,NA
2014-02-05,-12.00,-9.50,10.00,NA,NA,NA,NA
2014-02-06,-25.00,-7.50,0.20,NA,NA,NA,NA
2014-02-07,-12.00,-8.00,0.00,NA,NA,NA,NA
2014-02-08,-14.50,-6.00,0.00,NA,NA,NA,NA
2014-02-09,-22.50,-7.50,0.80,NA,NA,NA,NA
2014-02-10,-20.50,-6.50,0.20,NA,NA,NA,NA
2014-02-11,-21.00,-7.50,0.00,NA,NA,NA,NA
2014-02-12,-26.00,-6.50,0.00,NA,NA,NA,NA
2014-02-13,-19.00,-3.50,0.40,NA,NA,NA,NA
2014-02-14,-8.00,-0.50,1.20,NA,NA,NA,NA
2014-02-15,-9.00,NA,0.00,NA,NA,NA,NA
2014-02-16,-18.50,-5.50,0.00,NA,NA,NA,NA
2014-02-17,-22.00,-4.00,3.80,NA,NA,NA,NA
2014-02-18,-15.00,-1.50,0.30,NA,NA,NA,NA
2014-02-19,-8.00,8.50,0.00,NA,NA,NA,NA
2014-02-20,-10.50,2.00,21.30,NA,NA,NA,NA
2014-02-21,-1.00,3.50,10.80,NA,NA,NA,NA
2014-02-22,-2.00,4.50,0.00,NA,NA,NA,NA
2014-02-23,-7.50,1.00,0.00,NA,NA,NA,NA
2014-02-24,-11.00,-6.00,0.00,NA,NA,NA,NA
2014-02-25,-16.50,-6.50,0.00,NA,NA,NA,NA
2014-02-26,-16.50,-10.50,4.00,NA,NA,NA,NA
2014-02-27,-19.50,-7.50,0.40,NA,NA,NA,NA
2014-02-28,-25.50,-10.50,1.20,NA,NA,NA,NA
2014-03-01,-20.00,-1.50,6.20,NA,NA,NA,NA
2014-03-02,-13.00,-7.50,0.00,NA,NA,NA,NA
2014-03-03,-23.50,-10.00,0.00,NA,NA,NA,NA
2014-03-04,-23.50,-8.50,1.20,NA,NA,NA,NA
2014-03-05,-17.50,-6.50,0.00,NA,NA,NA,NA
2014-03-06,-22.00,-3.00,0.00,NA,NA,NA,NA
2014-03-07,-19.00,3.00,0.00,NA,NA,NA,NA
2014-03-08,-3.00,2.50,0.00,NA,NA,NA,NA
2014-03-09,-16.50,-0.50,4.40,NA,NA,NA,NA
2014-03-10,-4.50,6.00,0.00,NA,NA,NA,NA
2014-03-11,-0.50,10.00,0.00,NA,NA,NA,NA
2014-03-12,-12.50,-3.00,16.00,NA,NA,NA,NA
2014-03-13,-19.00,-6.00,0.00,NA,NA,NA,NA
2014-03-14,-10.50,6.00,0.00,NA,NA,NA,NA
2014-03-15,-0.50,3.50,1.40,NA,NA,NA,NA
