Daily data for a single station.
StationID:  , CA006155790
StationName:, "ORANGEVILLE MOE"
Lat&Long    , 43.917, -80.083
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-22.00,-15.00,0.00,NA,NA,NA,NA
2014-01-02,-24.50,-4.00,0.00,NA,NA,NA,NA
2014-01-03,-23.00,NA,NA,NA,NA,NA,NA
2014-01-04,NA,-2.00,7.00,NA,NA,NA,NA
2014-01-05,-9.00,-7.00,0.00,NA,NA,NA,NA
2014-01-06,-26.00,-7.50,0.00,NA,NA,NA,NA
2014-01-07,-26.00,-11.00,0.00,NA,NA,NA,NA
2014-01-08,-17.00,-6.00,1.00,NA,NA,NA,NA
2014-01-09,-18.00,5.00,18.00,NA,NA,NA,NA
2014-01-10,-6.00,5.50,6.00,NA,NA,NA,NA
2014-01-11,-1.00,1.00,0.00,NA,NA,NA,NA
2014-01-12,-1.00,6.00,0.00,NA,NA,NA,NA
2014-01-13,-1.00,3.00,0.00,NA,NA,NA,NA
2014-01-14,-4.00,-3.00,5.00,NA,NA,NA,NA
2014-01-15,-14.00,2.00,5.00,NA,NA,NA,NA
2014-01-16,-11.50,-1.00,2.00,NA,NA,NA,NA
2014-01-17,-8.00,-5.00,0.00,NA,NA,NA,NA
2014-01-18,-10.00,-4.00,4.00,NA,NA,NA,NA
2014-01-19,NA,-10.00,0.00,NA,NA,NA,NA
2014-01-20,-25.00,-17.00,0.00,NA,NA,NA,NA
2014-01-21,-29.50,-15.00,0.00,NA,NA,NA,NA
2014-01-22,-20.00,-16.00,0.00,NA,NA,NA,NA
2014-01-23,-25.00,-7.00,5.00,NA,NA,NA,NA
2014-01-24,-18.00,-6.00,0.00,NA,NA,NA,NA
2014-01-25,-19.00,-8.00,0.00,NA,NA,NA,NA
2014-01-26,-15.00,-12.00,0.00,NA,NA,NA,NA
2014-01-27,-21.00,-15.00,0.00,NA,NA,NA,NA
2014-01-28,-21.00,-11.00,0.00,NA,NA,NA,NA
2014-01-29,-19.00,-3.00,0.00,NA,NA,NA,NA
2014-01-30,-12.00,NA,NA,NA,NA,NA,NA
2014-01-31,NA,0.00,10.00,NA,NA,NA,NA
2014-02-01,-6.00,-5.00,3.00,NA,NA,NA,NA
2014-02-02,-18.00,-7.00,0.00,NA,NA,NA,NA
2014-02-03,-24.00,-6.00,7.00,NA,NA,NA,NA
2014-02-04,-20.00,-9.00,10.00,NA,NA,NA,NA
2014-02-05,-22.00,-10.00,3.00,NA,NA,NA,NA
2014-02-06,-15.00,-13.50,0.00,NA,NA,NA,NA
2014-02-07,-18.00,-11.00,0.00,NA,NA,NA,NA
2014-02-08,-21.00,-10.00,0.00,NA,NA,NA,NA
2014-02-09,-21.00,-10.00,0.00,NA,NA,NA,NA
2014-02-10,-15.00,-12.00,0.00,NA,NA,NA,NA
2014-02-11,-29.00,-7.00,0.00,NA,NA,NA,NA
2014-02-12,-28.00,-3.00,0.00,NA,NA,NA,NA
2014-02-13,-16.50,-4.00,0.00,NA,NA,NA,NA
2014-02-14,-10.00,-7.00,2.00,NA,NA,NA,NA
2014-02-15,-20.00,-10.00,0.00,NA,NA,NA,NA
2014-02-16,-26.50,-3.50,8.00,NA,NA,NA,NA
2014-02-17,-10.50,-3.00,0.00,NA,NA,NA,NA
2014-02-18,-10.50,0.00,0.00,NA,NA,NA,NA
2014-02-19,-8.50,2.00,24.00,NA,NA,NA,NA
2014-02-20,-1.00,2.50,2.50,NA,NA,NA,NA
2014-02-21,-4.00,0.00,0.00,NA,NA,NA,NA
2014-02-22,-9.00,-4.00,0.00,NA,NA,NA,NA
2014-02-23,-11.00,-8.00,0.00,NA,NA,NA,NA
2014-02-24,-16.00,-9.00,2.00,NA,NA,NA,NA
2014-02-25,-19.00,-14.00,0.00,NA,NA,NA,NA
2014-02-26,-18.00,-14.00,0.00,NA,NA,NA,NA
2014-02-27,-27.50,-6.00,0.00,NA,NA,NA,NA
2014-02-28,-23.00,-4.50,3.00,NA,NA,NA,NA
2014-03-01,-17.00,-14.00,0.00,NA,NA,NA,NA
2014-03-02,-25.00,-14.00,0.00,NA,NA,NA,NA
2014-03-03,-21.00,-11.00,3.00,NA,NA,NA,NA
2014-03-04,-22.00,-10.00,3.00,NA,NA,NA,NA
2014-03-05,-26.00,-4.00,0.00,NA,NA,NA,NA
2014-03-06,-18.00,4.00,0.00,NA,NA,NA,NA
2014-03-07,-5.00,-2.00,0.00,NA,NA,NA,NA
2014-03-08,-12.00,-1.00,0.00,NA,NA,NA,NA
2014-03-09,-9.00,5.00,0.00,NA,NA,NA,NA
2014-03-10,-2.00,9.00,3.00,NA,NA,NA,NA
2014-03-11,NA,-3.00,7.00,NA,NA,NA,NA
2014-03-12,-19.00,-4.00,0.00,NA,NA,NA,NA
2014-03-13,-20.00,6.00,0.00,NA,NA,NA,NA
2014-03-14,-5.00,-4.00,0.00,NA,NA,NA,NA
2014-03-15,-16.50,-1.00,0.00,NA,NA,NA,NA
2014-03-16,-24.00,-5.00,0.00,NA,NA,NA,NA
2014-03-17,-21.50,2.00,0.00,NA,NA,NA,NA
2014-03-18,-7.00,4.50,0.00,NA,NA,NA,NA
2014-03-19,-1.00,0.00,0.00,NA,NA,NA,NA
2014-03-20,-6.00,1.00,4.00,NA,NA,NA,NA
2014-03-21,-6.00,-1.00,0.00,NA,NA,NA,NA
2014-03-22,-14.00,-8.50,0.00,NA,NA,NA,NA
2014-03-23,-15.00,-5.00,0.00,NA,NA,NA,NA
2014-03-24,-18.00,-3.00,0.00,NA,NA,NA,NA
2014-03-25,-16.00,-7.50,0.00,NA,NA,NA,NA
2014-03-26,-16.50,5.00,5.00,NA,NA,NA,NA
2014-03-27,-7.50,NA,NA,NA,NA,NA,NA
2014-03-28,NA,1.00,0.00,NA,NA,NA,NA
2014-03-29,-4.00,6.50,0.00,NA,NA,NA,NA
2014-03-30,-6.00,10.00,0.00,NA,NA,NA,NA
2014-03-31,-3.00,6.50,0.00,NA,NA,NA,NA
2014-04-01,-1.00,3.00,0.00,NA,NA,NA,NA
