Daily data for a single station.
StationID:  , CA006157012
StationName:, "RICHMOND HILL"
Lat&Long    , 43.883, -79.450
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-02-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-15.50,-12.00,0.00,NA,NA,NA,NA
2014-01-02,-20.50,-18.00,0.20,NA,NA,NA,NA
2014-01-03,-26.00,-7.50,0.00,NA,NA,NA,NA
2014-01-04,-17.00,-1.00,4.00,NA,NA,NA,NA
2014-01-05,-3.00,0.00,14.60,NA,NA,NA,NA
2014-01-06,-14.00,-5.00,0.20,NA,NA,NA,NA
2014-01-07,-24.50,-15.50,0.20,NA,NA,NA,NA
2014-01-08,-19.50,-8.50,0.00,NA,NA,NA,NA
2014-01-09,-14.50,-5.00,3.00,NA,NA,NA,NA
2014-01-10,-11.50,2.00,8.60,NA,NA,NA,NA
2014-01-11,0.50,5.50,3.20,NA,NA,NA,NA
2014-01-12,-0.50,1.50,0.00,NA,NA,NA,NA
2014-01-13,-4.00,6.50,0.00,NA,NA,NA,NA
2014-01-14,0.00,4.50,0.20,NA,NA,NA,NA
2014-01-15,-3.50,-1.00,0.20,NA,NA,NA,NA
2014-01-16,-7.50,-1.00,8.00,NA,NA,NA,NA
2014-01-17,-4.00,0.00,2.00,NA,NA,NA,NA
2014-01-18,-7.00,-2.50,0.00,NA,NA,NA,NA
2014-01-19,-9.50,-2.50,3.40,NA,NA,NA,NA
2014-01-20,-14.50,-9.50,0.00,NA,NA,NA,NA
2014-01-21,-23.00,-15.50,0.00,NA,NA,NA,NA
2014-01-22,-25.50,-14.00,0.40,NA,NA,NA,NA
2014-01-23,-20.00,-13.50,0.00,NA,NA,NA,NA
2014-01-24,-22.00,-8.50,6.60,NA,NA,NA,NA
2014-01-25,-14.00,-4.00,1.00,NA,NA,NA,NA
2014-01-26,-22.00,-6.00,8.60,NA,NA,NA,NA
2014-01-27,-14.50,-9.00,0.20,NA,NA,NA,NA
2014-01-28,-20.00,-12.00,0.00,NA,NA,NA,NA
2014-01-29,-19.50,-10.50,0.00,NA,NA,NA,NA
2014-01-30,-17.00,-2.50,0.60,NA,NA,NA,NA
2014-01-31,-5.00,0.00,0.40,NA,NA,NA,NA
2014-02-01,-7.50,0.00,14.20,NA,NA,NA,NA
2014-02-02,-4.50,2.50,0.20,NA,NA,NA,NA
2014-02-03,-13.00,-2.50,0.00,NA,NA,NA,NA
2014-02-04,-15.00,-3.00,8.20,NA,NA,NA,NA
2014-02-05,-10.00,-7.00,9.00,NA,NA,NA,NA
2014-02-06,-19.00,-8.00,0.40,NA,NA,NA,NA
2014-02-07,-13.50,-10.50,0.00,NA,NA,NA,NA
2014-02-08,-17.50,-9.00,0.00,NA,NA,NA,NA
2014-02-09,-17.00,-7.50,2.20,NA,NA,NA,NA
2014-02-10,-15.00,-5.50,0.00,NA,NA,NA,NA
2014-02-11,-13.50,-8.00,0.00,NA,NA,NA,NA
2014-02-12,-21.00,-4.00,0.00,NA,NA,NA,NA
2014-02-13,-15.50,-1.00,0.00,NA,NA,NA,NA
2014-02-14,-8.50,0.00,0.20,NA,NA,NA,NA
2014-02-15,-11.00,-4.00,0.20,NA,NA,NA,NA
2014-02-16,-16.50,-7.50,0.40,NA,NA,NA,NA
2014-02-17,-19.00,-2.00,11.00,NA,NA,NA,NA
2014-02-18,-8.00,-0.50,1.00,NA,NA,NA,NA
2014-02-19,-6.50,7.50,0.40,NA,NA,NA,NA
2014-02-20,-7.00,2.50,18.20,NA,NA,NA,NA
2014-02-21,0.00,4.50,1.20,NA,NA,NA,NA
2014-02-22,-1.50,2.00,0.00,NA,NA,NA,NA
2014-02-23,-6.50,-0.50,0.20,NA,NA,NA,NA
2014-02-24,-9.50,-5.00,0.00,NA,NA,NA,NA
2014-02-25,-14.00,-5.00,1.60,NA,NA,NA,NA
2014-02-26,-17.50,-11.00,0.00,NA,NA,NA,NA
2014-02-27,-16.00,-10.50,0.00,NA,NA,NA,NA
2014-02-28,-22.00,-7.50,0.00,NA,NA,NA,NA
