Daily data for a single station.
StationID:  , CA00615EMR7
StationName:, "MOUNTAINVIEW"
Lat&Long    , 44.050, -77.300
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2018-08-22
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-19.00,-10.50,0.00,NA,NA,NA,NA
2014-01-02,-23.00,-20.50,1.60,NA,NA,NA,NA
2014-01-03,-25.00,-6.00,0.00,NA,NA,NA,NA
2014-01-04,-24.00,2.00,0.20,NA,NA,NA,NA
2014-01-05,-2.00,7.00,12.60,NA,NA,NA,NA
2014-01-06,-9.00,0.00,1.60,NA,NA,NA,NA
2014-01-07,-19.50,-11.00,0.00,NA,NA,NA,NA
2014-01-08,-13.00,-8.00,0.00,NA,NA,NA,NA
2014-01-09,-11.50,-1.50,2.00,NA,NA,NA,NA
2014-01-10,-9.00,6.00,2.80,NA,NA,NA,NA
2014-01-11,2.00,7.50,11.60,NA,NA,NA,NA
2014-01-12,0.00,2.00,0.00,NA,NA,NA,NA
2014-01-13,-0.50,7.50,7.00,NA,NA,NA,NA
2014-01-14,-1.00,4.80,0.60,NA,NA,NA,NA
2014-01-15,-2.50,2.00,0.00,NA,NA,NA,NA
2014-01-16,-4.50,0.30,1.80,NA,NA,NA,NA
2014-01-17,-3.00,2.00,0.80,NA,NA,NA,NA
2014-01-18,-6.00,-1.00,4.00,NA,NA,NA,NA
2014-01-19,-6.00,-0.50,10.80,NA,NA,NA,NA
2014-01-20,-16.50,-8.00,3.20,NA,NA,NA,NA
2014-01-21,-26.00,-18.00,0.00,NA,NA,NA,NA
2014-01-22,-28.00,-16.00,0.00,NA,NA,NA,NA
2014-01-23,-22.00,-13.50,0.00,NA,NA,NA,NA
2014-01-24,-25.50,-6.00,9.60,NA,NA,NA,NA
2014-01-25,-11.50,-3.00,7.20,NA,NA,NA,NA
2014-01-26,-24.00,-1.50,15.20,NA,NA,NA,NA
2014-01-27,-17.00,-8.00,0.00,NA,NA,NA,NA
2014-01-28,-19.00,-10.50,21.00,NA,NA,NA,NA
2014-01-29,-13.00,-6.50,0.20,NA,NA,NA,NA
2014-01-30,-10.50,0.00,0.00,NA,NA,NA,NA
2014-01-31,-4.00,3.50,0.00,NA,NA,NA,NA
2014-02-01,-8.00,2.50,12.00,NA,NA,NA,NA
2014-02-02,-4.00,0.00,0.00,NA,NA,NA,NA
2014-02-03,-11.50,-2.50,0.00,NA,NA,NA,NA
2014-02-04,-16.50,-3.50,4.80,NA,NA,NA,NA
2014-02-05,-11.00,-7.50,18.20,NA,NA,NA,NA
2014-02-06,-21.00,-6.50,8.80,NA,NA,NA,NA
2014-02-07,-11.50,-8.00,13.40,NA,NA,NA,NA
2014-02-08,-12.50,-5.00,2.40,NA,NA,NA,NA
2014-02-09,-19.00,-8.00,2.40,NA,NA,NA,NA
2014-02-10,-16.00,-5.00,0.00,NA,NA,NA,NA
2014-02-11,-18.00,-8.00,0.00,NA,NA,NA,NA
2014-02-12,-24.00,-5.50,0.40,NA,NA,NA,NA
2014-02-13,-14.00,-3.00,1.60,NA,NA,NA,NA
2014-02-14,-6.50,1.00,0.00,NA,NA,NA,NA
2014-02-15,-8.00,0.00,0.00,NA,NA,NA,NA
2014-02-16,-16.50,-7.00,0.00,NA,NA,NA,NA
2014-02-17,-18.00,-1.50,3.60,NA,NA,NA,NA
2014-02-18,-14.00,1.00,0.20,NA,NA,NA,NA
2014-02-19,-6.00,6.50,0.00,NA,NA,NA,NA
