Daily data for a single station.
StationID:  , CA00615HMAK
StationName:, "TORONTO BUTTONVILLE A"
Lat&Long    , 43.867, -79.367
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-05-20
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-16.90,-10.30,0.00,NA,NA,NA,NA
2014-01-02,-21.20,-16.70,0.60,NA,NA,NA,NA
2014-01-03,-25.30,-9.20,0.00,NA,NA,NA,NA
2014-01-04,-9.40,-0.90,1.40,NA,NA,NA,NA
2014-01-05,-3.20,0.20,11.60,NA,NA,NA,NA
2014-01-06,-16.40,0.60,4.80,NA,NA,NA,NA
2014-01-07,-23.50,-16.30,0.00,NA,NA,NA,NA
2014-01-08,-17.70,-8.80,0.20,NA,NA,NA,NA
2014-01-09,-15.40,-6.50,0.00,NA,NA,NA,NA
2014-01-10,-9.00,1.90,3.40,NA,NA,NA,NA
2014-01-11,1.70,6.50,12.40,NA,NA,NA,NA
2014-01-12,-0.60,2.40,0.00,NA,NA,NA,NA
2014-01-13,-3.30,6.10,0.00,NA,NA,NA,NA
2014-01-14,-0.20,4.10,0.00,NA,NA,NA,NA
2014-01-15,-5.60,1.00,0.40,NA,NA,NA,NA
2014-01-16,-6.40,-1.90,2.40,NA,NA,NA,NA
2014-01-17,-5.00,0.60,3.20,NA,NA,NA,NA
2014-01-18,-8.50,-2.80,1.60,NA,NA,NA,NA
2014-01-19,-8.40,-2.80,1.20,NA,NA,NA,NA
2014-01-20,-19.10,-2.80,1.00,NA,NA,NA,NA
2014-01-21,-23.60,-17.40,0.00,NA,NA,NA,NA
2014-01-22,-24.80,-14.40,0.00,NA,NA,NA,NA
2014-01-23,-20.40,-15.20,0.40,NA,NA,NA,NA
2014-01-24,-21.80,-9.30,0.60,NA,NA,NA,NA
2014-01-25,-18.40,-4.10,3.00,NA,NA,NA,NA
2014-01-26,-23.80,-5.60,3.00,NA,NA,NA,NA
2014-01-27,-17.20,-5.60,1.60,NA,NA,NA,NA
2014-01-28,-19.10,-12.50,0.00,NA,NA,NA,NA
2014-01-29,-18.70,-10.20,0.00,NA,NA,NA,NA
2014-01-30,-15.60,-2.00,0.20,NA,NA,NA,NA
2014-01-31,-8.00,-0.20,0.80,NA,NA,NA,NA
2014-02-01,-8.00,0.40,15.20,NA,NA,NA,NA
2014-02-02,-9.30,-0.50,0.00,NA,NA,NA,NA
2014-02-03,-17.00,-3.30,0.00,NA,NA,NA,NA
2014-02-04,-18.70,-3.60,0.60,NA,NA,NA,NA
2014-02-05,-16.20,-7.00,15.20,NA,NA,NA,NA
2014-02-06,-21.30,-8.30,0.20,NA,NA,NA,NA
2014-02-07,-16.90,-10.30,0.00,NA,NA,NA,NA
2014-02-08,-16.40,-8.90,0.00,NA,NA,NA,NA
2014-02-09,-18.80,-8.00,2.20,NA,NA,NA,NA
2014-02-10,-21.30,-7.00,0.00,NA,NA,NA,NA
2014-02-11,-22.00,-9.10,0.00,NA,NA,NA,NA
2014-02-12,-24.60,-6.80,0.00,NA,NA,NA,NA
2014-02-13,-17.60,-2.40,0.00,NA,NA,NA,NA
2014-02-14,-6.60,-0.20,0.00,NA,NA,NA,NA
2014-02-15,-14.50,-4.30,0.00,NA,NA,NA,NA
2014-02-16,-16.00,-8.50,0.40,NA,NA,NA,NA
2014-02-17,-19.50,-4.80,1.80,NA,NA,NA,NA
