Daily data for a single station.
StationID:  , CA00616I001
StationName:, "BANCROFT AUTO"
Lat&Long    , 45.067, -77.883
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-05-18
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-26.40,-15.80,0.00,NA,NA,NA,NA
2014-01-02,-27.40,-23.10,0.00,NA,NA,NA,NA
2014-01-03,-34.50,-16.40,0.20,NA,NA,NA,NA
2014-01-04,-20.10,-2.30,0.00,NA,NA,NA,NA
2014-01-05,-5.00,-1.80,19.50,NA,NA,NA,NA
2014-01-06,-19.10,2.20,6.00,NA,NA,NA,NA
2014-01-07,-21.40,-17.40,1.50,NA,NA,NA,NA
2014-01-08,NA,NA,NA,NA,NA,NA,NA
2014-01-09,-20.90,-7.50,0.00,NA,NA,NA,NA
2014-01-10,-15.40,-0.20,0.00,NA,NA,NA,NA
2014-01-11,-0.30,5.60,19.60,NA,NA,NA,NA
2014-01-12,-2.00,1.00,0.20,NA,NA,NA,NA
2014-01-13,-2.30,5.40,0.60,NA,NA,NA,NA
2014-01-14,-9.30,3.70,0.20,NA,NA,NA,NA
2014-01-15,-10.30,-0.50,0.20,NA,NA,NA,NA
2014-01-16,-14.90,-4.00,0.60,NA,NA,NA,NA
2014-01-17,-14.30,-1.00,2.30,NA,NA,NA,NA
2014-01-18,-15.00,-2.60,0.20,NA,NA,NA,NA
2014-01-19,-10.40,-3.90,3.60,NA,NA,NA,NA
2014-01-20,NA,NA,NA,NA,NA,NA,NA
2014-01-21,-35.00,-18.30,0.00,NA,NA,NA,NA
2014-01-22,-37.80,-17.40,0.20,NA,NA,NA,NA
2014-01-23,-31.20,-16.60,0.00,NA,NA,NA,NA
2014-01-24,-36.00,-11.30,0.20,NA,NA,NA,NA
2014-01-25,-27.10,-5.60,6.20,NA,NA,NA,NA
2014-01-26,-33.40,-13.00,2.60,NA,NA,NA,NA
2014-01-27,-21.40,-8.80,3.70,NA,NA,NA,NA
2014-01-28,-28.80,-12.60,0.20,NA,NA,NA,NA
2014-01-29,-21.00,-11.80,0.20,NA,NA,NA,NA
2014-01-30,-15.60,-3.80,0.50,NA,NA,NA,NA
2014-01-31,-18.90,-2.90,0.60,NA,NA,NA,NA
2014-02-01,-22.40,-2.30,11.60,NA,NA,NA,NA
2014-02-02,-17.70,-3.40,0.20,NA,NA,NA,NA
2014-02-03,-24.20,-6.70,0.20,NA,NA,NA,NA
2014-02-04,-21.10,-4.50,0.00,NA,NA,NA,NA
2014-02-05,-24.10,-8.90,0.90,NA,NA,NA,NA
2014-02-06,-30.00,-8.60,0.20,NA,NA,NA,NA
2014-02-07,-14.60,-11.10,0.00,NA,NA,NA,NA
2014-02-08,-14.40,-7.70,0.20,NA,NA,NA,NA
2014-02-09,-20.80,-9.20,0.90,NA,NA,NA,NA
2014-02-10,-27.20,-8.40,0.20,NA,NA,NA,NA
2014-02-11,-31.30,-10.50,0.20,NA,NA,NA,NA
2014-02-12,-32.00,-7.60,0.00,NA,NA,NA,NA
2014-02-13,-23.00,-1.60,0.00,NA,NA,NA,NA
2014-02-14,-11.40,-1.20,0.00,NA,NA,NA,NA
2014-02-15,-16.50,-3.70,0.00,NA,NA,NA,NA
2014-02-16,-23.90,-8.20,0.00,NA,NA,NA,NA
2014-02-17,-27.30,-4.20,0.00,NA,NA,NA,NA
2014-02-18,-10.90,-1.00,2.20,NA,NA,NA,NA
2014-02-19,-6.80,6.70,0.00,NA,NA,NA,NA
2014-02-20,-10.80,1.70,4.10,NA,NA,NA,NA
2014-02-21,-0.60,2.80,19.10,NA,NA,NA,NA
2014-02-22,-5.50,0.80,0.00,NA,NA,NA,NA
2014-02-23,-9.90,-1.10,0.20,NA,NA,NA,NA
2014-02-24,-14.20,-7.40,0.40,NA,NA,NA,NA
2014-02-25,-22.10,-7.90,0.30,NA,NA,NA,NA
2014-02-26,-21.80,-12.00,0.20,NA,NA,NA,NA
