Daily data for a single station.
StationID:  , USC00124730
StationName:, "LAGRANGE"
Lat&Long    , 41.648, -85.412
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-06-15
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,NA,NA,0.00,NA,NA,NA,NA
2014-01-02,NA,NA,0.00,NA,NA,NA,NA
2014-01-03,NA,NA,0.00,NA,NA,NA,NA
2014-01-04,NA,NA,0.00,NA,NA,NA,NA
2014-01-05,-7.80,-0.60,1.50,NA,NA,NA,NA
2014-01-06,-18.30,-1.10,14.50,NA,NA,NA,NA
2014-01-07,-27.20,-17.80,0.00,NA,NA,NA,NA
2014-01-08,-26.10,-17.80,0.00,NA,NA,NA,NA
2014-01-09,-24.40,-10.00,0.00,NA,NA,NA,NA
2014-01-10,-17.20,-0.60,0.00,NA,NA,NA,NA
2014-01-11,-0.60,5.00,19.30,NA,NA,NA,NA
2014-01-12,-1.70,4.40,0.00,NA,NA,NA,NA
2014-01-13,-1.70,5.60,0.00,NA,NA,NA,NA
2014-01-14,-5.00,7.20,0.00,NA,NA,NA,NA
2014-01-15,-6.70,2.20,0.00,NA,NA,NA,NA
2014-01-16,-8.30,-5.00,0.00,NA,NA,NA,NA
2014-01-17,-7.20,-1.70,0.00,NA,NA,NA,NA
2014-01-18,-12.20,-5.60,0.00,NA,NA,NA,NA
2014-01-19,-13.90,-7.80,0.00,NA,NA,NA,NA
2014-01-20,-9.40,1.70,0.00,NA,NA,NA,NA
2014-01-21,-16.10,-0.60,0.00,NA,NA,NA,NA
2014-01-22,-19.40,-12.20,0.00,NA,NA,NA,NA
2014-01-23,-18.30,-11.70,0.00,NA,NA,NA,NA
2014-01-24,-22.80,-11.10,0.00,NA,NA,NA,NA
2014-01-25,NA,NA,0.00,NA,NA,NA,NA
2014-01-26,NA,NA,2.30,NA,NA,NA,NA
2014-01-27,-19.40,-1.70,0.00,NA,NA,NA,NA
2014-01-28,-26.70,-15.60,0.00,NA,NA,NA,NA
2014-01-29,-26.70,-17.20,0.00,NA,NA,NA,NA
2014-01-30,-18.90,-8.90,0.00,NA,NA,NA,NA
2014-01-31,-10.00,-0.60,0.00,NA,NA,NA,NA
2014-02-01,-4.40,-2.20,3.00,NA,NA,NA,NA
2014-02-02,-5.00,1.10,17.30,NA,NA,NA,NA
2014-02-03,-20.60,-4.40,0.00,NA,NA,NA,NA
2014-02-04,-22.80,-5.00,0.00,NA,NA,NA,NA
2014-02-05,-16.70,-5.60,18.30,NA,NA,NA,NA
2014-02-06,-16.10,-5.60,0.00,NA,NA,NA,NA
2014-02-07,-24.40,-12.80,0.00,NA,NA,NA,NA
2014-02-08,-23.30,-13.30,0.00,NA,NA,NA,NA
2014-02-09,-15.00,-10.00,2.00,NA,NA,NA,NA
2014-02-10,-17.20,-7.20,0.00,NA,NA,NA,NA
2014-02-11,-21.70,-8.90,0.00,NA,NA,NA,NA
2014-02-12,-24.40,-10.00,0.00,NA,NA,NA,NA
2014-02-13,-20.00,-5.60,0.00,NA,NA,NA,NA
2014-02-14,-20.00,-1.10,0.00,NA,NA,NA,NA
2014-02-15,-15.60,-5.60,0.00,NA,NA,NA,NA
2014-02-16,-12.20,-5.60,0.00,NA,NA,NA,NA
2014-02-17,-11.70,-2.80,0.00,NA,NA,NA,NA
2014-02-18,-11.70,-3.90,2.50,NA,NA,NA,NA
2014-02-19,-5.60,6.10,0.00,NA,NA,NA,NA
2014-02-20,-2.20,5.00,0.00,NA,NA,NA,NA
2014-02-21,0.60,9.40,22.60,NA,NA,NA,NA
2014-02-22,-4.40,1.70,0.00,NA,NA,NA,NA
2014-02-23,-7.20,1.10,0.00,NA,NA,NA,NA
2014-02-24,-8.90,-3.30,0.00,NA,NA,NA,NA
2014-02-25,-8.90,-3.90,0.00,NA,NA,NA,NA
2014-02-26,-15.00,-5.60,0.00,NA,NA,NA,NA
2014-02-27,-15.00,-8.90,0.30,NA,NA,NA,NA
2014-02-28,-22.20,-11.70,0.00,NA,NA,NA,NA
