Daily data for a single station.
StationID:  , USC00200089
StationName:, "ALBERTA FORD FOR CTR"
Lat&Long    , 46.645, -88.481
Elevation:  , -9999.000
Starts(YMD):,2018-01-01
Ends(YMD):  ,2024-04-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2018-01-01,-23.90,-15.60,1.00,NA,NA,NA,NA
2018-01-02,-20.60,-15.60,0.00,NA,NA,NA,NA
2018-01-03,-16.70,-10.00,0.80,NA,NA,NA,NA
2018-01-04,-21.70,-14.40,0.00,NA,NA,NA,NA
2018-01-05,-20.00,-16.70,0.00,NA,NA,NA,NA
2018-01-06,-26.70,-16.70,0.50,NA,NA,NA,NA
2018-01-07,-24.40,-10.00,1.00,NA,NA,NA,NA
2018-01-08,-10.00,-3.30,0.00,NA,NA,NA,NA
2018-01-09,-16.10,-2.20,0.00,NA,NA,NA,NA
2018-01-10,-16.70,0.60,0.00,NA,NA,NA,NA
2018-01-11,0.00,2.80,0.50,NA,NA,NA,NA
2018-01-12,-17.20,1.10,11.70,NA,NA,NA,NA
2018-01-13,-25.00,-14.40,0.30,NA,NA,NA,NA
2018-01-14,-23.90,-13.90,0.00,NA,NA,NA,NA
2018-01-15,-22.80,-11.10,1.80,NA,NA,NA,NA
2018-01-16,-16.70,-6.10,2.30,NA,NA,NA,NA
2018-01-17,-13.30,-8.30,0.00,NA,NA,NA,NA
2018-01-18,-12.80,-0.60,0.00,NA,NA,NA,NA
2018-01-19,-3.90,-1.10,0.00,NA,NA,NA,NA
2018-01-20,-5.60,6.70,0.00,NA,NA,NA,NA
2018-01-21,-5.00,4.40,0.00,NA,NA,NA,NA
2018-01-22,-4.40,3.90,0.00,NA,NA,NA,NA
2018-01-23,-8.90,-2.20,20.30,NA,NA,NA,NA
2018-01-24,-12.20,-8.30,0.30,NA,NA,NA,NA
2018-01-25,-13.30,-6.70,0.00,NA,NA,NA,NA
2018-01-26,-11.10,-0.60,0.00,NA,NA,NA,NA
2018-01-27,-1.10,6.10,0.00,NA,NA,NA,NA
2018-01-28,NA,NA,NA,NA,NA,NA,NA
2018-01-29,-13.30,0.00,NA,NA,NA,NA,NA
2018-01-30,-13.30,-11.10,0.50,NA,NA,NA,NA
2018-01-31,-13.30,-3.90,1.00,NA,NA,NA,NA
2018-02-01,-18.30,-1.70,0.50,NA,NA,NA,NA
2018-02-02,-20.00,-15.60,3.60,NA,NA,NA,NA
2018-02-03,-20.00,-15.60,1.00,NA,NA,NA,NA
2018-02-04,-19.40,-12.80,2.00,NA,NA,NA,NA
2018-02-05,-22.20,-15.00,0.00,NA,NA,NA,NA
2018-02-06,-27.80,-12.20,0.00,NA,NA,NA,NA
2018-02-07,-26.70,-12.80,0.00,NA,NA,NA,NA
2018-02-08,-23.90,-11.70,0.00,NA,NA,NA,NA
2018-02-09,-25.00,-12.20,0.00,NA,NA,NA,NA
2018-02-10,-26.10,-12.20,0.00,NA,NA,NA,NA
2018-02-11,-21.10,-9.40,0.00,NA,NA,NA,NA
2018-02-12,-23.30,-5.00,0.00,NA,NA,NA,NA
2018-02-13,NA,NA,NA,NA,NA,NA,NA
2018-02-14,-13.90,0.00,NA,NA,NA,NA,NA
2018-02-15,-5.60,10.00,0.00,NA,NA,NA,NA
2018-02-16,-14.40,1.10,0.00,NA,NA,NA,NA
2018-02-17,-15.00,-6.70,0.00,NA,NA,NA,NA
2018-02-18,-15.00,0.00,0.00,NA,NA,NA,NA
2018-02-19,-13.90,-0.60,0.50,NA,NA,NA,NA
2018-02-20,-8.90,-6.70,6.90,NA,NA,NA,NA
2018-02-21,-11.70,-3.30,0.30,NA,NA,NA,NA
2018-02-22,-20.60,-6.10,0.00,NA,NA,NA,NA
2018-02-23,-18.90,0.00,4.60,NA,NA,NA,NA
2018-02-24,-8.90,-0.60,0.00,NA,NA,NA,NA
2018-02-25,-8.90,1.70,4.10,NA,NA,NA,NA
2018-02-26,-8.90,-3.30,0.00,NA,NA,NA,NA
2018-02-27,-8.30,6.70,0.00,NA,NA,NA,NA
2018-02-28,-5.00,7.80,0.00,NA,NA,NA,NA
2018-03-01,-12.20,3.30,0.00,NA,NA,NA,NA
2018-03-02,-14.40,-0.60,0.00,NA,NA,NA,NA
2018-03-03,-14.40,3.30,0.00,NA,NA,NA,NA
2018-03-04,-4.40,6.70,0.00,NA,NA,NA,NA
2018-03-05,NA,NA,NA,NA,NA,NA,NA
2018-03-06,-5.00,3.90,NA,NA,NA,NA,NA
2018-03-07,-10.00,-1.70,3.80,NA,NA,NA,NA
2018-03-08,-10.00,-6.10,2.30,NA,NA,NA,NA
2018-03-09,-16.70,-3.30,0.50,NA,NA,NA,NA
2018-03-10,-10.60,-2.20,0.30,NA,NA,NA,NA
2018-03-11,-16.70,0.00,0.00,NA,NA,NA,NA
2018-03-12,-16.70,3.30,0.80,NA,NA,NA,NA
2018-03-13,-15.60,0.00,2.30,NA,NA,NA,NA
2018-03-14,-14.40,-7.20,0.00,NA,NA,NA,NA
2018-03-15,-10.60,2.80,0.00,NA,NA,NA,NA
2018-03-16,-18.30,-5.60,0.00,NA,NA,NA,NA
2018-03-17,-17.80,3.90,0.00,NA,NA,NA,NA
2018-03-18,-10.00,7.80,0.00,NA,NA,NA,NA
2018-03-19,-11.70,4.40,0.00,NA,NA,NA,NA
2018-03-20,-14.40,-1.10,0.00,NA,NA,NA,NA
2018-03-21,-12.80,-1.70,0.00,NA,NA,NA,NA
2018-03-22,-15.60,0.00,0.00,NA,NA,NA,NA
2018-03-23,-15.00,1.70,0.00,NA,NA,NA,NA
2018-03-24,-14.40,0.00,0.00,NA,NA,NA,NA
2018-03-25,-10.60,1.70,0.00,NA,NA,NA,NA
2018-03-26,-7.20,5.00,0.00,NA,NA,NA,NA
2018-03-27,-2.20,6.10,11.20,NA,NA,NA,NA
2018-03-28,-3.30,1.70,0.00,NA,NA,NA,NA
2018-03-29,-3.30,11.70,0.00,NA,NA,NA,NA
2018-03-30,-11.10,0.60,0.00,NA,NA,NA,NA
2018-03-31,-8.90,-3.30,6.60,NA,NA,NA,NA
2018-04-01,-15.60,-3.90,2.00,NA,NA,NA,NA
2018-04-02,-12.20,-2.20,0.00,NA,NA,NA,NA
2018-04-03,-9.40,1.10,0.00,NA,NA,NA,NA
2018-04-04,-8.30,-2.20,0.80,NA,NA,NA,NA
2018-04-05,-12.80,-3.30,0.30,NA,NA,NA,NA
2018-04-06,-7.20,0.60,0.50,NA,NA,NA,NA
2018-04-07,-8.90,-4.40,0.00,NA,NA,NA,NA
2018-04-08,-18.30,-4.40,0.00,NA,NA,NA,NA
2018-04-09,-13.90,1.10,0.00,NA,NA,NA,NA
2018-04-10,-11.10,3.30,0.00,NA,NA,NA,NA
2018-04-11,-8.30,5.00,0.80,NA,NA,NA,NA
2018-04-12,-0.60,7.80,7.40,NA,NA,NA,NA
2018-04-13,-3.90,2.20,0.00,NA,NA,NA,NA
2018-04-14,-6.10,1.70,0.00,NA,NA,NA,NA
2018-04-15,-6.70,-3.30,1.30,NA,NA,NA,NA
2018-04-16,-6.10,-5.00,11.40,NA,NA,NA,NA
2018-04-17,-5.60,-4.40,3.00,NA,NA,NA,NA
2018-04-18,-5.00,-1.10,0.00,NA,NA,NA,NA
2018-04-19,-11.70,2.20,0.00,NA,NA,NA,NA
2018-04-20,-6.10,10.00,0.00,NA,NA,NA,NA
2018-04-21,NA,NA,NA,NA,NA,NA,NA
2018-04-22,NA,NA,NA,NA,NA,NA,NA
2018-04-23,-3.90,17.80,NA,NA,NA,NA,NA
2018-04-24,0.00,18.90,0.00,NA,NA,NA,NA
2018-04-25,-3.30,12.20,0.30,NA,NA,NA,NA
2018-04-26,-0.60,10.00,0.00,NA,NA,NA,NA
2018-04-27,-5.00,10.00,0.00,NA,NA,NA,NA
2018-04-28,-6.70,5.00,0.00,NA,NA,NA,NA
2018-04-29,-5.60,5.00,0.00,NA,NA,NA,NA
2018-04-30,4.40,17.80,0.00,NA,NA,NA,NA
2018-05-01,15.00,25.00,0.00,NA,NA,NA,NA
2018-05-02,3.30,26.70,7.90,NA,NA,NA,NA
2018-05-03,0.60,10.00,0.00,NA,NA,NA,NA
2018-05-04,2.80,15.00,0.00,NA,NA,NA,NA
2018-05-05,8.90,21.10,0.00,NA,NA,NA,NA
2018-05-06,5.00,21.10,0.00,NA,NA,NA,NA
2018-05-07,4.40,16.10,0.00,NA,NA,NA,NA
2018-05-08,7.80,26.10,0.00,NA,NA,NA,NA
2018-05-09,5.60,17.80,3.80,NA,NA,NA,NA
2018-05-10,3.90,12.20,5.30,NA,NA,NA,NA
2018-05-11,-3.30,8.90,0.00,NA,NA,NA,NA
2018-05-12,-0.60,12.20,0.00,NA,NA,NA,NA
2018-05-13,4.40,17.20,0.00,NA,NA,NA,NA
2018-05-14,9.40,24.40,0.00,NA,NA,NA,NA
2018-05-15,5.00,26.70,0.00,NA,NA,NA,NA
2018-05-16,0.60,29.40,0.00,NA,NA,NA,NA
2018-05-17,2.80,17.80,0.00,NA,NA,NA,NA
2018-05-18,NA,NA,NA,NA,NA,NA,NA
2018-05-19,-1.10,25.60,NA,NA,NA,NA,NA
2018-05-20,NA,NA,NA,NA,NA,NA,NA
2018-05-21,2.20,21.10,NA,NA,NA,NA,NA
2018-05-22,8.30,23.90,0.00,NA,NA,NA,NA
2018-05-23,6.70,25.60,0.00,NA,NA,NA,NA
2018-05-24,13.30,28.90,0.00,NA,NA,NA,NA
2018-05-25,17.20,26.10,19.60,NA,NA,NA,NA
2018-05-26,16.10,27.80,0.50,NA,NA,NA,NA
2018-05-27,13.90,30.60,0.00,NA,NA,NA,NA
2018-05-28,17.20,28.90,2.50,NA,NA,NA,NA
2018-05-29,12.80,26.70,0.00,NA,NA,NA,NA
2018-05-30,NA,NA,NA,NA,NA,NA,NA
2018-05-31,14.40,31.10,NA,NA,NA,NA,NA
2018-06-01,4.40,25.00,0.00,NA,NA,NA,NA
2018-06-02,3.30,13.90,0.00,NA,NA,NA,NA
2018-06-03,10.60,23.30,10.40,NA,NA,NA,NA
2018-06-04,4.40,13.90,5.30,NA,NA,NA,NA
2018-06-05,5.60,19.40,0.00,NA,NA,NA,NA
2018-06-06,6.10,15.60,0.00,NA,NA,NA,NA
2018-06-07,6.10,19.40,0.00,NA,NA,NA,NA
2018-06-08,11.70,25.60,0.00,NA,NA,NA,NA
2018-06-09,8.30,25.00,0.00,NA,NA,NA,NA
2018-06-10,7.80,25.60,0.00,NA,NA,NA,NA
2018-06-11,NA,NA,NA,NA,NA,NA,NA
2018-06-12,15.00,26.70,NA,NA,NA,NA,NA
2018-06-13,11.70,23.90,19.80,NA,NA,NA,NA
2018-06-14,8.90,23.90,0.00,NA,NA,NA,NA
2018-06-15,12.80,26.70,7.40,NA,NA,NA,NA
2018-06-16,12.80,20.60,10.40,NA,NA,NA,NA
2018-06-17,19.40,23.90,37.80,NA,NA,NA,NA
2018-06-18,15.60,28.90,23.10,NA,NA,NA,NA
2018-06-19,10.00,23.30,0.00,NA,NA,NA,NA
2018-06-20,10.00,22.20,0.00,NA,NA,NA,NA
2018-06-21,8.30,25.60,0.00,NA,NA,NA,NA
2018-06-22,8.90,20.00,0.00,NA,NA,NA,NA
2018-06-23,8.90,25.60,0.00,NA,NA,NA,NA
2018-06-24,7.80,24.40,0.00,NA,NA,NA,NA
2018-06-25,3.90,16.10,0.00,NA,NA,NA,NA
2018-06-26,12.20,23.90,0.00,NA,NA,NA,NA
