Daily data for a single station.
StationID:  , USC00201439
StationName:, "CHAMPION VAN RIPER PK"
Lat&Long    , 46.519, -87.986
Elevation:  , -9999.000
Starts(YMD):,2021-09-01
Ends(YMD):  ,2022-01-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2021-09-01,5.60,20.00,0.00,NA,NA,NA,NA
2021-09-02,3.90,20.60,0.00,NA,NA,NA,NA
2021-09-03,5.60,22.20,0.00,NA,NA,NA,NA
2021-09-04,11.70,21.10,4.60,NA,NA,NA,NA
2021-09-05,10.00,17.20,4.60,NA,NA,NA,NA
2021-09-06,8.90,17.20,0.80,NA,NA,NA,NA
2021-09-07,9.40,19.40,11.20,NA,NA,NA,NA
2021-09-08,11.70,21.10,5.30,NA,NA,NA,NA
2021-09-09,7.80,16.10,0.30,NA,NA,NA,NA
2021-09-10,6.10,19.40,0.00,NA,NA,NA,NA
2021-09-11,6.70,22.80,0.00,NA,NA,NA,NA
2021-09-12,9.40,21.10,0.30,NA,NA,NA,NA
2021-09-13,4.40,19.40,0.00,NA,NA,NA,NA
2021-09-14,6.10,20.00,35.80,NA,NA,NA,NA
2021-09-15,7.80,15.60,10.20,NA,NA,NA,NA
2021-09-16,8.30,21.70,0.00,NA,NA,NA,NA
2021-09-17,12.20,22.80,0.00,NA,NA,NA,NA
2021-09-18,3.90,20.60,0.00,NA,NA,NA,NA
2021-09-19,4.40,21.10,0.00,NA,NA,NA,NA
2021-09-20,12.20,27.20,0.00,NA,NA,NA,NA
2021-09-21,10.00,24.40,5.30,NA,NA,NA,NA
2021-09-22,3.30,15.00,0.00,NA,NA,NA,NA
2021-09-23,3.90,15.00,0.00,NA,NA,NA,NA
2021-09-24,4.40,16.10,0.00,NA,NA,NA,NA
2021-09-25,5.00,21.70,18.80,NA,NA,NA,NA
