Daily data for a single station.
StationID:  , USC00201802
StationName:, "CORNELL 5SE"
Lat&Long    , 45.827, -87.159
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-10-24
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-24.40,-12.20,0.00,NA,NA,NA,NA
2014-01-02,-22.20,-10.60,NA,NA,NA,NA,NA
2014-01-03,-25.00,-10.60,0.00,NA,NA,NA,NA
2014-01-04,-13.90,-6.10,2.30,NA,NA,NA,NA
2014-01-05,-18.90,-6.70,0.00,NA,NA,NA,NA
2014-01-06,-24.40,-14.40,0.00,NA,NA,NA,NA
2014-01-07,-27.20,-16.10,0.00,NA,NA,NA,NA
2014-01-08,-25.60,-9.40,0.00,NA,NA,NA,NA
2014-01-09,-26.10,-8.30,0.00,NA,NA,NA,NA
2014-01-10,-11.70,-1.10,0.00,NA,NA,NA,NA
2014-01-11,-2.20,0.60,81.30,NA,NA,NA,NA
2014-01-12,-5.00,1.10,0.00,NA,NA,NA,NA
2014-01-13,-1.70,2.20,0.00,NA,NA,NA,NA
2014-01-14,-7.20,0.60,NA,NA,NA,NA,NA
2014-01-15,-11.70,0.60,5.10,NA,NA,NA,NA
2014-01-16,NA,NA,NA,NA,NA,NA,NA
2014-01-17,NA,NA,NA,NA,NA,NA,NA
2014-01-18,NA,NA,NA,NA,NA,NA,NA
2014-01-19,NA,NA,NA,NA,NA,NA,NA
2014-01-20,-17.80,-2.20,NA,NA,NA,NA,NA
2014-01-21,-22.80,-13.30,NA,NA,NA,NA,NA
2014-01-22,-20.60,-13.30,12.70,NA,NA,NA,NA
2014-01-23,-20.00,-11.70,15.20,NA,NA,NA,NA
2014-01-24,-23.30,-9.40,5.10,NA,NA,NA,NA
2014-01-25,NA,NA,NA,NA,NA,NA,NA
2014-01-26,NA,NA,NA,NA,NA,NA,NA
2014-01-27,-26.10,-6.70,NA,NA,NA,NA,NA
2014-01-28,-28.90,-15.60,0.00,NA,NA,NA,NA
2014-01-29,-22.20,-7.20,0.00,NA,NA,NA,NA
2014-01-30,-13.30,-3.90,NA,NA,NA,NA,NA
2014-01-31,-20.60,-4.40,2.50,NA,NA,NA,NA
2014-02-01,NA,NA,NA,NA,NA,NA,NA
2014-02-02,-22.80,-7.20,0.00,NA,NA,NA,NA
2014-02-03,-23.30,-6.70,0.00,NA,NA,NA,NA
2014-02-04,-18.90,-2.80,0.00,NA,NA,NA,NA
2014-02-05,-15.00,-6.10,0.00,NA,NA,NA,NA
2014-02-06,-20.60,-10.60,0.00,NA,NA,NA,NA
2014-02-07,-22.80,-7.20,0.00,NA,NA,NA,NA
2014-02-08,-22.80,-6.70,0.00,NA,NA,NA,NA
2014-02-09,-19.40,-6.70,0.00,NA,NA,NA,NA
2014-02-10,-24.40,-7.80,0.00,NA,NA,NA,NA
2014-02-11,-25.60,-9.40,0.00,NA,NA,NA,NA
2014-02-12,-15.60,-7.80,2.50,NA,NA,NA,NA
2014-02-13,-18.30,-3.90,4.10,NA,NA,NA,NA
2014-02-14,-11.10,-3.90,3.60,NA,NA,NA,NA
2014-02-15,-23.30,-6.70,0.00,NA,NA,NA,NA
2014-02-16,NA,NA,NA,NA,NA,NA,NA
2014-02-17,-19.40,-6.10,NA,NA,NA,NA,NA
2014-02-18,-13.90,-1.10,NA,NA,NA,NA,NA
2014-02-19,-10.60,7.20,0.00,NA,NA,NA,NA
2014-02-20,-7.20,7.20,0.00,NA,NA,NA,NA
2014-02-21,-7.20,3.30,16.50,NA,NA,NA,NA
2014-02-22,-13.30,-5.00,0.00,NA,NA,NA,NA
2014-02-23,NA,NA,NA,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,NA,NA
2014-02-25,-18.30,-4.40,0.00,NA,NA,NA,NA
2014-02-26,-24.40,-12.20,0.00,NA,NA,NA,NA
2014-02-27,-21.10,-12.20,0.00,NA,NA,NA,NA
2014-02-28,-29.40,-10.00,0.00,NA,NA,NA,NA
2014-03-01,-20.00,-10.00,0.00,NA,NA,NA,NA
2014-03-02,-25.60,-10.60,0.50,NA,NA,NA,NA
2014-03-03,-26.70,-8.30,0.00,NA,NA,NA,NA
2014-03-04,-13.90,-3.30,3.60,NA,NA,NA,NA
2014-03-05,-22.80,-5.00,0.00,NA,NA,NA,NA
2014-03-06,-17.80,-3.90,0.00,NA,NA,NA,NA
2014-03-07,-8.90,0.60,0.00,NA,NA,NA,NA
2014-03-08,-10.60,0.00,0.00,NA,NA,NA,NA
2014-03-09,-16.70,-1.10,0.00,NA,NA,NA,NA
2014-03-10,-5.00,13.30,0.00,NA,NA,NA,NA
2014-03-11,-0.60,12.20,0.00,NA,NA,NA,NA
2014-03-12,-16.70,2.80,0.00,NA,NA,NA,NA
