Daily data for a single station.
StationID:  , USC00202445
StationName:, "EAU CLAIRE 4 NE"
Lat&Long    , 42.015, -86.243
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-04-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-11.70,-8.30,2.00,NA,NA,NA,NA
2014-01-02,-13.30,-8.30,1.80,NA,NA,NA,NA
2014-01-03,-17.20,-7.80,0.30,NA,NA,NA,NA
2014-01-04,-11.10,0.00,0.50,NA,NA,NA,NA
2014-01-05,-11.10,-1.70,2.00,NA,NA,NA,NA
2014-01-06,-24.40,-6.10,1.80,NA,NA,NA,NA
2014-01-07,-25.00,-15.60,1.50,NA,NA,NA,NA
2014-01-08,-16.10,-7.20,0.00,NA,NA,NA,NA
2014-01-09,-13.30,-6.10,0.00,NA,NA,NA,NA
2014-01-10,-7.80,6.10,1.30,NA,NA,NA,NA
2014-01-11,0.00,6.10,2.50,NA,NA,NA,NA
2014-01-12,-2.20,2.80,0.00,NA,NA,NA,NA
2014-01-13,1.70,8.30,0.00,NA,NA,NA,NA
2014-01-14,-5.60,6.10,0.30,NA,NA,NA,NA
2014-01-15,-9.40,-0.60,3.60,NA,NA,NA,NA
2014-01-16,-11.10,-1.70,0.80,NA,NA,NA,NA
2014-01-17,-10.00,-0.60,0.50,NA,NA,NA,NA
2014-01-18,-11.70,-7.80,1.30,NA,NA,NA,NA
2014-01-19,-10.60,1.70,0.50,NA,NA,NA,NA
2014-01-20,-4.40,3.90,0.00,NA,NA,NA,NA
2014-01-21,-15.60,-4.40,0.00,NA,NA,NA,NA
2014-01-22,-16.10,-5.60,0.50,NA,NA,NA,NA
2014-01-23,-13.90,-7.80,2.50,NA,NA,NA,NA
2014-01-24,-11.70,-1.70,0.50,NA,NA,NA,NA
