Daily data for a single station.
StationID:  , USC00203769
StationName:, "HESPERIA 4 WNW"
Lat&Long    , 43.591, -86.106
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-07-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-18.30,-8.90,0.00,NA,NA,NA,NA
2014-01-02,-14.40,-9.40,0.00,NA,NA,NA,NA
2014-01-03,-18.30,-10.60,0.00,NA,NA,NA,NA
2014-01-04,-16.70,-1.10,2.00,NA,NA,NA,NA
2014-01-05,-6.10,0.00,1.00,NA,NA,NA,NA
2014-01-06,-13.30,-5.60,1.00,NA,NA,NA,NA
2014-01-07,-21.10,-12.20,2.00,NA,NA,NA,NA
2014-01-08,-20.00,-12.80,0.30,NA,NA,NA,NA
2014-01-09,-17.80,-10.00,0.30,NA,NA,NA,NA
2014-01-10,-12.80,-3.90,0.00,NA,NA,NA,NA
2014-01-11,-3.90,5.60,20.60,NA,NA,NA,NA
2014-01-12,-1.10,3.90,0.00,NA,NA,NA,NA
2014-01-13,0.00,5.00,0.00,NA,NA,NA,NA
2014-01-14,-7.80,6.70,0.00,NA,NA,NA,NA
2014-01-15,-8.90,0.60,1.80,NA,NA,NA,NA
2014-01-16,-8.90,-4.40,2.80,NA,NA,NA,NA
2014-01-17,-8.30,-1.10,1.30,NA,NA,NA,NA
2014-01-18,-7.80,-5.00,0.30,NA,NA,NA,NA
2014-01-19,-10.60,-3.30,1.80,NA,NA,NA,NA
2014-01-20,-7.20,-1.10,0.00,NA,NA,NA,NA
2014-01-21,-19.40,-5.60,0.00,NA,NA,NA,NA
2014-01-22,-21.10,-11.10,0.00,NA,NA,NA,NA
2014-01-23,-22.20,-9.40,7.10,NA,NA,NA,NA
2014-01-24,-21.10,-7.20,0.30,NA,NA,NA,NA
2014-01-25,-12.20,-2.20,11.90,NA,NA,NA,NA
2014-01-26,-16.70,-7.80,2.80,NA,NA,NA,NA
2014-01-27,-15.00,-6.70,4.30,NA,NA,NA,NA
2014-01-28,-24.40,-13.90,3.30,NA,NA,NA,NA
2014-01-29,-21.10,-12.80,0.30,NA,NA,NA,NA
2014-01-30,-12.80,-6.10,0.00,NA,NA,NA,NA
2014-01-31,-8.90,-0.60,6.10,NA,NA,NA,NA
2014-02-01,-15.60,-3.30,0.30,NA,NA,NA,NA
2014-02-02,-9.40,-3.30,3.00,NA,NA,NA,NA
2014-02-03,-9.40,-4.40,0.00,NA,NA,NA,NA
2014-02-04,-20.00,-3.30,0.00,NA,NA,NA,NA
2014-02-05,-15.60,-3.30,0.00,NA,NA,NA,NA
2014-02-06,-12.20,-4.40,0.00,NA,NA,NA,NA
2014-02-07,-15.00,-10.60,0.00,NA,NA,NA,NA
2014-02-08,-19.40,-8.30,0.00,NA,NA,NA,NA
2014-02-09,-13.30,-5.00,3.00,NA,NA,NA,NA
2014-02-10,-18.90,-5.00,0.30,NA,NA,NA,NA
2014-02-11,-16.10,-10.00,0.00,NA,NA,NA,NA
2014-02-12,-19.40,-7.80,0.00,NA,NA,NA,NA
