Daily data for a single station.
StationID:  , USC00203858
StationName:, "HOLLAND WTP"
Lat&Long    , 42.799, -86.205
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2024-05-19
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-11.70,-8.90,3.80,NA,NA,NA,NA
2014-01-02,-11.70,-10.60,3.80,NA,NA,NA,NA
2014-01-03,-16.70,-10.00,0.00,NA,NA,NA,NA
2014-01-04,-15.60,-2.80,0.00,NA,NA,NA,NA
2014-01-05,-3.90,0.00,8.90,NA,NA,NA,NA
2014-01-06,-13.30,-3.90,8.90,NA,NA,NA,NA
2014-01-07,-16.70,-13.30,6.10,NA,NA,NA,NA
2014-01-08,-16.10,-8.90,0.00,NA,NA,NA,NA
2014-01-09,-12.20,-7.80,0.00,NA,NA,NA,NA
2014-01-10,-11.10,-2.20,0.00,NA,NA,NA,NA
2014-01-11,-2.20,6.10,41.90,NA,NA,NA,NA
2014-01-12,0.00,2.80,1.00,NA,NA,NA,NA
2014-01-13,0.00,5.00,0.00,NA,NA,NA,NA
2014-01-14,-2.20,3.90,0.00,NA,NA,NA,NA
2014-01-15,-3.90,2.20,NA,NA,NA,NA,NA
2014-01-16,-7.80,-3.90,1.80,NA,NA,NA,NA
2014-01-17,-6.70,0.00,5.10,NA,NA,NA,NA
2014-01-18,-6.70,-3.30,4.60,NA,NA,NA,NA
2014-01-19,-9.40,-3.30,0.50,NA,NA,NA,NA
2014-01-20,-3.90,1.70,0.00,NA,NA,NA,NA
2014-01-21,-13.90,-3.90,0.00,NA,NA,NA,NA
2014-01-22,-15.00,-9.40,0.30,NA,NA,NA,NA
2014-01-23,-12.80,-9.40,NA,NA,NA,NA,NA
2014-01-24,-12.80,-8.30,0.00,NA,NA,NA,NA
2014-01-25,-13.30,-1.10,11.40,NA,NA,NA,NA
2014-01-26,-11.70,-2.20,2.50,NA,NA,NA,NA
2014-01-27,-13.30,-3.30,4.60,NA,NA,NA,NA
2014-01-28,-16.10,-13.30,2.00,NA,NA,NA,NA
2014-01-29,-14.40,-11.70,0.00,NA,NA,NA,NA
2014-01-30,NA,NA,NA,NA,NA,NA,NA
2014-01-31,NA,NA,NA,NA,NA,NA,NA
2014-02-01,NA,NA,NA,NA,NA,NA,NA
2014-02-02,NA,NA,NA,NA,NA,NA,NA
2014-02-03,NA,NA,0.00,NA,NA,NA,NA
2014-02-04,-14.40,-5.60,0.00,NA,NA,NA,NA
2014-02-05,NA,NA,NA,NA,NA,NA,NA
2014-02-06,NA,NA,2.50,NA,NA,NA,NA
2014-02-07,-12.20,-8.30,1.00,NA,NA,NA,NA
2014-02-08,-12.20,-8.30,0.00,NA,NA,NA,NA
2014-02-09,-10.60,-8.30,3.30,NA,NA,NA,NA
2014-02-10,-9.40,-6.10,1.00,NA,NA,NA,NA
2014-02-11,NA,NA,NA,NA,NA,NA,NA
2014-02-12,NA,NA,0.00,NA,NA,NA,NA
2014-02-13,-18.90,-6.10,0.00,NA,NA,NA,NA
2014-02-14,-6.70,-0.60,0.50,NA,NA,NA,NA
2014-02-15,-9.40,-3.90,0.50,NA,NA,NA,NA
2014-02-16,-10.00,-5.60,2.00,NA,NA,NA,NA
2014-02-17,-10.60,-2.20,0.00,NA,NA,NA,NA
2014-02-18,-10.00,-3.90,13.70,NA,NA,NA,NA
2014-02-19,-3.90,8.30,0.00,NA,NA,NA,NA
2014-02-20,-0.60,3.30,0.00,NA,NA,NA,NA
2014-02-21,0.60,5.00,14.00,NA,NA,NA,NA
2014-02-22,-4.40,1.10,0.50,NA,NA,NA,NA
