Daily data for a single station.
StationID:  , USC00205807
StationName:, "NEW BALTIMORE 5SW"
Lat&Long    , 42.650, -82.805
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2016-06-15
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,NA,NA,7.60,NA,NA,NA,NA
2014-01-02,NA,NA,0.00,NA,NA,NA,NA
2014-01-03,NA,NA,0.00,NA,NA,NA,NA
2014-01-04,NA,NA,0.00,NA,NA,NA,NA
2014-01-05,NA,NA,21.60,NA,NA,NA,NA
2014-01-06,NA,NA,NA,NA,NA,NA,NA
2014-01-07,NA,NA,0.00,NA,NA,NA,NA
2014-01-08,NA,NA,0.00,NA,NA,NA,NA
2014-01-09,NA,NA,0.00,NA,NA,NA,NA
2014-01-10,NA,NA,2.00,NA,NA,NA,NA
2014-01-11,NA,NA,0.00,NA,NA,NA,NA
2014-01-12,NA,NA,0.00,NA,NA,NA,NA
2014-01-13,NA,NA,0.00,NA,NA,NA,NA
2014-01-14,NA,NA,0.00,NA,NA,NA,NA
2014-01-15,NA,NA,0.00,NA,NA,NA,NA
2014-01-16,NA,NA,16.30,NA,NA,NA,NA
2014-01-17,NA,NA,0.00,NA,NA,NA,NA
2014-01-18,NA,NA,0.00,NA,NA,NA,NA
2014-01-19,NA,NA,0.00,NA,NA,NA,NA
2014-01-20,NA,NA,0.00,NA,NA,NA,NA
2014-01-21,NA,NA,0.00,NA,NA,NA,NA
2014-01-22,NA,NA,0.00,NA,NA,NA,NA
2014-01-23,NA,NA,0.00,NA,NA,NA,NA
2014-01-24,NA,NA,0.00,NA,NA,NA,NA
2014-01-25,NA,NA,NA,NA,NA,NA,NA
2014-01-26,NA,NA,NA,NA,NA,NA,NA
2014-01-27,NA,NA,5.10,NA,NA,NA,NA
2014-01-28,NA,NA,0.00,NA,NA,NA,NA
2014-01-29,NA,NA,0.00,NA,NA,NA,NA
2014-01-30,NA,NA,0.00,NA,NA,NA,NA
2014-01-31,NA,NA,0.00,NA,NA,NA,NA
2014-02-01,NA,NA,17.00,NA,NA,NA,NA
2014-02-02,NA,NA,0.00,NA,NA,NA,NA
2014-02-03,NA,NA,0.00,NA,NA,NA,NA
2014-02-04,NA,NA,0.00,NA,NA,NA,NA
2014-02-05,NA,NA,8.60,NA,NA,NA,NA
2014-02-06,NA,NA,0.00,NA,NA,NA,NA
2014-02-07,NA,NA,0.00,NA,NA,NA,NA
2014-02-08,NA,NA,0.00,NA,NA,NA,NA
2014-02-09,NA,NA,NA,NA,NA,NA,NA
2014-02-10,NA,NA,0.00,NA,NA,NA,NA
2014-02-11,NA,NA,0.00,NA,NA,NA,NA
2014-02-12,NA,NA,0.00,NA,NA,NA,NA
2014-02-13,NA,NA,0.00,NA,NA,NA,NA
2014-02-14,NA,NA,0.00,NA,NA,NA,NA
2014-02-15,NA,NA,0.00,NA,NA,NA,NA
2014-02-16,NA,NA,3.60,NA,NA,NA,NA
2014-02-17,NA,NA,0.00,NA,NA,NA,NA
2014-02-18,NA,NA,4.80,NA,NA,NA,NA
2014-02-19,NA,NA,0.00,NA,NA,NA,NA
2014-02-20,NA,NA,0.00,NA,NA,NA,NA
2014-02-21,NA,NA,0.00,NA,NA,NA,NA
2014-02-22,NA,NA,0.00,NA,NA,NA,NA
2014-02-23,NA,NA,0.00,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,NA,NA
2014-02-25,NA,NA,0.00,NA,NA,NA,NA
2014-02-26,NA,NA,0.00,NA,NA,NA,NA
2014-02-27,NA,NA,0.00,NA,NA,NA,NA
2014-02-28,NA,NA,0.00,NA,NA,NA,NA
2014-03-01,NA,NA,0.00,NA,NA,NA,NA
2014-03-02,NA,NA,9.90,NA,NA,NA,NA
2014-03-03,NA,NA,0.00,NA,NA,NA,NA
2014-03-04,NA,NA,0.00,NA,NA,NA,NA
2014-03-05,NA,NA,0.00,NA,NA,NA,NA
2014-03-06,NA,NA,0.00,NA,NA,NA,NA
2014-03-07,NA,NA,0.00,NA,NA,NA,NA
2014-03-08,NA,NA,0.00,NA,NA,NA,NA
2014-03-09,NA,NA,0.00,NA,NA,NA,NA
2014-03-10,NA,NA,0.00,NA,NA,NA,NA
2014-03-11,NA,NA,0.00,NA,NA,NA,NA
2014-03-12,NA,NA,16.80,NA,NA,NA,NA
2014-03-13,NA,NA,0.00,NA,NA,NA,NA
2014-03-14,NA,NA,0.00,NA,NA,NA,NA
2014-03-15,NA,NA,0.00,NA,NA,NA,NA
2014-03-16,NA,NA,0.00,NA,NA,NA,NA
2014-03-17,NA,NA,0.00,NA,NA,NA,NA
2014-03-18,NA,NA,0.00,NA,NA,NA,NA
2014-03-19,NA,NA,0.00,NA,NA,NA,NA
2014-03-20,NA,NA,0.00,NA,NA,NA,NA
2014-03-21,NA,NA,0.00,NA,NA,NA,NA
2014-03-22,NA,NA,5.30,NA,NA,NA,NA
2014-03-23,NA,NA,0.00,NA,NA,NA,NA
2014-03-24,NA,NA,0.00,NA,NA,NA,NA
2014-03-25,NA,NA,0.00,NA,NA,NA,NA
2014-03-26,NA,NA,0.00,NA,NA,NA,NA
2014-03-27,NA,NA,0.00,NA,NA,NA,NA
2014-03-28,NA,NA,0.00,NA,NA,NA,NA
2014-03-29,NA,NA,0.00,NA,NA,NA,NA
2014-03-30,NA,NA,0.00,NA,NA,NA,NA
2014-03-31,NA,NA,0.00,NA,NA,NA,NA
2014-04-01,NA,NA,0.00,NA,NA,NA,NA
2014-04-02,NA,NA,0.00,NA,NA,NA,NA
2014-04-03,NA,NA,1.80,NA,NA,NA,NA
2014-04-04,NA,NA,0.00,NA,NA,NA,NA
2014-04-05,NA,NA,0.00,NA,NA,NA,NA
2014-04-06,NA,NA,0.00,NA,NA,NA,NA
2014-04-07,NA,NA,0.00,NA,NA,NA,NA
2014-04-08,NA,NA,16.30,NA,NA,NA,NA
2014-04-09,NA,NA,0.00,NA,NA,NA,NA
2014-04-10,NA,NA,0.00,NA,NA,NA,NA
2014-04-11,NA,NA,0.00,NA,NA,NA,NA
2014-04-12,NA,NA,5.10,NA,NA,NA,NA
2014-04-13,NA,NA,0.00,NA,NA,NA,NA
2014-04-14,NA,NA,5.10,NA,NA,NA,NA
2014-04-15,NA,NA,0.00,NA,NA,NA,NA
2014-04-16,NA,NA,0.00,NA,NA,NA,NA
2014-04-17,NA,NA,0.00,NA,NA,NA,NA
2014-04-18,NA,NA,0.00,NA,NA,NA,NA
2014-04-19,NA,NA,0.00,NA,NA,NA,NA
2014-04-20,NA,NA,0.00,NA,NA,NA,NA
2014-04-21,NA,NA,0.00,NA,NA,NA,NA
2014-04-22,NA,NA,1.80,NA,NA,NA,NA
2014-04-23,NA,NA,0.00,NA,NA,NA,NA
2014-04-24,NA,NA,0.00,NA,NA,NA,NA
2014-04-25,NA,NA,4.60,NA,NA,NA,NA
2014-04-26,NA,NA,0.00,NA,NA,NA,NA
2014-04-27,NA,NA,0.00,NA,NA,NA,NA
2014-04-28,NA,NA,0.00,NA,NA,NA,NA
2014-04-29,NA,NA,15.70,NA,NA,NA,NA
2014-04-30,NA,NA,6.90,NA,NA,NA,NA
2014-05-01,NA,NA,1.00,NA,NA,NA,NA
2014-05-02,NA,NA,1.50,NA,NA,NA,NA
2014-05-03,NA,NA,0.80,NA,NA,NA,NA
2014-05-04,NA,NA,0.00,NA,NA,NA,NA
2014-05-05,NA,NA,0.00,NA,NA,NA,NA
2014-05-06,NA,NA,0.00,NA,NA,NA,NA
2014-05-07,NA,NA,0.00,NA,NA,NA,NA
2014-05-08,NA,NA,41.90,NA,NA,NA,NA
2014-05-09,NA,NA,0.00,NA,NA,NA,NA
2014-05-10,NA,NA,0.00,NA,NA,NA,NA
2014-05-11,NA,NA,4.10,NA,NA,NA,NA
2014-05-12,NA,NA,16.50,NA,NA,NA,NA
2014-05-13,NA,NA,0.00,NA,NA,NA,NA
2014-05-14,NA,NA,NA,NA,NA,NA,NA
2014-05-15,NA,NA,NA,NA,NA,NA,NA
2014-05-16,NA,NA,NA,NA,NA,NA,NA
2014-05-17,NA,NA,0.00,NA,NA,NA,NA
2014-05-18,NA,NA,0.00,NA,NA,NA,NA
2014-05-19,NA,NA,0.00,NA,NA,NA,NA
2014-05-20,NA,NA,0.00,NA,NA,NA,NA
2014-05-21,NA,NA,3.00,NA,NA,NA,NA
2014-05-22,NA,NA,0.00,NA,NA,NA,NA
2014-05-23,NA,NA,0.00,NA,NA,NA,NA
2014-05-24,NA,NA,0.00,NA,NA,NA,NA
2014-05-25,NA,NA,0.00,NA,NA,NA,NA
2014-05-26,NA,NA,0.00,NA,NA,NA,NA
2014-05-27,NA,NA,0.00,NA,NA,NA,NA
2014-05-28,NA,NA,13.00,NA,NA,NA,NA
2014-05-29,NA,NA,0.00,NA,NA,NA,NA
2014-05-30,NA,NA,0.00,NA,NA,NA,NA
2014-05-31,NA,NA,0.00,NA,NA,NA,NA
2014-06-01,NA,NA,0.00,NA,NA,NA,NA
2014-06-02,NA,NA,13.50,NA,NA,NA,NA
2014-06-03,NA,NA,0.00,NA,NA,NA,NA
2014-06-04,NA,NA,1.50,NA,NA,NA,NA
2014-06-05,NA,NA,0.00,NA,NA,NA,NA
2014-06-06,NA,NA,2.80,NA,NA,NA,NA
2014-06-07,NA,NA,0.00,NA,NA,NA,NA
2014-06-08,NA,NA,0.00,NA,NA,NA,NA
2014-06-09,NA,NA,0.00,NA,NA,NA,NA
2014-06-10,NA,NA,0.00,NA,NA,NA,NA
2014-06-11,NA,NA,3.30,NA,NA,NA,NA
2014-06-12,NA,NA,2.50,NA,NA,NA,NA
2014-06-13,NA,NA,0.00,NA,NA,NA,NA
2014-06-14,NA,NA,0.00,NA,NA,NA,NA
2014-06-15,NA,NA,0.00,NA,NA,NA,NA
2014-06-16,NA,NA,0.00,NA,NA,NA,NA
2014-06-17,NA,NA,0.00,NA,NA,NA,NA
2014-06-18,NA,NA,25.90,NA,NA,NA,NA
2014-06-19,NA,NA,0.00,NA,NA,NA,NA
2014-06-20,NA,NA,3.00,NA,NA,NA,NA
2014-06-21,NA,NA,0.00,NA,NA,NA,NA
2014-06-22,NA,NA,0.00,NA,NA,NA,NA
2014-06-23,NA,NA,1.30,NA,NA,NA,NA
2014-06-24,NA,NA,17.80,NA,NA,NA,NA
2014-06-25,NA,NA,0.00,NA,NA,NA,NA
2014-06-26,NA,NA,0.00,NA,NA,NA,NA
2014-06-27,NA,NA,0.00,NA,NA,NA,NA
