Daily data for a single station.
StationID:  , USC00206220
StationName:, "ONTONAGON 6 SE"
Lat&Long    , 46.834, -89.207
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-11-16
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-23.30,-16.10,3.30,NA,NA,NA,NA
2014-01-02,-28.90,-12.20,0.30,NA,NA,NA,NA
2014-01-03,-17.80,-10.60,0.30,NA,NA,NA,NA
2014-01-04,-11.70,-4.40,4.10,NA,NA,NA,NA
2014-01-05,-19.40,-10.00,5.10,NA,NA,NA,NA
2014-01-06,NA,NA,NA,NA,NA,NA,NA
2014-01-07,NA,NA,NA,NA,NA,NA,NA
2014-01-08,-28.30,-15.00,NA,NA,NA,NA,NA
2014-01-09,-25.00,-6.70,0.00,NA,NA,NA,NA
2014-01-10,-9.40,-1.10,0.00,NA,NA,NA,NA
2014-01-11,-3.90,-1.10,3.00,NA,NA,NA,NA
2014-01-12,-9.40,1.70,0.00,NA,NA,NA,NA
2014-01-13,-6.70,2.20,0.00,NA,NA,NA,NA
2014-01-14,-9.40,-2.20,0.30,NA,NA,NA,NA
2014-01-15,-11.10,-7.80,1.80,NA,NA,NA,NA
2014-01-16,-12.20,-2.20,16.50,NA,NA,NA,NA
2014-01-17,-11.10,-5.60,7.40,NA,NA,NA,NA
2014-01-18,-17.20,-3.90,0.30,NA,NA,NA,NA
2014-01-19,-23.30,-2.20,2.30,NA,NA,NA,NA
2014-01-20,-17.20,-9.40,2.50,NA,NA,NA,NA
2014-01-21,-21.10,-12.80,2.30,NA,NA,NA,NA
2014-01-22,-23.90,-12.80,3.80,NA,NA,NA,NA
2014-01-23,-20.60,-14.40,5.10,NA,NA,NA,NA
2014-01-24,-30.00,-6.10,4.10,NA,NA,NA,NA
2014-01-25,-17.80,-3.90,5.10,NA,NA,NA,NA
2014-01-26,-18.30,-13.90,0.50,NA,NA,NA,NA
2014-01-27,-21.70,-15.00,0.80,NA,NA,NA,NA
2014-01-28,-27.80,-17.80,0.00,NA,NA,NA,NA
2014-01-29,-20.00,-6.70,0.00,NA,NA,NA,NA
2014-01-30,-12.20,-3.90,2.00,NA,NA,NA,NA
2014-01-31,-22.20,-8.90,0.50,NA,NA,NA,NA
2014-02-01,-26.10,-9.40,0.30,NA,NA,NA,NA
2014-02-02,-16.70,-8.90,2.00,NA,NA,NA,NA
2014-02-03,-27.80,-3.90,0.00,NA,NA,NA,NA
2014-02-04,-22.20,-9.40,0.00,NA,NA,NA,NA
2014-02-05,-22.80,-11.10,0.00,NA,NA,NA,NA
2014-02-06,-19.40,-9.40,0.00,NA,NA,NA,NA
2014-02-07,-18.90,-6.70,0.00,NA,NA,NA,NA
2014-02-08,-23.30,-6.70,0.00,NA,NA,NA,NA
2014-02-09,-22.80,-4.40,0.30,NA,NA,NA,NA
2014-02-10,-22.80,-12.20,0.30,NA,NA,NA,NA
2014-02-11,-28.30,-6.70,0.00,NA,NA,NA,NA
2014-02-12,-11.10,-3.90,2.50,NA,NA,NA,NA
2014-02-13,-12.20,-6.10,1.30,NA,NA,NA,NA
2014-02-14,-17.20,-6.70,1.80,NA,NA,NA,NA
