Daily data for a single station.
StationID:  , USC00206663
StationName:, "PORT HOPE"
Lat&Long    , 43.948, -82.714
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-08-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-14.40,-10.00,0.00,NA,NA,NA,NA
2014-01-02,-13.30,-8.90,3.00,NA,NA,NA,NA
2014-01-03,-17.20,-10.00,3.80,NA,NA,NA,NA
2014-01-04,-17.20,-8.90,0.00,NA,NA,NA,NA
2014-01-05,-8.90,-2.20,5.10,NA,NA,NA,NA
2014-01-06,-12.80,-2.20,29.00,NA,NA,NA,NA
2014-01-07,-23.90,-11.10,1.00,NA,NA,NA,NA
2014-01-08,-23.30,-12.80,0.00,NA,NA,NA,NA
2014-01-09,-21.70,-11.10,0.00,NA,NA,NA,NA
2014-01-10,-21.70,-2.80,0.00,NA,NA,NA,NA
2014-01-11,-2.80,2.80,1.30,NA,NA,NA,NA
2014-01-12,-0.60,4.40,2.50,NA,NA,NA,NA
2014-01-13,-0.60,2.80,0.00,NA,NA,NA,NA
2014-01-14,-4.40,4.40,0.00,NA,NA,NA,NA
2014-01-15,-5.60,2.20,0.00,NA,NA,NA,NA
2014-01-16,-8.90,-4.40,0.00,NA,NA,NA,NA
2014-01-17,NA,-2.20,2.00,NA,NA,NA,NA
2014-01-18,NA,-1.70,0.00,NA,NA,NA,NA
2014-01-19,-10.60,-5.00,0.00,NA,NA,NA,NA
2014-01-20,-9.40,-3.30,1.80,NA,NA,NA,NA
2014-01-21,-13.90,-9.40,0.30,NA,NA,NA,NA
2014-01-22,-20.00,-12.20,0.00,NA,NA,NA,NA
2014-01-23,-18.30,-13.30,0.00,NA,NA,NA,NA
2014-01-24,-23.30,-12.20,1.80,NA,NA,NA,NA
2014-01-25,-20.60,-5.00,1.00,NA,NA,NA,NA
2014-01-26,-19.40,-7.80,0.00,NA,NA,NA,NA
2014-01-27,-16.70,-7.80,1.50,NA,NA,NA,NA
2014-01-28,-21.10,-13.30,0.00,NA,NA,NA,NA
2014-01-29,NA,NA,NA,NA,NA,NA,NA
2014-01-30,-15.60,-8.30,0.00,NA,NA,NA,NA
2014-01-31,-10.00,-1.70,0.30,NA,NA,NA,NA
2014-02-01,-12.20,-1.70,0.00,NA,NA,NA,NA
2014-02-02,-8.30,-3.30,10.90,NA,NA,NA,NA
2014-02-03,-21.10,-6.10,0.00,NA,NA,NA,NA
2014-02-04,-20.60,-7.80,0.00,NA,NA,NA,NA
2014-02-05,-13.30,-5.00,1.00,NA,NA,NA,NA
2014-02-06,-16.10,-5.60,3.00,NA,NA,NA,NA
2014-02-07,-15.60,-8.30,0.00,NA,NA,NA,NA
2014-02-08,NA,NA,NA,NA,NA,NA,NA
2014-02-09,-16.10,-7.80,0.50,NA,NA,NA,NA
2014-02-10,-17.20,-6.70,0.50,NA,NA,NA,NA
2014-02-11,-16.10,-8.30,0.00,NA,NA,NA,NA
2014-02-12,-23.30,-11.10,0.00,NA,NA,NA,NA
2014-02-13,-19.40,-7.80,0.00,NA,NA,NA,NA
2014-02-14,-14.40,-3.30,0.30,NA,NA,NA,NA
2014-02-15,-15.60,-1.70,0.50,NA,NA,NA,NA
2014-02-16,-16.70,-8.30,1.50,NA,NA,NA,NA
2014-02-17,-25.60,-7.20,0.50,NA,NA,NA,NA
2014-02-18,-22.80,-5.60,11.20,NA,NA,NA,NA
2014-02-19,-13.30,6.70,0.00,NA,NA,NA,NA
2014-02-20,-6.70,4.40,0.00,NA,NA,NA,NA
2014-02-21,-1.70,4.40,10.40,NA,NA,NA,NA
2014-02-22,-5.00,2.20,0.00,NA,NA,NA,NA
2014-02-23,-9.40,-0.60,0.00,NA,NA,NA,NA
2014-02-24,-13.30,-3.90,0.80,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,NA,NA
2014-02-26,-17.20,-6.10,0.00,NA,NA,NA,NA
2014-02-27,-18.90,-9.40,0.80,NA,NA,NA,NA
2014-02-28,-25.00,-13.30,0.00,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,NA,NA
2014-03-02,-15.60,-6.70,5.10,NA,NA,NA,NA
2014-03-03,-20.60,-11.70,0.00,NA,NA,NA,NA
2014-03-04,-18.30,-10.00,0.50,NA,NA,NA,NA
2014-03-05,-13.90,-7.80,0.80,NA,NA,NA,NA
2014-03-06,-21.10,-7.20,0.00,NA,NA,NA,NA
2014-03-07,-18.30,-5.60,0.00,NA,NA,NA,NA
2014-03-08,-8.90,4.40,0.00,NA,NA,NA,NA
2014-03-09,-15.60,-2.20,0.00,NA,NA,NA,NA
2014-03-10,-13.30,1.10,0.00,NA,NA,NA,NA
2014-03-11,0.60,7.80,0.00,NA,NA,NA,NA
2014-03-12,-4.40,7.20,NA,NA,NA,NA,NA
2014-03-13,-16.70,-4.40,3.00,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,NA,NA
2014-03-15,-3.30,10.00,0.00,NA,NA,NA,NA
2014-03-16,NA,-1.10,0.00,NA,NA,NA,NA
2014-03-17,-16.70,-9.40,0.00,NA,NA,NA,NA
2014-03-18,-12.20,-4.40,0.00,NA,NA,NA,NA
2014-03-19,-4.40,1.70,0.00,NA,NA,NA,NA
2014-03-20,-1.10,5.00,2.50,NA,NA,NA,NA
2014-03-21,-7.80,2.80,0.00,NA,NA,NA,NA
2014-03-22,-7.20,1.10,7.60,NA,NA,NA,NA
2014-03-23,-10.60,2.80,0.00,NA,NA,NA,NA
2014-03-24,-15.60,-5.60,0.30,NA,NA,NA,NA
2014-03-25,-15.60,-3.30,0.00,NA,NA,NA,NA
2014-03-26,-16.70,-1.10,0.00,NA,NA,NA,NA
2014-03-27,-13.30,-2.20,0.00,NA,NA,NA,NA
2014-03-28,NA,NA,NA,NA,NA,NA,NA
2014-03-29,-1.10,6.10,4.60,NA,NA,NA,NA
2014-03-30,-5.00,1.10,0.00,NA,NA,NA,NA
2014-03-31,-4.40,1.70,0.00,NA,NA,NA,NA
2014-04-01,-3.90,5.00,0.00,NA,NA,NA,NA
2014-04-02,-3.90,7.80,0.00,NA,NA,NA,NA
2014-04-03,-3.90,3.30,0.00,NA,NA,NA,NA
2014-04-04,-1.70,0.60,0.00,NA,NA,NA,NA
