Daily data for a single station.
StationID:  , USC00207350
StationName:, "SANDUSKY"
Lat&Long    , 43.419, -82.819
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2016-06-14
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-13.30,-6.70,0.00,NA,NA,NA,NA
2014-01-02,-13.90,-8.30,0.50,NA,NA,NA,NA
2014-01-03,-17.80,-10.00,1.00,NA,NA,NA,NA
2014-01-04,-17.80,-9.40,0.00,NA,NA,NA,NA
2014-01-05,-9.40,-1.70,10.70,NA,NA,NA,NA
2014-01-06,-11.10,-1.70,21.80,NA,NA,NA,NA
2014-01-07,-26.10,-11.10,0.80,NA,NA,NA,NA
2014-01-08,-26.10,-15.60,0.00,NA,NA,NA,NA
2014-01-09,-23.30,-7.80,0.00,NA,NA,NA,NA
2014-01-10,-22.20,-4.40,0.00,NA,NA,NA,NA
2014-01-11,-4.40,3.90,3.80,NA,NA,NA,NA
2014-01-12,-7.80,3.30,2.30,NA,NA,NA,NA
2014-01-13,-6.70,3.30,0.00,NA,NA,NA,NA
2014-01-14,-3.30,4.40,0.00,NA,NA,NA,NA
2014-01-15,-3.90,2.20,0.80,NA,NA,NA,NA
2014-01-16,-8.30,-1.70,0.00,NA,NA,NA,NA
2014-01-17,-5.60,-2.20,3.30,NA,NA,NA,NA
2014-01-18,-8.90,-2.80,0.00,NA,NA,NA,NA
2014-01-19,-12.20,-3.90,0.00,NA,NA,NA,NA
2014-01-20,-10.00,-1.10,0.80,NA,NA,NA,NA
2014-01-21,-15.60,-6.70,0.00,NA,NA,NA,NA
2014-01-22,-22.80,-12.20,0.80,NA,NA,NA,NA
2014-01-23,-22.80,-11.70,0.80,NA,NA,NA,NA
2014-01-24,-20.00,-10.60,0.00,NA,NA,NA,NA
2014-01-25,-20.00,-5.60,1.80,NA,NA,NA,NA
2014-01-26,-18.90,-5.60,1.50,NA,NA,NA,NA
2014-01-27,-16.70,-8.30,2.00,NA,NA,NA,NA
2014-01-28,-20.60,-12.80,0.00,NA,NA,NA,NA
2014-01-29,-20.60,-13.90,0.00,NA,NA,NA,NA
