Daily data for a single station.
StationID:  , USC00208920
StationName:, "WHITEFISH PT"
Lat&Long    , 46.748, -84.986
Elevation:  , -9999.000
Starts(YMD):,2015-08-01
Ends(YMD):  ,2015-09-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2015-08-01,11.10,16.70,0.00,NA,NA,NA,NA
2015-08-02,10.60,19.40,0.00,NA,NA,NA,NA
2015-08-03,11.10,22.20,0.00,NA,NA,NA,NA
2015-08-04,11.70,18.30,0.50,NA,NA,NA,NA
2015-08-05,8.90,17.20,0.00,NA,NA,NA,NA
2015-08-06,8.30,18.90,0.00,NA,NA,NA,NA
2015-08-07,8.90,20.60,0.00,NA,NA,NA,NA
2015-08-08,16.10,19.40,2.00,NA,NA,NA,NA
2015-08-09,16.10,25.00,0.00,NA,NA,NA,NA
2015-08-10,8.30,25.00,0.00,NA,NA,NA,NA
2015-08-11,12.80,19.40,0.00,NA,NA,NA,NA
2015-08-12,9.40,18.30,0.00,NA,NA,NA,NA
2015-08-13,9.40,21.10,0.00,NA,NA,NA,NA
2015-08-14,15.00,25.60,0.00,NA,NA,NA,NA
2015-08-15,13.30,25.60,0.00,NA,NA,NA,NA
2015-08-16,13.30,25.00,0.00,NA,NA,NA,NA
2015-08-17,16.10,31.10,0.50,NA,NA,NA,NA
2015-08-18,14.40,18.90,0.30,NA,NA,NA,NA
2015-08-19,15.00,21.70,0.80,NA,NA,NA,NA
2015-08-20,17.80,24.40,0.80,NA,NA,NA,NA
2015-08-21,12.20,20.60,14.70,NA,NA,NA,NA
2015-08-22,18.30,23.90,0.00,NA,NA,NA,NA
2015-08-23,17.80,31.10,0.00,NA,NA,NA,NA
2015-08-24,12.80,22.20,5.60,NA,NA,NA,NA
2015-08-25,10.60,22.20,8.90,NA,NA,NA,NA
2015-08-26,10.60,22.20,0.00,NA,NA,NA,NA
2015-08-27,11.10,14.40,0.00,NA,NA,NA,NA
2015-08-28,10.60,18.30,0.00,NA,NA,NA,NA
2015-08-29,15.60,22.20,0.00,NA,NA,NA,NA
2015-08-30,16.70,21.70,NA,NA,NA,NA,NA
2015-08-31,17.80,26.10,NA,NA,NA,NA,NA
2015-09-01,15.60,22.20,0.00,NA,NA,NA,NA
2015-09-02,15.60,26.10,0.00,NA,NA,NA,NA
2015-09-03,17.80,25.00,0.80,NA,NA,NA,NA
2015-09-04,18.90,23.30,0.00,NA,NA,NA,NA
2015-09-05,18.30,27.20,0.00,NA,NA,NA,NA
2015-09-06,15.00,22.80,0.00,NA,NA,NA,NA
2015-09-07,13.30,18.90,0.00,NA,NA,NA,NA
2015-09-08,13.30,21.70,14.00,NA,NA,NA,NA
2015-09-09,10.60,18.90,0.50,NA,NA,NA,NA
2015-09-10,6.10,13.90,9.70,NA,NA,NA,NA
2015-09-11,5.60,15.00,1.80,NA,NA,NA,NA
2015-09-12,3.90,18.30,0.00,NA,NA,NA,NA
2015-09-13,3.30,27.20,0.00,NA,NA,NA,NA
2015-09-14,3.90,23.90,0.00,NA,NA,NA,NA
2015-09-15,17.20,23.30,0.00,NA,NA,NA,NA
2015-09-16,17.80,23.30,0.00,NA,NA,NA,NA
2015-09-17,18.30,25.00,0.00,NA,NA,NA,NA
2015-09-18,11.70,19.40,12.40,NA,NA,NA,NA
2015-09-19,7.20,16.10,5.30,NA,NA,NA,NA
2015-09-20,10.60,21.10,0.00,NA,NA,NA,NA
2015-09-21,15.00,21.10,0.00,NA,NA,NA,NA
2015-09-22,8.30,23.30,0.00,NA,NA,NA,NA
2015-09-23,8.30,19.40,0.00,NA,NA,NA,NA
2015-09-24,15.00,18.30,0.00,NA,NA,NA,NA
2015-09-25,15.00,21.10,0.00,NA,NA,NA,NA
2015-09-26,15.60,21.10,0.00,NA,NA,NA,NA
2015-09-27,15.00,19.40,0.00,NA,NA,NA,NA
2015-09-28,3.90,25.00,17.80,NA,NA,NA,NA
2015-09-29,10.60,23.90,6.40,NA,NA,NA,NA
2015-09-30,NA,NA,0.00,NA,NA,NA,NA
