Daily data for a single station.
StationID:  , USC00211840
StationName:, "COTTON"
Lat&Long    , 47.169, -92.463
Elevation:  , -9999.000
Starts(YMD):,2020-01-01
Ends(YMD):  ,2024-05-19
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2020-01-01,-22.80,-7.80,0.00,NA,NA,NA,NA
2020-01-02,NA,NA,NA,NA,NA,NA,NA
2020-01-03,-14.40,-1.70,NA,NA,NA,NA,NA
2020-01-04,-10.00,-7.20,0.00,NA,NA,NA,NA
2020-01-05,NA,NA,NA,NA,NA,NA,NA
2020-01-06,-15.60,-1.70,0.00,NA,NA,NA,NA
2020-01-07,-16.10,0.00,0.00,NA,NA,NA,NA
2020-01-08,-33.30,-10.60,0.00,NA,NA,NA,NA
2020-01-09,-35.60,-11.10,0.00,NA,NA,NA,NA
2020-01-10,-17.20,-5.60,0.30,NA,NA,NA,NA
2020-01-11,-33.30,-16.10,0.00,NA,NA,NA,NA
2020-01-12,-33.90,-12.80,0.00,NA,NA,NA,NA
2020-01-13,-18.30,-9.40,0.00,NA,NA,NA,NA
2020-01-14,NA,NA,NA,NA,NA,NA,NA
2020-01-15,-18.90,-4.40,NA,NA,NA,NA,NA
2020-01-16,NA,NA,NA,NA,NA,NA,NA
2020-01-17,-36.10,-13.90,NA,NA,NA,NA,NA
2020-01-18,-20.00,-7.20,20.30,NA,NA,NA,NA
2020-01-19,-16.70,-6.10,1.50,NA,NA,NA,NA
2020-01-20,-25.60,-10.00,0.00,NA,NA,NA,NA
2020-01-21,-28.30,-9.40,0.00,NA,NA,NA,NA
2020-01-22,-19.40,-8.90,0.00,NA,NA,NA,NA
2020-01-23,-10.00,-2.20,0.50,NA,NA,NA,NA
2020-01-24,-8.90,-2.80,2.00,NA,NA,NA,NA
2020-01-25,NA,NA,NA,NA,NA,NA,NA
2020-01-26,-8.90,-1.10,0.00,NA,NA,NA,NA
2020-01-27,-8.30,-4.40,0.00,NA,NA,NA,NA
2020-01-28,-13.90,-8.30,0.00,NA,NA,NA,NA
2020-01-29,-13.30,-7.80,0.00,NA,NA,NA,NA
2020-01-30,-10.60,-5.60,0.00,NA,NA,NA,NA
2020-01-31,-10.60,-5.60,0.00,NA,NA,NA,NA
2020-02-01,-8.30,-1.10,0.00,NA,NA,NA,NA
2020-02-02,-7.80,1.10,0.00,NA,NA,NA,NA
2020-02-03,-6.70,3.30,0.00,NA,NA,NA,NA
2020-02-04,-27.80,-6.10,0.00,NA,NA,NA,NA
2020-02-05,-30.60,-6.10,0.00,NA,NA,NA,NA
2020-02-06,-26.10,-1.70,0.00,NA,NA,NA,NA
2020-02-07,-25.60,-2.20,0.00,NA,NA,NA,NA
2020-02-08,-28.90,-12.80,0.50,NA,NA,NA,NA
2020-02-09,NA,NA,NA,NA,NA,NA,NA
2020-02-10,-28.90,-8.30,0.00,NA,NA,NA,NA
2020-02-11,NA,NA,NA,NA,NA,NA,NA
2020-02-12,-11.70,-3.30,0.00,NA,NA,NA,NA
2020-02-13,-36.10,-6.10,0.00,NA,NA,NA,NA
2020-02-14,-39.40,-21.10,0.00,NA,NA,NA,NA
2020-02-15,-37.20,-9.40,0.00,NA,NA,NA,NA
2020-02-16,-29.40,-2.80,0.00,NA,NA,NA,NA
2020-02-17,NA,NA,NA,NA,NA,NA,NA
2020-02-18,NA,NA,NA,NA,NA,NA,NA
2020-02-19,NA,NA,NA,NA,NA,NA,NA
