Daily data for a single station.
StationID:  , USC00300448
StationName:, "BATH"
Lat&Long    , 42.349, -77.348
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-09-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-11.10,-3.90,10.70,NA,NA,NA,NA
2014-01-02,-11.70,-3.90,3.60,NA,NA,NA,NA
2014-01-03,-17.80,-11.10,8.40,NA,NA,NA,NA
2014-01-04,-23.90,-12.20,0.00,NA,NA,NA,NA
2014-01-05,-15.60,10.00,4.60,NA,NA,NA,NA
2014-01-06,-13.90,6.70,7.60,NA,NA,NA,NA
2014-01-07,-22.80,1.10,0.30,NA,NA,NA,NA
2014-01-08,-22.80,-16.70,0.00,NA,NA,NA,NA
2014-01-09,-16.70,-1.70,4.10,NA,NA,NA,NA
2014-01-10,-16.70,-2.20,1.30,NA,NA,NA,NA
2014-01-11,-15.60,11.70,4.80,NA,NA,NA,NA
2014-01-12,-4.40,8.90,4.60,NA,NA,NA,NA
2014-01-13,-4.40,8.90,0.00,NA,NA,NA,NA
2014-01-14,-2.20,7.80,3.60,NA,NA,NA,NA
2014-01-15,-3.90,3.90,0.00,NA,NA,NA,NA
2014-01-16,-7.20,4.40,0.00,NA,NA,NA,NA
2014-01-17,-7.80,1.70,0.00,NA,NA,NA,NA
2014-01-18,-7.80,2.80,2.50,NA,NA,NA,NA
2014-01-19,-11.10,-5.00,0.50,NA,NA,NA,NA
2014-01-20,-10.60,1.70,1.80,NA,NA,NA,NA
2014-01-21,-14.40,0.00,0.00,NA,NA,NA,NA
2014-01-22,-21.10,-12.80,0.00,NA,NA,NA,NA
2014-01-23,-21.10,-17.20,0.00,NA,NA,NA,NA
2014-01-24,-22.20,-7.80,0.00,NA,NA,NA,NA
2014-01-25,-21.70,-8.90,0.00,NA,NA,NA,NA
2014-01-26,-15.00,-4.40,0.50,NA,NA,NA,NA
2014-01-27,-17.80,0.00,1.80,NA,NA,NA,NA
2014-01-28,-21.10,-3.90,0.00,NA,NA,NA,NA
2014-01-29,-21.10,-12.20,0.00,NA,NA,NA,NA
2014-01-30,-23.90,-3.90,0.00,NA,NA,NA,NA
2014-01-31,-18.90,-1.70,0.00,NA,NA,NA,NA
2014-02-01,-6.10,1.70,0.00,NA,NA,NA,NA
2014-02-02,-6.10,4.40,0.00,NA,NA,NA,NA
2014-02-03,-10.00,1.70,0.00,NA,NA,NA,NA
2014-02-04,-12.20,-2.20,0.00,NA,NA,NA,NA
2014-02-05,-12.20,-5.00,8.90,NA,NA,NA,NA
2014-02-06,-18.30,-5.00,6.90,NA,NA,NA,NA
2014-02-07,-18.30,-5.00,0.00,NA,NA,NA,NA
2014-02-08,-23.90,-4.40,0.00,NA,NA,NA,NA
2014-02-09,-23.30,-7.20,0.00,NA,NA,NA,NA
2014-02-10,-19.40,-6.10,0.00,NA,NA,NA,NA
2014-02-11,-23.30,-6.10,0.00,NA,NA,NA,NA
2014-02-12,-26.70,-3.90,0.00,NA,NA,NA,NA
2014-02-13,-27.20,-3.90,0.00,NA,NA,NA,NA
2014-02-14,-12.20,0.60,0.00,NA,NA,NA,NA
2014-02-15,NA,-0.60,0.00,NA,NA,NA,NA
2014-02-16,-13.90,-5.60,0.00,NA,NA,NA,NA
2014-02-17,-22.80,-1.70,0.00,NA,NA,NA,NA
2014-02-18,-22.80,-1.70,0.00,NA,NA,NA,NA
2014-02-19,-22.80,-1.10,1.00,NA,NA,NA,NA
2014-02-20,-3.90,7.20,0.00,NA,NA,NA,NA
2014-02-21,-7.80,6.70,8.40,NA,NA,NA,NA
2014-02-22,2.80,7.80,3.80,NA,NA,NA,NA
2014-02-23,-7.80,8.90,0.00,NA,NA,NA,NA
2014-02-24,-7.20,7.20,0.00,NA,NA,NA,NA
2014-02-25,-10.60,-5.00,2.80,NA,NA,NA,NA
2014-02-26,-16.70,-6.10,0.00,NA,NA,NA,NA
2014-02-27,-16.70,-10.00,0.00,NA,NA,NA,NA
2014-02-28,-17.80,-7.20,0.00,NA,NA,NA,NA
2014-03-01,-20.60,-7.20,0.00,NA,NA,NA,NA
2014-03-02,-10.00,7.20,0.80,NA,NA,NA,NA
2014-03-03,-18.30,-9.40,0.00,NA,NA,NA,NA
2014-03-04,-22.80,-13.90,0.00,NA,NA,NA,NA
2014-03-05,-21.70,-8.90,0.00,NA,NA,NA,NA
2014-03-06,-22.20,-5.60,0.30,NA,NA,NA,NA
2014-03-07,-21.70,0.60,0.00,NA,NA,NA,NA
2014-03-08,-9.40,5.00,0.00,NA,NA,NA,NA
2014-03-09,-3.90,5.00,0.00,NA,NA,NA,NA
2014-03-10,-7.20,3.90,0.00,NA,NA,NA,NA
2014-03-11,0.00,11.70,0.00,NA,NA,NA,NA
2014-03-12,0.00,14.40,1.00,NA,NA,NA,NA
2014-03-13,-15.00,1.10,2.50,NA,NA,NA,NA
2014-03-14,-15.00,12.80,0.00,NA,NA,NA,NA
2014-03-15,-16.70,12.20,0.00,NA,NA,NA,NA
2014-03-16,-8.90,4.40,0.50,NA,NA,NA,NA
2014-03-17,-13.30,-6.10,0.00,NA,NA,NA,NA
2014-03-18,-13.30,0.60,0.00,NA,NA,NA,NA
2014-03-19,-10.00,10.00,0.00,NA,NA,NA,NA
2014-03-20,0.60,10.00,2.80,NA,NA,NA,NA
2014-03-21,-10.00,8.90,0.30,NA,NA,NA,NA
2014-03-22,2.20,8.90,0.00,NA,NA,NA,NA
2014-03-23,1.10,8.90,0.00,NA,NA,NA,NA
2014-03-24,1.10,6.70,0.00,NA,NA,NA,NA
2014-03-25,-12.20,7.20,0.00,NA,NA,NA,NA
2014-03-26,-12.80,7.20,0.00,NA,NA,NA,NA
2014-03-27,-13.30,-5.60,0.00,NA,NA,NA,NA
2014-03-28,-12.80,7.80,1.30,NA,NA,NA,NA
2014-03-29,-12.80,15.00,0.30,NA,NA,NA,NA
2014-03-30,-2.20,15.60,0.00,NA,NA,NA,NA
2014-03-31,-2.20,4.40,0.00,NA,NA,NA,NA
2014-04-01,-5.00,8.30,0.00,NA,NA,NA,NA
2014-04-02,-5.00,16.10,0.00,NA,NA,NA,NA
2014-04-03,-5.00,15.60,0.00,NA,NA,NA,NA
2014-04-04,-4.40,9.40,0.80,NA,NA,NA,NA
2014-04-05,-5.00,12.20,0.00,NA,NA,NA,NA
2014-04-06,-6.10,9.40,0.30,NA,NA,NA,NA
2014-04-07,-6.10,12.20,0.00,NA,NA,NA,NA
2014-04-08,0.00,11.10,7.10,NA,NA,NA,NA
2014-04-09,-6.10,6.70,21.60,NA,NA,NA,NA
2014-04-10,-4.40,8.90,0.00,NA,NA,NA,NA
2014-04-11,-3.90,20.60,0.30,NA,NA,NA,NA
2014-04-12,0.00,12.20,0.00,NA,NA,NA,NA
2014-04-13,0.00,28.90,0.00,NA,NA,NA,NA
2014-04-14,13.90,27.80,1.30,NA,NA,NA,NA
2014-04-15,-2.80,15.60,9.90,NA,NA,NA,NA
2014-04-16,-6.70,28.90,20.30,NA,NA,NA,NA
2014-04-17,-6.70,13.90,0.00,NA,NA,NA,NA
2014-04-18,3.90,20.60,0.00,NA,NA,NA,NA
2014-04-19,0.60,12.80,0.00,NA,NA,NA,NA
