Daily data for a single station.
StationID:  , USC00331541
StationName:, "CHIPPEWA LAKE"
Lat&Long    , 41.052, -81.936
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-05-01
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-10.60,-8.30,0.80,NA,NA,NA,NA
2014-01-02,-8.90,-5.00,2.50,NA,NA,NA,NA
2014-01-03,-16.10,-7.20,5.10,NA,NA,NA,NA
2014-01-04,-16.70,-11.70,0.00,NA,NA,NA,NA
2014-01-05,-12.80,-0.60,0.00,NA,NA,NA,NA
2014-01-06,-10.00,5.60,6.40,NA,NA,NA,NA
2014-01-07,-26.10,-10.00,0.00,NA,NA,NA,NA
2014-01-08,-24.40,-15.00,0.00,NA,NA,NA,NA
2014-01-09,-15.00,-7.20,0.30,NA,NA,NA,NA
2014-01-10,-15.00,-1.10,3.80,NA,NA,NA,NA
2014-01-11,-1.10,8.30,5.60,NA,NA,NA,NA
2014-01-12,-1.10,8.90,0.50,NA,NA,NA,NA
2014-01-13,-1.10,3.30,0.00,NA,NA,NA,NA
2014-01-14,1.10,6.70,2.80,NA,NA,NA,NA
2014-01-15,-3.30,5.00,0.00,NA,NA,NA,NA
2014-01-16,-8.90,-2.80,0.00,NA,NA,NA,NA
2014-01-17,-8.90,-2.20,0.30,NA,NA,NA,NA
2014-01-18,-13.90,1.70,0.30,NA,NA,NA,NA
2014-01-19,-13.30,-8.30,1.80,NA,NA,NA,NA
2014-01-20,-8.90,1.10,0.00,NA,NA,NA,NA
2014-01-21,-11.10,0.60,0.50,NA,NA,NA,NA
2014-01-22,-20.60,-10.00,0.00,NA,NA,NA,NA
2014-01-23,-21.70,-12.80,0.50,NA,NA,NA,NA
2014-01-24,-21.70,-13.30,0.00,NA,NA,NA,NA
2014-01-25,-21.10,-8.30,2.00,NA,NA,NA,NA
2014-01-26,-18.30,-2.80,2.30,NA,NA,NA,NA
2014-01-27,-16.70,3.30,1.80,NA,NA,NA,NA
2014-01-28,-26.70,-10.60,0.50,NA,NA,NA,NA
