Daily data for a single station.
StationID:  , USC00332599
StationName:, "ELYRIA 3 E"
Lat&Long    , 41.381, -82.056
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2014-10-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-6.70,-3.30,3.80,NA,NA,NA,NA
2014-01-02,-10.00,-4.40,6.40,NA,NA,NA,NA
2014-01-03,-12.80,-9.40,0.80,NA,NA,NA,NA
2014-01-04,-10.60,0.00,0.00,NA,NA,NA,NA
2014-01-05,0.00,4.40,6.10,NA,NA,NA,NA
2014-01-06,-23.30,1.10,2.50,NA,NA,NA,NA
2014-01-07,-23.90,-15.00,0.00,NA,NA,NA,NA
2014-01-08,-15.60,-6.70,0.00,NA,NA,NA,NA
2014-01-09,-15.00,-0.60,2.80,NA,NA,NA,NA
2014-01-10,-1.10,8.30,2.30,NA,NA,NA,NA
2014-01-11,2.20,9.40,3.80,NA,NA,NA,NA
2014-01-12,1.10,5.00,0.00,NA,NA,NA,NA
2014-01-13,5.00,10.00,1.80,NA,NA,NA,NA
2014-01-14,1.70,6.70,0.00,NA,NA,NA,NA
2014-01-15,-3.30,1.70,0.00,NA,NA,NA,NA
2014-01-16,-6.10,-0.60,0.00,NA,NA,NA,NA
2014-01-17,-10.00,4.40,4.80,NA,NA,NA,NA
2014-01-18,-11.70,-6.10,0.50,NA,NA,NA,NA
2014-01-19,-6.70,2.20,0.00,NA,NA,NA,NA
2014-01-20,-7.20,2.20,0.80,NA,NA,NA,NA
2014-01-21,-13.30,-6.70,0.50,NA,NA,NA,NA
2014-01-22,-15.00,-11.10,0.00,NA,NA,NA,NA
2014-01-23,-15.00,-10.60,3.80,NA,NA,NA,NA
2014-01-24,-18.90,-6.10,0.00,NA,NA,NA,NA
2014-01-25,-11.10,-1.70,6.90,NA,NA,NA,NA
2014-01-26,-12.20,2.80,0.00,NA,NA,NA,NA
2014-01-27,-18.30,5.00,1.50,NA,NA,NA,NA
2014-01-28,-22.80,-13.30,0.00,NA,NA,NA,NA
2014-01-29,-18.90,-8.90,0.00,NA,NA,NA,NA
2014-01-30,-12.20,-0.60,0.00,NA,NA,NA,NA
2014-01-31,-1.70,2.80,0.00,NA,NA,NA,NA
2014-02-01,-1.10,6.10,16.00,NA,NA,NA,NA
2014-02-02,-3.90,3.30,5.30,NA,NA,NA,NA
2014-02-03,-12.80,-3.30,0.00,NA,NA,NA,NA
2014-02-04,-12.80,-2.80,0.00,NA,NA,NA,NA
2014-02-05,-7.20,-2.20,9.90,NA,NA,NA,NA
2014-02-06,-15.60,-6.10,0.00,NA,NA,NA,NA
2014-02-07,-19.40,-10.60,0.00,NA,NA,NA,NA
2014-02-08,-15.60,-6.70,0.00,NA,NA,NA,NA
2014-02-09,-8.90,-3.90,3.00,NA,NA,NA,NA
2014-02-10,-12.20,-6.10,0.50,NA,NA,NA,NA
2014-02-11,-18.30,-8.30,0.00,NA,NA,NA,NA
2014-02-12,-21.10,-0.60,0.00,NA,NA,NA,NA
2014-02-13,-13.30,-0.60,0.00,NA,NA,NA,NA
2014-02-14,-6.10,0.00,0.00,NA,NA,NA,NA
2014-02-15,-11.70,-4.40,0.00,NA,NA,NA,NA
2014-02-16,-15.00,-3.30,2.80,NA,NA,NA,NA
2014-02-17,-21.10,1.70,0.00,NA,NA,NA,NA
2014-02-18,-3.90,7.20,11.20,NA,NA,NA,NA
2014-02-19,-2.20,8.30,0.00,NA,NA,NA,NA
2014-02-20,-1.70,14.40,4.80,NA,NA,NA,NA
2014-02-21,2.80,13.30,13.00,NA,NA,NA,NA
2014-02-22,2.20,7.20,1.00,NA,NA,NA,NA
2014-02-23,-2.80,3.90,0.50,NA,NA,NA,NA
2014-02-24,-6.10,-2.20,0.00,NA,NA,NA,NA
2014-02-25,-7.20,-3.90,1.30,NA,NA,NA,NA
2014-02-26,-10.00,-6.10,3.60,NA,NA,NA,NA
2014-02-27,-14.40,-7.20,1.00,NA,NA,NA,NA
2014-02-28,-16.70,-3.90,0.00,NA,NA,NA,NA
2014-03-01,-5.60,7.80,0.00,NA,NA,NA,NA
2014-03-02,-10.60,-5.60,4.10,NA,NA,NA,NA
2014-03-03,-16.70,-10.60,0.00,NA,NA,NA,NA
2014-03-04,-17.80,-2.80,0.00,NA,NA,NA,NA
2014-03-05,-7.80,-4.40,0.00,NA,NA,NA,NA
2014-03-06,-8.30,3.30,0.00,NA,NA,NA,NA
2014-03-07,-1.10,11.10,0.00,NA,NA,NA,NA
2014-03-08,-3.90,4.40,2.30,NA,NA,NA,NA
2014-03-09,-8.30,3.90,0.00,NA,NA,NA,NA
2014-03-10,3.30,13.90,0.00,NA,NA,NA,NA
2014-03-11,4.40,16.10,0.00,NA,NA,NA,NA
2014-03-12,-9.40,6.10,14.20,NA,NA,NA,NA
2014-03-13,-10.00,-1.10,0.00,NA,NA,NA,NA
2014-03-14,-1.10,15.60,0.50,NA,NA,NA,NA
2014-03-15,-1.10,7.80,0.00,NA,NA,NA,NA
2014-03-16,-8.30,-1.10,0.00,NA,NA,NA,NA
2014-03-17,-9.40,0.60,0.00,NA,NA,NA,NA
2014-03-18,-4.40,12.80,0.00,NA,NA,NA,NA
2014-03-19,3.90,10.00,6.90,NA,NA,NA,NA
2014-03-20,0.60,4.40,0.00,NA,NA,NA,NA
2014-03-21,-2.80,8.30,0.00,NA,NA,NA,NA
2014-03-22,1.10,11.10,0.00,NA,NA,NA,NA
2014-03-23,-5.60,1.70,0.80,NA,NA,NA,NA
2014-03-24,-7.20,0.60,0.00,NA,NA,NA,NA
2014-03-25,-6.70,3.30,2.30,NA,NA,NA,NA
2014-03-26,-7.80,-1.10,1.80,NA,NA,NA,NA
2014-03-27,-4.40,10.00,5.60,NA,NA,NA,NA
2014-03-28,4.40,13.30,0.00,NA,NA,NA,NA
2014-03-29,1.70,5.60,15.70,NA,NA,NA,NA
2014-03-30,-2.20,5.60,0.00,NA,NA,NA,NA
2014-03-31,-2.80,15.60,0.00,NA,NA,NA,NA
2014-04-01,5.00,21.10,0.00,NA,NA,NA,NA
2014-04-02,4.40,20.60,0.00,NA,NA,NA,NA
2014-04-03,3.30,10.60,26.70,NA,NA,NA,NA
2014-04-04,4.40,18.30,8.90,NA,NA,NA,NA
2014-04-05,1.70,18.30,0.00,NA,NA,NA,NA
2014-04-06,-2.20,12.20,0.00,NA,NA,NA,NA
2014-04-07,4.40,13.90,16.00,NA,NA,NA,NA
2014-04-08,3.30,13.90,5.30,NA,NA,NA,NA
2014-04-09,4.40,13.90,0.00,NA,NA,NA,NA
2014-04-10,7.20,22.80,7.90,NA,NA,NA,NA
2014-04-11,10.00,21.70,2.30,NA,NA,NA,NA
2014-04-12,8.30,23.30,0.00,NA,NA,NA,NA
2014-04-13,17.20,26.70,0.00,NA,NA,NA,NA
2014-04-14,5.00,25.60,11.40,NA,NA,NA,NA
2014-04-15,1.10,22.20,8.10,NA,NA,NA,NA
2014-04-16,-3.30,7.20,0.00,NA,NA,NA,NA
2014-04-17,3.90,18.90,0.00,NA,NA,NA,NA
2014-04-18,9.40,19.40,0.00,NA,NA,NA,NA
2014-04-19,4.40,18.30,0.00,NA,NA,NA,NA
2014-04-20,2.80,24.40,0.00,NA,NA,NA,NA
2014-04-21,10.00,26.10,0.00,NA,NA,NA,NA
2014-04-22,6.10,23.90,1.00,NA,NA,NA,NA
2014-04-23,1.10,17.20,0.00,NA,NA,NA,NA
2014-04-24,1.70,13.30,0.00,NA,NA,NA,NA
2014-04-25,5.00,15.60,4.60,NA,NA,NA,NA
2014-04-26,4.40,15.60,0.00,NA,NA,NA,NA
2014-04-27,4.40,11.10,0.00,NA,NA,NA,NA
2014-04-28,8.30,13.30,4.10,NA,NA,NA,NA
2014-04-29,10.00,25.00,17.30,NA,NA,NA,NA
2014-04-30,11.10,23.90,9.40,NA,NA,NA,NA
2014-05-01,8.30,15.00,0.00,NA,NA,NA,NA
2014-05-02,8.90,15.00,0.80,NA,NA,NA,NA
2014-05-03,10.00,17.80,0.30,NA,NA,NA,NA
2014-05-04,5.60,17.20,0.00,NA,NA,NA,NA
2014-05-05,4.40,17.20,0.00,NA,NA,NA,NA
2014-05-06,3.30,15.60,0.00,NA,NA,NA,NA
2014-05-07,10.00,22.80,0.00,NA,NA,NA,NA
2014-05-08,15.60,30.60,0.00,NA,NA,NA,NA
2014-05-09,16.70,29.40,6.90,NA,NA,NA,NA
2014-05-10,12.80,27.80,0.00,NA,NA,NA,NA
2014-05-11,10.60,26.70,0.00,NA,NA,NA,NA
2014-05-12,20.00,25.00,68.30,NA,NA,NA,NA
2014-05-13,19.40,31.10,0.00,NA,NA,NA,NA
2014-05-14,15.60,30.00,10.40,NA,NA,NA,NA
2014-05-15,8.30,21.70,13.70,NA,NA,NA,NA
2014-05-16,4.40,20.60,0.30,NA,NA,NA,NA
2014-05-17,10.00,12.80,1.80,NA,NA,NA,NA
2014-05-18,3.30,18.30,0.00,NA,NA,NA,NA
2014-05-19,5.60,19.40,0.00,NA,NA,NA,NA
2014-05-20,11.10,23.90,0.00,NA,NA,NA,NA
2014-05-21,16.70,25.60,0.00,NA,NA,NA,NA
2014-05-22,12.80,23.30,0.00,NA,NA,NA,NA
2014-05-23,10.60,21.10,0.00,NA,NA,NA,NA
2014-05-24,8.90,23.90,0.00,NA,NA,NA,NA
2014-05-25,10.00,25.00,0.00,NA,NA,NA,NA
2014-05-26,12.80,28.90,0.00,NA,NA,NA,NA
2014-05-27,19.40,29.40,1.50,NA,NA,NA,NA
2014-05-28,15.60,28.90,1.50,NA,NA,NA,NA
2014-05-29,13.90,24.40,0.00,NA,NA,NA,NA
2014-05-30,11.10,22.80,0.00,NA,NA,NA,NA
2014-05-31,11.70,23.90,0.00,NA,NA,NA,NA
2014-06-01,15.60,29.40,0.00,NA,NA,NA,NA
2014-06-02,20.00,30.60,0.00,NA,NA,NA,NA
2014-06-03,16.10,29.40,1.00,NA,NA,NA,NA
2014-06-04,13.30,22.20,8.10,NA,NA,NA,NA
2014-06-05,12.80,21.10,0.00,NA,NA,NA,NA
2014-06-06,8.90,23.90,0.00,NA,NA,NA,NA
2014-06-07,10.60,26.70,0.00,NA,NA,NA,NA
2014-06-08,13.30,19.40,10.20,NA,NA,NA,NA
2014-06-09,11.70,22.20,0.00,NA,NA,NA,NA
2014-06-10,14.40,24.40,0.00,NA,NA,NA,NA
2014-06-11,18.30,26.70,0.00,NA,NA,NA,NA
2014-06-12,18.90,26.70,0.00,NA,NA,NA,NA
2014-06-13,15.60,22.80,1.30,NA,NA,NA,NA
2014-06-14,10.00,21.10,0.00,NA,NA,NA,NA
2014-06-15,9.40,28.30,0.00,NA,NA,NA,NA
2014-06-16,21.10,30.60,0.00,NA,NA,NA,NA
2014-06-17,22.20,32.20,0.00,NA,NA,NA,NA
2014-06-18,20.60,32.20,12.20,NA,NA,NA,NA
2014-06-19,19.40,24.40,6.40,NA,NA,NA,NA
2014-06-20,18.30,25.00,5.10,NA,NA,NA,NA
2014-06-21,16.10,23.90,0.00,NA,NA,NA,NA
2014-06-22,15.60,26.70,0.00,NA,NA,NA,NA
2014-06-23,17.20,30.60,0.00,NA,NA,NA,NA
2014-06-24,20.60,29.40,91.70,NA,NA,NA,NA
2014-06-25,18.30,24.40,14.00,NA,NA,NA,NA
