Daily data for a single station.
StationID:  , USC00473332
StationName:, "SAXON 1WSW"
Lat&Long    , 46.486, -90.437
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2019-05-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-26.70,-21.10,0.00,NA,NA,NA,NA
2014-01-02,-24.40,-18.30,0.00,NA,NA,NA,NA
2014-01-03,-31.70,-15.00,0.00,NA,NA,NA,NA
2014-01-04,-18.30,-5.60,3.60,NA,NA,NA,NA
2014-01-05,-26.70,-7.20,0.00,NA,NA,NA,NA
2014-01-06,-33.30,-20.60,0.00,NA,NA,NA,NA
2014-01-07,-32.20,-27.20,0.00,NA,NA,NA,NA
2014-01-08,-29.40,-20.00,0.00,NA,NA,NA,NA
2014-01-09,-25.60,-16.10,0.00,NA,NA,NA,NA
2014-01-10,-20.00,-6.70,0.00,NA,NA,NA,NA
2014-01-11,-6.70,-2.80,3.60,NA,NA,NA,NA
2014-01-12,-4.40,-1.70,0.00,NA,NA,NA,NA
2014-01-13,-2.20,2.20,0.00,NA,NA,NA,NA
2014-01-14,-7.20,-1.70,0.00,NA,NA,NA,NA
2014-01-15,-14.40,-6.70,0.50,NA,NA,NA,NA
2014-01-16,-15.60,-5.60,1.30,NA,NA,NA,NA
2014-01-17,-13.30,-3.30,13.50,NA,NA,NA,NA
2014-01-18,-13.30,-3.30,4.80,NA,NA,NA,NA
2014-01-19,-15.60,-4.40,0.00,NA,NA,NA,NA
2014-01-20,-15.00,-2.20,2.80,NA,NA,NA,NA
2014-01-21,-24.40,-15.00,0.80,NA,NA,NA,NA
2014-01-22,-25.60,-15.00,0.80,NA,NA,NA,NA
2014-01-23,-21.10,-16.10,6.90,NA,NA,NA,NA
2014-01-24,-22.80,-12.80,0.30,NA,NA,NA,NA
2014-01-25,-18.30,-4.40,2.00,NA,NA,NA,NA
2014-01-26,-20.00,-16.70,0.50,NA,NA,NA,NA
2014-01-27,-27.20,-15.00,4.10,NA,NA,NA,NA
2014-01-28,-28.90,-21.70,0.00,NA,NA,NA,NA
