Daily data for a single station.
StationID:  , USC00474457
StationName:, "LAKE GENEVA"
Lat&Long    , 42.594, -88.435
Elevation:  , -9999.000
Starts(YMD):,2017-07-31
Ends(YMD):  ,2024-05-19
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2017-07-31,NA,NA,0.00,NA,NA,NA,NA
2017-08-01,NA,NA,0.00,NA,NA,NA,NA
2017-08-02,NA,NA,0.00,NA,NA,NA,NA
2017-08-03,NA,NA,4.10,NA,NA,NA,NA
2017-08-04,NA,NA,0.50,NA,NA,NA,NA
2017-08-05,NA,NA,0.30,NA,NA,NA,NA
2017-08-06,NA,NA,0.00,NA,NA,NA,NA
2017-08-07,NA,NA,13.00,NA,NA,NA,NA
2017-08-08,NA,NA,0.00,NA,NA,NA,NA
2017-08-09,NA,NA,0.00,NA,NA,NA,NA
2017-08-10,NA,NA,0.50,NA,NA,NA,NA
2017-08-11,NA,NA,0.80,NA,NA,NA,NA
2017-08-12,NA,NA,0.00,NA,NA,NA,NA
2017-08-13,NA,NA,0.00,NA,NA,NA,NA
2017-08-14,NA,NA,0.00,NA,NA,NA,NA
2017-08-15,NA,NA,0.00,NA,NA,NA,NA
2017-08-16,NA,NA,0.00,NA,NA,NA,NA
2017-08-17,NA,NA,21.80,NA,NA,NA,NA
2017-08-18,NA,NA,0.50,NA,NA,NA,NA
2017-08-19,NA,NA,0.00,NA,NA,NA,NA
2017-08-20,NA,NA,0.00,NA,NA,NA,NA
2017-08-21,NA,NA,0.00,NA,NA,NA,NA
2017-08-22,NA,NA,0.00,NA,NA,NA,NA
2017-08-23,NA,NA,0.00,NA,NA,NA,NA
2017-08-24,NA,NA,0.00,NA,NA,NA,NA
2017-08-25,NA,NA,0.00,NA,NA,NA,NA
2017-08-26,NA,NA,0.00,NA,NA,NA,NA
2017-08-27,NA,NA,4.10,NA,NA,NA,NA
2017-08-28,NA,NA,0.30,NA,NA,NA,NA
2017-08-29,NA,NA,0.30,NA,NA,NA,NA
2017-08-30,NA,NA,0.00,NA,NA,NA,NA
2017-08-31,NA,NA,1.00,NA,NA,NA,NA
2017-09-01,NA,NA,0.00,NA,NA,NA,NA
2017-09-02,NA,NA,0.00,NA,NA,NA,NA
2017-09-03,NA,NA,1.30,NA,NA,NA,NA
2017-09-04,NA,NA,0.00,NA,NA,NA,NA
2017-09-05,NA,NA,0.00,NA,NA,NA,NA
2017-09-06,NA,NA,0.00,NA,NA,NA,NA
2017-09-07,NA,NA,0.00,NA,NA,NA,NA
2017-09-08,NA,NA,0.50,NA,NA,NA,NA
2017-09-09,NA,NA,0.00,NA,NA,NA,NA
2017-09-10,NA,NA,0.00,NA,NA,NA,NA
2017-09-11,NA,NA,0.00,NA,NA,NA,NA
2017-09-12,NA,NA,0.00,NA,NA,NA,NA
2017-09-13,NA,NA,0.00,NA,NA,NA,NA
2017-09-14,NA,NA,0.00,NA,NA,NA,NA
2017-09-15,NA,NA,0.00,NA,NA,NA,NA
2017-09-16,NA,NA,0.00,NA,NA,NA,NA
2017-09-17,NA,NA,0.00,NA,NA,NA,NA
2017-09-18,NA,NA,0.00,NA,NA,NA,NA
2017-09-19,NA,NA,0.00,NA,NA,NA,NA
2017-09-20,NA,NA,0.00,NA,NA,NA,NA
2017-09-21,NA,NA,0.00,NA,NA,NA,NA
2017-09-22,NA,NA,0.00,NA,NA,NA,NA
2017-09-23,NA,NA,0.00,NA,NA,NA,NA
2017-09-24,NA,NA,0.00,NA,NA,NA,NA
2017-09-25,NA,NA,0.00,NA,NA,NA,NA
2017-09-26,NA,NA,0.00,NA,NA,NA,NA
2017-09-27,NA,NA,2.50,NA,NA,NA,NA
2017-09-28,NA,NA,0.00,NA,NA,NA,NA
2017-09-29,NA,NA,0.00,NA,NA,NA,NA
2017-09-30,NA,NA,0.00,NA,NA,NA,NA
2017-10-01,NA,NA,0.00,NA,NA,NA,NA
2017-10-02,NA,NA,0.00,NA,NA,NA,NA
2017-10-03,NA,NA,0.00,NA,NA,NA,NA
2017-10-04,NA,NA,0.30,NA,NA,NA,NA
2017-10-05,NA,NA,0.00,NA,NA,NA,NA
2017-10-06,NA,NA,1.00,NA,NA,NA,NA
2017-10-07,NA,NA,3.00,NA,NA,NA,NA
2017-10-08,NA,NA,3.30,NA,NA,NA,NA
2017-10-09,NA,NA,0.00,NA,NA,NA,NA
2017-10-10,NA,NA,0.00,NA,NA,NA,NA
2017-10-11,NA,NA,32.30,NA,NA,NA,NA
2017-10-12,NA,NA,2.80,NA,NA,NA,NA
2017-10-13,NA,NA,0.30,NA,NA,NA,NA
2017-10-14,NA,NA,12.70,NA,NA,NA,NA
2017-10-15,NA,NA,24.60,NA,NA,NA,NA
2017-10-16,NA,NA,0.00,NA,NA,NA,NA
2017-10-17,NA,NA,0.00,NA,NA,NA,NA
2017-10-18,NA,NA,0.00,NA,NA,NA,NA
2017-10-19,NA,NA,0.00,NA,NA,NA,NA
2017-10-20,NA,NA,0.00,NA,NA,NA,NA
2017-10-21,NA,NA,0.00,NA,NA,NA,NA
2017-10-22,NA,NA,0.00,NA,NA,NA,NA
2017-10-23,NA,NA,12.40,NA,NA,NA,NA
2017-10-24,NA,NA,11.70,NA,NA,NA,NA
2017-10-25,NA,NA,8.40,NA,NA,NA,NA
2017-10-26,NA,NA,0.00,NA,NA,NA,NA
2017-10-27,NA,NA,0.00,NA,NA,NA,NA
2017-10-28,NA,NA,0.80,NA,NA,NA,NA
2017-10-29,NA,NA,0.30,NA,NA,NA,NA
2017-10-30,NA,NA,0.00,NA,NA,NA,NA
2017-10-31,NA,NA,0.00,NA,NA,NA,NA
2017-11-01,NA,NA,0.00,NA,NA,NA,NA
2017-11-02,NA,NA,5.80,NA,NA,NA,NA
2017-11-03,NA,NA,0.00,NA,NA,NA,NA
2017-11-04,NA,NA,3.60,NA,NA,NA,NA
2017-11-05,NA,NA,4.60,NA,NA,NA,NA
2017-11-06,NA,NA,0.00,NA,NA,NA,NA
2017-11-07,NA,NA,0.00,NA,NA,NA,NA
2017-11-08,NA,NA,0.00,NA,NA,NA,NA
2017-11-09,NA,NA,0.00,NA,NA,NA,NA
2017-11-10,NA,NA,0.00,NA,NA,NA,NA
2017-11-11,NA,NA,0.00,NA,NA,NA,NA
2017-11-12,NA,NA,1.80,NA,NA,NA,NA
2017-11-13,NA,NA,5.10,NA,NA,NA,NA
2017-11-14,NA,NA,0.00,NA,NA,NA,NA
2017-11-15,NA,NA,4.30,NA,NA,NA,NA
2017-11-16,NA,NA,2.00,NA,NA,NA,NA
2017-11-17,NA,NA,0.00,NA,NA,NA,NA
2017-11-18,NA,NA,5.10,NA,NA,NA,NA
2017-11-19,NA,NA,7.60,NA,NA,NA,NA
2017-11-20,NA,NA,0.00,NA,NA,NA,NA
2017-11-21,NA,NA,0.00,NA,NA,NA,NA
2017-11-22,NA,NA,0.00,NA,NA,NA,NA
2017-11-23,NA,NA,0.00,NA,NA,NA,NA
2017-11-24,NA,NA,0.00,NA,NA,NA,NA
2017-11-25,NA,NA,0.00,NA,NA,NA,NA
2017-11-26,NA,NA,0.00,NA,NA,NA,NA
2017-11-27,NA,NA,0.00,NA,NA,NA,NA
2017-11-28,NA,NA,0.00,NA,NA,NA,NA
2017-11-29,NA,NA,0.00,NA,NA,NA,NA
2017-11-30,NA,NA,0.00,NA,NA,NA,NA
2017-12-01,NA,NA,0.00,NA,NA,NA,NA
2017-12-02,NA,NA,0.00,NA,NA,NA,NA
2017-12-03,NA,NA,0.00,NA,NA,NA,NA
2017-12-04,NA,NA,10.20,NA,NA,NA,NA
2017-12-05,NA,NA,0.50,NA,NA,NA,NA
2017-12-06,NA,NA,0.00,NA,NA,NA,NA
2017-12-07,NA,NA,0.00,NA,NA,NA,NA
2017-12-08,NA,NA,0.00,NA,NA,NA,NA
2017-12-09,NA,NA,0.50,NA,NA,NA,NA
2017-12-10,NA,NA,0.00,NA,NA,NA,NA
