Daily data for a single station.
StationID:  , USC00477209
StationName:, "RIPON 5 NE"
Lat&Long    , 43.886, -88.744
Elevation:  , -9999.000
Starts(YMD):,2014-01-01
Ends(YMD):  ,2015-10-08
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-01,-22.20,-15.00,0.00,NA,NA,NA,NA
2014-01-02,-18.90,-14.40,0.00,NA,NA,NA,NA
2014-01-03,-25.00,-14.40,0.00,NA,NA,NA,NA
2014-01-04,-20.00,-3.90,0.00,NA,NA,NA,NA
2014-01-05,-16.70,-1.10,0.00,NA,NA,NA,NA
2014-01-06,-28.90,-16.10,0.00,NA,NA,NA,NA
2014-01-07,-30.00,-26.10,0.00,NA,NA,NA,NA
2014-01-08,-30.00,-17.20,0.00,NA,NA,NA,NA
2014-01-09,-26.70,-15.60,0.00,NA,NA,NA,NA
2014-01-10,-18.90,-3.30,0.00,NA,NA,NA,NA
2014-01-11,-3.30,0.60,0.00,NA,NA,NA,NA
2014-01-12,-5.00,-1.70,0.00,NA,NA,NA,NA
2014-01-13,-2.20,2.20,0.00,NA,NA,NA,NA
2014-01-14,-6.70,2.20,0.00,NA,NA,NA,NA
2014-01-15,-12.20,2.20,7.60,NA,NA,NA,NA
2014-01-16,-13.90,-4.40,0.00,NA,NA,NA,NA
2014-01-17,-13.30,-1.70,0.00,NA,NA,NA,NA
2014-01-18,-16.10,-6.10,0.00,NA,NA,NA,NA
2014-01-19,-13.90,-6.10,0.00,NA,NA,NA,NA
2014-01-20,-11.10,0.00,0.00,NA,NA,NA,NA
2014-01-21,-23.90,-10.60,0.00,NA,NA,NA,NA
2014-01-22,-21.70,-16.10,0.00,NA,NA,NA,NA
2014-01-23,-21.10,-13.90,0.00,NA,NA,NA,NA
2014-01-24,-23.30,-13.30,0.00,NA,NA,NA,NA
2014-01-25,-21.70,-2.80,0.00,NA,NA,NA,NA
2014-01-26,-19.40,-13.30,0.80,NA,NA,NA,NA
2014-01-27,-23.90,-8.90,0.00,NA,NA,NA,NA
2014-01-28,-27.80,-8.90,0.00,NA,NA,NA,NA
2014-01-29,-26.70,-17.20,0.00,NA,NA,NA,NA
2014-01-30,-18.30,-4.40,1.80,NA,NA,NA,NA
2014-01-31,-26.70,-2.20,0.00,NA,NA,NA,NA
2014-02-01,-20.60,-14.40,0.00,NA,NA,NA,NA
2014-02-02,-18.90,-9.40,0.30,NA,NA,NA,NA
2014-02-03,-20.60,-11.10,0.00,NA,NA,NA,NA
2014-02-04,-18.90,-9.40,0.00,NA,NA,NA,NA
2014-02-05,-13.90,-8.90,0.00,NA,NA,NA,NA
2014-02-06,-22.20,-10.60,0.00,NA,NA,NA,NA
2014-02-07,-21.70,-15.00,0.00,NA,NA,NA,NA
2014-02-08,-20.60,-11.10,0.00,NA,NA,NA,NA
2014-02-09,-20.60,-10.60,0.00,NA,NA,NA,NA
2014-02-10,-24.40,-9.40,0.00,NA,NA,NA,NA
2014-02-11,-25.00,-14.40,0.00,NA,NA,NA,NA
2014-02-12,-23.30,-12.20,0.00,NA,NA,NA,NA
2014-02-13,-17.80,-7.20,0.50,NA,NA,NA,NA
2014-02-14,-17.80,-3.90,2.50,NA,NA,NA,NA
2014-02-15,-21.10,-6.70,0.00,NA,NA,NA,NA
2014-02-16,-18.90,-8.90,1.30,NA,NA,NA,NA
2014-02-17,-15.00,-5.60,0.00,NA,NA,NA,NA
2014-02-18,-10.60,-4.40,7.60,NA,NA,NA,NA
2014-02-19,-10.60,3.90,0.00,NA,NA,NA,NA
2014-02-20,-3.90,5.60,0.00,NA,NA,NA,NA
2014-02-21,-7.80,3.30,8.90,NA,NA,NA,NA
2014-02-22,-11.10,-3.90,0.00,NA,NA,NA,NA
2014-02-23,-16.10,-3.90,0.00,NA,NA,NA,NA
2014-02-24,-15.60,-6.70,0.00,NA,NA,NA,NA
2014-02-25,-16.10,-7.80,0.00,NA,NA,NA,NA
2014-02-26,-22.80,-11.70,0.00,NA,NA,NA,NA
2014-02-27,-22.80,-11.70,0.00,NA,NA,NA,NA
2014-02-28,-24.40,-16.10,0.00,NA,NA,NA,NA
2014-03-01,-16.10,-8.30,1.00,NA,NA,NA,NA
2014-03-02,-21.10,-12.80,0.00,NA,NA,NA,NA
2014-03-03,-25.00,-15.60,0.00,NA,NA,NA,NA
2014-03-04,-25.00,-10.60,2.00,NA,NA,NA,NA
2014-03-05,-25.00,-7.80,0.00,NA,NA,NA,NA
2014-03-06,-20.00,-10.00,0.00,NA,NA,NA,NA
2014-03-07,-13.90,-3.30,0.00,NA,NA,NA,NA
2014-03-08,-6.10,4.40,0.00,NA,NA,NA,NA
2014-03-09,-10.00,-2.80,0.00,NA,NA,NA,NA
2014-03-10,-6.70,2.80,0.00,NA,NA,NA,NA
2014-03-11,2.20,10.60,0.00,NA,NA,NA,NA
2014-03-12,-6.70,5.60,0.00,NA,NA,NA,NA
2014-03-13,-11.10,-6.10,0.00,NA,NA,NA,NA
2014-03-14,-9.40,5.00,0.00,NA,NA,NA,NA
2014-03-15,-2.80,7.20,0.00,NA,NA,NA,NA
2014-03-16,-14.40,0.60,0.00,NA,NA,NA,NA
2014-03-17,-13.90,-6.70,0.00,NA,NA,NA,NA
2014-03-18,-8.30,-0.60,0.00,NA,NA,NA,NA
2014-03-19,-2.20,6.70,1.50,NA,NA,NA,NA
2014-03-20,-1.10,2.80,0.00,NA,NA,NA,NA
2014-03-21,-3.30,5.00,0.00,NA,NA,NA,NA
