Daily data for a single station.
StationID:  , USC00477892
StationName:, "SOLON SPRINGS"
Lat&Long    , 46.358, -91.832
Elevation:  , -9999.000
Starts(YMD):,2014-01-02
Ends(YMD):  ,2015-05-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2014-01-02,-26.70,-15.00,0.00,NA,NA,NA,NA
2014-01-03,-25.60,-13.30,0.00,NA,NA,NA,NA
2014-01-04,NA,NA,NA,NA,NA,NA,NA
2014-01-05,-25.00,-3.90,0.00,NA,NA,NA,NA
2014-01-06,NA,NA,NA,NA,NA,NA,NA
2014-01-07,-25.00,-16.70,0.00,NA,NA,NA,NA
2014-01-08,-23.30,-16.10,0.00,NA,NA,NA,NA
2014-01-09,NA,NA,NA,NA,NA,NA,NA
2014-01-10,-25.00,-6.10,0.00,NA,NA,NA,NA
2014-01-11,-6.10,-1.70,0.00,NA,NA,NA,NA
2014-01-12,-5.60,0.00,0.00,NA,NA,NA,NA
2014-01-13,-6.70,2.80,2.50,NA,NA,NA,NA
2014-01-14,-7.20,-1.70,0.00,NA,NA,NA,NA
2014-01-15,NA,NA,NA,NA,NA,NA,NA
2014-01-16,NA,NA,NA,NA,NA,NA,NA
2014-01-17,-18.90,-1.10,0.50,NA,NA,NA,NA
2014-01-18,-17.80,-8.90,0.00,NA,NA,NA,NA
2014-01-19,-12.80,-4.40,0.00,NA,NA,NA,NA
2014-01-20,-12.80,-0.60,NA,NA,NA,NA,NA
2014-01-21,-25.60,-12.80,0.00,NA,NA,NA,NA
2014-01-22,-25.60,-12.20,6.90,NA,NA,NA,NA
2014-01-23,-21.70,-15.60,0.00,NA,NA,NA,NA
2014-01-24,-21.10,-9.40,0.50,NA,NA,NA,NA
2014-01-25,NA,NA,NA,NA,NA,NA,NA
2014-01-26,NA,NA,NA,NA,NA,NA,NA
2014-01-27,-22.80,-11.70,NA,NA,NA,NA,NA
2014-01-28,-25.00,-11.70,0.00,NA,NA,NA,NA
2014-01-29,-22.80,-16.10,0.00,NA,NA,NA,NA
2014-01-30,-17.20,-4.40,0.00,NA,NA,NA,NA
2014-01-31,-23.30,-8.90,0.00,NA,NA,NA,NA
2014-02-01,-23.30,-8.90,0.00,NA,NA,NA,NA
2014-02-02,-21.10,-7.80,0.00,NA,NA,NA,NA
2014-02-03,-21.70,-10.00,0.00,NA,NA,NA,NA
2014-02-04,-21.70,-7.20,0.00,NA,NA,NA,NA
2014-02-05,-20.00,-10.00,0.00,NA,NA,NA,NA
2014-02-06,NA,NA,NA,NA,NA,NA,NA
2014-02-07,-20.60,-12.80,0.00,NA,NA,NA,NA
