Daily data for a single station.
StationID:  , USW00014819
StationName:, "CHICAGO MIDWAY AP"
Lat&Long    , 41.786, -87.752
Elevation:  , -9999.000
Starts(YMD):,2017-03-13
Ends(YMD):  ,2017-06-06
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2017-03-13,NA,-0.60,NA,NA,NA,NA,NA
2017-03-14,NA,NA,NA,NA,NA,NA,NA
2017-03-15,NA,NA,NA,NA,NA,NA,NA
2017-03-16,NA,NA,NA,NA,NA,NA,NA
2017-03-17,NA,NA,NA,NA,NA,NA,NA
2017-03-18,NA,NA,NA,NA,NA,NA,NA
2017-03-19,NA,NA,NA,NA,NA,NA,NA
2017-03-20,NA,NA,NA,NA,NA,NA,NA
2017-03-21,NA,NA,NA,NA,NA,NA,NA
2017-03-22,NA,NA,NA,NA,NA,NA,NA
2017-03-23,NA,NA,NA,NA,NA,NA,NA
2017-03-24,NA,NA,NA,NA,NA,NA,NA
2017-03-25,NA,NA,NA,NA,NA,NA,NA
2017-03-26,NA,NA,NA,NA,NA,NA,NA
2017-03-27,NA,NA,NA,NA,NA,NA,NA
2017-03-28,NA,NA,NA,NA,NA,NA,NA
2017-03-29,NA,NA,NA,NA,NA,NA,NA
2017-03-30,NA,NA,NA,NA,NA,NA,NA
2017-03-31,NA,NA,NA,NA,NA,NA,NA
2017-04-01,NA,NA,NA,NA,NA,NA,NA
2017-04-02,NA,NA,NA,NA,NA,NA,NA
2017-04-03,NA,NA,NA,NA,NA,NA,NA
2017-04-04,NA,NA,NA,NA,NA,NA,NA
2017-04-05,NA,NA,NA,NA,NA,NA,NA
2017-04-06,NA,NA,NA,NA,NA,NA,NA
2017-04-07,NA,NA,NA,NA,NA,NA,NA
2017-04-08,NA,NA,NA,NA,NA,NA,NA
2017-04-09,NA,NA,NA,NA,NA,NA,NA
2017-04-10,NA,NA,NA,NA,NA,NA,NA
2017-04-11,NA,NA,NA,NA,NA,NA,NA
2017-04-12,NA,NA,NA,NA,NA,NA,NA
2017-04-13,NA,NA,NA,NA,NA,NA,NA
2017-04-14,NA,NA,NA,NA,NA,NA,NA
2017-04-15,NA,NA,NA,NA,NA,NA,NA
2017-04-16,NA,NA,NA,NA,NA,NA,NA
2017-04-17,NA,NA,NA,NA,NA,NA,NA
2017-04-18,NA,NA,NA,NA,NA,NA,NA
2017-04-19,NA,NA,NA,NA,NA,NA,NA
2017-04-20,NA,NA,NA,NA,NA,NA,NA
2017-04-21,NA,NA,NA,NA,NA,NA,NA
2017-04-22,NA,NA,NA,NA,NA,NA,NA
2017-04-23,NA,NA,NA,NA,NA,NA,NA
2017-04-24,NA,NA,NA,NA,NA,NA,NA
2017-04-25,NA,NA,NA,NA,NA,NA,NA
2017-04-26,NA,NA,NA,NA,NA,NA,NA
2017-04-27,NA,NA,NA,NA,NA,NA,NA
2017-04-28,NA,NA,NA,NA,NA,NA,NA
2017-04-29,NA,NA,NA,NA,NA,NA,NA
2017-04-30,NA,NA,NA,NA,NA,NA,NA
2017-05-01,NA,NA,NA,NA,NA,NA,NA
2017-05-02,NA,NA,NA,NA,NA,NA,NA
2017-05-03,NA,NA,NA,NA,NA,NA,NA
2017-05-04,NA,NA,NA,NA,NA,NA,NA
2017-05-05,NA,NA,NA,NA,NA,NA,NA
2017-05-06,NA,NA,NA,NA,NA,NA,NA
2017-05-07,NA,NA,NA,NA,NA,NA,NA
2017-05-08,NA,NA,NA,NA,NA,NA,NA
2017-05-09,NA,NA,NA,NA,NA,NA,NA
2017-05-10,NA,NA,NA,NA,NA,NA,NA
2017-05-11,NA,NA,NA,NA,NA,NA,NA
2017-05-12,NA,NA,NA,NA,NA,NA,NA
2017-05-13,NA,NA,NA,NA,NA,NA,NA
2017-05-14,NA,NA,NA,NA,NA,NA,NA
2017-05-15,NA,NA,NA,NA,NA,NA,NA
2017-05-16,NA,NA,NA,NA,NA,NA,NA
2017-05-17,NA,NA,NA,NA,NA,NA,NA
2017-05-18,NA,NA,NA,NA,NA,NA,NA
2017-05-19,NA,NA,NA,NA,NA,NA,NA
2017-05-20,NA,NA,NA,NA,NA,NA,NA
2017-05-21,NA,NA,NA,NA,NA,NA,NA
2017-05-22,NA,NA,NA,NA,NA,NA,NA
2017-05-23,NA,NA,NA,NA,NA,NA,NA
2017-05-24,NA,NA,NA,NA,NA,NA,NA
2017-05-25,NA,NA,NA,NA,NA,NA,NA
2017-05-26,NA,NA,NA,NA,NA,NA,NA
2017-05-27,NA,NA,NA,NA,NA,NA,NA
2017-05-28,NA,NA,NA,NA,NA,NA,NA
2017-05-29,NA,NA,NA,NA,NA,NA,NA
2017-05-30,NA,NA,NA,NA,NA,NA,NA
2017-05-31,NA,NA,NA,NA,NA,NA,NA
2017-06-01,NA,NA,NA,NA,NA,NA,NA
2017-06-02,NA,NA,NA,NA,NA,NA,NA
2017-06-03,NA,NA,NA,NA,NA,NA,NA
2017-06-04,NA,NA,NA,NA,NA,NA,NA
2017-06-05,NA,NA,NA,NA,NA,NA,NA
2017-06-06,12.80,23.90,0.00,NA,NA,NA,NA
