Daily data for a single station.
StationID:  , USW00094850
StationName:, "MARQUETTE"
Lat&Long    , 46.531, -87.548
Elevation:  , -9999.000
Starts(YMD):,2020-09-10
Ends(YMD):  ,2020-12-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2020-09-10,1.70,NA,NA,NA,NA,NA,NA
2020-09-11,NA,NA,NA,NA,NA,NA,NA
2020-09-12,NA,NA,NA,NA,NA,NA,NA
2020-09-13,NA,NA,NA,NA,NA,NA,NA
2020-09-14,NA,NA,NA,NA,NA,NA,NA
2020-09-15,NA,NA,NA,NA,NA,NA,NA
2020-09-16,NA,NA,NA,NA,NA,NA,NA
2020-09-17,NA,NA,NA,NA,NA,NA,NA
2020-09-18,NA,NA,NA,NA,NA,NA,NA
2020-09-19,NA,NA,NA,NA,NA,NA,NA
2020-09-20,NA,NA,NA,NA,NA,NA,NA
2020-09-21,NA,NA,NA,NA,NA,NA,NA
2020-09-22,NA,NA,NA,NA,NA,NA,NA
2020-09-23,NA,NA,NA,NA,NA,NA,NA
2020-09-24,NA,NA,NA,NA,NA,NA,NA
2020-09-25,NA,NA,NA,NA,NA,NA,NA
2020-09-26,NA,NA,NA,NA,NA,NA,NA
2020-09-27,NA,NA,NA,NA,NA,NA,NA
2020-09-28,NA,NA,NA,NA,NA,NA,NA
2020-09-29,NA,NA,NA,NA,NA,NA,NA
2020-09-30,NA,NA,NA,NA,NA,NA,NA
2020-10-01,NA,NA,NA,NA,NA,NA,NA
2020-10-02,NA,NA,NA,NA,NA,NA,NA
2020-10-03,NA,NA,NA,NA,NA,NA,NA
2020-10-04,NA,NA,NA,NA,NA,NA,NA
2020-10-05,NA,NA,NA,NA,NA,NA,NA
2020-10-06,NA,NA,NA,NA,NA,NA,NA
2020-10-07,NA,NA,NA,NA,NA,NA,NA
2020-10-08,NA,NA,NA,NA,NA,NA,NA
2020-10-09,NA,NA,NA,NA,NA,NA,NA
2020-10-10,NA,NA,NA,NA,NA,NA,NA
2020-10-11,NA,NA,NA,NA,NA,NA,NA
2020-10-12,NA,NA,NA,NA,NA,NA,NA
2020-10-13,NA,NA,NA,NA,NA,NA,NA
2020-10-14,NA,NA,NA,NA,NA,NA,NA
2020-10-15,NA,NA,NA,NA,NA,NA,NA
2020-10-16,NA,NA,NA,NA,NA,NA,NA
2020-10-17,NA,NA,NA,NA,NA,NA,NA
2020-10-18,NA,NA,NA,NA,NA,NA,NA
2020-10-19,NA,NA,NA,NA,NA,NA,NA
2020-10-20,NA,NA,NA,NA,NA,NA,NA
2020-10-21,NA,NA,NA,NA,NA,NA,NA
2020-10-22,NA,NA,NA,NA,NA,NA,NA
2020-10-23,NA,NA,NA,NA,NA,NA,NA
2020-10-24,NA,NA,NA,NA,NA,NA,NA
2020-10-25,NA,NA,NA,NA,NA,NA,NA
2020-10-26,NA,NA,NA,NA,NA,NA,NA
2020-10-27,NA,NA,NA,NA,NA,NA,NA
2020-10-28,NA,NA,NA,NA,NA,NA,NA
2020-10-29,NA,NA,NA,NA,NA,NA,NA
2020-10-30,NA,NA,NA,NA,NA,NA,NA
2020-10-31,NA,NA,NA,NA,NA,NA,NA
2020-11-01,NA,NA,NA,NA,NA,NA,NA
2020-11-02,NA,NA,NA,NA,NA,NA,NA
2020-11-03,NA,NA,NA,NA,NA,NA,NA
2020-11-04,NA,NA,NA,NA,NA,NA,NA
2020-11-05,NA,NA,NA,NA,NA,NA,NA
2020-11-06,NA,NA,NA,NA,NA,NA,NA
2020-11-07,NA,NA,NA,NA,NA,NA,NA
2020-11-08,NA,NA,NA,NA,NA,NA,NA
2020-11-09,NA,NA,NA,NA,NA,NA,NA
2020-11-10,NA,NA,NA,NA,NA,NA,NA
2020-11-11,NA,NA,NA,NA,NA,NA,NA
2020-11-12,NA,NA,NA,NA,NA,NA,NA
2020-11-13,NA,NA,NA,NA,NA,NA,NA
2020-11-14,NA,NA,NA,NA,NA,NA,NA
2020-11-15,NA,NA,NA,NA,NA,NA,NA
2020-11-16,NA,NA,NA,NA,NA,NA,NA
2020-11-17,NA,NA,NA,NA,NA,NA,NA
2020-11-18,NA,NA,NA,NA,NA,NA,NA
2020-11-19,NA,NA,NA,NA,NA,NA,NA
2020-11-20,NA,NA,NA,NA,NA,NA,NA
2020-11-21,NA,NA,NA,NA,NA,NA,NA
2020-11-22,NA,NA,NA,NA,NA,NA,NA
2020-11-23,NA,NA,NA,NA,NA,NA,NA
2020-11-24,NA,NA,NA,NA,NA,NA,NA
2020-11-25,NA,NA,NA,NA,NA,NA,NA
2020-11-26,NA,NA,NA,NA,NA,NA,NA
2020-11-27,NA,NA,NA,NA,NA,NA,NA
2020-11-28,NA,NA,NA,NA,NA,NA,NA
2020-11-29,NA,NA,NA,NA,NA,NA,NA
2020-11-30,NA,NA,NA,NA,NA,NA,NA
2020-12-01,NA,NA,NA,NA,NA,NA,NA
2020-12-02,NA,NA,NA,NA,NA,NA,NA
2020-12-03,NA,NA,NA,NA,NA,NA,NA
2020-12-04,NA,NA,NA,NA,NA,NA,NA
2020-12-05,NA,NA,NA,NA,NA,NA,NA
2020-12-06,NA,NA,NA,NA,NA,NA,NA
2020-12-07,NA,NA,NA,NA,NA,NA,NA
2020-12-08,NA,NA,NA,NA,NA,NA,NA
2020-12-09,NA,NA,NA,NA,NA,NA,NA
2020-12-10,NA,NA,NA,NA,NA,NA,NA
2020-12-11,NA,NA,NA,NA,NA,NA,NA
2020-12-12,NA,NA,NA,NA,NA,NA,NA
2020-12-13,NA,NA,NA,NA,NA,NA,NA
2020-12-14,NA,NA,NA,NA,NA,NA,NA
2020-12-15,NA,NA,NA,NA,NA,NA,NA
2020-12-16,NA,NA,NA,NA,NA,NA,NA
2020-12-17,NA,NA,NA,NA,NA,NA,NA
2020-12-18,NA,NA,NA,NA,NA,NA,NA
2020-12-19,NA,NA,NA,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA,NA,NA,NA
2020-12-21,NA,NA,NA,NA,NA,NA,NA
2020-12-22,NA,NA,NA,NA,NA,NA,NA
2020-12-23,NA,NA,NA,NA,NA,NA,NA
2020-12-24,NA,NA,NA,NA,NA,NA,NA
