Daily data for a single station.
StationID:,710720-99999
StationName:,"THUNDER BAY"
Lat&Long:,48.367,-89.310
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-30.3,-34.6,2.85,#N/A
2014-01-02,#N/A,#N/A,#N/A,-31.1,-35.3,2.32,#N/A
2014-01-03,#N/A,#N/A,#N/A,-21.9,-24.4,2.45,#N/A
2014-01-04,#N/A,#N/A,#N/A,-12.0,-15.5,4.88,#N/A
2014-01-05,#N/A,#N/A,#N/A,-25.6,-30.7,4.90,#N/A
2014-01-06,#N/A,#N/A,#N/A,-29.5,-34.9,5.90,#N/A
2014-01-07,#N/A,#N/A,#N/A,-24.8,-30.1,6.30,#N/A
2014-01-08,#N/A,#N/A,#N/A,-22.6,-27.2,4.35,#N/A
2014-01-09,#N/A,#N/A,#N/A,-21.6,-24.7,1.15,#N/A
2014-01-10,#N/A,#N/A,#N/A,-4.7,-6.6,2.32,#N/A
2014-01-11,#N/A,#N/A,#N/A,-2.6,-4.3,3.72,#N/A
2014-01-12,#N/A,#N/A,#N/A,-3.1,-5.0,3.07,#N/A
2014-01-13,#N/A,#N/A,#N/A,-2.3,-6.4,4.75,#N/A
2014-01-14,#N/A,#N/A,#N/A,-12.6,-17.2,3.10,#N/A
2014-01-15,#N/A,#N/A,#N/A,-16.3,-19.5,2.70,#N/A
2014-01-16,#N/A,#N/A,#N/A,-7.8,-9.7,4.50,#N/A
2014-01-17,#N/A,#N/A,#N/A,-15.5,-18.8,3.22,#N/A
2014-01-18,#N/A,#N/A,#N/A,-16.1,-19.4,2.45,#N/A
2014-01-19,#N/A,#N/A,#N/A,-10.4,-15.5,4.25,#N/A
2014-01-20,#N/A,#N/A,#N/A,-22.2,-28.0,3.97,#N/A
2014-01-21,#N/A,#N/A,#N/A,-23.6,-28.4,2.95,#N/A
2014-01-22,#N/A,#N/A,#N/A,-18.0,-21.6,4.15,#N/A
2014-01-23,#N/A,#N/A,#N/A,-23.8,-28.8,3.85,#N/A
2014-01-24,#N/A,#N/A,#N/A,-11.1,-14.3,3.62,#N/A
2014-01-25,#N/A,#N/A,#N/A,-19.4,-26.5,6.45,#N/A
2014-01-26,#N/A,#N/A,#N/A,-22.8,-26.4,2.30,#N/A
2014-01-27,#N/A,#N/A,#N/A,-24.8,-30.9,7.60,#N/A
2014-01-28,#N/A,#N/A,#N/A,-24.2,-29.5,6.43,#N/A
2014-01-29,#N/A,#N/A,#N/A,-15.2,-20.7,4.25,#N/A
2014-01-30,#N/A,#N/A,#N/A,-12.4,-19.3,5.65,#N/A
2014-01-31,#N/A,#N/A,#N/A,-20.0,-25.5,3.60,#N/A
2014-02-01,#N/A,#N/A,#N/A,-20.3,-22.9,1.80,#N/A
2014-02-02,#N/A,#N/A,#N/A,-20.2,-24.3,2.57,#N/A
2014-02-03,#N/A,#N/A,#N/A,-14.1,-18.4,2.20,#N/A
2014-02-04,#N/A,#N/A,#N/A,-17.0,-21.0,3.60,#N/A
2014-02-05,#N/A,#N/A,#N/A,-19.2,-24.0,3.60,#N/A
2014-02-06,#N/A,#N/A,#N/A,-18.9,-23.7,5.00,#N/A
2014-02-07,#N/A,#N/A,#N/A,-15.0,-20.5,5.17,#N/A
2014-02-08,#N/A,#N/A,#N/A,-20.5,-24.2,2.05,#N/A
2014-02-09,#N/A,#N/A,#N/A,-19.5,-24.1,3.62,#N/A
2014-02-10,#N/A,#N/A,#N/A,-20.6,-25.5,2.85,#N/A
2014-02-11,#N/A,#N/A,#N/A,-21.5,-25.1,2.55,#N/A
2014-02-12,#N/A,#N/A,#N/A,-10.5,-16.2,3.97,#N/A
2014-02-13,#N/A,#N/A,#N/A,-13.0,-15.7,6.55,#N/A
2014-02-14,#N/A,#N/A,#N/A,-16.9,-21.2,2.90,#N/A
2014-02-15,#N/A,#N/A,#N/A,-19.3,-22.0,2.73,#N/A
2014-02-16,#N/A,#N/A,#N/A,-21.8,-24.6,1.65,#N/A
2014-02-17,#N/A,#N/A,#N/A,-12.4,-14.0,5.27,#N/A
2014-02-18,#N/A,#N/A,#N/A,-6.2,-7.4,2.35,#N/A
2014-02-19,#N/A,#N/A,#N/A,-5.9,-9.2,4.12,#N/A
2014-02-20,#N/A,#N/A,#N/A,-5.6,-8.8,6.55,#N/A
2014-02-21,#N/A,#N/A,#N/A,-4.2,-6.4,4.75,#N/A
2014-02-22,#N/A,#N/A,#N/A,-12.6,-17.0,8.38,#N/A
2014-02-23,#N/A,#N/A,#N/A,-14.0,-19.6,6.30,#N/A
2014-02-24,#N/A,#N/A,#N/A,-14.5,-19.9,5.12,#N/A
2014-02-25,#N/A,#N/A,#N/A,-17.8,-23.1,5.02,#N/A
2014-02-26,#N/A,#N/A,#N/A,-20.5,-26.2,4.75,#N/A
2014-02-27,#N/A,#N/A,#N/A,-24.0,-31.5,4.90,#N/A
2014-02-28,#N/A,#N/A,#N/A,-23.3,-27.0,2.42,#N/A
2014-03-01,#N/A,#N/A,#N/A,-23.0,-28.2,4.62,#N/A
2014-03-02,#N/A,#N/A,#N/A,-22.4,-29.5,4.88,#N/A
2014-03-03,#N/A,#N/A,#N/A,-19.1,-25.4,3.75,#N/A
2014-03-04,#N/A,#N/A,#N/A,-14.8,-21.8,2.45,#N/A
2014-03-05,#N/A,#N/A,#N/A,-22.3,-25.9,2.67,#N/A
2014-03-06,#N/A,#N/A,#N/A,-9.5,-13.8,3.88,#N/A
2014-03-07,#N/A,#N/A,#N/A,-4.7,-7.2,1.92,#N/A
2014-03-08,#N/A,#N/A,#N/A,-9.4,-15.6,2.97,#N/A
2014-03-09,#N/A,#N/A,#N/A,-6.7,-9.7,2.20,#N/A
2014-03-10,#N/A,#N/A,#N/A,2.3,-2.7,5.27,#N/A
2014-03-11,#N/A,#N/A,#N/A,0.2,-7.5,4.75,#N/A
2014-03-12,#N/A,#N/A,#N/A,-15.0,-22.2,2.45,#N/A
2014-03-13,#N/A,#N/A,#N/A,-8.9,-11.8,2.17,#N/A
2014-03-14,#N/A,#N/A,#N/A,-3.4,-5.8,3.60,#N/A
2014-03-15,#N/A,#N/A,#N/A,-11.5,-18.9,3.47,#N/A
2014-03-16,#N/A,#N/A,#N/A,-20.3,-23.8,2.47,#N/A
2014-03-17,#N/A,#N/A,#N/A,-10.6,-12.5,3.60,#N/A
2014-03-18,#N/A,#N/A,#N/A,-5.2,-6.9,5.27,#N/A
2014-03-19,#N/A,#N/A,#N/A,-2.1,-4.6,3.35,#N/A
2014-03-20,#N/A,#N/A,#N/A,-3.4,-7.8,2.70,#N/A
2014-03-21,#N/A,#N/A,#N/A,-7.2,-9.4,1.00,#N/A
2014-03-22,#N/A,#N/A,#N/A,-10.9,-17.4,5.80,#N/A
2014-03-23,#N/A,#N/A,#N/A,-14.1,-21.8,3.60,#N/A
2014-03-24,#N/A,#N/A,#N/A,-16.4,-20.5,4.38,#N/A
2014-03-25,#N/A,#N/A,#N/A,-12.8,-20.0,4.25,#N/A
2014-03-26,#N/A,#N/A,#N/A,-16.9,-18.7,3.20,#N/A
2014-03-27,#N/A,#N/A,#N/A,-3.8,-5.6,3.97,#N/A
2014-03-28,#N/A,#N/A,#N/A,-4.8,-13.0,3.47,#N/A
2014-03-29,#N/A,#N/A,#N/A,-7.1,-14.9,2.80,#N/A
2014-03-30,#N/A,#N/A,#N/A,0.3,-4.3,3.35,#N/A
2014-03-31,#N/A,#N/A,#N/A,0.5,-2.4,8.25,#N/A
2014-04-01,#N/A,#N/A,#N/A,-5.5,-7.5,6.95,#N/A
2014-04-02,#N/A,#N/A,#N/A,-4.8,-12.7,4.25,#N/A
2014-04-03,#N/A,#N/A,#N/A,-5.0,-10.5,2.95,#N/A
2014-04-04,#N/A,#N/A,#N/A,-1.6,-4.4,4.78,#N/A
2014-04-05,#N/A,#N/A,#N/A,-5.1,-9.4,3.20,#N/A
2014-04-06,#N/A,#N/A,#N/A,2.2,-1.8,2.30,#N/A
2014-04-07,#N/A,#N/A,#N/A,1.8,0.2,1.92,#N/A
2014-04-08,#N/A,#N/A,#N/A,3.9,-3.9,3.62,#N/A
2014-04-09,#N/A,#N/A,#N/A,2.6,-4.6,2.15,#N/A
2014-04-10,#N/A,#N/A,#N/A,5.9,-2.4,7.97,#N/A
2014-04-11,#N/A,#N/A,#N/A,3.9,-3.9,3.85,#N/A
2014-04-12,#N/A,#N/A,#N/A,0.4,-5.1,4.85,#N/A
2014-04-13,#N/A,#N/A,#N/A,3.4,-0.2,3.82,#N/A
2014-04-14,#N/A,#N/A,#N/A,-4.0,-13.2,5.78,#N/A
2014-04-15,#N/A,#N/A,#N/A,-6.4,-16.0,2.55,#N/A
2014-04-16,#N/A,#N/A,#N/A,-6.4,-12.5,2.92,#N/A
2014-04-17,#N/A,#N/A,#N/A,-1.4,-2.4,6.45,#N/A
2014-04-18,#N/A,#N/A,#N/A,0.1,-4.0,2.57,#N/A
2014-04-19,#N/A,#N/A,#N/A,-0.7,-1.8,4.50,#N/A
2014-04-20,#N/A,#N/A,#N/A,5.1,-1.2,1.80,#N/A
2014-04-21,#N/A,#N/A,#N/A,2.9,-0.6,3.85,#N/A
2014-04-22,#N/A,#N/A,#N/A,4.5,-2.1,3.60,#N/A
2014-04-23,#N/A,#N/A,#N/A,3.4,-4.7,2.17,#N/A
2014-04-24,#N/A,#N/A,#N/A,2.0,-1.9,4.25,#N/A
2014-04-25,#N/A,#N/A,#N/A,1.1,0.6,6.30,#N/A
2014-04-26,#N/A,#N/A,#N/A,2.5,-2.5,2.72,#N/A
2014-04-27,#N/A,#N/A,#N/A,0.9,-4.2,5.40,#N/A
2014-04-28,#N/A,#N/A,#N/A,4.7,-4.2,9.03,#N/A
2014-04-29,#N/A,#N/A,#N/A,4.3,-2.5,6.30,#N/A
2014-04-30,#N/A,#N/A,#N/A,5.3,4.3,4.27,#N/A
2014-05-01,#N/A,#N/A,#N/A,5.8,3.3,2.95,#N/A
2014-05-02,#N/A,#N/A,#N/A,7.0,2.2,2.72,#N/A
2014-05-03,#N/A,#N/A,#N/A,5.9,1.6,4.50,#N/A
2014-05-04,#N/A,#N/A,#N/A,6.6,-1.8,3.85,#N/A
2014-05-05,#N/A,#N/A,#N/A,4.0,-0.4,2.17,#N/A
2014-05-06,#N/A,#N/A,#N/A,3.4,-01.0,2.42,#N/A
2014-05-07,#N/A,#N/A,#N/A,5.8,-1.0,6.30,#N/A
2014-05-08,#N/A,#N/A,#N/A,4.8,2.7,4.90,#N/A
2014-05-09,#N/A,#N/A,#N/A,6.2,5.4,2.95,#N/A
2014-05-10,#N/A,#N/A,#N/A,12.1,1.6,5.15,#N/A
2014-05-11,#N/A,#N/A,#N/A,9.1,2.2,2.30,#N/A
2014-05-12,#N/A,#N/A,#N/A,5.8,2.0,5.65,#N/A
2014-05-13,#N/A,#N/A,#N/A,7.4,3.1,6.68,#N/A
2014-05-14,#N/A,#N/A,#N/A,6.4,-1.4,5.12,#N/A
2014-05-15,#N/A,#N/A,#N/A,5.5,-2.5,3.70,#N/A
2014-05-16,#N/A,#N/A,#N/A,4.3,-2.8,2.30,#N/A
2014-05-17,#N/A,#N/A,#N/A,7.0,-1.7,2.67,#N/A
2014-05-18,#N/A,#N/A,#N/A,10.2,2.6,2.92,#N/A
2014-05-19,#N/A,#N/A,#N/A,10.2,3.2,4.38,#N/A
2014-05-20,#N/A,#N/A,#N/A,6.4,5.8,3.97,#N/A
