Daily data for a single station.
StationID:,711710-99999
StationName:,"VINELAND STATION RCS  ONT"
Lat&Long:,43.183,-79.400
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-8.7,-13.7,4.52,#N/A
2014-01-02,#N/A,#N/A,#N/A,-10.4,-12.6,8.05,#N/A
2014-01-03,#N/A,#N/A,#N/A,-15.3,-20.5,3.84,#N/A
2014-01-04,#N/A,#N/A,#N/A,-2.3,-11.0,6.04,#N/A
2014-01-05,#N/A,#N/A,#N/A,0.1,-3.3,1.85,#N/A
2014-01-06,#N/A,#N/A,#N/A,-8.1,-12.1,8.77,#N/A
2014-01-07,#N/A,#N/A,#N/A,-17.3,-23.1,9.84,#N/A
2014-01-08,#N/A,#N/A,#N/A,-10.0,-15.2,4.72,#N/A
2014-01-09,#N/A,#N/A,#N/A,-8.5,-12.8,2.27,#N/A
2014-01-10,#N/A,#N/A,#N/A,-0.5,-2.4,0.95,#N/A
2014-01-11,#N/A,#N/A,#N/A,5.7,4.2,4.53,#N/A
2014-01-12,#N/A,#N/A,#N/A,1.9,-2.1,5.43,#N/A
2014-01-13,#N/A,#N/A,#N/A,6.2,0.0,5.75,#N/A
2014-01-14,#N/A,#N/A,#N/A,2.7,-0.3,2.91,#N/A
2014-01-15,#N/A,#N/A,#N/A,-0.4,-5.9,5.96,#N/A
2014-01-16,#N/A,#N/A,#N/A,-2.0,-7.3,2.92,#N/A
2014-01-17,#N/A,#N/A,#N/A,0.3,-4.1,3.60,#N/A
2014-01-18,#N/A,#N/A,#N/A,-5.4,-9.0,5.19,#N/A
2014-01-19,#N/A,#N/A,#N/A,-4.2,-8.1,6.73,#N/A
2014-01-20,#N/A,#N/A,#N/A,-5.2,-10.8,5.38,#N/A
2014-01-21,#N/A,#N/A,#N/A,-13.4,-17.4,5.33,#N/A
2014-01-22,#N/A,#N/A,#N/A,-14.4,-19.4,2.55,#N/A
2014-01-23,#N/A,#N/A,#N/A,-12.3,-16.4,3.46,#N/A
2014-01-24,#N/A,#N/A,#N/A,-12.4,-18.3,7.48,#N/A
2014-01-25,#N/A,#N/A,#N/A,-6.9,-11.1,8.93,#N/A
2014-01-26,#N/A,#N/A,#N/A,-10.7,-15.6,4.62,#N/A
2014-01-27,#N/A,#N/A,#N/A,-10.0,-16.5,6.29,#N/A
2014-01-28,#N/A,#N/A,#N/A,-15.7,-21.7,6.65,#N/A
2014-01-29,#N/A,#N/A,#N/A,-12.4,-17.8,7.12,#N/A
2014-01-30,#N/A,#N/A,#N/A,-5.9,-15.5,5.48,#N/A
2014-01-31,#N/A,#N/A,#N/A,0.3,-5.4,4.72,#N/A
2014-02-01,#N/A,#N/A,#N/A,0.2,-1.4,2.01,#N/A
2014-02-02,#N/A,#N/A,#N/A,-1.1,-4.3,3.70,#N/A
2014-02-03,#N/A,#N/A,#N/A,-5.1,-10.3,2.55,#N/A
2014-02-04,#N/A,#N/A,#N/A,-6.5,-11.2,2.07,#N/A
2014-02-05,#N/A,#N/A,#N/A,-4.8,-7.2,7.34,#N/A
2014-02-06,#N/A,#N/A,#N/A,-8.9,-13.5,4.92,#N/A
2014-02-07,#N/A,#N/A,#N/A,-11.7,-16.4,6.62,#N/A
2014-02-08,#N/A,#N/A,#N/A,-11.2,-15.9,3.12,#N/A
2014-02-09,#N/A,#N/A,#N/A,-9.4,-11.8,2.33,#N/A
2014-02-10,#N/A,#N/A,#N/A,-9.6,-14.9,4.30,#N/A
2014-02-11,#N/A,#N/A,#N/A,-11.0,-16.8,3.50,#N/A
2014-02-12,#N/A,#N/A,#N/A,-12.2,-18.5,1.81,#N/A
2014-02-13,#N/A,#N/A,#N/A,-7.5,-12.0,2.00,#N/A
2014-02-14,#N/A,#N/A,#N/A,-3.2,-6.9,3.05,#N/A
2014-02-15,#N/A,#N/A,#N/A,-5.0,-10.1,3.92,#N/A
2014-02-16,#N/A,#N/A,#N/A,-10.0,-14.2,3.78,#N/A
2014-02-17,#N/A,#N/A,#N/A,-8.6,-16.2,3.31,#N/A
2014-02-18,#N/A,#N/A,#N/A,-2.8,-6.4,4.47,#N/A
2014-02-19,#N/A,#N/A,#N/A,2.4,-3.2,3.45,#N/A
2014-02-20,#N/A,#N/A,#N/A,0.7,-1.4,3.36,#N/A
2014-02-21,#N/A,#N/A,#N/A,2.8,-1.4,7.10,#N/A
2014-02-22,#N/A,#N/A,#N/A,2.6,-6.8,8.77,#N/A
2014-02-23,#N/A,#N/A,#N/A,-0.6,-9.8,4.82,#N/A
2014-02-24,#N/A,#N/A,#N/A,-5.5,-11.7,5.73,#N/A
2014-02-25,#N/A,#N/A,#N/A,-7.2,-13.6,5.25,#N/A
2014-02-26,#N/A,#N/A,#N/A,-10.8,-18.6,6.88,#N/A
2014-02-27,#N/A,#N/A,#N/A,-10.9,-18.0,7.06,#N/A
2014-02-28,#N/A,#N/A,#N/A,-12.8,-21.9,3.13,#N/A
2014-03-01,#N/A,#N/A,#N/A,-4.9,-13.0,3.33,#N/A
2014-03-02,#N/A,#N/A,#N/A,-10.6,-16.9,4.52,#N/A
2014-03-03,#N/A,#N/A,#N/A,-14.3,-21.1,3.93,#N/A
2014-03-04,#N/A,#N/A,#N/A,-12.6,-17.3,2.70,#N/A
2014-03-05,#N/A,#N/A,#N/A,-7.2,-12.1,3.37,#N/A
2014-03-06,#N/A,#N/A,#N/A,-8.2,-15.4,2.75,#N/A
2014-03-07,#N/A,#N/A,#N/A,-3.2,-10.5,1.79,#N/A
2014-03-08,#N/A,#N/A,#N/A,0.1,-5.1,3.50,#N/A
2014-03-09,#N/A,#N/A,#N/A,-4.1,-9.8,5.00,#N/A
