Daily data for a single station.
StationID:,712600-99999
StationName:,"SAULT STE MARIE"
Lat&Long:,46.485,-84.500
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-22.0,-25.6,2.78,69.0
2014-01-02,#N/A,#N/A,#N/A,-24.2,-27.6,1.47,52.8
2014-01-03,#N/A,#N/A,#N/A,-20.3,-23.4,3.79,83.5
2014-01-04,#N/A,#N/A,#N/A,-5.6,-8.4,5.84,99.3
2014-01-05,#N/A,#N/A,#N/A,-8.8,-12.6,5.34,89.7
2014-01-06,#N/A,#N/A,#N/A,-16.9,-20.3,5.55,97.2
2014-01-07,#N/A,#N/A,#N/A,-18.4,-21.5,8.13,81.5
2014-01-08,#N/A,#N/A,#N/A,-13.5,-17.3,4.62,70.8
2014-01-09,#N/A,#N/A,#N/A,-11.7,-14.8,2.44,72.8
2014-01-10,#N/A,#N/A,#N/A,-4.7,-6.4,2.81,100.0
2014-01-11,#N/A,#N/A,#N/A,0.3,-0.6,5.29,100.0
2014-01-12,#N/A,#N/A,#N/A,-0.5,-2.8,4.31,91.9
2014-01-13,#N/A,#N/A,#N/A,0.6,-1.6,4.04,98.1
2014-01-14,#N/A,#N/A,#N/A,-3.7,-6.7,3.70,100.0
2014-01-15,#N/A,#N/A,#N/A,-10.6,-14.1,4.17,85.2
2014-01-16,#N/A,#N/A,#N/A,-6.5,-8.4,3.86,100.0
2014-01-17,#N/A,#N/A,#N/A,-5.7,-7.1,3.70,91.0
2014-01-18,#N/A,#N/A,#N/A,-13.5,-15.5,1.72,46.6
2014-01-19,#N/A,#N/A,#N/A,-9.3,-12.3,5.65,90.3
2014-01-20,#N/A,#N/A,#N/A,-19.7,-24.7,2.76,62.2
2014-01-21,#N/A,#N/A,#N/A,-24.0,-27.7,1.42,66.1
2014-01-22,#N/A,#N/A,#N/A,-17.5,-20.7,4.72,98.7
2014-01-23,#N/A,#N/A,#N/A,-20.8,-25.0,3.13,40.0
2014-01-24,#N/A,#N/A,#N/A,-14.5,-17.0,5.09,85.6
2014-01-25,#N/A,#N/A,#N/A,-15.1,-18.0,6.10,92.5
2014-01-26,#N/A,#N/A,#N/A,-20.3,-23.0,3.65,85.1
2014-01-27,#N/A,#N/A,#N/A,-20.1,-23.8,4.20,81.2
2014-01-28,#N/A,#N/A,#N/A,-19.6,-23.9,5.19,44.3
2014-01-29,#N/A,#N/A,#N/A,-13.9,-17.8,4.68,80.7
2014-01-30,#N/A,#N/A,#N/A,-5.7,-8.2,4.70,91.9
2014-01-31,#N/A,#N/A,#N/A,-11.2,-14.4,4.99,87.7
2014-02-01,#N/A,#N/A,#N/A,-11.0,-13.2,1.47,100.0
2014-02-02,#N/A,#N/A,#N/A,-11.3,-13.8,3.63,90.8
2014-02-03,#N/A,#N/A,#N/A,-16.7,-20.1,1.54,57.9
2014-02-04,#N/A,#N/A,#N/A,-13.6,-16.0,1.75,79.2
2014-02-05,#N/A,#N/A,#N/A,-15.8,-18.6,3.42,78.7
2014-02-06,#N/A,#N/A,#N/A,-14.6,-17.9,3.48,70.1
2014-02-07,#N/A,#N/A,#N/A,-15.7,-20.0,3.68,30.4
2014-02-08,#N/A,#N/A,#N/A,-14.2,-18.7,1.87,61.8
2014-02-09,#N/A,#N/A,#N/A,-17.6,-20.4,2.86,65.6
2014-02-10,#N/A,#N/A,#N/A,-16.9,-20.2,3.52,55.5
2014-02-11,#N/A,#N/A,#N/A,-17.5,-21.5,1.83,45.3
2014-02-12,#N/A,#N/A,#N/A,-10.4,-13.3,3.07,96.8
2014-02-13,#N/A,#N/A,#N/A,-8.5,-10.4,3.99,89.5
2014-02-14,#N/A,#N/A,#N/A,-8.3,-10.1,4.82,93.3
2014-02-15,#N/A,#N/A,#N/A,-17.3,-20.4,1.93,63.2
2014-02-16,#N/A,#N/A,#N/A,-15.3,-18.8,3.06,70.8
2014-02-17,#N/A,#N/A,#N/A,-14.8,-19.1,4.46,70.7
2014-02-18,#N/A,#N/A,#N/A,-7.6,-10.6,3.02,81.9
2014-02-19,#N/A,#N/A,#N/A,-4.9,-7.3,2.24,63.8
2014-02-20,#N/A,#N/A,#N/A,-3.5,-6.3,5.27,83.8
2014-02-21,#N/A,#N/A,#N/A,-2.2,-4.1,7.69,94.6
2014-02-22,#N/A,#N/A,#N/A,-8.5,-12.9,5.99,79.5
2014-02-23,#N/A,#N/A,#N/A,-11.0,-14.5,6.81,68.6
2014-02-24,#N/A,#N/A,#N/A,-13.7,-16.3,5.30,85.1
2014-02-25,#N/A,#N/A,#N/A,-14.3,-16.8,4.84,85.9
2014-02-26,#N/A,#N/A,#N/A,-17.6,-22.0,5.08,66.6
2014-02-27,#N/A,#N/A,#N/A,-21.0,-24.8,8.33,51.3
2014-02-28,#N/A,#N/A,#N/A,-21.8,-25.2,3.24,77.9
2014-03-01,#N/A,#N/A,#N/A,-15.9,-19.4,6.70,65.8
2014-03-02,#N/A,#N/A,#N/A,-22.1,-25.8,4.43,34.6
2014-03-03,#N/A,#N/A,#N/A,-20.8,-25.1,2.14,41.0
2014-03-04,#N/A,#N/A,#N/A,-14.0,-17.1,2.14,80.7
2014-03-05,#N/A,#N/A,#N/A,-18.0,-21.7,2.63,22.6
2014-03-06,#N/A,#N/A,#N/A,-13.7,-18.2,3.91,13.0
2014-03-07,#N/A,#N/A,#N/A,-6.9,-9.4,2.46,87.3
2014-03-08,#N/A,#N/A,#N/A,-12.5,-15.1,4.55,24.8
2014-03-09,#N/A,#N/A,#N/A,-10.1,-13.4,3.36,73.8
2014-03-10,#N/A,#N/A,#N/A,-0.3,-3.0,3.43,74.4
2014-03-11,#N/A,#N/A,#N/A,-2.8,-5.0,4.45,67.5
2014-03-12,#N/A,#N/A,#N/A,-13.9,-19.3,6.50,27.1
2014-03-13,#N/A,#N/A,#N/A,-14.1,-17.7,2.45,89.9
2014-03-14,#N/A,#N/A,#N/A,-1.3,-3.4,3.65,100.0
2014-03-15,#N/A,#N/A,#N/A,-10.1,-13.7,7.81,42.0
2014-03-16,#N/A,#N/A,#N/A,-18.4,-23.1,2.84,#N/A
2014-03-17,#N/A,#N/A,#N/A,-14.3,-18.7,3.89,70.3
2014-03-18,#N/A,#N/A,#N/A,-5.5,-9.1,4.66,97.4
2014-03-19,#N/A,#N/A,#N/A,-1.4,-3.8,4.52,100.0
2014-03-20,#N/A,#N/A,#N/A,-4.9,-7.0,7.45,86.8
2014-03-21,#N/A,#N/A,#N/A,-6.9,-10.5,2.29,86.4
2014-03-22,#N/A,#N/A,#N/A,-9.7,-11.3,7.82,77.7
2014-03-23,#N/A,#N/A,#N/A,-14.7,-18.7,4.43,18.5
2014-03-24,#N/A,#N/A,#N/A,-15.8,-19.8,2.07,51.0
2014-03-25,#N/A,#N/A,#N/A,-16.0,-19.3,4.76,52.1
2014-03-26,#N/A,#N/A,#N/A,-12.7,-18.5,2.17,60.6
2014-03-27,#N/A,#N/A,#N/A,-2.9,-4.4,3.40,99.1
2014-03-28,#N/A,#N/A,#N/A,-1.1,-3.0,5.14,75.5
2014-03-29,#N/A,#N/A,#N/A,-4.7,-8.1,3.32,66.8
2014-03-30,#N/A,#N/A,#N/A,-3.6,-10.5,2.24,18.0
2014-03-31,#N/A,#N/A,#N/A,1.7,-7.2,4.89,72.7
