Daily data for a single station.
StationID:,712625-99999
StationName:,"NIAGARA DISTRICT"
Lat&Long:,43.192,-79.170
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-8.7,-12.5,4.29,88.6
2014-01-02,#N/A,#N/A,#N/A,-11.7,-13.6,7.61,100.0
2014-01-03,#N/A,#N/A,#N/A,-15.9,-21.1,3.17,39.2
2014-01-04,#N/A,#N/A,#N/A,-1.1,-9.8,8.97,52.7
2014-01-05,#N/A,#N/A,#N/A,0.1,-2.4,2.93,100.0
2014-01-06,#N/A,#N/A,#N/A,-8.7,-13.4,11.22,65.2
2014-01-07,#N/A,#N/A,#N/A,-16.1,-21.6,11.41,49.4
2014-01-08,#N/A,#N/A,#N/A,-8.6,-13.4,5.65,74.2
2014-01-09,#N/A,#N/A,#N/A,-7.9,-12.1,2.44,30.5
2014-01-10,#N/A,#N/A,#N/A,1.7,0.2,2.52,100.0
2014-01-11,#N/A,#N/A,#N/A,6.9,5.9,6.33,97.9
2014-01-12,#N/A,#N/A,#N/A,1.7,-1.9,6.93,76.9
2014-01-13,#N/A,#N/A,#N/A,7.2,1.4,8.18,87.6
2014-01-14,#N/A,#N/A,#N/A,2.1,-0.8,3.87,58.1
2014-01-15,#N/A,#N/A,#N/A,-1.2,-6.2,8.88,77.6
2014-01-16,#N/A,#N/A,#N/A,-1.7,-7.3,4.44,75.2
2014-01-17,#N/A,#N/A,#N/A,0.9,-4.0,5.18,72.5
2014-01-18,#N/A,#N/A,#N/A,-6.4,-9.6,7.42,66.5
2014-01-19,#N/A,#N/A,#N/A,-3.7,-6.9,10.26,99.0
2014-01-20,#N/A,#N/A,#N/A,-7.2,-11.6,5.59,80.4
2014-01-21,#N/A,#N/A,#N/A,-14.3,-17.8,4.71,89.0
2014-01-22,#N/A,#N/A,#N/A,-14.9,-19.4,3.31,79.3
2014-01-23,#N/A,#N/A,#N/A,-12.1,-16.0,4.73,88.6
2014-01-24,#N/A,#N/A,#N/A,-11.4,-16.6,10.93,62.8
2014-01-25,#N/A,#N/A,#N/A,-6.2,-10.3,10.09,88.8
2014-01-26,#N/A,#N/A,#N/A,-10.6,-14.6,6.10,75.5
2014-01-27,#N/A,#N/A,#N/A,-11.3,-18.0,8.95,28.7
2014-01-28,#N/A,#N/A,#N/A,-14.9,-19.8,8.23,25.6
2014-01-29,#N/A,#N/A,#N/A,-11.7,-16.2,9.00,64.1
2014-01-30,#N/A,#N/A,#N/A,-5.1,-14.0,7.17,79.7
2014-01-31,#N/A,#N/A,#N/A,0.7,-3.9,4.42,97.9
2014-02-01,#N/A,#N/A,#N/A,0.6,-0.3,3.27,100.0
2014-02-02,#N/A,#N/A,#N/A,-1.5,-4.7,4.45,100.0
2014-02-03,#N/A,#N/A,#N/A,-5.1,-10.3,2.75,50.3
2014-02-04,#N/A,#N/A,#N/A,-5.9,-10.1,2.28,89.7
2014-02-05,#N/A,#N/A,#N/A,-5.2,-7.2,8.34,100.0
2014-02-06,#N/A,#N/A,#N/A,-8.7,-12.0,6.09,89.0
2014-02-07,#N/A,#N/A,#N/A,-12.2,-16.1,9.67,70.9
2014-02-08,#N/A,#N/A,#N/A,-10.7,-14.1,4.29,73.5
2014-02-09,#N/A,#N/A,#N/A,-8.5,-10.6,2.54,100.0
2014-02-10,#N/A,#N/A,#N/A,-8.8,-14.4,5.34,64.9
2014-02-11,#N/A,#N/A,#N/A,-10.9,-16.0,4.24,58.9
2014-02-12,#N/A,#N/A,#N/A,-10.8,-17.2,1.77,23.0
2014-02-13,#N/A,#N/A,#N/A,-6.5,-10.7,3.25,83.5
2014-02-14,#N/A,#N/A,#N/A,-3.0,-6.1,5.00,93.8
2014-02-15,#N/A,#N/A,#N/A,-4.9,-9.5,5.44,67.9
2014-02-16,#N/A,#N/A,#N/A,-9.4,-12.8,4.32,75.3
2014-02-17,#N/A,#N/A,#N/A,-9.8,-16.1,4.36,64.4
2014-02-18,#N/A,#N/A,#N/A,-3.4,-6.7,6.64,69.1
2014-02-19,#N/A,#N/A,#N/A,3.9,-1.4,5.19,55.9
2014-02-20,#N/A,#N/A,#N/A,1.1,-0.6,3.92,100.0
2014-02-21,#N/A,#N/A,#N/A,3.7,-1.0,11.26,62.9
2014-02-22,#N/A,#N/A,#N/A,2.9,-4.7,10.88,46.9
2014-02-23,#N/A,#N/A,#N/A,-0.6,-8.9,6.12,39.7
2014-02-24,#N/A,#N/A,#N/A,-6.1,-11.6,7.64,83.5
2014-02-25,#N/A,#N/A,#N/A,-7.4,-13.2,6.29,82.1
2014-02-26,#N/A,#N/A,#N/A,-11.8,-18.9,8.11,47.4
2014-02-27,#N/A,#N/A,#N/A,-11.1,-18.5,9.89,74.2
2014-02-28,#N/A,#N/A,#N/A,-11.9,-21.8,3.09,24.7
2014-03-01,#N/A,#N/A,#N/A,-2.4,-9.7,4.77,95.9
2014-03-02,#N/A,#N/A,#N/A,-10.7,-16.9,4.62,73.8
2014-03-03,#N/A,#N/A,#N/A,-14.1,-19.8,3.91,61.3
2014-03-04,#N/A,#N/A,#N/A,-11.3,-15.1,3.11,95.9
2014-03-05,#N/A,#N/A,#N/A,-8.1,-12.0,3.39,84.5
2014-03-06,#N/A,#N/A,#N/A,-7.8,-15.7,4.61,13.0
2014-03-07,#N/A,#N/A,#N/A,-0.2,-6.9,2.71,20.2
2014-03-08,#N/A,#N/A,#N/A,-0.2,-3.7,3.77,93.8
2014-03-09,#N/A,#N/A,#N/A,-3.9,-8.9,6.54,64.7
2014-03-10,#N/A,#N/A,#N/A,5.1,0.4,6.92,77.7
2014-03-11,#N/A,#N/A,#N/A,7.0,1.5,2.69,80.0
2014-03-12,#N/A,#N/A,#N/A,-4.6,-6.0,10.44,100.0
2014-03-13,#N/A,#N/A,#N/A,-10.6,-17.1,6.38,39.8
2014-03-14,#N/A,#N/A,#N/A,6.4,-2.5,9.92,70.7
2014-03-15,#N/A,#N/A,#N/A,0.9,-4.1,8.46,65.5
2014-03-16,#N/A,#N/A,#N/A,-9.2,-15.9,4.29,30.2
2014-03-17,#N/A,#N/A,#N/A,-5.9,-11.7,4.59,35.7
