Daily data for a single station.
StationID:,712630-99999
StationName:,"HAMILTON"
Lat&Long:,43.174,-79.930
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-11.6,-16.6,4.70,73.3
2014-01-02,#N/A,#N/A,#N/A,-16.8,-20.2,8.31,95.8
2014-01-03,#N/A,#N/A,#N/A,-17.6,-23.6,3.57,22.9
2014-01-04,#N/A,#N/A,#N/A,-4.9,-10.8,9.51,64.0
2014-01-05,#N/A,#N/A,#N/A,-1.2,-2.9,4.71,100.0
2014-01-06,#N/A,#N/A,#N/A,-9.5,-12.0,10.07,78.6
2014-01-07,#N/A,#N/A,#N/A,-20.2,-24.7,11.60,43.9
2014-01-08,#N/A,#N/A,#N/A,-12.7,-16.6,5.88,61.1
2014-01-09,#N/A,#N/A,#N/A,-11.2,-14.3,2.39,34.4
2014-01-10,#N/A,#N/A,#N/A,-1.6,-2.6,2.56,95.5
2014-01-11,#N/A,#N/A,#N/A,3.6,3.0,6.29,98.8
2014-01-12,#N/A,#N/A,#N/A,0.5,-2.6,7.35,75.5
2014-01-13,#N/A,#N/A,#N/A,3.8,-0.1,8.03,71.5
2014-01-14,#N/A,#N/A,#N/A,0.9,-1.2,3.49,63.7
2014-01-15,#N/A,#N/A,#N/A,-2.5,-6.1,7.23,91.0
2014-01-16,#N/A,#N/A,#N/A,-4.1,-7.6,4.63,83.6
2014-01-17,#N/A,#N/A,#N/A,-1.4,-4.6,5.16,84.3
2014-01-18,#N/A,#N/A,#N/A,-7.5,-10.1,5.73,81.4
2014-01-19,#N/A,#N/A,#N/A,-6.1,-9.0,8.60,95.3
2014-01-20,#N/A,#N/A,#N/A,-7.3,-12.4,5.45,90.1
2014-01-21,#N/A,#N/A,#N/A,-17.6,-24.1,4.50,29.6
2014-01-22,#N/A,#N/A,#N/A,-17.4,-22.1,2.32,52.1
2014-01-23,#N/A,#N/A,#N/A,-14.7,-19.1,3.02,54.4
2014-01-24,#N/A,#N/A,#N/A,-14.3,-19.0,8.98,61.6
2014-01-25,#N/A,#N/A,#N/A,-9.1,-12.4,8.72,62.4
2014-01-26,#N/A,#N/A,#N/A,-12.6,-16.3,5.98,66.9
2014-01-27,#N/A,#N/A,#N/A,-12.1,-17.2,7.37,52.6
2014-01-28,#N/A,#N/A,#N/A,-17.9,-22.6,7.20,26.3
2014-01-29,#N/A,#N/A,#N/A,-14.7,-19.4,8.30,55.4
2014-01-30,#N/A,#N/A,#N/A,-8.2,-15.6,8.26,69.2
2014-01-31,#N/A,#N/A,#N/A,-1.5,-5.6,6.16,95.4
2014-02-01,#N/A,#N/A,#N/A,-1.1,-2.0,3.35,98.5
2014-02-02,#N/A,#N/A,#N/A,-3.5,-5.8,3.71,91.8
2014-02-03,#N/A,#N/A,#N/A,-8.8,-12.8,2.15,41.6
2014-02-04,#N/A,#N/A,#N/A,-10.4,-13.4,2.15,67.7
2014-02-05,#N/A,#N/A,#N/A,-7.6,-9.8,7.65,80.3
2014-02-06,#N/A,#N/A,#N/A,-12.4,-15.5,5.07,69.7
2014-02-07,#N/A,#N/A,#N/A,-13.4,-17.1,7.85,82.8
2014-02-08,#N/A,#N/A,#N/A,-14.2,-18.2,4.04,61.8
2014-02-09,#N/A,#N/A,#N/A,-11.7,-13.7,2.28,76.9
2014-02-10,#N/A,#N/A,#N/A,-12.9,-16.8,3.42,54.9
2014-02-11,#N/A,#N/A,#N/A,-13.3,-17.9,2.83,81.3
2014-02-12,#N/A,#N/A,#N/A,-14.9,-19.3,1.82,28.9
2014-02-13,#N/A,#N/A,#N/A,-8.4,-12.2,4.27,64.5
2014-02-14,#N/A,#N/A,#N/A,-4.9,-7.6,3.24,90.3
2014-02-15,#N/A,#N/A,#N/A,-8.0,-12.2,3.98,43.6
2014-02-16,#N/A,#N/A,#N/A,-13.0,-16.2,1.69,63.9
2014-02-17,#N/A,#N/A,#N/A,-13.1,-18.3,4.59,72.6
2014-02-18,#N/A,#N/A,#N/A,-4.3,-7.1,6.57,80.0
2014-02-19,#N/A,#N/A,#N/A,-0.4,-4.2,4.37,62.4
2014-02-20,#N/A,#N/A,#N/A,-2.3,-2.9,5.13,95.8
2014-02-21,#N/A,#N/A,#N/A,1.5,-2.1,11.14,81.0
2014-02-22,#N/A,#N/A,#N/A,0.6,-6.9,10.63,51.5
2014-02-23,#N/A,#N/A,#N/A,-3.4,-10.6,6.61,46.8
2014-02-24,#N/A,#N/A,#N/A,-8.0,-12.4,5.21,91.6
2014-02-25,#N/A,#N/A,#N/A,-9.6,-14.5,5.71,74.8
2014-02-26,#N/A,#N/A,#N/A,-13.5,-19.7,6.89,48.1
2014-02-27,#N/A,#N/A,#N/A,-13.8,-19.8,7.34,64.4
2014-02-28,#N/A,#N/A,#N/A,-16.5,-22.4,2.37,28.7
2014-03-01,#N/A,#N/A,#N/A,-8.0,-13.6,3.78,95.0
